id	name	chromosome
554	MT-TF	MT
555	MT-RNR1	MT
556	MT-TV	MT
557	MT-RNR2	MT
558	MT-TL1	MT
559	MT-ND1	MT
560	MT-TI	MT
562	MT-TQ	MT
563	MT-TM	MT
564	MT-ND2	MT
566	MT-TW	MT
568	MT-TA	MT
569	MT-TN	MT
570	MT-TC	MT
571	MT-TY	MT
572	MT-CO1	MT
573	MT-TS1	MT
574	MT-TD	MT
575	MT-CO2	MT
576	MT-TK	MT
579	MT-ATP8	MT
582	MT-ATP6	MT
590	MT-CO3	MT
593	MT-TG	MT
594	MT-ND3	MT
598	MT-TR	MT
602	MT-ND4L	MT
605	MT-ND4	MT
607	MT-TH	MT
609	MT-TS2	MT
610	MT-TL2	MT
614	MT-ND5	MT
619	MT-ND6	MT
621	MT-TE	MT
624	MT-CYB	MT
627	MT-TT	MT
630	MT-TP	MT
631	NULL	KI270711.1
632	NULL	CHR_HSCHR2_2_CTG1
633	5S_rRNA	KI270442.1
634	NULL	GL000009.2
635	INTS3	CHR_HSCHR1_1_CTG31
636	5_8S_rRNA	KI270442.1
637	NULL	CHR_HSCHR2_2_CTG1
638	LINC01115	CHR_HSCHR2_2_CTG1
639	KIR2DL3	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1
640	NULL	CHR_HSCHR5_2_CTG1
641	LILRP2	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1
642	KIR2DL4	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1
643	NULL	CHR_HSCHR5_2_CTG1
644	LINC02109	CHR_HSCHR5_2_CTG1
645	LILRP1	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1
646	KIR3DL2	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1
647	KIR2DL1	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1
648	KIR3DL1	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1
649	KIR2DS3	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1
650	KIR2DS4	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1
651	KIR3DL3	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1
652	KIR2DL4	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1
653	NULL	CHR_HSCHR5_2_CTG1
654	NULL	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1
655	KIR2DL2	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1
656	LILRP1	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1
657	KIR2DL3	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1
