geneid	dist
559	4758
564	6019
572	7955
575	8328
582	7402
590	6719
594	5862
605	5153
614	3556
619	1736
624	1140
992	13288
1024	17493
1430	6255
2011	22178
2929	293
3124	424305
3855	9566
3911	48693
4202	9566
4208	152861
4275	9566
4374	9566
4378	97559
4416	132695
4448	550518
4475	13474
4513	9566
4676	14759
4716	97119
4717	9566
4734	550518
4747	9566
4750	550518
4772	152861
4827	550518
4828	152861
4841	152861
4857	78043
4867	132695
4901	69210
4919	252593
5051	176323
5059	54213
5085	270646
5098	208088
5143	524301
5151	317481
5161	472656
5198	22886
5216	137158
5242	321098
5249	528226
5264	428816
5266	554792
5291	149409
5302	202943
5305	2437
5357	879242
5362	202414
5369	38984
5401	291942
5467	278284
5470	96381
5471	137274
5505	94027
5506	393360
5522	1327798
5546	96409
5562	275396
5599	85140
5608	1364769
5654	866
5659	27619
5670	195478
5691	74160
5697	356246
5705	58115
5740	55321
5748	377745
5772	800
5780	1186
5785	148217
5798	577
5820	13404
5837	501368
5854	39039
5877	359
5879	133904
5898	46042
5912	48479
5913	139117
5914	177006
5916	103273
5921	39522
5930	157754
5939	119754
5951	43316
5993	2613
6004	740
6012	11940
6050	246573
6054	80199
6061	52968
6095	251295
6101	102378
6106	123093
6117	83498
6120	2452
6121	6500
6144	887989
6160	55202
6179	95030
6195	756940
6198	29222
6201	291942
6204	57815
6206	1320467
6228	132416
6230	651495
6267	24672
6276	46564
6278	2570
6291	44827
6304	94661
6308	67380
6316	116491
6329	11940
6338	633885
6351	120442
6391	59909
6401	3224
6429	174716
6441	2470
6469	116870
6470	3224
6474	240028
6504	85326
6514	30679
6538	547561
6552	894604
6567	2753
6597	446101
6653	119239
6658	905
6663	687436
6676	31239
6689	100538
6709	5053
6722	107281
6723	19537
6731	7813
6745	462632
6760	178634
6771	812
6784	136077
6808	287100
6809	152331
6816	220062
6820	23835
6821	27366
6834	11212
6861	3224
6890	494172
6905	194821
6916	853977
6917	119735
6918	253308
6920	147947
6923	36959
6931	7407
6939	162670
6946	874815
6952	208685
6953	575495
6974	184927
6986	1553
6987	479940
6988	3143
6990	270387
6997	725680
7005	31806
7007	204273
7014	120122
7045	1280
7052	1328
7058	194322
7066	202414
7084	131557
7098	249384
7108	190234
7119	11323
7144	102729
7166	312309
7176	572
7179	317705
7183	60685
7190	15445
7222	3048
7237	349333
7258	301523
7264	62116
7299	388776
7301	374847
7306	15767
7327	61146
7333	148829
7338	160089
7346	37597
7353	1084760
7385	3311
7411	147890
7425	251759
7426	488
7428	1241349
7443	66756
7455	102693
7462	284216
7469	148829
7496	177750
7498	433897
7499	90089
7503	73191
7511	121585
7525	353386
7536	27434
7540	9448
7546	158857
7580	38229
7583	97262
7590	175867
7595	89576
7606	148829
7611	61575
7637	43445
7648	28376
7649	120122
7659	120513
7688	136124
7692	265400
7701	734
7709	35774
7719	31023
7733	173892
7738	64682
7739	5193
7741	64600
7760	184401
7761	5058
7773	281
7776	506
7777	388445
7791	1009788
7808	3224
7816	118864
7829	196227
7832	51885
7854	99069
7863	148829
7882	7140
7887	185624
7900	20991
7918	31055
7919	30852
7923	784
7926	327050
7933	526262
7937	294468
7938	153185
7987	50030
7993	5880
8006	184974
8007	3311
8013	849
8018	19862
8019	8302
8031	76301
8042	681724
8044	50901
8071	416573
8083	78233
8096	171335
8101	127865
8117	143816
8120	1285620
8148	332416
8153	692766
8160	92670
8163	24773
8170	962180
8172	357029
8189	196036
