geneid	dist
992	230332
1024	181377
1430	2350991
2011	721365
2735	1045195
2929	29596
2932	2330
3152	2330
3361	1045195
3911	2920876
4104	1427584
4208	7461790
4378	5042832
4416	7495
4448	1325102
4475	159875
4529	250193
4548	2483347
4714	2483347
4734	1325102
4750	1325102
4772	7461790
4827	1325102
4828	7461790
4841	7461790
4867	7495
4881	1701183
4901	2802633
4919	1695687
5051	1056614
5059	895408
5085	1048986
5098	949003
5143	154930
5151	2296539
5161	63548
5197	1119634
5198	2069475
5216	1536372
5234	31286
5242	847223
5249	147080
5264	492863
5266	972889
5280	26287
5291	1359340
5302	1237284
5305	1417414
5362	1109495
5369	1263404
5401	1054271
5467	22002
5468	71011
5470	296770
5471	1782276
5505	627244
5506	491414
5522	1195629
5546	36105
5557	2353846
5562	2282249
5599	1657006
5608	1337510
5654	1886903
5659	776306
5670	685448
5691	474160
5697	1989052
5705	142702
5740	880892
5748	1951033
5772	2822
5780	39625
5785	895843
5798	35589
5820	1379764
5837	1049721
5843	283799
5854	273066
5877	16270
5898	410557
5913	323092
5914	1050848
5916	355032
5921	1554820
5930	411041
5939	406361
5951	1679430
5993	2695801
6004	232463
6012	27053
6050	1703636
6054	31895
6061	912533
6095	689633
6101	794061
6106	1364557
6117	5280
6120	50438
6121	1398373
6138	250207
6144	451355
6160	1540305
6179	1309003
6195	2333443
6198	286325
6201	1054271
6204	14587
6206	1145897
6215	19596
6228	1358805
6230	2935592
6266	451800
6267	256142
6276	261616
6278	2236008
6291	249047
6304	32706
6308	1517685
6316	1221447
6329	27053
6338	131621
6351	123689
6360	1467259
6390	513268
6391	2357919
6401	508907
6416	2375354
6429	49147
6441	597593
6470	508907
6474	156218
6504	257112
6514	959
6538	3982265
6552	305658
6567	300055
6597	75342
6658	941
6663	417636
6667	400562
6676	406904
6689	969855
6709	459601
6722	1163957
6723	395237
6731	796002
6760	635918
6771	376402
6784	2970008
6795	71011
6808	2211984
6809	741622
6816	2661711
6820	39640
6821	1027755
6834	30847
6839	60864
6850	5822
6861	508907
6863	768230
6890	230816
6898	757837
6905	263863
6913	5822
6916	894871
6917	1358236
6918	56894
6920	735032
6923	2088873
6931	876016
6936	3217
6938	3217
6939	1733909
6942	3217
6946	56265
6952	692644
6953	93676
6974	2936778
6986	226705
6987	874052
6988	1132309
6990	1952237
6997	43634
7005	1015
7007	575766
7013	656299
7014	53105
7045	18659
7052	502433
7058	211472
7066	1109495
7084	2594631
7094	3217
7108	163779
7119	1814257
7144	509476
7146	3217
7148	3217
7158	29713
7166	1215609
7176	850011
7179	336419
7183	122494
7190	1653560
7222	2631473
7237	95569
7258	3462084
7264	221511
7299	1154409
7301	1241470
7306	803705
7327	1802614
7338	1709862
7346	786397
7353	760747
7411	1217471
7425	596528
7426	1565320
7428	101512
7430	1481814
7435	3217
7443	743465
7455	183816
7461	121153
7462	1341778
7496	1624997
7498	568424
7499	888187
7503	660565
7511	1934875
7525	2136176
7536	128590
7540	725966
7546	67803
7580	835761
7583	590910
7590	233435
7611	847094
7637	761583
7648	98204
7649	14417
7659	346278
7688	4294
7692	1123590
7701	360616
7709	439676
7714	939098
7719	431039
7733	1531328
7734	3217
7738	776155
7739	115980
7741	110138
7760	504547
7761	1379808
7773	1080770
7776	695632
7777	1846149
7791	58527
7808	508907
7816	13896
7829	3017433
7832	1722567
7834	21148
7854	1331136
7882	2297959
7883	757232
7887	866361
7907	5822
7910	68327
7918	448048
7919	441020
7923	13987
7926	38012
7931	384610
7933	1907126
7937	4375
7938	649678
7983	2390765
7987	402600
7988	5822
7993	1261270
8002	5822
8006	620917
8013	27961
8018	445007
8019	216346
8029	2615354
8031	93323
8042	377153
8044	1320020
8071	728276
8074	202473
8082	2448084
8083	711640
8096	159810
8097	616410
8101	2993172
8117	1826643
8120	1393540
8143	1295290
8148	385883
8153	267388
8160	1586641
8163	1294415
8170	2160563
8172	3313353
8189	843565
8203	988989
8219	1305057
8229	3217
8236	2606576
8244	574357
8245	1274039
8247	2050553
8255	1128338
8286	510280
8297	1338707
8312	109004
8321	119530
8336	296770
8338	148501
8360	81381
8378	1733241
8394	300043
8397	471430
8411	1302158
8413	178644
8417	1509198
8430	3239036
8431	665828
8438	1481814
8441	1276920
8447	1609386
8455	116980
8458	1091450
8459	431651
8462	1495161
8463	1094823
8465	1135389
8481	384472
8488	4861648
8489	1401867
8500	584320
8505	2624790
8510	15960
8526	390427
8547	2671984
8553	81891
8561	793999
8562	1235162
8563	2536360
8571	416331
8577	228901
8579	2899486
8582	82311
8600	42833
8623	1161441
8625	4790636
8635	123553
8636	2325762
8641	1597881
8656	921766
8657	1250316
8662	311616
8663	2093580
8665	1557235
8673	66890
8674	1075398
8675	852877
8677	2665999
8691	72435
8698	3479972
8702	2865553
8709	1808452
8710	1103877
8723	1618618
8730	143226
8742	265054
8745	2630554
8746	763179
8751	1668945
8759	1795717
8761	953219
8768	108355
8771	1505949
8782	159875
8789	1635648
8792	705041
8795	7151
8796	698962
8805	152075
8827	143226
8832	1780072
8833	539879
8850	165238
8862	143226
8885	987960
8898	971147
8919	706064
8921	3453712
8928	3458
8950	283507
8964	3920450
8965	4148133
8974	1900213
8986	306695
8999	799400
9007	549322
9012	1975650
9019	42675
9020	680047
9026	1936510
9027	2317923
9043	1963648
9045	1767366
9047	181910
9052	705910
9067	169240
9077	1839504
9079	148765
9094	1009510
9095	41260
9106	110138
9108	1254642
9119	2617470
9132	1734142
9155	75735
9173	1182283
9178	2896991
9196	1878488
9209	457220
9214	429808
9216	1821284
9226	37662
9228	224447
9232	2338133
9238	29245
