geneid	dist
559	63739083
564	5822
572	7760
575	8275
579	7519
582	7358
590	6678
594	5825
602	5409
605	5119
614	3543
619	1739
624	1139
631	103496324
977	13074966
991	11191784
992	28098782
1005	30508103
1032	91879681
1238	91879681
1430	36088493
2011	1540948
3124	3244
4104	7038493
4208	25062234
4378	54178963
4475	3953018
4529	47370645
4544	48502026
4546	48502026
4566	44952748
4716	54769451
4772	25062234
4828	25062234
4841	25062234
4881	20560366
5051	4504618
5059	751565
5085	4492548
5098	564840
5143	2156708
5151	7288046
5161	2445693
5197	2276961
5198	8232301
5216	9637918
5234	25792020
5242	808538
5249	2183788
5264	30102656
5266	15307889
5280	2542234
5291	9908554
5302	188622
5331	15128134
5345	7564965
5357	25959226
5362	4600173
5369	10352395
5397	11040755
5401	2344990
5467	25999099
5468	11065025
5470	26427057
5471	21818908
5505	2938673
5506	1591455
5522	45477889
5546	16135357
5557	7603481
5562	7889004
5597	16019844
5599	22194849
5608	45750801
5631	36731172
5654	62587759
5659	34826853
5670	19081829
5691	27790445
5697	6541923
5705	25842720
5730	14236990
5740	12925925
5748	6481144
5773	14931375
5780	19165876
5785	16367811
5798	16120807
5820	45869609
5837	2363302
5841	15049786
5843	18403522
5854	11782644
5874	14845321
5877	11361119
5879	37744440
5895	14939039
5898	27588173
5912	26488355
5913	45505181
5914	45296889
5916	11844564
5921	22415080
5930	43574739
5939	36883572
5951	22065363
5977	15128134
5993	48015501
6004	18009488
6012	26946366
6023	20473968
6033	14319696
6050	22006573
6055	14775525
6061	9192292
6095	13478074
6101	28453780
6106	47502247
6117	37459725
6120	17506179
6121	45922412
6137	5136684
6138	25466834
6144	12214896
6160	29871896
6179	47772135
6195	35169095
6198	40407119
6201	2344990
6204	16091970
6206	45384964
6215	26979023
6228	47531076
6230	38335902
6253	29978265
6266	45108707
6267	23396146
6276	37228135
6278	7112679
6290	14921952
6291	29967211
6295	14845321
6304	16207113
6308	29772402
6316	10501531
6329	26946366
6338	2183983
6351	18941664
6360	29662219
6390	51892030
6391	35238844
6401	19404740
6416	35269988
6441	34334481
6445	29247284
6469	26430531
6470	19404740
6474	29082686
6504	17437214
6514	33120625
6538	40470667
6552	49995194
6567	15637114
6597	32045182
6639	20391537
6649	29247284
6653	30036238
6658	54189521
6663	16991780
6667	11911607
6676	29489190
6689	46721095
6709	3147125
6722	47856732
6723	43524670
6731	962031
6745	25350680
6760	37418183
6764	14176278
6771	15015314
6784	66723035
6795	11065025
6808	8072000
6809	34906417
6813	28820852
6816	31061452
6820	28395840
6821	2453963
6826	27749999
6834	28328407
6839	11081699
6850	20201778
6855	28820852
6861	19404740
6863	13284933
6890	26226094
6902	20391537
