geneid	dist
992	101983
1024	60044
1430	6372
2011	56975
2929	583
2932	2565
3124	21488
3152	2565
3855	346045
3911	70384
4202	346045
4208	31647
4275	346045
4374	346045
4378	555409
4416	133642
4448	61639
4475	11686
4513	346045
4676	127584
4716	36270
4717	346045
4734	61639
4747	346045
4750	61639
4772	31647
4827	61639
4828	31647
4841	31647
4857	207897
4867	133642
4901	44710
4919	69370
5051	16977
5059	149860
5085	50840
5098	20666
5143	25106
5151	46729
5161	104884
5198	16903
5216	328176
5242	69870
5249	41075
5264	5314
5266	356852
5302	1153
5305	5191
5357	11243
5362	46018
5401	292969
5467	21362
5470	17854
5471	34835
5505	7372
5506	30323
5522	49771
5546	76752
5562	18851
5599	25332
5608	214458
5654	54031
5670	10180
5691	30866
5697	26298
5705	18488
5740	17531
5748	19673
5780	16619
5785	17819
5798	70254
5820	357197
5837	73320
5854	38308
5877	53648
5879	85823
5898	184965
5912	151440
5913	2877
5914	2446
5916	7252
5921	108054
5930	40802
5939	10408
5951	6828
5993	36700
6004	248499
6012	84047
6050	55383
6054	64201
6061	34696
6095	13718
6101	65384
6106	64073
6117	2621
6120	16211
6121	364707
6144	101112
6160	90698
6179	101383
6195	11903
6198	35163
6201	292969
6204	12540
6206	43265
6228	70912
6230	245035
6267	84769
6276	25666
6278	8302
6291	89174
6304	46416
6308	83884
6316	34417
6329	84047
6338	311
6351	15051
6360	21425
6391	88195
6401	16204
6416	82973
6429	34987
6441	3328
6469	21483
6470	16204
6474	660
6504	2765
6514	23201
6538	156840
6552	158878
6567	51954
6597	53927
6653	192547
6658	5255
6663	95105
6667	124240
6676	61084
6689	8463
6709	14439
6722	5207
6723	37542
6731	17441
6745	150939
6760	117479
6771	29242
6784	153850
6808	61582
6809	13093
6816	143934
6820	187635
6821	107231
6834	35088
6847	45856
6861	16204
6890	54326
6916	58846
6917	218445
6918	33174
6923	5533
6931	110001
6939	51906
6946	105960
6952	10185
6953	111336
6974	650998
6986	161688
6987	89957
6988	126051
6997	3340
7005	31012
7007	23391
7013	2662
7014	14357
7045	1406
7052	69763
7058	59613
7066	46018
7084	105189
7098	123506
7108	6408
7119	5837
7144	30002
7158	5606
7166	28350
7176	1779
7179	76512
7183	6231
7190	143175
7222	5683
7237	243345
7258	11554
7264	63556
7299	45761
7301	165650
7306	49571
7312	45856
7327	9635
7333	545
7338	9925
7346	40870
7353	194693
7385	31543
7411	55448
7425	71837
7426	78434
7428	7179
7430	2840
7443	50305
7455	2865
7462	1952
7469	545
7496	131627
7498	31919
7499	50232
7503	17457
7511	267426
7525	39500
7536	7162
7540	206263
7546	13175
7562	45856
7580	53467
7583	26337
7590	53318
7595	57333
7606	545
7611	29976
7637	192903
7648	335147
7649	14357
7659	65205
7688	3391
7692	34792
7701	4012
7709	80024
7714	18116
7719	84794
7733	13449
7738	72400
7739	30554
7741	28652
7760	61872
7761	4242
7773	322005
7776	36979
7777	1618
7791	2177
7808	16204
7816	131701
7829	676164
7832	25702
7834	69439
7854	13342
7863	545
7882	8340
7887	34405
7900	35017
7918	86474
7919	143607
7923	1439
7926	124388
7933	39123
7937	82478
7938	223382
7987	32186
7993	224558
8006	32866
8007	31543
8013	93929
8018	50202
8019	203865
8031	64176
8042	93376
8044	98094
8061	38030
8071	72113
8083	30276
8096	59459
8097	13465
8101	150632
8117	744
8120	225440
8148	52541
8153	83842
8160	13583
8163	249907
8170	308
8172	28531
8189	37386
8203	6370
8219	40571
8236	11805
8244	159326
8245	64808
8247	24994
8286	13111
8297	78409
8312	24693
8321	39704
8336	17854
8378	5849
8394	279859
8397	80278
8413	82700
8415	27053
8430	50134
8431	15484
8438	2840
8450	191530
8455	83260
8459	197021
8462	388543
8463	5348
8465	147641
8488	6739
8500	12245
8505	23960
8510	48969
8526	90153
8547	10642
8553	58286
8561	635
8563	101220
8571	15013
8579	549712
8582	41570
8600	47379
8603	545
8623	2462
8635	270706
8636	46576
8641	133799
8656	127677
8657	57364
8662	109017
8663	12227
8665	1935
8674	26171
8675	20364
8677	16384
8691	3974
8698	636596
8702	6739
8709	6477
8710	6180
8723	362298
8730	20439
8742	13601
8746	30385
8751	8807
8759	42682
8761	132803
8768	107672
8771	17201
8782	11686
8789	31556
8792	52808
8795	8913
8796	223783
8805	6569
8827	20439
8832	185510
8833	25054
8850	81876
8862	20439
8885	38817
8898	44660
8919	2430
8921	614923
8928	135133
8950	69751
8964	12299
8965	27451
8974	63271
8986	250461
8999	88433
9007	12115
9012	93682
9019	10179
9020	281730
9026	117359
9027	103169
9040	65016
9043	9205
9045	33644
9047	30965
9052	257294
9077	106261
9079	4433
9094	36201
9095	208459
9106	28652
9108	227600
9119	4726
9155	55605
9173	30359
9178	79026
9209	75645
9214	8681
9226	27624
9228	88209
9232	221913
9238	110449
9248	39839
9260	32394
9265	5047
9267	90189
9269	10816
9270	124912
9288	124460
9291	78516
9299	45856
9317	16656
9327	113853
9338	44931
9341	8300
9345	73635
9348	66438
9367	17789
9383	156434
9410	84655
9449	112323
9458	470
9466	63947
9474	15013
9485	18423
9495	124091
9504	81810
9519	53590
9534	5959
9539	7607
9541	3749
9554	31543
9577	51712
9578	43480
9583	23089
9602	5668
9603	24043
9617	233215
9621	58534
9625	22390
9636	150950
9638	59677
9648	12366
9652	26203
9655	2413
9657	35412
9661	62880
9668	14441
9670	79268
9678	62880
9683	27570
9692	216928
9716	110886
9718	20689
9722	8279
9729	167053
9732	197763
9735	4533
9741	2179
9744	157780
9748	40457
9752	26910
9758	6878
9759	3366
9770	41552
9772	38461
9779	63059
9790	44311
9793	28415
9794	121842
9798	2430
9806	7892
9808	142438
9810	31500
9811	12766
9813	137481
9827	2430
9851	211700
9853	44293
9864	66283
9870	178989
9878	218787
9880	8253
9902	18077
9922	44664
9930	2801
9944	141891
9950	24309
9951	93680
9954	4457
9960	8847
9961	11028
9986	30078
9990	6151
10007	21956
10008	37894
10018	3666
10021	198905
10026	87398
10033	141891
10037	64126
10054	70481
10061	14552
10070	18580
10071	81120
10075	18188
10076	29844
10079	40106
10086	2621
10088	158375
10091	13733
10107	175070
10112	56671
10121	12825
10122	107231
10123	28476
10127	221297
10128	5348
10134	187103
10145	73320
10167	101559
10171	6408
10172	26845
10187	163496
10195	30413
10203	841
10205	92574
10206	2256
10209	20929
10212	29864
10213	292182
10228	156944
10233	13460
10236	50164
10245	587701
10254	110632
10262	13424
10264	92425
10269	96500
10276	64743
10282	25089
10286	100164
10287	12267
10293	65522
10296	21122
10298	18628
10301	40480
10307	15973
10317	144271
10322	31699
10323	18640
10324	9109
10326	6256
10331	41457
10334	277574
10335	52997
10336	225643
10341	31850
10347	182974
10350	8756
10356	57339
10357	73149
10363	8793
10374	42361
10376	8681
10393	50107
10405	42022
10406	137698
10410	84143
10436	28509
10444	103912
10447	93998
10472	16191
10493	538615
10540	34705
10607	1572
10610	157904
10633	2466
10664	18957
10672	9592
10685	14439
10694	22820
10702	11844
10704	2430
10713	3328
10716	47264
10727	7261
10739	26176
10743	59973
10765	291482
10766	1940
10772	12236
10774	107254
10806	2970
10814	21773
10819	4083
10833	6084
10838	5359
10844	30619
10845	162468
10872	18386
10875	6256
10879	6256
10882	20259
10891	3825
10900	23980
10905	129852
10907	11776
10908	34822
10912	2815
10914	44111
10918	132628
10925	35642
10928	164242
10936	234055
10938	32838
10967	157636
10969	36439
10980	96396
10983	1536
10997	119898
10998	16977
11004	141739
11009	54840
11011	44255
11021	19894
11031	44606
11032	111427
11036	6566
11040	4546
11053	294364
11056	10691
11060	67126
11061	17323
11075	78077
11077	26529
11089	287747
11093	79192
11099	11965
11101	45630
11102	46187
11106	6808
11109	45494
11114	18420
11120	2575
11123	55210
11124	187998
11125	21145
11131	52808
11140	75985
11141	30472
11163	13739
11167	60471
11172	55020
11173	74758
11193	30861
11195	18329
11197	286647
11209	50343
11214	20792
11216	102563
11225	73806
11226	198226
11228	2184
11233	65537
11236	99554
11237	61273
11242	58092
11243	19273
11249	24674
11250	7193
11257	12475
11263	298052
11291	32937
11297	63221
11299	65018
11300	28800
11311	82656
11320	108318
11322	35622
11326	4486
11329	7580
11331	33816
11335	15196
11343	577035
11344	142087
11349	36180
11351	2430
11363	60644
11366	589388
11371	26949
11378	54076
11379	5589
11386	11147
11396	500
11399	26060
11405	6256
11410	18509
11414	265205
11415	14274
11417	2717
11419	43086
11425	19005
11430	59404
11433	24984
11436	59584
11445	4133
11458	116392
11459	109802
11463	10394
11464	94102
11465	62302
11481	108149
11482	101824
11484	311695
11486	53702
11487	124573
11490	90348
11491	26747
11493	1572
11497	20252
11498	106767
11499	9622
11500	36446
11504	3704
11505	31469
11507	4889
11511	43679
11513	129982
11518	9537
11524	28202
11528	28199
11541	82840
11542	54591
11543	18295
11544	44958
11546	555233
11547	15114
11548	45368
11561	75469
11564	20954
11574	9769
11575	116610
11579	122854
11585	27140
11590	5176
11591	113275
11592	6256
11604	45964
11614	163758
11617	110254
11619	22333
11620	13350
11625	165613
11627	1551
11628	64431
11636	262271
11638	7387
11643	66777
11646	12386
11647	1129
11650	12386
11653	74057
11654	2809
11657	12386
11659	11676
11670	166926
11671	272484
11679	165000
11680	71315
11685	5802
11691	26860
11694	202283
11695	15744
11696	51183
11704	9662
11713	347652
11716	14563
11724	6256
11726	208870
11727	4944
11728	66067
11734	43139
11739	192522
11741	99554
11743	9205
11744	86755
11765	198783
11775	87807
11780	191473
11783	886
11786	29315
11787	77778
11789	95624
11800	6197
11801	179310
11805	7597
11807	21641
11810	97342
11812	15215
11821	65967
11826	7597
11829	22515
11831	83734
11832	84611
11847	83169
11856	38142
11873	98166
11893	75930
11900	31787
11911	3326
11912	1032
11917	38419
11922	320219
11924	42039
11938	137468
11946	128526
11954	72302
11963	36197
11964	36019
11969	336030
11987	62552
11996	20128
12003	151034
12008	126654
12011	47617
12016	20202
12019	296826
12024	18850
12025	520534
12027	118693
12035	23014
12038	382129
12041	32984
12044	47433
12045	42851
12047	18379
12048	96538
12049	17263
12050	54623
12054	5102
12060	75230
12064	44237
12069	291405
12083	147114
12087	117476
12088	6984
12091	3945
12092	143736
12095	6612
12100	84807
12102	26282
12106	25962
12109	29771
12111	46733
12125	99907
12136	24067
12137	7378
12146	31053
12157	40831
12163	213610
12166	64808
12222	56996
12262	63196
12269	58859
12275	112255
12293	5822
12316	11303
12325	21790
12327	128058
12331	12386
12334	20044
12341	6865
12343	56591
12345	52373
12350	114007
12351	34237
12354	15858
12370	371273
12373	5071
12379	6995
12383	304743
12384	20184
12387	176008
12388	40708
12391	89418
12392	3350
12396	84032
12402	1160
12404	12433
12412	72546
12415	19774
12417	16793
12421	12433
12426	154702
12428	168447
12429	168447
12430	168447
12431	6502
12434	3881
12435	20555
12452	18945
12459	158001
12463	13898
12464	60674
12468	28503
12469	38404
12470	93043
12478	58088
12479	7228
12484	5894
12485	131795
12490	51825
12491	5417
12492	34734
12493	30615
12497	139830
12500	34392
12501	82068
12513	51172
12515	24032
12517	165849
12530	602
12531	53266
12534	249464
12551	273132
12553	26726
12556	94214
12570	31888
12575	83633
12576	1055
12579	13771
12582	43790
12583	122497
12589	4042
12595	71550
12602	91025
12606	11367
12610	225127
12619	62544
12624	85488
12625	6560
12637	1853
12646	68174
12662	94560
12668	8476
12670	213289
12672	168195
12682	143209
12683	50544
12686	78740
12688	39179
12690	815
12698	80368
12699	65756
12701	234983
12707	37584
12711	52941
12717	77782
12729	152060
12734	2075
12737	3243
12741	12386
