geneid	dist
559	3674
564	4920
572	6885
575	7709
582	7337
590	6657
594	5805
602	5391
605	5101
614	3528
619	1723
624	1139
992	15802
1024	5079
1032	838
1238	838
1430	12742
2929	461
2932	230
3124	8342
3152	447
4208	8390
4378	36545
4475	14801
4772	8390
4828	8390
4841	8390
5007	134
5051	39064
5085	173554
5098	180752
5143	3705
5151	22241
5161	28626
5197	21401
5198	4956
5216	132983
5234	159788
5242	68012
5249	1107
5264	4602
5266	7003
5280	89598
5291	139834
5302	2437
5345	4087
5362	21480
5369	23560
5401	3444
5467	62259
5470	49790
5471	108632
5505	98327
5506	112448
5522	85800
5546	1645
5557	7097
5562	83268
5599	7929
5608	212477
5631	1292
5659	29710
5670	13474
5691	54583
5705	125221
5730	191
5740	96972
5748	14334
5772	380
5780	187975
5785	37759
5798	47360
5820	136119
5837	10596
5841	683
5843	165246
5854	3724
5874	608
5879	64735
5898	356287
5904	260
5913	62459
5914	1933
5916	82593
5921	252974
5930	10958
5939	78036
5951	111275
5993	179614
6004	6710
6012	10459
6055	3869
6061	27661
6095	80986
6101	51473
6117	4122
6120	116254
6121	56706
6138	47804
6144	34138
6160	5167
6179	91562
6195	15629
6198	610
6201	3444
6204	15640
6215	7538
6228	100986
6230	162632
6266	207057
6267	230200
6276	351520
6278	7902
6287	485
6290	659
6291	89650
6295	608
6304	43916
6308	51398
6316	77075
6329	10459
6338	308
6351	350621
6360	56287
6390	201389
6391	1279
6401	7074
6416	8846
6441	29962
6469	174361
6470	7074
6474	174564
6504	344714
6552	154536
6567	269096
6597	144598
6667	7529
6676	70640
6689	264272
6709	13675
6722	27645
6723	51400
6731	10528
6745	44540
6760	18557
6764	548
6784	44798
6808	210859
6809	37667
6813	83441
6821	79581
6826	1973
6834	16456
6839	164
6847	914
6850	61429
6855	83441
6861	7074
6863	166456
6890	23400
6898	107084
6905	87448
6913	61429
6916	34604
6917	236867
6918	4007
6920	119456
6923	397826
6931	1834
6939	140261
6952	85260
6953	12846
6974	50875
6986	8868
6988	63169
6990	76657
6997	177223
7005	2787
7007	21639
7014	18065
7045	8806
7057	1365
7058	233675
7066	21480
7084	12113
7098	9425
7108	167655
7119	5860
7144	122599
7151	7064
7158	14337
7166	108530
7176	1246
7179	58145
7183	4705
7190	36466
7222	48766
7237	71478
7258	72960
7264	162934
7301	105140
7312	914
7327	214865
7333	6459
7338	37904
7346	57772
7353	358709
7385	8525
7411	20790
7425	46712
7426	2966
7428	37968
7430	5355
7443	94170
7455	3235
7461	105885
7462	1949
7492	260
7496	80401
7497	992
7498	84780
7499	24939
7525	96905
7536	240711
7540	87192
7546	20842
7562	983
7583	42285
7590	111560
7595	96067
7606	966
7611	96930
7621	10467
7637	36747
7648	201169
7649	68864
7659	6813
7692	2212
7701	28856
7709	48245
7719	100842
7733	110671
7738	30827
7739	67941
7741	237557
7760	130846
7761	52469
7773	326
7776	18164
7777	62050
7791	50031
7808	7074
7816	4267
7834	8333
7854	40544
7882	109046
7887	44609
7900	107842
7907	61429
7910	77685
7918	67378
7919	3177
7923	707
7926	27753
7931	9842
7933	124789
7938	368144
7983	530
7987	28386
7988	61429
7993	8186
8002	61429
8018	95609
8019	145154
8029	7513
8031	14954
8044	60159
8061	20990
8071	156955
8074	142147
8082	117804
8083	66245
8096	30094
8097	33419
8101	69182
8117	128393
8120	122986
8143	40399
8147	5306
8153	4018
8160	75062
8163	45690
8170	71783
8172	486926
8184	608
8189	132139
8203	72853
8207	276616
8219	425
8234	74339
8236	172603
8244	5214
8245	14271
8247	972
8255	763285
8286	54318
8297	169417
8321	9721
8332	12211
8336	49790
8360	410
8394	95467
8411	17141
8413	59371
8417	12814
8431	15192
8438	5355
8441	78929
8450	5947
8458	329473
8459	136938
8462	116315
8463	221043
8465	14664
8489	37903
8500	8324
8510	10532
8526	49718
8547	215
8553	29072
8557	4664
8562	34092
8571	266427
8577	113211
8579	54258
8582	117895
8603	2345
8623	2125
8625	254974
8635	140525
8641	31606
8653	1302
8657	49696
8662	135879
8663	3482
8665	494
8675	158358
8691	54052
8698	39954
8710	34171
8716	163104
8730	47113
8745	71932
8746	122739
8761	27620
8768	44918
8775	5720
8782	14801
8789	273451
8795	18779
8796	656
8805	190969
8827	47113
8832	355295
8833	119678
8853	23531
8862	47113
8885	11342
8898	60607
8921	279852
8928	3482
8950	78084
8964	223797
8965	155339
8973	190
8974	4373
8994	8065
8999	89637
9007	14860
9012	105630
9019	83121
9020	66080
9026	393787
9027	23226
9040	371
9043	4624
9045	395126
9047	1199
9052	57546
9067	3586
9077	28286
9079	53587
9094	4509
9106	237557
9119	45910
9132	31146
9155	43963
9173	114484
9178	120551
9196	7083
9209	72495
9214	28992
9216	5840
9226	42674
9232	205255
9238	6322
9248	132426
9251	58353
9260	55191
9265	64923
9267	12447
9269	9025
9270	17106
9317	3735
9324	31645
9327	24022
9338	43887
9341	86856
9345	22211
9348	102419
9367	93167
9379	153
9383	413435
9420	63
9449	251362
9466	19440
9474	266427
9485	4182
9495	3354
9504	34076
9513	10904
9519	14239
9525	91
9534	7153
9539	434
9554	1048
9574	2405
9578	42707
9583	301501
9587	92330
9588	16864
9602	5639
9603	76387
9617	108658
9621	114926
9625	151061
9633	49876
9636	71140
9648	335700
9652	15963
9655	43711
9657	27981
9661	71248
9668	79931
9670	66205
9678	71248
9692	67395
9716	160396
9718	22871
9722	691705
9725	29408
9732	21551
9741	6677
9745	66782
9748	91446
9752	14633
9759	117988
9770	151330
9772	24016
9779	27977
9790	166366
9793	86457
9794	114822
9806	127384
9808	25080
9811	114677
9813	12177
9821	6942
9846	7226
9851	136727
9852	13303
9853	112195
9864	406750
9878	210216
9880	16143
9893	164
9897	83125
9902	140294
9922	3941
9930	4177
9933	10928
9944	60932
9950	86741
9951	261719
9954	71508
9960	55751
9961	14155
9986	63270
9990	145143
10007	9195
10008	6040
10018	1325
10021	275
10033	13380
10052	1867
10054	32989
10061	6200
10070	43610
10075	83375
10076	31063
10079	11588
10086	4122
10088	287170
10091	12190
10112	239790
10117	5737
10121	102266
10122	79581
10123	97428
10127	360415
10128	221043
10133	30245
10143	89761
10145	10596
10167	47818
10171	52904
10172	12265
10187	213102
10195	428
10205	339009
10206	11776
10209	13574
10212	114857
10228	182796
10233	92681
10245	40600
10254	64061
10262	14016
10264	131888
10269	112956
10276	2345
10282	21265
10286	197236
10287	3113
10296	56686
10298	58014
10306	115766
10307	88895
10317	7996
10322	676
10323	16573
10324	105091
10331	296934
10335	7107
10336	139299
10341	7535
10347	105082
10350	19805
10356	23564
10357	304633
10359	12905
10363	2964
10376	28992
10385	1438
10393	5459
10405	50367
10406	437350
10410	143221
10415	5404
10436	28577
10437	12733
10444	5308
10447	34307
10472	4098
10479	70330
10516	39922
10540	18134
10633	842
10670	1076
10672	81146
10684	150229
10685	13675
10694	7430
10702	7510
10713	1232
10716	288261
10727	40396
10739	107240
10765	45574
10766	1148
10771	47895
10772	424674
10774	12379
10814	12626
10819	1521
10833	10994
10845	7951
10872	42480
10875	734
10882	4580
10891	51378
10900	108228
10905	15317
10908	117508
10913	11158
10914	61893
10925	257939
10928	4224
10935	201248
10936	145855
10938	12218
10951	13461
10953	4839
10967	75375
10969	3386
10977	7225
10980	9364
10983	14111
10997	29676
10998	39064
11004	54208
11015	5038
11021	4394
11023	20317
11031	15363
11032	151241
11036	21128
11040	149413
11048	24327
11053	58070
11056	8943
11060	49934
11061	24822
11067	66381
11077	65344
11089	49790
11099	19533
11101	32628
11102	3465
11109	78062
11114	117933
11120	1150
11123	33991
11124	53205
11125	4158
11129	371
11141	32015
11163	739
11167	26078
11169	1921
11172	142954
11173	23359
11177	3901
11187	31457
11188	69783
11193	11905
11195	8873
11197	12010
11207	14671
11209	5189
11214	30516
11216	73026
11217	2574
11226	250363
11228	41872
11233	63670
11236	884
11237	57869
11242	41388
11243	41104
11249	3426
11257	94792
11263	70648
11289	8573
11291	9956
11297	87500
11299	98321
11305	33676
11311	85732
11322	128714
11326	3561
11329	58487
11331	20406
11332	113206
11335	32884
11343	60887
11344	99405
11349	15333
11366	261893
11371	9486
11374	30189
11379	108837
11400	61972
11410	14040
11414	90954
11415	3993
11417	51850
11418	91218
11430	88173
11433	66915
11436	121579
11445	3799
11459	641
11463	69506
11464	163683
11465	48160
11474	323
11481	20917
11482	12957
11484	3978
11487	374
11490	356035
11491	29570
11493	94510
11497	81757
11498	3047
11499	5634
11500	141777
11503	1141
11504	63182
11505	42458
11507	1835
11511	22101
11524	39777
