geneid	dist
559	3832
564	5090
572	7024
575	7870
582	7382
590	6720
594	5864
605	5156
614	3566
619	1733
624	1141
633	601652
636	46203
991	152649
992	375586
1024	1474690
1430	20399
2011	50634
2932	356
3124	24493
3150	344
3152	356
3911	225525
4104	635704
4208	111558
4378	1632403
4416	77876
4448	97503
4475	214343
4525	248974
4536	317765
4540	317765
4542	317765
4544	173211
4545	317765
4546	173211
4548	720783
4559	317765
4580	317765
4595	317765
4623	317765
4714	720783
4716	899637
4734	97503
4741	14773
4750	97503
4772	111558
4827	97503
4828	111558
4841	111558
4857	160417
4867	77876
4881	116568
4901	344992
4919	445704
5051	873192
5059	283634
5085	811989
5098	54947
5143	40265
5151	1074128
5197	128995
5198	32405
5216	31745
5242	297413
5249	19444
5266	16193
5291	156361
5302	20139
5305	149151
5362	931663
5401	184658
5467	22429
5468	453005
5470	140775
5471	263455
5493	344
5505	430784
5506	133539
5522	283124
5546	104619
5557	523967
5562	291203
5599	421721
5608	519835
5654	110696
5659	24316
5670	225356
5691	189835
5697	295917
5740	228255
5748	187075
5780	264530
5785	65860
5798	151965
5820	616205
5837	240732
5843	23059
5854	273830
5877	803191
5879	234135
5898	136316
5912	83722
5914	4228
5916	125027
5921	228698
5930	25712
5939	50309
5951	476608
5993	1235066
6012	77511
6023	144057
6050	32179
6061	507816
6095	68883
6101	100089
6106	12534
6117	2627
6120	31774
6121	659554
6138	12596
6144	145526
6160	97383
6179	294574
6198	1723
6201	184658
6204	203206
6206	148360
6215	14975
6228	41423
6230	128928
6266	212065
6267	236624
6276	651608
6278	1078287
6291	559433
6304	77874
6308	124806
6316	280163
6329	77511
6338	162484
6351	239879
6360	302747
6391	1532872
6401	1061489
6416	1568072
6429	122151
6441	146719
6470	1061489
6474	459114
6504	222971
6538	337518
6552	553584
6567	497966
6597	195535
6653	776081
6658	962
6663	45067
6667	28763
6676	925477
6689	106405
6709	206355
6722	151761
6723	122057
6731	95569
6745	650413
6760	90054
6771	402465
6784	173974
6795	453005
6808	141865
6809	52877
6813	17442
6816	926
6820	216389
6821	745984
6834	169754
6855	17442
6861	1061489
6890	39106
6905	128501
6916	449996
6917	81433
6918	422022
6931	1642
6939	254795
6946	24822
6952	378743
6953	1260093
6974	71388
6986	994076
6987	856513
6988	69956
6990	48885
7005	1816
7007	765092
7013	392065
7045	139945
7052	1409
7058	451543
7066	931663
7084	5168
7108	40017
7119	763559
7144	90097
7158	15435
7166	255387
7176	1530
7183	264092
7190	2331217
7222	796635
7258	63683
7264	706202
7299	343662
7301	157063
7306	1019780
7327	894691
7338	601247
7346	883877
7353	95558
7385	139601
7411	1804890
7425	339640
7426	140159
7430	12045
7443	55093
7462	1967
7496	860113
7498	159051
7499	527251
7503	847912
7511	81920
7525	714080
7536	503458
7540	861401
7546	123268
7580	307876
7583	11830
7590	203436
7595	1886962
7611	122509
7621	53350
7637	552186
7648	204942
7659	287791
7688	28526
7692	1775
7701	197944
7709	60399
7714	589501
7719	52960
7733	224594
7738	265624
7739	732167
7741	583940
7760	407122
7761	315323
7773	326
7776	930446
7777	36544
7791	21380
7808	1061489
7816	626539
7829	226428
