geneid	dist
559	4056
564	5307
572	7231
575	8057
579	7524
582	7363
590	6683
594	5830
602	5414
605	5124
614	3544
619	1740
624	1139
631	22677804
633	482404
636	3675786
977	6222800
978	6222800
992	57244
1032	8242115
1238	8242115
1329	21327571
1430	4051778
1711	6222800
1712	6222800
2010	1552829
2011	1521148
2014	1551864
2929	557
3124	36921866
4104	5525219
4208	4775771
4378	40101409
4475	2515742
4533	85
4610	85
4741	5423958
4772	4775771
4828	4775771
4841	4775771
4856	24481168
4881	19750663
5007	36496813
5051	34304505
5059	36474734
5085	34390737
5098	36562931
5143	6383608
5151	32412534
5161	35512370
5197	14190419
5198	31482858
5216	30533274
5234	18710975
5242	36395281
5249	35597394
5264	1034007
5266	25118080
5280	35406261
5291	30206285
5302	14795659
5331	25302987
5345	32123944
5362	34289051
5369	29819628
5397	1077244
5401	14266936
5467	15157140
5468	1100145
5470	19502580
5471	19339516
5505	14903291
5506	35985473
5522	26793020
5546	7170830
5557	32089291
5562	31957265
5597	7053831
5599	19003107
5608	27063187
5631	20440509
5659	19562673
5670	21814435
5691	13223945
5697	32875852
5705	15418923
5730	4760169
5740	3180340
5748	32961755
5772	20943269
5780	10787934
5785	24254116
5798	7155271
5820	27127275
5837	14281742
5841	5830797
5843	10011696
5854	1954023
5874	5561253
5877	1455219
5879	21176118
5895	5690709
5898	13682749
5912	14645488
5913	26823312
5914	26578646
5916	2012383
5921	18840733
5930	25479071
5939	20525072
5951	19053524
5977	25302987
5993	4215262
6004	23004081
6012	14103845
6050	19089521
6055	5506952
6061	9758242
6095	3822150
6101	12461551
6106	39754557
6117	480875
6120	23251116
6121	27162845
6137	4833618
6144	28088332
6160	10914329
6179	39683217
6195	11200486
6198	23005627
6201	14266936
6204	7127950
6206	26719985
6215	14083769
6228	39739179
6230	21991645
6253	960180
6266	43217110
6267	15556567
6276	20858181
6278	32495663
6291	954175
6295	5561253
6304	7240822
6308	11086878
6316	29752743
6329	14103845
6338	35583891
6351	10543984
6360	11239928
6390	34532673
6401	1707357
6416	11248068
6441	19238986
6469	14801118
6470	1707357
6504	23449177
6514	18747420
6538	24499896
6552	36885939
6567	6577795
6597	14042408
6653	1001059
