geneid	dist
559	3819
564	5078
572	7024
575	7875
582	7416
590	6733
594	5876
605	5168
614	3568
619	1733
624	1139
992	149389
1024	50593
1430	199411
2011	64449
2929	5857
2932	1056
3124	61967
3152	1056
3159	523
3855	231567
3911	10442
4202	231567
4208	406771
4275	231567
4374	231567
4378	665528
4416	330720
4448	13701
4475	46614
4513	231567
4676	150816
4716	102545
4717	231567
4734	13701
4747	231567
4750	13701
4772	406771
4827	13701
4828	406771
4841	406771
4857	38686
4867	330720
4901	10741
4919	12067
5051	171884
5059	172554
5085	27255
5098	368643
5143	840661
5151	19088
5161	227233
5198	252280
5216	77939
5242	113584
5249	149512
5264	22956
5266	132660
5291	288223
5302	390205
5305	101620
5357	819482
5362	165333
5401	5989
5470	83215
5471	295842
5505	9898
5506	390877
5522	19445
5546	40389
5562	48730
5599	91188
5608	70889
5654	575158
5670	89921
5691	4730
5697	67931
5705	655531
5740	257996
5748	97525
5772	33763
5780	10392
5785	12389
5798	48333
5820	474003
5837	598203
5854	174797
5877	22887
5879	120858
5898	93421
5912	720458
5913	428898
5914	71831
5916	154286
5921	184224
5930	15439
5939	297376
5951	174730
5993	115067
6004	282119
6012	137301
6054	30229
6061	44929
6095	224193
6101	61087
6106	65788
6117	56602
6120	184355
6121	484164
6144	425547
6160	238784
6179	115066
6195	87979
6198	54282
6201	5989
6204	97858
6206	154469
6228	71481
6230	43343
6267	100119
6276	71516
6278	23193
6291	115262
6304	415505
6308	231109
6316	269994
6329	137301
6338	482501
6351	50315
6360	635705
6390	55455
6391	131243
6401	79488
6416	12540
6429	28002
6441	72778
6469	1845
6470	79488
6474	407538
6504	8334
6514	56325
6538	143950
6552	296094
6567	92564
6597	469776
6653	396272
6658	1055
6663	237164
6667	107773
6676	140649
6689	47879
6709	26301
6722	129510
6723	678513
6731	229322
6745	500782
6760	170222
6771	96350
6784	62550
6808	98158
6809	213810
6816	747902
6820	661758
6821	187529
6834	144281
6847	6396
6861	79488
6890	5548
6916	22720
6918	55250
6920	193122
6923	10956
6931	461240
6939	206300
6946	410892
6952	70856
6953	51668
6974	168762
6986	551287
6987	936106
6988	180523
6997	441640
7005	29969
7007	78394
7013	79164
7014	25706
7045	1590
7052	1226
7058	45803
7066	165333
7084	300428
7098	488964
7108	413442
7119	200052
7144	279549
7158	517334
7166	129081
7176	82954
7179	239851
7183	204304
7190	22086
7222	370264
7237	15584
7258	87316
7264	758566
7299	475963
7301	50412
7312	6396
7327	238325
7333	257933
7338	57777
7346	102857
7353	161416
7385	976341
7411	386690
7425	224982
7426	57390
7428	62440
7430	240654
7443	189815
7455	70727
7462	529255
7469	257933
7496	200645
7498	362609
7499	25043
7503	590993
7511	217654
7525	52212
7536	223843
7540	610887
7546	257726
7562	6396
7580	129598
7590	91587
7606	257933
7611	75608
7637	662686
7648	226511
7649	25706
7659	54252
7688	276907
7692	51781
7701	68263
7714	386696
7719	100573
7733	154855
7738	112424
7739	712826
7741	202227
7760	434401
7761	186027
7773	167533
7776	346287
7777	71996
7808	79488
7816	172439
7829	135791
7832	38689
7834	244890
7854	134484
7863	257933
7882	281938
7887	39212
7900	158813
7918	136482
7919	7246
7923	9357
7926	159225
7933	40181
7937	417005
7938	212841
7987	9376
7993	110698
8006	44680
8007	976341
8013	247873
8018	141805
8019	183713
8031	58745
8042	341359
8044	388253
8061	374785
8071	48006
8083	7136
8096	28724
8097	348273
8101	69908
8117	104618
8120	1199656
8148	14232
8153	9355
8160	109620
8163	138563
8170	216799
8172	87787
8189	128856
8203	117651
8219	356438
8236	143553
8244	885352
8245	153795
8247	378593
8255	132021
8286	1417488
8297	83810
8312	69880
8321	648298
8336	83215
8378	501097
8394	204399
8397	112382
8413	22261
8415	128588
8430	10861
8431	18292
8438	240654
8450	296571
8459	400001
8462	3387
8463	102772
8465	48846
8488	11711
8500	46629
8505	50772
8510	82702
8526	360951
8547	353509
8553	52205
8561	260663
8563	60473
8571	70440
8579	234720
8582	49027
8600	69441
8603	257933
8623	2504
8635	762967
8636	273622
8641	34244
8656	67560
8657	70512
8662	251798
8663	119717
8665	813
8674	93703
8675	517773
8677	43452
8691	40033
8698	14231
8702	11711
8709	124983
8710	6117
8723	38589
8730	96899
8742	14902
8745	175353
8746	82189
8751	2963
8759	38914
8761	44434
8768	281332
8771	10993
8782	46614
8789	30758
8792	217853
8795	163176
8796	882714
8805	136217
8827	96899
8832	110339
8833	1435763
8850	74956
8862	96899
8885	88511
8898	77347
8919	51842
8921	71868
8928	176702
8950	4546
8964	101558
8965	456750
8974	28591
8986	116970
8999	140920
9007	1442012
9012	33434
9019	222940
9020	83247
9027	115040
9040	64749
9043	153767
9045	161775
9047	152911
9052	101185
9077	138407
9079	411939
9094	1158647
9095	97982
9106	202227
9108	206110
9119	164162
9155	175926
9173	192339
9178	93202
9209	126958
9214	10071
9226	681190
9228	772953
9232	143203
9238	325737
9248	39011
9260	65006
9265	99563
9267	154027
9269	58175
9270	185391
9287	190060
9288	324672
9291	31101
9299	6396
9317	244537
9324	7420
9327	352473
9338	78211
9341	115902
9345	29873
9348	879451
9367	329016
9383	56718
9449	24715
9458	11267
9466	128038
9474	70440
9485	4892
9495	12707
9504	237782
9519	57074
9534	16032
9541	396462
9554	976341
9577	5985
9578	12603
9583	149084
9602	281193
9603	622678
9617	421365
9621	69520
9625	253213
9636	188335
9638	2624
9648	270015
9652	69641
9655	81688
9657	64666
9661	57293
9668	21293
9670	12986
9678	57293
9683	262600
9692	31342
9716	1271
9718	120245
9722	402371
9729	190397
9732	129153
9735	323293
9741	156140
9744	2496
9752	18346
9758	22257
9759	222309
9770	64655
9772	26972
9779	7493
9790	6270
9793	110264
9794	69195
9798	51842
9806	39621
9808	483913
9810	123206
9811	147483
9813	343296
9827	51842
9851	157840
9852	126079
9853	168756
9864	27014
9870	394474
9878	162923
9880	213071
9902	79648
9922	467340
9930	71075
9944	15185
9950	428413
9951	26047
9954	29040
9960	15616
9961	87440
9986	136633
9990	65468
10008	33804
10018	38264
10021	4783
10026	932119
10033	15185
10037	73244
10054	84328
10061	41140
10070	383085
10071	264993
10075	39563
10076	124958
10079	243509
10086	56602
10088	228943
10091	703062
10107	222987
10112	70306
10121	90244
10122	187529
10123	6117
10127	63370
10128	102772
10134	41747
10145	598203
10167	471872
10171	413442
10172	3671
10187	67652
10195	90990
10203	238407
10205	295882
10206	1805
10209	156007
10212	132532
10213	248669
10228	9712
10233	34013
10236	327823
10245	272801
10254	220328
10262	100581
10264	36015
10269	375702
10276	446383
10282	83170
10286	334340
10287	3937
10293	5719
10296	61513
10298	78008
10301	107195
10307	54692
10317	354921
10322	534939
10323	8550
10324	291222
10326	47831
10331	70533
10334	27987
10335	35288
10336	388317
10341	261485
10346	517655
10347	28665
10350	420354
10356	109344
10357	218295
10374	45180
10376	10071
10393	545565
10405	281058
10406	272985
10410	4267
10436	65698
10444	120998
10447	49944
10472	143554
10493	198988
10540	45207
10607	35859
10610	67122
10633	30454
10664	5379
10672	25824
10685	26301
10694	149084
10702	598242
10704	51842
10713	316544
10716	418225
10727	17371
10739	388290
10743	24042
10765	263077
10766	70771
10772	5195
10774	94358
10806	393005
10814	30870
10819	151104
10833	85636
10838	115933
10844	155208
10845	152388
10875	47831
10879	47831
10882	20341
10891	59512
10900	40016
10905	66514
10908	1537495
10912	425713
10914	113774
10918	334983
10928	6736
10936	90918
10938	15322
10969	1858
10980	102168
10983	440415
10997	148458
10998	171884
11004	115310
11009	475896
11011	94513
11021	21573
11031	34677
11032	23063
11036	7754
11040	212296
11053	462306
11056	53497
11060	82528
11061	247882
11075	85045
11077	42682
11089	456219
11093	580624
11099	103992
11101	205490
11102	145886
11106	13717
11109	64856
11114	57689
11120	35625
11123	182833
11124	134253
11125	358513
11131	217853
11140	249436
11141	41109
11163	627237
11167	73835
11172	48888
11173	232860
11188	35011
11193	90343
11195	237631
11197	69673
11209	6361
11214	299218
11216	351139
11225	233780
11226	1220
11228	312638
11233	591358
11236	306333
11237	248139
11242	34226
11243	20750
11249	21825
11250	109943
11257	174903
11263	254334
11291	84428
11297	58831
11299	284805
11300	18533
11311	551788
11320	55258
11322	487326
11326	168410
11329	66565
11331	64944
11335	782455
11343	275135
11344	53579
11349	84483
11351	51842
11363	136290
11366	251185
11371	650890
11378	51876
11379	62022
11386	135673
11396	542
11399	213410
11405	47831
11410	21432
11414	108085
11415	341846
11417	9981
11419	14074
11425	111122
11430	145379
11433	28179
11436	142173
11445	4946
11458	344464
11459	160939
11463	191941
11464	58798
11465	54699
11481	49375
11482	61212
11484	489016
11486	35319
11487	680678
11490	1598919
11491	125604
11493	10616
11497	88256
11498	39369
11499	126786
11500	461680
11504	122133
11505	56054
11507	18817
11511	50163
11513	27352
11518	83397
11524	82826
11528	66419
11541	25768
11542	175146
11543	137472
11544	212559
11546	421088
11547	142400
11548	139654
11555	1692
11561	551179
11564	321440
11574	12148
11575	312427
11579	381886
11585	61438
11590	25579
11591	91394
11592	47831
11614	57131
11619	160084
11620	82799
11625	132403
11627	187373
11628	206143
11636	140363
11638	35562
11643	154578
11646	621830
11647	406496
11650	621830
11652	229014
11653	17096
11657	621830
11659	272992
11670	149934
11671	78603
11679	661774
11680	3751
11691	772920
11694	188255
11695	413647
11696	53506
11704	25436
11713	185219
11716	78157
11724	47831
11726	595139
11727	143417
11728	373098
11734	140081
11739	65559
11741	306333
11743	78549
11744	281000
11765	55035
11775	10498
11780	192793
11783	1237
11786	297488
11787	717923
11789	76057
11800	49304
11801	288747
11805	102248
11807	130902
11810	122941
11812	16977
11821	159016
11826	102248
11829	49430
11831	13577
11832	53269
11847	1485
11856	159489
11873	156606
11893	41227
11900	45376
11911	122035
11912	3134
11917	155914
11922	115171
11924	136307
11938	190976
11946	99818
11954	593455
11963	140683
11964	868343
11969	152627
11987	229147
11996	271367
12003	24400
12008	177936
12011	248161
12013	28186
12016	63389
12019	81403
12024	147886
12025	278445
12027	340821
12035	227276
12038	138246
12041	215933
12044	51165
12045	52964
12047	10569
12048	17465
12049	158521
12050	37013
12054	618338
12060	36012
12064	129199
12069	238186
12083	382682
12087	314170
12088	151273
12091	13843
12092	816923
12095	119278
12100	32146
12102	39030
12106	692487
12109	85296
12111	195562
12125	210391
12136	52003
12137	10601
12146	120376
12157	1260806
12163	239815
12166	153795
12262	27560
12269	4921
12275	163604
12293	302183
12316	238656
12325	111323
12327	545217
12331	621830
12334	61015
12341	66351
12343	111600
12345	47149
12350	126812
12351	59667
12370	344503
12373	108278
12379	1598
12383	457963
12384	169464
12387	234397
12388	154298
12391	79919
12392	53646
12396	90364
12402	70793
12404	59217
12412	719273
12415	801727
12417	18972
12421	59217
12426	194362
12428	102049
12429	102049
12430	102049
12431	189137
12434	3415
12435	22645
12452	320862
12459	196707
12463	10361
12464	61573
12468	29449
12469	377618
12470	67043
12478	539840
12484	183132
12485	1259
12490	136546
12491	70957
12492	610840
12493	79894
12497	54604
12500	562928
12501	64923
12513	573600
12515	76909
12517	680169
12527	51918
12530	189027
12531	448394
12534	215744
12551	625094
12553	551365
12556	64644
12570	15506
12575	101309
12576	24720
12579	923
12582	599796
12583	715166
12589	6872
12595	176974
12602	18494
12606	85076
12610	88039
12619	245843
12624	74248
12625	490506
12637	3376
12646	219853
12662	110555
12668	154237
12670	77333
12672	1067
12682	174878
12683	55669
12686	325727
12690	44609
12698	22500
12699	872529
12701	153227
12707	189699
12711	180607
12717	10307
12729	217650
12734	30877
12737	1367560
12741	621830
12762	459468
12765	343372
12766	99817
12767	678662
12779	265518
12783	75507
12790	786516
12805	291568
12810	530858
12817	667579
12822	155059
12829	604453
12833	1316
12845	526904
12846	313747
12847	144409
12852	92108
12853	33946
12863	9898
12865	8940
12866	789740
12877	84262
12878	174122
12891	5107
12892	67244
12898	10872
12900	206862
12901	242792
12904	33763
12905	201746
12907	5989
12921	1161246
12925	469611
12934	118008
12936	569361
12944	231567
12947	476201
12949	138414
12950	244073
12955	296571
12957	978673
12958	11061
12973	345797
12975	1049552
12977	80111
12987	89618
12988	100826
12992	350228
12995	71004
12998	396272
13006	150642
13010	168395
13021	92804
13023	94687
13026	48652
13029	572
13033	184803
13048	25476
13050	18558
13053	158813
13054	47831
13058	610840
13059	1071849
13063	428345
13067	80796
13070	52150
13071	487382
13075	279485
13086	201709
13088	53984
13096	431278
13097	245390
13098	250706
13103	24195
13111	138436
13116	110887
13127	161917
13136	212488
13137	71496
13140	13147
13143	81441
13148	96360
13151	20402
13157	38465
13167	246378
13172	676907
13173	102545
13175	63527
13177	48280
13179	20631
13189	213512
13192	112940
13199	33309
13203	130902
13204	883891
13206	299841
13213	19253
13236	208736
13244	495991
13246	272536
13251	67250
13252	22040
13253	483290
13254	34869
13256	101963
13258	80072
13267	21627
13273	48462
13277	158313
13278	83713
13287	6090
13288	2127
13295	83680
13304	384650
13313	55287
