geneid	dist
559	3770
564	5019
572	6949
575	7770
582	7540
590	6857
594	6004
605	5294
614	3706
619	1735
624	1139
992	188676
1024	11755
1430	3239003
2011	1849048
2929	314
2932	293
3124	131201
3150	4889
3152	293
3911	518310
3990	950836
4104	962387
4208	15047432
4378	8473525
4416	21485
4448	3622329
4475	3864498
4529	15935
4544	133838
4546	133838
4548	2971085
4714	2971085
4734	3622329
4750	3622329
4772	15047432
4827	3622329
4828	15047432
4841	15047432
4867	21485
4881	1932922
4901	635573
4919	2270860
5051	3744871
5059	1173851
5085	296745
5098	1019230
5143	4279451
5151	9329933
5161	4701839
5197	1256558
5198	10086070
5216	11195546
5234	99841
5242	1236996
5249	4343754
5264	2334762
5266	15774945
5280	4770467
5291	11408514
5302	6926
5305	11328960
5357	24794890
5362	117302
5369	11657018
5401	11766
5467	24827740
5468	3498203
5470	390556
5471	21290243
5493	4889
5505	1181902
5506	2036742
5522	1508415
5546	71451
5557	9634893
5562	9848071
5599	21625561
5608	1443632
5654	19894666
5659	3434222
5670	19258445
5691	640380
5697	8730819
5705	24722462
5740	1642936
5748	8667238
5780	1969061
5785	16800801
5798	96945
5820	1233547
5837	42453
5843	1642663
5854	2782720
5879	986265
5898	544597
5912	25230087
5913	11974
5914	1744684
5916	2633000
5921	21925357
5930	44881
5939	1673454
5951	21520179
5993	734924
6004	18573818
6012	25589380
6050	21465543
6054	3254227
6061	2458483
6101	1018582
6106	755297
6117	7485652
6120	24763
6121	1177454
6137	102368
6138	24430199
6144	13223200
6160	1173
6179	649562
6195	2897538
6198	23718886
6201	11766
6204	120561
6206	1645469
6215	29242
6228	742268
6230	4006818
6266	313845
6267	2876793
6276	1223668
6278	9197538
6291	1977415
6304	62250
6308	26539860
6316	11807032
6329	25589380
6338	4349742
6351	1388201
6360	26447751
6390	2858143
6401	1014664
6416	2993438
6429	18409471
6441	3829768
6470	1014664
6474	1852226
6504	17964412
6514	4756329
6538	3957654
6552	1437107
6567	626237
6597	1299576
6639	571
6653	2301915
6658	1749685
6663	17498382
6667	2551990
6676	830010
6689	1370203
6709	1497931
6722	20599
6723	70186
6731	1371366
6760	1174539
6771	740514
6784	242636
6795	3498203
6808	10012148
6809	3377282
6813	1207
6816	63670
6820	379093
6821	118116
6834	445136
6839	3482121
6850	275
6855	1207
6861	1014664
6863	1346155
6890	280879
6891	1040
6898	6843621
6902	571
6905	5629020
6913	275
6916	2516312
6917	3753553
6918	62989
6920	6731769
6923	1761239
6931	9800362
6936	338
6938	338
6939	2549748
6942	338
6943	1040
6946	13747738
6952	1915407
6953	1034786
6974	158793
6986	6287646
6987	2979646
6988	4040330
6990	1503709
6997	2494903
7005	25104
7007	2960112
7013	1936102
7014	64450
7045	491120
7052	8946382
7058	3061005
7066	117302
7084	183993
7094	338
7108	23224703
7119	2933919
7144	1415036
7146	338
7148	338
7158	18207348
7162	693
7166	1907438
7176	9716029
7179	19609652
7183	1938446
7190	6223
7222	2768499
7237	502317
7258	55980
7264	69770
7299	5847742
7301	3853319
7306	3732579
7327	3671606
7338	2331594
7346	7537222
7353	8854861
7366	3057
7380	1040
7385	4915222
7411	1337046
7425	1294339
7426	3805898
7428	1277369
7430	3680205
7435	338
7443	3749823
7455	248339
7461	788196
7462	1625737
7496	9117
7498	29636879
7499	7858978
7503	3037334
7511	4450853
7525	9007223
7536	1727526
7540	6706606
7546	22778021
7580	8029998
7583	1806799
7590	5681225
7595	1380411
7611	9706984
7637	6959507
7648	23076114
7649	34338
7659	33325
7688	22876618
7692	7238492
7701	1212002
7709	1571020
7714	2389523
7719	1553915
7733	361066
7734	338
7738	2202861
7739	49299
7741	3084437
7760	4108931
7761	26293214
7773	15988257
7776	6650193
7777	8398992
7791	121829
7808	1014664
7816	87913
7832	10722337
7834	831581
7854	1748073
7882	2252431
7883	7470369
7887	7871967
7900	1295287
7907	275
7918	1708863
7919	111580
7923	1530
7926	70104
7931	6635793
7933	1421858
7937	565064
7938	9251887
7983	5009790
7987	2287823
7988	275
7993	1250547
8002	275
8006	19147740
8007	4915222
8013	1203091
8018	5345153
8019	24485065
8031	307135
8042	803398
8044	3350492
8071	23606169
8074	252247
8082	3415062
8083	6684558
8096	1350565
8097	3794589
8101	271235
8117	2408375
8120	7462393
8147	1725732
8148	8514460
8153	98039
8160	21671230
8163	1236960
8170	171777
8172	763509
8189	1413835
8203	1794466
8207	1892697
8219	3323235
8229	338
8234	1960757
8236	569097
8244	175349
8245	284
8247	55094
8255	17686483
8286	18865871
8297	675645
8312	23104339
8321	22626604
8336	390556
8338	938
8360	903199
8378	4080819
8394	18691237
8397	5277461
8411	16641169
8413	1384848
8417	1025779
8430	4755117
8431	19229371
8438	3680205
8441	16728588
8450	11521100
8455	4764016
8458	640082
8459	309092
8462	1132341
8463	1585147
8465	2930553
8481	5222342
8488	695341
8489	3621096
8500	14740263
8505	3808056
8510	22859430
8526	13418295
8553	2047715
8561	2334617
8562	16339260
8563	13282
8571	10155
8577	21334201
8579	5263857
8582	1412890
8589	548120
8600	69842
8623	2522
8625	29288710
8635	3110680
8636	3309501
8641	1235035
8656	183183
8657	16544218
8662	418896
8663	583110
8665	3797715
8673	1040004
8674	2750562
8675	7921607
8677	3891177
8691	9414402
8698	1067960
8702	4169641
8709	601162
8710	1889434
8716	9206591
8723	952351
8730	190871
8742	2824927
8745	1489157
8746	15324097
8751	3963875
8759	5973197
8761	13169897
8768	20787543
8771	1223409
8782	3864498
8789	2206255
8792	19350482
8795	9819
8796	15084404
8805	1357644
8827	190871
8832	12583738
8833	18765432
8853	11549141
8862	190871
8885	228317
8898	186603
8919	2024944
8921	1383551
8928	1840157
8950	2757199
8964	46883
8965	3776080
8974	8587055
8986	403633
8994	751
8999	1303906
9007	18708112
9012	13016170
9019	22952144
9020	1273036
9026	633868
9027	93460
9040	2623594
9043	990575
9045	13476364
9047	21192087
9052	1347725
9067	1047591
9077	1517177
9079	3435590
9094	2592250
9095	17157
9106	3084437
9119	1558081
9132	898870
9155	1083032
9173	1816398
9178	1186593
9196	4397188
9209	1611
9214	1554289
9216	1680689
9226	1121854
9228	3392705
9232	103174
9238	68233
9248	19938649
9251	1622147
9260	699004
9265	21412957
9267	34644
9269	9156719
9270	2344502
9287	11928100
9288	1977679
9291	3669967
9317	1127112
9327	2059558
9338	641699
9341	848688
9345	1359795
9348	197192
9367	518769
9383	1971555
9410	25487069
9442	783915
9448	1588248
9449	2313701
9466	44218
9474	10155
9485	2066053
9495	2234936
9504	228961
9513	1725732
9519	209240
9534	4239154
9539	2691471
9541	3601004
9554	4915222
9577	204546
9578	889518
9583	3482588
9587	226606
9588	1002608
9600	765034
9602	14901100
9603	3524540
9617	6104609
9625	3227531
9633	836391
9636	237694
9638	8970
9648	1995691
9652	2121352
9655	18141352
9657	681121
9661	1753987
9668	43042
9670	2354135
9678	1753987
9683	3726004
9692	270710
9716	1829326
9721	33099505
9722	4633302
9725	292118
9729	2252249
9732	78861
9735	32874541
9741	1137551
9744	1532215
9745	900379
9748	347608
9758	1948577
9759	38762
9770	224125
9772	9461293
9774	23277
9779	1889280
9790	8293175
9793	229659
9794	891321
9798	2024944
9806	2129350
9808	3754065
9810	1031573
9811	1352457
9813	2699480
9821	4002580
9827	2024944
9846	145781
9851	141884
9853	1193809
9864	1083871
9870	3335333
9878	304509
9893	3482121
9902	2242984
9922	86756
9930	1133882
9944	143363
9950	2652270
9951	1190378
9954	409695
9960	3653561
9961	76735
9986	246133
9990	3892150
9994	8102646
10007	8598671
10018	71555
10021	13544390
10026	2967173
10037	134324
10052	528762
10054	85370
10061	11177
10070	3930256
10071	114733
10075	2075959
10076	411869
10079	85643
10086	7485652
10088	62732
10091	1173865
10107	10978101
10112	737172
10121	1001110
10122	118116
10123	1039569
10127	1686598
10128	1585147
10133	6561736
10143	137994
10145	42453
10167	52079
10171	23224703
10172	979970
10187	517075
10203	9494393
10204	21338908
10205	96256
10206	87567
10212	319791
10213	5978
10228	1556369
10233	909796
10236	996814
10245	5559369
10254	258620
10262	870870
10264	2385827
10269	2131397
10276	31992641
10282	92503
10286	197382
10287	357130
10293	123205
10296	2108315
10298	21321172
10301	21734447
10306	9728544
10307	646061
10317	3928726
10322	727293
10323	63013
10324	2210376
10326	5952
10331	3152318
10334	1400116
10335	218598
10336	916544
10341	2038355
10347	1813141
10350	1705684
10356	1738947
10357	110913
10363	23325136
10374	6645523
10376	1554289
10405	1988159
10406	501515
10410	2188114
10415	828234
10436	226970
10444	940513
10447	791941
10462	123582
10472	10186389
10479	488953
10488	9031690
10489	9032187
10493	5728362
10505	1039
10540	222044
10561	1231408
10567	803752
