geneid	dist
559	3818
564	5083
572	7025
575	7879
582	7410
590	6727
594	5872
605	5163
614	3569
619	1734
624	1140
636	13183581
992	3360123
1024	15287871
1430	4729655
2011	28203697
2932	19043800
3124	10049698
3150	19201751
3152	19043800
3855	15222368
3911	6973573
4202	15222368
4208	13692760
4275	15222368
4374	15222368
4378	4964587
4416	8597
4448	5953967
4475	7236456
4513	15222368
4544	570400
4546	570400
4676	695739
4716	1072547
4717	15222368
4734	5953967
4747	15222368
4750	5953967
4772	13692760
4827	5953967
4828	13692760
4841	13692760
4857	5906171
4867	8597
4901	6942718
4919	9704019
5007	19139214
5051	13806622
5059	25874375
5085	23808246
5098	18401362
5143	6055851
5151	14085599
5161	20481049
5198	9542622
5216	9106471
5249	19043030
5264	6124139
5266	6981725
5291	3902643
5302	15274667
5305	1843634
5362	13846040
5401	5752783
5467	71069
5468	31590460
5470	24665386
5471	17227
5493	19201751
5505	32109
5506	19205005
5522	208573
5546	4795496
5562	14019074
5599	7077601
5608	321031
5654	19497335
5659	8686632
5670	5852090
5691	21158819
5697	14090168
5705	5435
5740	4382964
5748	10153500
5780	3332034
5785	20615
5798	4786450
5820	12658862
5837	3099196
5854	6227124
5877	29714856
5879	4075336
5898	21110669
5912	20912255
5913	9073078
5914	163835
5916	2636546
5921	3982558
5930	27563178
5939	3835851
5951	3391925
5993	17906429
6004	4337862
6012	20976806
6050	47457
6054	6906742
6061	16951695
6095	4846244
6101	21270170
6106	2057
6117	41180
6120	2482126
6121	12648987
6138	6799673
6144	3570784
6160	6764085
6179	45291
6195	10831041
6198	4099525
6201	5752783
6204	4255642
6206	27838830
6215	8168708
6228	8635
6230	14750970
6267	2461512
6276	29194
6278	14112324
6291	10091091
6304	4229451
6308	6772738
6329	20976806
6338	7886728
6351	3293906
6360	9622183
6390	36531
6391	558010
6401	14146183
6416	467308
6429	25668191
6441	1328863
6469	6373
6470	14146183
6474	13803211
6504	6071712
6514	70994
6538	14926890
6552	1056225
6567	4385968
6597	16276235
6653	6206920
6658	9710616
6663	6225081
6667	18375751
6676	23286910
6689	545
6709	92962
6722	190884
6723	8042122
6731	6098329
6745	8704559
6760	3686886
6771	4077786
6784	6925670
6795	31590460
6808	13945902
6809	3098547
6816	3322282
6821	5036428
6834	28547566
6847	10062958
6861	14146183
6863	4880561
6890	24540629
6905	24021451
6916	16983748
6918	13717196
6920	12715528
6923	35336
6931	14890300
6939	147229
6946	3530653
6952	2844594
6953	16664307
6974	8634489
6986	4942704
6987	2861
6988	7346470
6990	56733
6997	24851806
7005	12748029
7007	2584432
7013	6086618
7014	5326
7045	7702220
7052	15087400
7058	4601680
7066	13846040
7084	3395780
7098	29436472
7108	15001247
7119	1581926
7144	3818915
7158	16398350
7166	20992187
7176	15960048
7179	13960316
7183	16530421
7190	20394070
7222	3118678
7237	739948
7258	17595762
7264	17578892
7299	21535
7301	7072222
7306	22495310
7312	10062958
7327	4226547
7333	1213565
7338	31859189
7346	3531445
7353	210820
7385	13015197
7411	14973329
7425	3737548
7426	1056980
7428	22636501
7430	18323072
7443	507925
7455	2030916
7462	2290974
7469	1213565
7496	130840
7498	1416
7499	15259324
7503	9602269
7511	7408147
7525	14100925
7536	34287
7540	4882556
7546	16713585
7562	10062958
7580	8847918
7583	22868678
7590	24007309
7595	24248242
7606	1213565
7611	14959748
7637	4838867
7648	15214731
7649	5326
7659	17314549
7688	6963192
7692	8662742
7701	22604723
7709	22811235
7714	20561099
7719	22801184
7733	26019731
7738	9014059
7739	17503015
7741	17052353
7760	590208
7761	8068724
7773	341
7776	16439700
7777	14055214
7791	9471900
7808	14146183
7816	10707990
7829	8581210
7832	1445529
7854	29336896
7863	1213565
7882	12316
7887	15256905
7900	14460735
7918	961216
7919	6223157
7923	3336673
7926	10729347
7933	843887
7937	14019199
7938	16314603
7987	9673763
7993	16216732
8006	4534274
8007	13015197
8013	14739104
8018	12613176
8019	6861709
8029	8192327
8031	4336645
8042	12913475
8044	2423427
8061	22319875
8071	21989944
8083	16434042
8096	6732194
8097	683306
8101	6915152
8117	6727
8120	10641457
8148	6999916
8153	2901
8160	7059438
8163	16184791
8170	23925192
8172	10354657
8189	4827793
8203	15217186
8207	25875963
8219	899388
8236	17964633
8244	18341079
8245	951378
8247	21517877
8255	1943974
8286	2826565
8297	26815
8312	6726136
8321	6952003
8336	24665386
8378	19392
8394	4408015
8397	12580212
8411	1366947
8413	3780561
8417	26168913
8430	4563164
8431	5836919
8438	18323072
8447	7028384
8450	9031039
8455	7498899
8458	14650545
8459	645418
8462	12633062
8463	15193348
8465	9324582
8488	719478
8489	1284595
8500	238833
8505	4991040
8510	16723480
8519	19139214
8526	19313
8553	13464867
8561	21238541
8563	21605858
8571	11656501
8579	131200
8582	14079665
8589	4086910
8600	92378
8603	1213565
8623	10295628
8635	329
8636	5985345
8641	118952
8656	7575175
8657	1324892
8663	3486495
8665	259673
8674	1368726
8675	7633102
8677	4183494
8691	20138358
8698	16239824
8702	719478
8709	26071941
8710	9310989
8723	60259
8730	22230508
8742	4606274
8745	26284909
8746	402179
8751	91337
8759	6980750
8761	2233424
8768	3108742
8771	6084133
8782	7236456
8789	31976331
8792	2335807
8795	2646712
8796	22986106
8805	18214068
8827	22230508
8832	20816786
8833	9168263
8850	7300610
8853	45039349
8862	22230508
8885	10711500
8898	10726496
8919	47783
8921	16220641
8928	23508825
8950	6214298
8964	14455587
8965	12203460
8986	95773
8999	4970314
9007	9140343
9012	12884134
9019	6198005
9020	168597
9026	15282274
9027	10431048
9040	15572
9043	770770
9045	20494540
9047	2825422
9052	225432
9077	5210417
9079	6929817
9094	21350421
9095	11619722
9106	17052353
9108	14865629
9119	11295632
9132	26151324
9155	10324375
9173	5079520
9178	10677393
9209	3198841
9214	62962
9226	1008528
9228	5546447
9232	10462093
9238	27863629
9248	21884253
9260	11989674
9265	31868
9267	812364
9269	19119517
9270	13193
9287	12366824
9288	113949
9291	21597734
9299	10062958
9317	1349204
9327	174239
9338	4124040
9341	10576915
9345	24221053
9348	12181757
9367	14062644
9383	21431588
9410	16501461
9411	15555919
9414	23685273
9442	11893921
9448	3105219
9449	24421511
9458	3514137
9466	25570418
9474	11656501
9485	14677068
9495	24387956
9504	10474622
9519	10765419
9534	3243125
9539	4618097
9541	5683201
9554	13015197
9577	4137308
9578	8415710
9583	6267098
9587	11073214
9602	20286936
9603	5639126
9617	6821070
9625	12728014
9636	17801265
9638	11143146
9648	39287101
9652	10888730
9655	6941
9657	4171857
9661	4972061
9668	20970158
9670	545622
9678	4972061
9683	2217475
9692	40567
9716	15532501
9718	3348150
9721	28136433
9722	1603937
9729	6689365
9732	14346322
9735	21203590
9741	2313971
9744	27844857
9748	3344683
9752	13904296
9758	154458
9759	14523909
9770	14439621
9772	8783604
9779	3348350
9790	6462979
9793	13696
9794	12747600
9798	47783
9806	17692940
9808	1074222
9810	10698577
9811	18054439
9813	17201751
9821	56405
9827	47783
9846	9914931
9851	10473584
9852	12602117
9853	15537126
9864	73471
9870	14214902
9878	6669832
9880	5986790
9902	25721585
9922	19807672
9930	76891
9933	25798718
9944	6354757
9950	28019710
9951	7179911
9954	1915514
9960	6456274
9961	4503197
9986	26566762
9990	632053
10007	9116873
10008	10773019
10018	20125729
10021	9572522
10026	16349
10033	6354757
10037	11624912
10052	205196
10054	11122069
10061	6458044
10070	609799
10071	285214
10075	10877901
10076	3568023
10079	4478861
10086	41180
10091	972343
10107	4004825
10112	7154014
10121	7920244
10122	5036428
10123	10633935
10127	16325582
10128	15193348
10134	407751
10145	3099196
10167	23169957
10171	15001247
10172	4117
10187	354050
10195	10332946
10205	42746
10206	41914729
10209	85148
10212	17205
10213	15180383
10228	35753919
10233	10622715
10236	10701494
10245	243097
10254	3528377
10262	10575096
10264	24456912
10269	308560
10276	4854962
10282	10095680
10286	3796561
10287	10484855
10293	6501347
10296	10884086
10298	7034811
10301	3797750
10307	11984216
10317	61896
10322	10974843
10323	11714393
10324	5868563
10326	351346
10331	1258
10334	210279
10335	17495574
10336	3488726
10341	13293950
10346	15628991
10347	148304
10350	3678517
10356	4526669
10363	8992204
10374	4942052
10376	62962
10393	10337707
10405	13305210
10406	17811947
10410	21711246
10436	10325693
10444	8075580
10447	25055149
10462	37742526
10472	8584978
10493	1052612
10535	2639419
10540	8307309
10561	17363405
10566	779596
10567	24714
10607	3134406
10608	60
10610	6505923
10611	615
10612	2520
10613	18608714
10614	16144011
10633	82220
10637	7144360
10664	41617
10665	15455819
10672	10863145
10685	92962
10694	7965869
10702	10322090
10704	47783
10713	12308095
10716	1807946
10718	7013242
10722	24198385
10727	4615239
10739	12444290
10743	69405
10765	28190581
10766	14120234
10772	22774334
10774	14423610
10806	23339939
10814	5830034
10819	1359035
10833	5009387
10838	906840
10844	6107548
10845	252358
10872	22720894
10875	351346
10879	351346
10882	3780511
10891	2262343
10900	170067
10905	10514762
10906	16226698
10907	18535944
10908	16289639
10912	438046
10914	22093
10918	5211913
10919	18898038
10925	12594913
10928	23024265
10936	262255
10938	1082748
10967	10913993
10969	9420130
10980	3212668
10983	13819816
10997	5393579
10998	13806622
11004	18044622
11009	8263798
11011	2402653
11031	6452231
11032	15837848
11036	18113531
11038	14315471
11040	23912219
11048	6959877
11053	6906788
11056	23488622
11060	6482511
11061	9801315
11067	19983628
11075	28789202
11077	14123777
11089	2874010
11093	5998020
11099	2276818
11101	15464303
11102	13799855
11106	6388721
11109	25812132
11114	13468344
11120	5586
11123	11510426
11124	10377410
11125	11990742
11129	26938617
11131	2335807
11140	14267583
11141	10491587
11163	18833933
11169	13062260
11172	5083357
11173	18018308
11177	34643385
11188	23514617
11193	3531526
11195	3892720
11197	30274652
11209	8062566
11214	31046
11216	12125501
11225	2386253
11226	9858919
11228	2132355
11233	6022626
11236	6039224
11237	22803050
11242	990873
11243	2526872
11249	414733
11250	14903022
11257	19466893
11263	28175443
11289	7935571
11291	251504
11297	13717047
11299	12481802
11300	5494052
11305	17634808
11310	10389843
11311	2882212
11320	3650003
11322	16422158
11326	907567
11329	10109256
11331	10800220
11332	26031006
11335	17699271
11343	204850
11344	26859
11349	26217926
11351	47783
11363	20913236
11366	1010362
11371	209919
11378	10981060
11379	22510046
11386	10336846
11396	13599423
11399	4381931
11405	351346
11410	2066473
11414	23307349
11415	8388414
11417	17462696
11419	14564621
11425	3060629
11430	21709
11432	15246758
11433	8250182
11436	7715804
11443	18716116
11445	11848299
11458	3127
11459	103538
11463	14230681
11464	22313597
11465	13662690
11481	6943899
11482	11928909
11484	2909630
11486	16810776
11487	599931
11490	16235824
11491	16749413
11493	6526097
11497	22602606
11498	3733595
11499	2265025
11500	1870122
11503	14073435
11504	16104421
11505	8917966
11507	16519605
11511	16689065
11513	9393853
11516	22527415
11518	13108609
11524	12378307
11527	3517
11528	22551093
11529	11680905
11541	21534457
11542	933444
11543	281163
11544	22666684
11546	13748203
11547	3357720
11548	22844497
11561	322254
11564	2878004
11574	2437368
11575	12318901
11585	6814855
11590	7137069
11591	7587124
11592	351346
11614	4176676
11617	31092540
11619	22868547
11620	22250936
11625	16216198
11627	3648063
11628	21543381
11636	28043246
11638	3582617
11643	1185235
11646	26590599
11647	11203
11650	26590599
11652	5136
11653	24478906
11656	16226698
11657	26590599
11659	27581237
11670	12996773
11671	3170315
11679	6141904
11680	6993653
11685	13967334
11691	22754728
11694	2931681
11695	3616874
11696	22020976
11704	8864142
11713	23384502
11716	15772462
11724	351346
11726	26320332
11727	6377320
11728	5084902
11734	4517873
11739	465959
11741	6039224
11743	23495724
11744	5214953
11765	12190003
11775	10767440
11780	30796559
11783	20506938
11786	18829652
11787	139308
11789	16976318
11800	5532976
11801	9376509
11805	1385519
11807	26488074
11810	9926694
11812	67290
11821	4679674
11826	1385519
11829	6365127
11831	6483655
11832	6394560
11842	11017536
11847	10255696
11856	17982771
11873	20278924
11893	1212830
11897	6441001
11900	21169298
11908	3102076
11911	21599816
11912	18984712
11917	13406958
11922	7270508
11924	10730593
11935	15327030
11938	21301301
11944	22830366
11946	22352095
11954	11295396
11963	14781653
11964	12397
11969	66827
11987	10844392
11996	11006928
12003	10542400
12008	14194167
12011	3785396
12013	420383
12016	3084747
12019	10110812
12024	8164034
12025	23711363
12027	7722004
12035	13103404
12038	6808078
12041	13120640
12044	15597459
12045	6269
12047	9118760
12048	15121859
12049	10788661
12050	11751370
12054	5424236
12060	2008482
12064	20630640
12069	14664315
12083	11907864
12087	9940478
12088	5068861
12091	477462
12092	29735
12095	8100075
12100	11824543
12102	1643224
12106	7029901
12109	12522868
12111	96784
12125	14383842
12131	12371022
12136	10633698
12137	481986
12146	14982045
12157	10488680
12163	9452629
12166	951378
12175	21035210
12185	39072083
12211	12386237
12212	12382568
12222	10941600
12262	759490
12269	10659209
12275	15929272
12293	20439492
12305	14861302
12316	26765
12325	21624655
12327	19482198
12331	26590599
12334	18979477
12341	722727
12343	3368344
12345	3342926
12350	1359922
12351	14600996
