geneid	dist
991	45991186
992	13846256
1024	13829159
1274	21778898
1430	31626891
2011	60262156
2014	60217450
3124	62289508
3150	4343938
3152	5194004
4104	66092510
4208	17881950
4378	44139754
4548	36018574
4714	36018574
4716	45710441
4772	17881950
4828	17881950
4841	17881950
5007	3190301
5051	51800301
5059	47716898
5085	51912910
5098	47580975
5143	22014722
5151	4722765
5161	49082107
5197	42752899
5216	2812849
5234	18147238
5242	47757422
5249	48911238
5264	12967026
5266	48107239
5280	49191940
5291	2485309
5302	16421270
5331	48253353
5345	4454083
5362	51783209
5369	2058386
5401	42846347
5467	44812617
5468	5597431
5470	18750813
5471	52445383
5505	26860398
5506	48482596
5546	10326252
5557	4423227
5562	4290726
5599	50602171
5608	6104557
5654	54865020
5659	21646749
5670	40369585
5691	43128725
5697	5161666
5705	45028362
5730	8342696
5740	7120316
5748	5363093
5780	12828420
5785	47457688
5798	10299575
5820	6190313
5837	42861581
5841	9228436
5843	12169145
5854	6215572
5874	9014544
5877	5843308
5879	26526357
5895	9129120
5898	43784854
5912	44391643
5913	5871133
5914	1382537
5916	6272705
5921	48183303
5930	26145
5939	27197063
5951	50507250
5977	48253353
5993	9208175
6004	46366138
6012	43895906
6050	50308004
6054	5843256
6055	8940958
6061	3997446
6095	7627987
6101	42474595
6106	23751454
6117	33420222
6120	46586157
6121	6223325
6137	20136965
6144	705682
6160	41249096
6179	23686682
6198	24140268
6201	42846347
6204	10269358
6206	65134
6215	43882401
6228	23740914
6230	19545115
6253	13044962
6266	26528617
6267	16069462
6276	20758007
6278	4796596
6287	8970697
6290	9091890
6291	13168946
6295	9014544
6304	10386857
6308	41373677
6316	1990434
6329	43895906
6338	48913900
6351	12648330
6360	41532329
6390	19522956
6391	27871513
6401	40284159
6416	27896890
6441	21273203
6469	44509119
6470	40284159
6504	46756141
6514	20489310
6538	17381745
6552	21468477
6567	9843894
6597	25689424
6653	12977897
6658	17252620
6663	46953424
6667	6322093
6676	13479738
6689	24949664
6709	26658642
6722	23463219
6723	21668636
6731	47846559
6745	45340222
6760	26779468
6764	8254424
6771	9184466
6784	6177193
6795	5597431
6808	4165106
6809	21705333
6813	11436362
6816	49473238
6820	29953454
6821	42921038
6826	29359265
6834	29892858
6839	5614881
6850	14803112
6855	11436362
6861	40284159
6863	7481174
6890	18515904
6898	48368524
6905	46549857
6913	14803112
6916	4048953
6917	44295581
6918	40630984
6920	48275287
6923	2533846
6931	34502463
6939	50118332
6946	9959
6952	6856909
6953	25570559
6974	6276063
6986	47545123
6987	18637675
6988	44691954
6990	2299313
6997	21375176
7005	51314409
7007	19396592
7013	6816875
7014	50903552
7045	29837093
7052	35426671
7057	29335108
7058	6166335
7066	51783209
7084	49537108
7108	11365446
7114	33072380
7119	42989840
7144	27012817
7158	46568194
7162	40646670
7166	2867700
7176	34588202
7179	14571609
7183	48808894
7190	41034003
7222	3493065
7237	24678234
7258	10912371
7264	38007332
7299	20422115
7301	44468990
7327	3624521
7333	32947823
7338	41706961
7346	37625589
7353	35079182
7385	25773361
7387	25066192
7411	26029306
7425	26888641
7426	23846796
7428	30865220
7430	23752862
7443	21438548
7455	23811791
7461	24962290
7462	40757667
7496	3191307
7497	29168585
7498	37083436
7499	37122472
7503	19247819
7511	24430728
7525	5005938
7536	21187239
7540	48253934
7546	11840693
7583	31857559
7590	46632908
7595	26157110
7606	32972802
7611	34657549
7621	15074659
7637	48519123
7648	11570588
7649	50995547
7659	38442372
7675	29201859
7688	11689031
7692	33285226
7701	30793163
7709	31120570
7714	3962172
7719	31108034
7733	3153573
7738	22442584
7739	37751499
7741	6208318
7760	21103684
7761	41553229
7773	47970630
7776	48212536
7777	5521033
7783	9074035
7791	18168209
