geneid	dist
636	4466745
971	9672
992	1681833
1024	1656399
1032	637723
1238	637723
1430	8858
1625	732
2008	6403636
2010	820334
2011	3949587
2014	819393
2929	8672
2932	317
3124	383305
3150	13719
3152	538756
4378	3284646
4475	6229385
4716	4717592
5007	6855450
5051	3952125
5059	4718790
5085	3943911
5098	4558925
5143	42319
5151	7134781
5161	1892420
5197	2546343
5198	8200978
5216	569298
5234	533468
5242	1456372
5249	29433
5266	1878974
5280	1990061
5291	921683
5302	7484272
5331	2118662
5345	7426352
5357	443547
5362	4310357
5369	1401040
5397	12600056
5401	2646415
5467	500734
5468	12616353
5470	302062
5471	2826024
5505	3431608
5506	733274
5522	484872
5546	12158111
5557	7464459
5562	7815167
5597	12327605
5599	3213275
5608	761843
5631	3838309
5659	3173968
5670	2093990
5691	2419885
5697	6326194
5705	303428
5706	2817562
5740	14710139
5748	6269237
5772	1485630
5773	13472561
5780	8752810
5785	788612
5798	12191825
5820	841348
5837	2673593
5841	13340307
5843	9645390
5854	13437832
5877	12900815
5879	4989591
5897	13877491
5898	2221119
5904	14099853
5912	1066232
5913	499514
5914	159820
5916	13508908
5921	3548586
5930	1501025
5939	4010890
5951	3071133
5977	2118662
5993	4023911
6004	900253
6012	1548360
6023	1469383
6050	3022049
6054	12928318
6061	10579904
6095	15142241
6101	3201426
6105	1291395
6106	1297185
6117	551211
6120	309374
6121	902866
6138	227881
6144	3280543
6160	249218
6179	1602336
6191	13735838
6195	433280
6197	13739446
6198	4792952
6201	2646415
6204	12207460
6206	357007
6215	1589510
6228	1328230
6230	3633178
6253	1045462
6264	46290
6266	972441
6267	572420
6276	5248569
6278	6972356
6291	1198804
6304	12130569
6308	138403
6316	1553741
6338	308
6351	9238520
6360	2260398
6390	6366608
6391	325568
6401	69661
6416	314825
6441	1188223
6469	1008048
6470	69661
6474	2047711
6504	179073
6530	4776674
6538	1235651
6552	4130510
6567	12861980
6597	5199930
6635	4776674
6653	948543
6658	8058198
6659	4776674
6663	10986
6676	1679127
6689	427753
6722	1669960
6723	1550433
6731	1386049
6745	320887
6760	4616393
6771	13398887
6784	6375610
6795	12616353
6808	8017745
6809	3043149
6810	13731221
6813	328336
6816	2807054
6820	2637493
6821	2792180
6826	3440303
6834	2726413
6847	889366
6850	361047
6855	28769
6861	69661
6863	15166958
6890	540520
6891	629
6898	4489257
6905	6672569
6913	361047
6916	10649952
6917	5632917
6918	217179
6920	4548146
6923	2255156
6926	3566513
6931	4191071
6936	30171
6938	115799
6939	2131564
6946	4037623
6952	14283596
6953	1649697
6974	6253670
6986	5411507
6987	7338786
6988	6046727
6990	1971441
6997	6059257
7005	381393
7007	6476628
7013	14233738
7014	821224
7045	2753571
7052	3671680
7057	3483213
7058	13298844
7066	4310357
7084	2723272
7094	30171
7098	78954
7108	1426330
7111	3522861
7114	2281396
7119	4128187
7144	4210214
7148	340238
7158	319523
7162	180045
7166	989310
7176	4316420
7179	2880603
7183	3728698
7190	459216
7199	4776674
7222	3556484
7237	1260627
7258	2183346
7264	762406
7301	5808446
7306	683869
7312	889366
7327	806543
7333	2144881
7338	2829555
7346	964999
7353	2347174
7380	224213
7385	55094
7387	1689871
7411	828375
7425	4579194
7426	2037043
7428	423873
7430	2185336
7443	1451093
7455	114954
7461	1594225
7462	1633009
7469	1822223
7496	291785
7497	3790984
7498	4447544
7499	1801500
7503	6636523
7511	1315178
7525	4885597
7536	4518091
7540	4575559
7546	844175
7562	169400
7580	2079774
7583	1181794
7590	6598284
7595	701528
7606	2186345
7611	4406685
7621	3482456
7637	4185267
7648	1226256
7649	728509
7659	15582
7688	933944
7692	2577603
7701	303784
7709	799890
7714	10499980
7719	785951
7733	9304074
7734	578
7738	4386335
7739	815451
7741	5192628
7760	845625
7761	2327101
7773	1630897
7776	4668606
7777	5985422
7791	396336
7808	69661
7816	499192
7829	6505679
7832	9003577
7834	3819653
7854	9693931
7863	2041166
7882	2790323
7883	890904
7887	1820750
7900	2530976
7907	320
7910	5478191
7918	5041596
7923	533745
7926	551822
7931	4680162
7933	1851418
7937	2960129
7938	4014164
7983	87549
7987	8329953
7988	361047
7993	979817
8002	361047
8006	1947335
8007	134609
8013	1711785
8018	7345716
8019	156560
8029	604403
8031	12508196
8042	4534879
8044	2750519
8061	150297
8071	1305866
8074	4410206
8082	2532163
8090	3511500
8096	4720226
8097	1230041
8101	6408810
8117	3056005
8120	4994620
8143	59206
8147	5666399
8148	4915705
8153	3854461
8160	3281974
8163	1056067
8164	3731052
8170	3138139
8172	6510715
8189	7499281
8203	116952
8207	9824890
8219	2796124
8229	30167
8234	4592969
8236	4171669
8244	539771
8245	2919163
8247	961192
8255	2174165
8286	3821136
8297	1359867
8312	1253142
8317	3605836
8321	661279
8332	3759955
8336	302062
8341	9672
8360	1680938
8378	1752743
8394	1087990
8397	7269811
8411	21283
8413	4839838
8417	8112162
8430	514614
8431	2055059
8438	2185336
8441	211046
8447	3818309
8450	1173102
8455	7421886
8458	3769211
8459	326750
8462	1102313
8463	434919
8465	3400148
8481	8005221
8488	1474193
8489	5426702
8500	2802200
8510	915986
8512	4776674
8519	12582798
8526	3576137
8547	1490669
8553	3530076
8557	11500761
8561	7484103
8562	371747
8563	1769160
8571	3269654
8577	937539
8579	117860
8582	2473988
8591	13896669
8600	711629
8603	1883778
8623	2512113
8625	7574285
8635	1975054
8636	2253562
8641	10080827
8653	2816373
8656	8833231
8657	319293
8659	2768965
8662	457554
8663	2890397
8665	2051615
8673	4764778
8674	3804372
8675	1897289
8677	1563001
8691	4086601
8698	5819191
8702	1228145
8704	84640
8708	324600
8709	8612948
8710	8073794
8716	4519231
8730	9134407
8731	2063122
8742	13426569
8745	10630006
8746	2075628
8751	1813632
8759	3435932
8761	1333263
8768	1914253
8771	11308144
8775	1245236
8782	6229385
8789	2669211
8792	1617674
8795	12009205
8796	41703
8805	10427435
8832	561378
8833	3675009
8850	2075015
8853	1221048
8862	8899755
8885	906491
8898	872787
8921	5700840
8950	13470927
8964	660947
8965	901717
8969	2366252
8974	1008222
8986	3121224
8994	12639
8999	9604576
9007	3583137
9012	783721
9019	1077116
9020	6369617
9026	5427875
9027	3397782
9040	350277
9043	9273267
9045	1608626
9047	1097019
9052	6615861
9067	2706636
9077	410231
9079	9347196
9094	3972386
9095	7154878
9119	10597475
9132	8539598
9155	5058982
9173	8267266
9178	1172899
9182	2788581
9195	2390288
9196	1379116
9203	2873102
9209	10033104
9210	2295208
9214	3744724
9216	2588496
9226	4842608
9228	9285001
9232	3639224
9238	382544
9248	951195
9251	9898415
9260	2046164
9265	2991097
9267	733803
9269	1357440
9270	1728217
9287	438018
9288	3535999
9291	1728457
9317	4315244
9324	3034364
9327	3485793
9338	134965
9341	2584451
9345	781689
9348	3732328
9367	1373923
9383	3824583
9420	8601701
9441	13464148
9449	4997494
9466	1800660
9474	3269654
9485	167380
9495	4887964
9504	2037776
9513	5498045
9519	633572
9525	11272229
9534	1456399
9539	10935078
9541	9372318
9554	610712
9574	3828581
9575	1817434
9578	6063249
9583	12225380
9587	567363
9588	4694724
9596	9517318
9600	35019
9602	1539970
9603	9477086
9617	7053110
9621	14618547
9625	9124135
9633	681141
9636	2785955
9638	753554
9648	5298708
9652	1990055
9655	267032
9657	87105
9661	14414878
9668	3207098
9670	4144966
9683	2153644
9692	3268873
9716	5303496
9718	1073721
9721	14431876
9722	6012793
9725	9012908
9729	1961628
9732	511345
9735	5941359
9741	15078706
9744	419033
9745	2502043
9748	1059300
9751	12600056
9752	321479
9758	56438
9759	73137
9770	563239
9772	4055093
9774	1958778
9779	8634446
9790	3962015
9793	8594891
9794	940349
9806	3442634
9808	2141468
9810	1850121
9811	10985566
9813	400400
9821	459561
9827	262479
9846	483572
9851	3677805
9852	3085456
9853	6268437
9864	1331777
9866	2858970
9870	1716159
9878	1596741
9880	5559769
9897	9152682
9902	10241438
9922	906662
9930	1448313
9933	9912706
9944	3170064
9950	7214712
9951	1732456
9954	3094012
9960	2274183
9961	3104209
9963	2331355
9986	1575224
9990	1028615
9994	5390749
10007	4878146
10008	548643
10021	3038927
10026	7395924
10033	3017901
10037	387927
10052	79993
10054	716102
10061	6080284
10070	884973
10071	3343647
10075	2103512
10076	1115479
10079	2912985
10086	551211
10088	3528506
10091	4895278
10107	131847
10112	1339296
10117	3846823
10121	719913
10122	2792180
10123	871788
10127	8682496
10128	434919
10133	6264208
10143	8817075
10145	2673593
10156	517070
10167	9507714
10171	1329159
10172	5912750
10187	307257
10195	5085538
10203	7303732
10205	6174543
10206	1849978
10209	8757943
10212	1012860
10213	542307
10228	406373
10233	735416
10245	1257675
10254	228406
10262	2519674
10264	5081115
10269	3435537
10276	5281306
10282	879393
10286	302614
10287	2255923
10293	1905026
10296	2026414
10298	2864891
10301	3308388
10302	2637819
10306	7599405
10307	1884179
10317	385929
10322	4442283
10323	485151
10324	3982572
10331	3363342
10334	6648077
10335	1744699
10336	2346011
10341	1081930
10346	394743
10347	7073221
10350	4601477
10356	3821242
10357	8420023
10359	585227
10363	4199430
10376	3744724
10385	801563
10393	1233670
10406	3138944
10410	4079259
10415	2696856
10436	2424849
10437	8936381
10444	2909237
10447	50464
10472	44104
10479	160256
10493	1518891
10520	1710239
10540	1724756
10541	212939
10607	509
10633	45039
10664	3636912
10665	5125601
10670	4797129
10672	2223592
10684	1930952
10694	2838812
10702	873152
10704	54270
10713	2515643
10716	1439591
10718	2501754
10727	10960594
10730	2412752
10739	1644380
10743	2842313
10765	3627981
10766	509276
10771	13606551
10774	892314
10806	13522214
10814	1285118
10819	2134044
10833	3318388
10838	926425
10844	1376464
10845	2836034
10872	2097003
10882	566393
10891	1013478
10900	2284751
10905	856812
10906	516798
10907	1359663
10908	686080
10912	1789783
10913	2671903
10914	8670889
10918	3627208
10919	1103423
10925	2268370
10928	6072688
10935	1269434
10936	6783675
10938	1124564
10951	5543815
10953	3744501
10967	2636356
10969	6025350
10980	9915378
10983	1100718
10988	1375751
10997	1312109
10998	3952125
11004	1981748
11009	2497976
11011	14770595
11015	2615602
11021	509937
11023	14736327
11031	3995380
11032	5201930
11036	9986759
11040	3592320
11048	1498515
11053	1347770
11055	1672477
11056	587633
11057	86290
11060	3950338
11061	974755
11067	1177855
11069	3923331
11075	2178346
11077	8812397
11089	1338712
11093	1413254
11099	888684
11101	9162180
11102	2446828
11105	1428055
11106	12347390
11109	9847046
11114	9657179
11120	3908238
11123	477873
11124	4647309
11125	4288217
11131	1617674
11140	3665158
11141	669375
11163	4503577
11167	117818
11169	1300425
11172	14394369
11173	838333
11177	1245494
11184	570
11187	4270414
11188	516356
11195	4686460
11197	928599
11198	3531597
11207	1435098
11209	3252449
11214	4728920
11216	1767082
11217	4004763
11225	1239011
11226	4460517
11228	1389265
11233	1455435
11237	917756
11242	984674
11243	3850148
11249	764000
11250	862115
11257	2772913
11263	3604526
11289	1589631
11291	686208
11297	338223
11299	1948165
11300	1246241
11301	2449613
11305	496433
11310	3735799
11311	593946
11320	4036376
11322	7871616
11326	798214
11329	1428500
11331	29888333
11332	2584256
11334	175480
11335	3560437
11343	1182638
11344	1700575
11349	7747642
11366	1486066
11371	2312134
11374	4692425
11378	6033939
11379	7732877
11386	21394059
11395	758872
11396	4465401
11399	726582
11400	2360578
11405	17901
11410	237471
11414	5601927
11415	918867
11417	7730644
11418	1319421
11419	4157973
11425	2420589
11430	10076374
11432	1833818
11433	6392920
11436	306206
11443	3397646
11445	797848
11458	1200891
11459	2298380
11463	868759
11464	6250657
11465	2296325
11481	5272483
11482	4333269
11484	1518624
11486	403602
11487	4276374
11490	550538
11491	393273
11493	716543
11497	242945
11498	1374462
11499	3896258
11500	4488250
11504	3069003
11505	4623783
11507	449851
11511	103492
11513	13708
11516	7498145
11518	3831488
11524	9801592
11527	648098
11529	550596
11541	7098334
11542	2854076
11543	6830478
11544	7005759
11546	1215334
11547	1130679
11548	6867838
11555	5458638
11564	1229419
11573	4920815
11574	8234538
11575	1549136
11579	1658192
11582	6817840
11585	443101
11590	422325
11591	7118382
11592	803824
11614	713173
11617	6937418
11619	5688013
11620	86342
11625	617814
11627	206582
11628	790260
11636	2961168
11643	188964
11647	135031
11653	5144836
11654	886092
11656	1138884
11658	8017
11659	967592
11661	453608
11670	1551801
11671	4670418
11673	2367953
11679	2910756
11680	5016495
11683	883678
11685	1250738
11691	4715572
11694	8013175
11695	354568
11696	35289
11704	122661
11713	5509836
11714	7337
11716	2569462
11724	681493
11726	228119
11727	2118838
11728	1377746
11732	4530026
11733	4511793
11734	4495430
11739	85224
11741	1559908
11743	1018778
11744	7538596
11747	4464366
11759	2358400
11765	1737495
11775	29333936
11776	167673
11778	180825
11780	251641
11783	2438221
11786	4213685
11787	1415788
11788	1223636
11789	207975
11794	3478689
11800	2172015
11801	446835
11807	3966489
11810	307959
11812	131310
11821	2526381
11826	289275
11827	1668663
11829	4393095
11831	11036
11832	4351211
11842	459153
11847	20236654
11869	9033505
11873	2374151
11890	2146836
11893	4254487
11897	4188234
11900	29823460
11908	2619159
11911	2653071
11912	28997645
11913	5889014
11917	983461
11922	4577483
11924	25875824
11935	1795692
11938	3058549
11940	4891812
11946	3426220
11948	983538
11951	43275
11954	7675837
11962	5524775
11963	1159676
11964	8180756
11969	344046
11987	3365377
11995	3758274
11996	4648622
12003	1743020
12008	3532627
12011	4396060
12013	6583198
12016	2511702
12019	4442906
12020	30297317
12024	3233509
12025	7252535
12027	4632334
12035	841672
12037	5714196
12038	3370330
12039	4414224
12044	890051
12045	3949481
12046	2160113
12047	3434033
12048	3662028
12049	1462074
12050	1549110
12054	2418026
12060	3339933
12064	3815643
12069	139570
12073	983538
12083	306541
12086	293
12087	432604
12088	8899967
12091	7130869
12092	496427
12095	1165648
12100	683880
12102	821879
12103	623632
12106	5225220
12109	1494361
12111	54542
12116	4085872
12125	726268
12131	5803789
12136	3278344
12137	2016587
12146	72055
12157	5913914
12163	6138433
12166	2919163
12202	761480
12222	2752022
12241	226826
12247	3684228
12269	3741684
12272	1703564
12275	1134285
12291	2880928
12293	3777784
12305	2172984
12307	4669576
12316	140653
12325	2593049
12327	1167000
12334	2993051
12341	148513
12343	499799
12345	1243190
12350	6000623
12351	3936139
12354	3010077
12370	2244315
12373	3110745
12379	5045407
12383	1345103
12384	151699
12387	4256791
12388	777818
12389	24552547
12391	755880
12395	4609779
12396	1017046
12402	2161380
12404	177619
12412	76237
12421	177619
12426	5766470
12428	1328
12429	1328
12430	1328
12431	2899
12434	691015
12435	3702982
12442	293
12452	2380581
12459	3062998
12463	1413248
12464	4183101
12468	1685898
12469	286089
12470	1144188
12473	4127932
12478	65383
12479	3025557
12484	5523442
12485	140734
12490	1755810
12491	5865170
12493	832067
12498	3428504
12500	49156
12501	1091987
12502	1984176
12513	78210
12515	12705229
12517	2273293
12527	485508
12530	5785373
12531	5405790
12534	140608
12536	19683427
12547	4113744
12551	2400729
12553	4670031
12556	4164743
12570	1731063
12573	96240
12574	859017
12575	23155107
12576	5645558
12579	4536255
12582	5626530
12583	5910984
12589	1349222
12595	6351146
12602	930182
12606	3092295
12610	956867
12614	3653680
12618	2310290
12619	1011939
12624	1445965
12625	4324396
12637	1629292
12646	4516773
12660	3282623
12662	4192537
12668	3761121
12670	863753
12672	2940086
12682	5689011
12683	7307127
12686	3812728
12688	4276626
12690	1997275
12696	3322131
12698	7098756
12699	3104281
12701	100176
12707	383916
12711	2407012
12717	1232496
12728	387144
12729	211522
12734	547068
12737	5487601
12762	3932592
12765	2227929
12766	990527
12767	8112100
12778	834925
12779	378536
12783	514566
12790	10641090
12805	3060402
12810	4081002
12811	4062499
12812	10106637
12817	7610253
12822	1105176
12829	199007
12835	1584112
12845	11736077
12846	473227
12847	239746
12852	2207162
12853	5192207
12857	813101
12863	3431608
12864	1827841
12865	699265
12866	7836564
12873	1748324
12877	5048650
12878	684782
12891	10134029
12895	1258367
12898	3306934
12899	4401311
12900	3109848
12901	931514
12904	1485630
12905	7472403
12907	2646415
12921	5026111
12925	1590673
12927	746038
12931	462347
12934	4872164
12935	110227
12936	2762
12944	13949
12947	5115860
12949	7922711
12950	4443098
12955	1016325
12957	3525472
12958	1182591
12973	3716219
12975	3554560
12977	192158
12988	4265804
12992	569983
12995	1558676
12998	948543
13000	2546343
13006	420502
13010	773453
13011	1825108
13021	2656720
13023	2063222
13026	1417091
13029	1007192
13033	60341
13042	988029
13048	11645855
13050	7188367
13053	2530976
13054	391806
13058	552985
13059	4398161
13061	2900105
13063	2501971
13067	4659236
13070	4353921
13071	153672
13073	2497911
13075	796811
13076	765206
13077	1821534
13086	796080
13088	237062
13092	1999238
13096	1017196
13097	357662
13098	3525534
13103	4182245
13111	2478994
13115	8698353
13116	4890000
13126	353810
13136	1790805
13137	2801033
13140	2640172
13142	3385203
13143	609999
13148	407941
13151	2001111
13157	1082137
13167	4440636
13172	2899099
13175	4198363
13177	609680
13179	1918332
13182	6289196
13183	3797846
13189	9186924
13191	941945
13192	4797968
13199	3743606
13203	3966489
13204	928862
13206	4187164
13213	1427583
13235	5650686
13236	810298
13239	393216
13244	12301321
13246	184092
13247	3058874
13251	3550442
