geneid	dist
559	3815
564	6140
572	8073
575	8339
582	7417
590	6734
594	5880
605	5168
614	3580
619	1730
624	1136
636	6668410
992	257377
1024	617859
1430	465273
2011	3617844
3124	494921
3855	3056573
3911	5649659
3990	6524631
4202	3056573
4208	6802206
4275	3056573
4374	3056573
4378	7175611
4416	10880551
4448	44323
4475	8082197
4513	3056573
4544	5226655
4546	5226655
4676	8878510
4716	1438796
4717	3056573
4734	44323
4747	3056573
4750	44323
4772	6802206
4827	44323
4828	6802206
4841	6802206
4857	462284
4867	10880551
4901	924292
4919	1070978
5051	7039577
5059	4382260
5085	1038949
5098	8777893
5143	13112868
5151	6125416
5161	1469948
5198	5617161
5216	8344931
5242	8817974
5249	8972227
5264	1179176
5291	7218788
5302	4926975
5305	7205654
5357	32738
5362	7035441
5467	8037962
5470	2281025
5471	4597771
5505	5862621
5506	8868670
5522	5886912
5546	7548690
5562	6165761
5599	6109492
5608	5882076
5654	1523142
5670	4137570
5691	6743730
5697	6097678
5705	43060
5740	6349716
5748	3529142
5772	555075
5780	3058741
5785	3409696
5798	7546440
5820	6457493
5837	4259812
5854	13761652
5877	5730034
5879	4366319
5898	524376
5912	4077609
5913	12377902
5914	1403959
5916	7598940
5921	9632501
5930	1447722
5939	4476181
5951	12668005
5993	3256164
6004	9732196
6012	484799
6054	6061985
6061	7483859
6095	3120022
6101	1282948
6106	3997469
6117	2834826
6120	7565517
6121	6457086
6144	7376859
6160	5833704
6179	4026780
6195	8994019
6198	4763209
6204	8085074
6206	1392126
6215	10405525
6228	4001057
6230	6880355
6267	7742424
6276	1029438
6278	550212
6291	10391032
6304	7941540
6308	5825528
6316	7240780
6329	484799
6338	3285633
6351	1895280
6360	5801416
6391	1814454
6401	432757
6416	1808988
6429	1798166
6441	6022917
6469	4083642
6470	432757
6474	9232151
6504	3323607
6514	2720234
6538	6939524
6552	8134981
6567	3242557
6597	7724990
6653	8677964
6658	13451374
6663	3340269
6676	3447405
6689	3987432
6709	1873888
6722	4038233
6723	6051395
6731	12897290
6745	11191955
6760	4418658
6771	7507867
6784	6086619
6808	6998009
6809	1801645
6816	9769050
6820	5493580
6821	7360668
6861	432757
6890	2241111
6916	8319664
6918	3127971
6920	3781074
6923	3952768
6931	764451
6939	16188318
6946	7379457
6952	7632155
6953	116923
6974	9226505
6986	5772241
6987	2620968
6988	193943
6990	1473713
6997	9034611
7005	7761300
7007	6513571
7014	768142
7045	4858759
7052	390173
7058	58223
7066	7035441
7084	5386797
7108	2004772
7119	8897799
7144	4470473
7158	4852859
7166	11002888
7176	543534
7179	6866080
7183	5060825
7190	6032234
7222	5840702
7237	9984685
7258	7324193
7264	2586965
7299	6955041
7301	160135
7306	66770
7327	2401944
7333	2968065
7338	8998383
7346	6035080
7353	3004572
7385	366285
7411	2482927
7425	4439845
7426	3936019
7428	3694370
7430	3841563
7443	4062699
7455	991484
7462	9089032
7469	2968065
7496	1015750
7498	2097208
7499	3273951
7503	5785337
7511	907840
7525	6107168
7536	7851543
7540	5738769
7546	909113
7580	5654846
7590	2774148
7606	2968065
7611	553716
7637	5696027
7648	4151868
7649	768142
7659	3243226
7688	83925
7692	522414
7701	3698556
7709	5831148
7714	4227125
7719	5825442
7733	4253467
7738	3712413
7739	2597004
7741	4547120
7760	2383911
7761	10413280
7773	7543644
7776	1876706
7777	6077460
7791	4743730
7808	432757
7816	2560726
7829	6062131
7832	7421940
7834	8721626
7854	7355745
7863	2968065
7882	1716132
7887	3277898
7900	91337
7918	3970658
7919	10060186
7923	6572111
7926	2555565
7937	253966
7938	499982
7987	13427963
7993	151329
8006	572617
8007	366285
8013	142444
8018	1723658
8019	8944962
8031	4151849
8042	5064686
8044	999677
8061	8719839
8071	789678
8082	5487821
8083	1885238
8096	6521445
8097	2419797
8101	6091773
8117	8971070
8120	3112825
8148	10606011
8153	14792391
8160	6102373
8163	178975
8170	5595204
8172	6033698
8189	2308651
8203	1724614
8207	4236037
8219	11106425
8236	4523762
8244	4250131
8245	3982800
8247	365005
8255	2100513
8286	1265496
8297	4006464
8312	3552586
8321	895065
8336	2281025
8378	3613760
8394	9755714
8397	1705265
8413	8025701
8415	5591571
8430	5496137
8431	657465
8438	3841563
8447	13577625
8450	7222978
8455	13805173
8459	8692258
8462	6446774
8463	3208744
8465	435759
8488	1985044
8489	3157795
8500	3952981
8505	5384089
8510	3082279
8526	6858575
8547	2330238
8553	8958165
8561	185195
8563	4998139
8571	1727175
8579	93129
8582	4327272
8600	6025773
8603	2968065
8623	13871260
8635	2485735
8636	3048156
8641	21471
8656	9375674
8657	2446857
8662	10098968
8663	862934
8665	3795621
8674	4183739
8675	6091730
8677	5395830
8691	5330310
8698	5979993
8702	1985044
8709	7358395
8710	501673
8723	21654
8730	4657366
8742	73648
8745	9264954
8746	1137534
8751	3967907
8759	13604386
8761	3548032
8768	3439831
8771	853442
8782	8082197
8789	9022648
8792	7543130
8795	7564786
8796	6953800
8805	5675304
8827	4657366
8832	132264
8833	1296711
8850	3515030
8862	4657366
8885	1715808
8898	1712041
8919	3467085
8921	5969696
8928	1674401
8950	7788886
8964	2865487
8965	7173254
8974	3976645
8986	13464697
8999	102644
9007	1309165
9012	75515
9019	4054845
9020	7923879
9026	7854277
9027	6265796
9040	4415759
9043	1913499
9045	6899159
9047	3373306
9052	7935589
9077	5762440
9079	1900841
9094	380651
9095	9116094
9106	4547120
9108	7968375
9119	9275105
9155	270
9173	972400
9178	209367
9209	13938654
9214	1874517
9226	3707756
9228	2703375
9232	4961431
9238	8855811
9248	7217827
9260	14094777
9265	4584072
9267	1439680
9269	4773289
9270	32455
9287	1658127
9288	1204643
9291	4984892
9317	7932138
9327	1199259
9338	5374449
9341	301075
9345	1955532
9348	7095790
9367	538
9383	1214150
9408	814977
9410	1122313
9414	1591085
9442	4170723
9448	3928231
9449	2196305
9458	9041085
9466	7640674
9474	1727175
9495	2177127
9504	285467
9519	3034051
9534	3359303
9539	87048
9541	1910031
9554	366285
9577	67669
9578	5982357
9583	13751188
9602	3040930
9603	2630817
9617	3833164
9621	3073908
9625	1783091
9636	4142657
9638	3023624
9648	9059844
9652	160031
9655	7447756
9657	5375728
9661	3068346
9668	5856310
9670	1531079
9678	3068346
9683	3096881
9692	13423244
9716	7783940
9718	7888802
9722	5696968
9729	284053
9735	88059
9741	3125349
9744	1378911
9748	12707786
9752	2246100
9758	4345249
9759	2876617
9770	2849730
9772	5308789
9774	667
9779	11581030
9790	47467
9793	4660818
9794	2101193
9798	3467085
9806	2209835
9808	11180059
9810	901759
9811	8741958
9813	3252906
9827	3467085
9851	6172760
9852	5047524
9853	5972
9864	2190680
9870	193942
9878	251345
9880	5067900
9902	595793
9922	635315
9930	7765208
9944	334959
9950	172511
9951	5977295
9954	1205969
9960	3832183
9961	16994
9986	4649804
9990	2411387
10008	3041140
10018	3106027
10021	5902054
10026	2627344
10033	334959
10037	1278895
10052	12849658
10054	8078890
10061	3819840
10070	2403829
10071	6804315
10075	172964
10076	12715326
10079	3849656
10086	2834826
10088	7692404
10091	3717849
10107	7190630
10112	3610904
10121	2236593
10122	7360668
10123	433275
10127	6530507
10128	3208744
10145	4259812
10167	4448696
10171	2004772
10172	3562755
10187	8164574
10195	6524631
10203	1546934
10205	7805567
10209	2593729
10212	1725659
10213	3029534
10228	1381139
10233	427722
10236	5016427
10245	88542
10254	12871309
10262	296727
10264	2212615
10269	1192422
10276	4690933
10282	475295
10286	5274191
10287	335281
10293	193441
10296	163634
10298	12548996
10301	9581825
10307	14104969
10317	4099712
10322	2163868
10323	1299334
10324	2902476
10326	2251538
10331	1826109
10335	7359776
10336	13969128
10341	6461249
10346	5733128
10347	7997763
10350	256967
10356	63357
10363	4634165
10374	2315908
10376	1874517
10393	51843
10405	6452079
10406	7289409
10410	1043275
10436	5617533
