geneid	dist
559	3689
564	4938
572	6900
575	7697
579	7524
582	7363
590	6683
594	5831
602	5420
605	5130
614	3553
619	1738
624	1140
636	2546097
971	43931
992	43890
1024	54438
1032	802756
1238	802756
1326	498
2008	984032
2010	634090
2011	621016
2014	633149
2929	115237
2932	317
3124	434854
3152	62785
4012	38163
4378	903329
4475	413185
4500	38163
4716	255473
4768	38163
5051	1035124
5059	1851346
5085	1023775
5098	1682099
5143	77662
5151	1175649
5161	215397
5197	1484791
5198	55065
5216	78221
5234	158142
5242	605505
5249	63080
5264	255930
5266	673831
5280	38270
5291	501978
5302	13636
5305	298153
5331	457729
5345	820302
5362	1433079
5369	184282
5397	1091235
5401	1586419
5467	1771146
5468	1061190
5470	955844
5471	535118
5505	1846006
5506	796102
5522	1384683
5546	52837
5557	780213
5562	555647
5597	229296
5599	142746
5608	1192643
5631	877222
5659	1474200
5670	907399
5691	1359868
5697	1978244
5705	1543705
5706	2309855
5740	804953
5748	2119139
5773	251267
5780	139665
5785	1554707
5798	93814
5820	991643
5837	1613373
5841	381600
5843	550573
5854	255044
5877	790251
5879	122451
5898	1669471
5904	257
5906	159016
5912	2347575
5913	1289476
5914	1682968
5916	211156
5921	263601
5930	3330090
5939	844382
5951	261430
5977	457729
5993	1510887
6004	536102
6012	2151286
6023	1459717
6050	292979
6054	746457
6061	654403
6095	1048536
6101	510869
6105	2418851
6106	1358046
6117	376577
6120	96671
6121	938457
6138	1051461
6144	831934
6160	243779
6179	1704657
6191	7535
6195	163048
6198	1831
6201	1586419
6204	116643
6206	1523433
6215	2127861
6228	1385045
6230	1306815
6264	53526
6266	476974
6267	2736910
6276	279354
6278	1275045
6291	478197
6304	32181
6308	134834
6316	118380
6338	33123
6351	364100
6360	776376
6390	339126
6391	30100
6401	181148
6416	16007
6441	584936
6469	2284831
6470	181148
6474	357345
6504	401666
6530	3672
6538	1979037
6552	1053968
6567	1080918
6597	13411
6635	3672
6653	593105
6658	388213
6659	3672
6663	333
6676	85493
6689	460988
6709	848415
6722	1767208
6723	3317175
6731	731764
6745	901137
6760	141195
6771	327168
6784	177354
6795	1061190
6808	418563
6809	1355648
6810	12147
6813	295500
6816	1428571
6820	364313
6821	1694369
6826	1181325
6834	445610
6847	1229644
6850	764488
6855	327320
6861	181148
6863	1211024
6890	688963
6891	446430
6898	154333
6905	1880346
6913	764488
6916	600517
6917	3042381
6918	67502
6920	215863
6923	608475
6926	1302950
6931	586789
6938	538941
6939	2281976
6942	546411
6946	19560
6952	377261
6953	1296388
6974	51195
6986	580326
6987	1986
6988	3497222
6990	800829
6997	1072920
7005	687342
7007	193757
7013	327060
7014	1167939
7045	472157
7057	1219412
7058	550606
7066	1433079
7084	1508540
7098	352537
7108	1481789
7111	1261258
7114	422
7119	1462959
7144	512143
7148	411656
7151	271500
7158	67253
7162	33401
7166	1103189
7179	1576449
7183	522317
7190	384221
7199	3672
7222	42329
7237	55851
7258	961172
7264	2265711
7301	3255597
7306	765565
7312	1229644
7327	3570380
7333	154554
7338	30911
7346	2479429
7353	518436
7380	632479
7385	6558199
7387	537813
7411	1932613
7425	278358
7426	5719675
7428	156360
7443	493819
7455	124474
7461	440143
7462	919864
7469	183564
7496	3025164
7497	1522859
7498	11230
7499	2040597
7503	24237
7511	6475148
7536	677742
7540	244266
7546	790651
7562	24414
7580	1846620
7583	532320
7590	1792662
7595	2135683
7606	111126
7611	813218
7621	914254
7637	57985
7648	1258839
7649	1065934
7659	242604
7675	1445749
7692	206332
7701	194862
7709	141195
7714	739509
7719	128059
7733	248284
7734	418582
7738	3342145
7739	2352775
7741	641
7760	857746
7761	662820
7773	916255
7776	217977
7777	2421048
7791	187842
7808	181148
7816	483437
7832	286013
7834	1551976
7854	334474
7863	37945
7882	54280
7883	2407168
7887	1942988
7900	1465313
7907	109242
7910	275543
7918	2734146
7923	819843
7926	462102
7931	183228
7933	998648
7938	182185
7983	6411849
7987	1021439
7988	764488
7993	1746685
8002	764488
8007	6631115
8013	974022
8018	578308
8019	1138983
8029	5845513
8031	421107
8042	258433
8044	5033312
8061	146016
8071	136179
8074	395327
8082	2650
8090	1248654
8096	1069576
8097	555127
8101	210072
8117	359316
8120	2154316
8143	212827
8147	60505
8148	642902
8153	586749
8160	44222
8163	1730942
8164	1599552
8170	100968
8172	655296
8189	756524
8203	2666333
8207	509766
8219	4923274
8229	391173
8234	3145714
8236	1246208
8244	405273
8245	4829174
8247	6820764
8255	383752
8286	651485
8297	1417834
8317	1342029
8321	570805
8332	465359
8336	955844
8341	43931
8360	517962
8378	6027164
8394	680136
8397	507119
8411	240955
8413	987432
8417	1284323
8431	964875
8441	83003
8447	1784582
8450	406322
8455	306000
8458	981606
8459	300981
8462	844025
8463	2450808
8465	4333446
8481	270107
8488	143776
8489	2854489
8500	2565202
8510	937831
8512	3672
8519	1836677
8526	750245
8553	809522
8557	189588
8561	335403
8562	393593
8563	28098
8571	1526704
8577	748154
8579	11094
8582	1902113
8591	157157
8600	300534
8603	111632
8623	2525
8625	841705
8635	325721
8636	315908
8641	1013894
8653	188967
8656	105473
8657	332576
8659	138693
8660	90201
8662	479026
8663	262587
8665	5715712
8673	513714
8674	3862352
8675	1900330
8677	225569
8691	1563278
8698	207013
8702	17250
8704	97582
8708	399739
8709	735193
8710	617562
8716	1420220
8730	241955
8731	547277
8742	308394
8745	20987
8746	2207012
8751	5935466
8759	1378426
8761	472099
8768	1792707
8771	11752
8775	791364
8782	413185
8789	131000
8792	495324
8795	20680
8796	2454421
8805	1243211
8827	1769744
8832	462282
8833	342840
8853	379369
8862	7658
8885	1010940
8898	991841
8919	7286
8921	98842
8928	3467
8950	243821
8964	80047
8965	1579860
8969	257919
8973	2297089
8974	150652
8986	2613903
8994	366481
8999	132695
9007	245475
9012	615728
9019	1092805
9020	775339
9026	914658
9027	522179
9040	1090201
9043	975638
9045	195153
9047	903982
9052	614609
9067	2154465
9077	20660
9079	2218459
9094	3660906
9095	53898
9108	700281
9119	79272
9132	1013357
9155	517237
9173	419900
9178	1593891
9182	161103
9195	278971
9196	6417925
9203	245773
9209	44689
9210	338463
9214	1521522
9226	459966
9228	2380823
9232	594231
9238	377093
9248	954482
9251	1657586
9260	3620816
9265	341658
9267	306260
9269	1687395
9270	3292745
9287	1020750
9288	290470
9291	8577
9324	407465
9327	392527
9338	152318
9341	3058940
9345	1993867
9348	690247
9367	1374746
9383	286045
9420	201363
9441	218140
9449	245530
9466	325182
9474	1526704
9485	192965
9495	317023
9504	686451
9513	251682
9519	728761
9525	93
9534	6305603
9539	286753
9541	2169674
9554	7134727
9574	917282
9575	29617
9577	359598
9578	154846
9583	965787
9587	663017
9588	605959
9596	2027907
9600	54430
9602	901545
9603	2091443
9617	1613091
9621	704295
9625	2520932
9633	1125166
9638	864743
9648	329285
9652	2989154
9655	144340
9657	102997
9661	502250
9668	436884
9670	464144
9683	5620633
9692	2572362
9718	855579
9721	524943
9722	1392828
9725	885620
9729	3202025
9732	594185
9735	998
9741	1009724
9744	1409550
9745	3147531
9748	893513
9751	1091235
9752	898677
9758	1438191
9759	64650
9770	203773
9772	1623656
9774	1172471
9779	192047
9790	39949
9793	1041548
9794	1106237
9806	514144
9808	5647216
9810	738044
9811	242433
9813	1061247
9821	72772
9827	4796
9851	636244
9852	4653687
9853	870149
9864	643037
9866	231723
9878	4622173
9880	2064
9897	770409
9902	956662
9922	6887406
9930	744456
9933	604643
9944	2114666
9950	61637
9951	178462
9954	464295
9960	5503179
9961	2027479
9963	306227
9986	1102061
9990	776705
9994	137606
10007	689935
10008	644236
10018	111172
10021	63902
10026	56648
10033	1963502
10037	382120
10054	817027
10061	451610
10070	905966
10071	2437971
10075	2915540
10076	837645
10079	1825383
10086	376577
10088	69531
10091	402119
10107	81746
10112	777619
10121	852196
10122	1694369
10123	1333918
10128	2450808
10133	777820
10143	1251106
10145	1613373
10156	150113
10167	94780
10171	1387703
10172	1194562
10187	382504
10195	89475
10204	416049
10205	1216947
10206	870582
10209	1193997
10212	965367
10213	435357
10228	1457290
10233	1179336
10245	1292886
10254	36229
10262	3110312
10264	164925
10269	528226
10276	563687
10282	760395
10286	1044071
10287	570778
10293	802690
10296	2972407
10298	475618
10306	739543
10307	3913932
10317	27330
10322	282659
10323	922757
10324	93474
10331	114153
10334	449479
10335	523046
10336	3392010
10341	1065590
10346	612063
10347	122906
10350	142158
10356	1468359
10357	872694
10359	1027917
10363	461872
10376	1521522
10393	750856
10406	1935577
10410	679229
10415	999866
10436	2476922
10437	968226
10444	803950
10447	1563375
10472	102061
10479	2653392
10493	1566546
10520	1472846
10540	1432045
10541	207427
10607	2609076
10633	2575200
10664	1619770
10665	27705
10672	2814405
10684	2659644
10685	848415
10694	349228
10702	897066
10704	247680
10713	841613
10718	848784
10727	270350
10730	933132
10739	989575
10743	97270
10765	264791
10766	143171
10771	110693
10772	745582
10774	916234
10806	162113
10814	112057
10819	290800
10833	3308229
10838	251249
10844	185150
10845	2292809
10872	377809
10882	548854
10891	1043501
10900	1714636
10905	424333
10906	411347
10908	1856005
10912	1746746
10913	2101934
10914	1115199
10918	3959422
10919	459746
10925	1471687
10928	1456994
10935	255758
10936	432850
10938	49541
10951	195953
10953	1022063
10967	2075283
10969	237728
10980	146428
10983	1654923
