geneid	dist
602	879768
992	997793
1024	1004465
1032	1022
1238	1022
1430	776
2011	185031
2929	53838
3124	2210
3150	203
3152	311
3911	47683
4104	14201
4145	748
4208	412437
4340	748
4378	32388
4390	748
4434	748
4452	748
4548	1450
4676	56678
4714	1450
4716	695
4723	748
4772	412437
4828	412437
4841	412437
4901	21713
4919	122222
5051	1375528
5059	96806
5085	1482091
5098	136194
5143	68847
5151	796146
5161	270223
5197	286571
5198	782
5216	2641020
5234	120886
5242	134705
5249	93093
5264	1909251
5266	332593
5280	374031
5291	2501981
5302	1048140
5305	1349154
5331	195041
5345	1000690
5362	1356529
5369	2071766
5397	862674
5401	377119
5467	1767460
5468	853210
5470	4983211
5471	1128003
5505	230786
5506	361276
5546	83833
5557	1032343
5562	1266729
5597	232130
5599	214075
5608	631247
5631	956104
5654	78145
5659	1718127
5670	448544
5691	3283
5697	301378
5705	1999316
5730	695957
5740	579442
5748	262542
5780	407144
5785	1029567
5798	129510
5820	751344
5837	392662
5841	1177040
5843	92251
5854	225709
5874	1390870
5877	662647
5879	1774801
5895	1281269
5898	498512
5912	1344818
5913	387055
5914	1590960
5916	177007
5921	608823
5930	69346
5939	1091405
5951	63596
5977	195041
5993	407828
6004	2005126
6012	824595
6061	1401212
6095	63447
6101	625135
6106	179725
6117	5265
6120	1913293
6121	789210
6137	381606
6144	739991
6160	175725
6179	85874
6198	2610921
6201	377119
6204	141630
6206	198997
6215	817502
6228	169580
6230	165810
6253	1784952
6266	394338
6267	108464
6276	460747
6278	675662
6287	1300094
6290	1317019
6291	1780668
6295	1390870
6304	79322
6308	67260
6316	2011098
6329	824595
6338	93814
6351	219394
6390	1028518
6391	97995
6401	742794
6416	126898
6441	1360670
6469	1460438
6470	742794
6504	1860565
6514	559963
6538	677418
6552	218193
6567	955304
6597	78229
6653	1851501
6658	947
6663	1531192
6667	131309
6676	1406052
6689	382425
6709	438375
6722	16185
6723	25276
6731	215439
6745	2214379
6760	1426932
6764	604122
6771	1231339
6784	3344965
6795	853210
6808	1440468
6809	1792147
6813	162348
6816	219008
6820	43921
6821	476249
6826	1294
6839	842342
6850	314
6855	162348
6861	742794
6863	276672
6890	27016
6898	257059
6905	34062
6913	314
6916	1453187
6917	206151
6918	643616
6920	159706
6923	277888
6926	145232
6931	194760
6939	414310
6946	93123
6952	452863
6953	612142
6974	3265590
6986	7476
6988	583847
6990	46258
6997	274871
7005	329886
7007	908990
7013	412187
7014	766004
7045	43938
7052	1145911
7057	113738
7058	449545
7066	1356529
7084	181226
7108	245531
7114	194704
7119	28366
7144	1197709
7158	1925298
7162	612431
7166	3029833
7176	275910
7179	39232
7183	708020
7190	407168
7222	1254235
7237	43199
7258	573
7264	1259065
7299	592716
7301	351426
7327	234496
7333	75228
7338	230815
7346	870566
7353	837194
7385	11212
7387	327395
7411	16279
7425	1400019
7426	479461
7428	204675
7430	387190
7455	848176
7461	218589
7496	202276
7497	246941
7498	88645
7499	340699
7503	737724
7511	512379
7525	506238
7536	537323
7540	136440
7546	301312
7583	101415
7590	119578
7606	106289
7611	346537
7637	414761
7648	62118
7649	667335
7659	1717740
7675	209056
7688	155900
7692	425919
7701	129824
7709	59576
7714	1365831
7719	89040
7733	543265
7738	1067739
7739	995803
7741	469352
7760	1198496
7761	19371
7773	485064
7776	93940
7777	94209
7783	1340616
7791	37508
7808	742794
7816	103958
7829	3441272
7832	2101232
7834	269508
7854	796772
7882	708040
7883	132849
7887	287806
7900	266460
7907	314
7910	137738
7918	990819
7919	312947
7923	453960
7926	98671
7931	70974
7933	92103
7937	153913
7938	1120240
7983	339566
7987	633835
7988	314
7993	94151
8002	314
8006	1121848
8013	661690
8018	1094318
8019	2187013
8028	68516
8029	18878
8031	377727
8042	667524
8044	32972
8061	359100
8071	1590490
8074	1047899
8082	118346
8083	123743
8090	2796
8094	455774
8096	300637
8097	1514578
8101	3373799
8117	108523
8120	870203
8143	167996
8147	18645
8148	1014042
8153	721279
8160	226739
8163	163174
8164	523719
8170	222392
8172	3643673
8184	1390870
8189	1242027
8203	306827
8207	921343
8219	10028
8234	1231963
8236	212414
8244	1446695
8245	94936
8247	218050
8255	435941
8286	347893
8297	142087
8312	87199
8317	154633
8321	441665
8332	310704
8336	4983211
8338	94697
8339	55228
8360	298085
8378	725332
8394	1784428
8397	1039575
8411	147358
8413	245312
8417	361684
8431	482069
