geneid	dist
559	3718
564	4968
572	6890
575	7717
579	7518
582	7357
590	6677
594	5823
602	293
605	5117
614	3542
619	1740
624	1139
631	3201
992	25024
1024	963739
1032	282219
1238	282219
1711	152
1712	152
2011	5188
2932	338
3124	20709
3159	520
4104	886671
4208	351848
4416	267923
4475	15896
4529	8955
4772	351848
4828	351848
4841	351848
4867	267923
4881	131888
5007	1038868
5051	1162876
5059	388893
5085	1137530
5098	210223
5143	1094364
5151	952428
5161	1363512
5197	31645
5216	1142763
5234	2120442
5242	478425
5249	536457
5264	593786
5266	520116
5280	1453155
5291	1492861
5302	3240
5331	460242
5345	814894
5357	857001
5362	1313079
5369	1237048
5397	933106
5401	7261
5467	903007
5468	894599
5470	2958021
5471	495117
5505	10980
5506	280165
5522	329883
5546	353896
5557	778895
5562	568842
5597	157704
5599	130297
5608	188583
5654	174855
5659	743430
5670	2636
5691	241094
5697	192677
5705	572873
5730	1975730
5740	469882
5748	81465
5780	696707
5785	32418
5798	285000
5820	75607
5837	27534
5841	1022501
5843	1623679
5854	99688
5874	1235282
5877	621379
5879	133719
5895	1120540
5898	183792
5904	2116064
5913	262440
5914	84525
5916	58488
5921	91454
5930	365239
5939	136930
5951	170936
5977	460242
5993	2590638
6004	3211
6012	59680
6050	205300
6055	1257835
6061	621636
6095	1139545
6101	149545
6106	452644
6117	3908
6120	35355
6121	135983
6137	306523
6138	249036
6144	53342
6160	872562
6179	367332
6195	22823
6198	800635
6201	7261
6204	252321
6206	264842
6215	51221
6228	440053
6230	726568
6266	496101
6267	294601
6276	508759
6278	788559
6287	1214111
6290	1168662
6291	428617
6295	1235282
6304	460585
6308	759235
6316	1183109
6329	59680
6338	1126566
6351	1188716
6360	618825
6390	110539
6391	21572
6401	21039
6416	11866
6441	1114698
6469	756222
6470	21039
6474	543709
6504	175570
6514	142194
6538	921191
6552	633738
6567	491891
6597	3307215
6639	62172
6653	507323
6658	941
6663	74976
6667	75300
6676	196027
6689	426859
6709	35525
