geneid	dist
559	3795
564	5053
572	6969
575	7791
582	7466
590	6783
594	5930
605	5219
614	3634
619	521
624	1813
636	157
992	2698631
1005	90862647
1024	2672973
1430	25470273
1711	152
1712	152
2011	10467938
2735	4639648
2932	323
3152	323
3361	4639648
3911	81130882
3990	74499599
4104	68024161
4208	17140433
4378	6982793
4416	1152280
4448	11759625
4475	66673951
4548	1740698
4714	1740698
4734	11759625
4746	1161828
4750	11759625
4772	17140433
4827	11759625
4828	17140433
4841	17140433
4867	1152280
4881	72888370
4901	81185015
4919	83132818
5051	23370177
5059	13099194
5085	23436939
5098	13129253
5143	12428513
5151	22245832
5161	13686856
5197	82700005
5198	21831228
5216	21347868
5234	93323017
5242	13033821
5249	12442956
5264	408270
5266	18678127
5280	12221329
5291	21120838
5302	1454386
5305	21185395
5357	27332601
5362	23394226
5369	3235179
5401	82651531
5467	27274481
5468	87216654
5470	93665790
5471	29015122
5505	82172504
5522	46080352
5546	89046387
5557	22074053
5562	21994123
5599	28847730
5608	46022042
5654	1534340
5659	44967147
5670	30160191
5691	26451532
5697	22554989
5705	27355798
5740	88135308
5748	22521775
5780	90502775
5785	18108476
5798	89038211
5820	45913349
5837	82636313
5843	90131208
5854	87628553
5877	87377768
5879	43615198
5898	26561988
5913	7631161
5914	2994
5916	87702682
5921	28783174
5930	41156244
5939	43874070
5951	28940353
5993	44740976
6004	30722502
6012	27007609
6050	28912382
6054	87348940
6061	86440615
6095	88382526
6101	26130335
6106	37407802
6117	33443212
6120	30867431
6121	45890957
6138	27522552
6144	20282268
6160	25409080
6179	37356842
6195	60536656
6198	42305589
6201	82651531
6204	89020027
6206	46128117
6215	26864591
6228	37371987
6230	40011343
6266	36342066
6267	92182829
6276	29544712
6278	22263954
6291	191349
6304	89071464
6308	25428537
6316	21017873
6329	27007609
6338	12379304
6351	90401221
6360	25476476
6416	60578867
6429	23589722
6441	45223811
6469	27097539
6474	113792
6504	17559506
6514	45689331
6552	39989108
6567	88866140
6597	3676173
6658	42408416
6663	17691208
6667	87747803
6709	82043779
6722	38982730
6723	41148106
