geneid	dist
582	8824172
602	2994147
631	544
992	28750
1032	743828
1238	743828
1430	6005050
2011	412228
2929	317
2932	30365
3124	249151
3911	106881
4104	82144
4208	21047393
4378	48415
4475	932
4548	560
4676	36699
4714	560
4716	4403
4772	21047393
4828	21047393
4841	21047393
4857	707
4881	149582
4901	165193
4919	116195
5007	1425
5051	4161924
5059	364524
5085	4149610
5098	176094
5143	1743353
5151	6929458
5161	1991855
5197	540509
5198	7866200
5216	8220126
5234	2083785
5242	430368
5249	1766702
5266	2701581
5280	2083061
5291	7906131
5302	22087
5331	2923261
5345	7215525
5362	4335375
5369	7460509
5397	7393309
5401	615946
5467	6428400
5468	7409629
5470	1449053
5471	2346902
5493	444
5505	206736
5506	1209604
5522	6983438
5546	2871050
5557	7253483
5562	7532277
5597	3006615
5599	1004
5608	6879643
5631	693970
5659	3953589
5670	5630
5691	8121130
5697	6184764
5705	6257572
5730	4604295
5740	5908508
5748	6108921
5773	3987359
5780	118183
5785	1660463
5798	2900552
5820	6657916
5837	636114
5841	3874970
5843	833455
5854	6965081
5877	7425943
5879	133933
5895	3980473
5898	7937578
5904	4534010
5912	6902003
5913	6930546
5914	6867731
5916	6923162
5921	3002006
5930	5426874
5939	669188
5951	2581664
5977	2923261
5993	2568361
6004	1505
6012	7344770
6050	2538984
6054	7381586
6055	4147143
6061	5635220
6095	5352187
6101	8750025
6106	4709
6117	17318121
6120	438885
6121	6603147
6137	1380989
6144	5738297
6160	10103328
6179	19142562
6195	860769
6201	615946
6204	2915658
6206	7013823
6215	7376027
6230	6198131
6253	261178
6266	21866702
6267	3078892
6276	7573673
6278	236768
6287	4051288
6291	250576
6304	2874606
6308	10001865
6316	7405783
6329	7344770
6338	1767484
6351	511277
6360	9909816
6390	15191921
6391	915414
6401	321323
6416	947013
6441	3475005
6469	6743048
6470	321323
6474	104703
6504	649236
6514	2423276
6530	1358758
6538	4178587
6552	17069606
6567	3451861
6597	6383797
6635	1358758
6639	199916
6653	324517
6658	12912019
6659	1358758
6663	942027
6667	6829366
6676	125355
6689	20386453
6709	13341
6722	18940453
6723	5395665
6731	527246
6745	5794743
6760	66375
6764	4661514
6771	3924814
6784	1102149
6795	7409629
6808	7711874
6809	4028128
6813	160988
6816	2117129
6820	656863
6821	739364
6826	1290937
6834	738339
6839	7425232
6850	2301
6855	160988
6861	321323
6863	5586943
6890	1606524
6902	199916
6905	5216369
6913	2301
6916	5676903
6917	7567967
6918	79329
6920	3435667
6923	6725037
6931	2965802
6936	281211
6938	281211
6939	1621270
6942	212822
6946	5021148
6952	6198111
6953	1244279
6974	1196331
6986	4160188
6987	14274261
6988	7041221
6990	6858422
6997	8286728
7005	211461
7007	15084998
7013	6221274
7014	606453
7045	769356
7052	4004111
7057	1326052
7058	7153643
7066	4335375
7084	2069111
7094	281211
7098	87553
7108	3225425
7114	1379906
7119	8702320
7144	379956
7146	229862
7151	36058
7158	412526
7162	69575
7166	689855
7176	3070410
7179	20516226
7183	2830057
7190	10298517
7199	1358758
7222	5569411
7237	2110925
7258	787225
7264	6654041
7299	985924
7301	7278599
7306	142373
7327	5200962
7333	1224443
7338	9868143
7346	6283986
7353	16215974
7366	132779
7385	2772573
7387	1697856
7411	770904
7425	207072
7426	1138207
7428	269975
7430	1050794
7435	281211
7443	3719965
7455	2888136
7461	1838157
7462	9186388
7492	4534010
7496	5231095
7497	1304226
7498	14240294
7499	5723694
7503	14907392
7511	1754049
7525	6569535
7536	16773734
7540	3498477
7546	2731850
7562	60974
7583	561843
7590	5144905
7595	609436
7606	1273531
7611	3151022
7621	19991698
7637	3203832
7648	3016350
7649	531694
7659	7000382
7688	2818777
7692	1625407
7701	181608
7709	104104
7714	5571063
7719	211767
7733	4556697
7734	229862
7738	482913
7739	6386603
7741	7223854
7760	3233349
7761	9791694
7773	2469109
7776	3535998
7777	5871798
7783	4042520
7791	1953617
7808	321323
7816	496317
7829	976083
7832	8618889
7834	1284875
7854	4907133
7882	6172265
7883	6296120
7887	5643732
7900	527338
7907	2301
7910	91618
7918	998441
7919	166010
7923	326371
7926	541598
7931	3552432
7933	7110872
7937	888568
7938	3810934
7983	2867070
7987	13551416
7988	2301
7993	784464
8002	2301
8006	191315
8013	1287980
8018	1523961
8019	5978319
8029	3236559
8031	3153730
8042	6934426
8044	697951
8061	138910
8071	5079929
8074	5691605
8082	3641560
8083	3483454
8090	1346587
8094	1664647
8096	625857
8097	3499141
8101	1081876
8117	9752609
8120	4790551
8143	16725025
8147	5549
8148	297249
8153	5223946
8160	2782204
8163	840514
8164	2181364
8170	4871126
8172	718686
8189	1618594
8203	162947
8207	5052546
8219	628621
8229	281211
8234	622705
8236	2617065
8244	2418912
8245	555049
8247	2053726
8255	18056708
8286	19790714
8297	19167619
8321	2633238
8332	19689303
8336	1449053
8338	668197
8339	1350938
8360	1713814
8378	1383046
8394	94258
8397	1462790
8411	16699986
8413	589684
8415	22861
8417	3501626
8431	64665
8438	1050794
8441	16872432
8447	88495
8450	7676292
8455	540526
8458	3097969
8459	281899
8462	6514263
8463	399157
8465	227586
8481	120685
8488	8622
8489	7616173
8500	14069125
8505	9660
8510	2807736
8512	1358758
8519	1425
8526	5647468
8553	2753396
8557	1070588
8561	10507493
8562	16194067
8563	43754
8571	20475395
8577	1386222
8579	21589
8582	2295753
8600	645239
8603	1179824
8623	8373524
8625	1727263
8635	22149472
8641	64081
8653	10130346
8656	329711
8657	16230508
8660	4620828
8663	10096228
8665	1134221
8673	12574374
8674	34954
8675	5613421
8677	13231
8691	978748
8698	197761
8709	3961219
8710	10062694
8716	847889
8723	908
8731	231995
8742	6974760
8745	610428
8746	14719773
8751	1301020
8759	134396
8761	3598342
8768	729245
8771	933280
8775	579737
8782	932
8789	9998428
8795	2760353
8796	6163
8805	4011975
8832	387594
8833	19625058
8853	7652854
8885	735762
8898	708741
8921	66887
8928	496294
8950	6954722
8964	66092
8965	3913498
8969	10539503
8974	842181
8986	1767186
8994	5114229
8999	3230522
9007	19559058
9012	811982
9019	2902477
9020	100312
9026	4470374
9027	9714424
9040	2878912
9043	1313638
9045	1252136
9047	1222674
9052	43218
9067	2025621
9077	4376162
9079	4794341
9094	160753
9106	7223854
9108	3248133
9119	663295
9132	3894963
9155	78379
9173	9919388
9178	6188197
9196	1670366
9203	10110062
9209	1166738
9216	2253627
9226	12515784
9228	4916083
9232	4444956
9238	237962
9248	618019
9251	4334345
9260	8201861
9265	2504251
9267	25106
9269	396393
9270	7559620
9287	2961416
9291	25330
9317	3539993
9324	9984702
9327	52108
9338	106424
9341	7820122
9345	672644
9348	4384000
9367	11382389
9383	278889
9420	64
9439	39938359
9449	932617
9458	5092369
9466	6843125
9474	20475395
9485	476056
9495	850986
9504	7104269
9513	67769
9519	529042
9525	6223386
9534	1597834
9539	5860511
9541	4761556
9554	2295377
9574	6338791
9577	5801796
9578	308577
9583	7074290
9587	478801
9588	12631016
9596	4648428
9600	17019
9602	3423341
9603	4693975
9617	7142212
9621	6011638
9625	5015328
9633	5708189
9636	1434739
9638	628101
9648	7636788
9652	7317473
9655	467044
9657	66003
9668	2649669
9670	9266736
9678	6067913
9683	1072064
