geneid	dist
559	3710
564	4960
572	6894
575	7717
579	7520
582	7359
590	6679
594	5825
602	5405
605	5115
614	3540
619	1735
624	1139
992	35556
1024	13471
1430	876790
2010	3333327
2011	3377073
2014	3334356
3124	688958
4104	2012969
4208	4948743
4378	2389963
4716	182033
4772	4948743
4828	4948743
4841	4948743
5007	2105
5051	1416688
5085	1571510
5098	1568060
5143	3672065
5151	9817090
5161	1256457
5197	1744213
5198	426
5216	12206512
5234	15977883
5242	975655
5249	1017242
5264	1408760
5266	6664612
5280	1391542
5291	12617568
5302	5471653
5345	10095357
5362	1395870
5369	12194468
5401	1833063
5467	1632690
5470	15181629
5471	522462
5505	1671884
5506	370260
5546	15473452
5557	10133610
5562	10441373
5597	15336530
5599	147665
5608	17220867
5654	4079945
5659	16844592
5670	3218208
5691	20786321
5697	9252296
5705	2020987
5730	13332540
5748	9214336
5780	18348607
5785	6006163
5798	15458061
5820	16927034
5837	1854907
5841	14255060
5843	17591187
5854	10537919
5877	10023160
5879	137565
5898	20505029
5912	1035845
5913	17297217
5914	17586546
5916	10610120
5921	2183906
5939	14787314
5951	251376
5993	13200739
6004	4585730
6012	417389
6023	1911849
6050	292529
6054	10023207
6061	7746685
6095	12475066
6101	21661886
6106	1117148
6117	33473106
6120	4854774
6121	16881080
6144	10290549
6160	23446088
6179	23304418
6198	3028396
6201	1833063
6204	9156322
6206	17464794
6215	393483
6228	23355071
6230	3098930
6253	1496968
6266	26564523
6267	18677551
6276	1196311
6278	9717319
6291	1636788
6304	15497593
6308	23265570
6316	12119115
6329	417389
6351	18127267
6360	23152024
6390	18234062
6401	690708
6416	2602584
6441	16595432
6470	690708
6504	5054217
6514	15656704
6538	957949
6552	20632758
6567	14902031
6597	1991800
6653	1428024
6658	15537388
6663	825174
6667	10714278
6676	1837853
6689	24706801
6709	1883500
6722	23009312
6723	19091204
6731	852811
6745	2526039
6760	14036896
6764	13240139
6771	14197853
6784	2821091
6808	10662066
6809	16726705
6813	930409
6820	2245411
6821	1920223
6826	2974509
6834	2331095
6839	9683619
6855	930409
6861	690708
6863	12182301
6890	15367873
6905	8469065
6916	2163520
6918	1010305
6923	1761108
6931	2052663
6939	2843518
6946	9487500
6952	11426508
6953	2100556
6974	2951886
6987	17230793
6988	7495563
6990	1939960
6997	533579
7007	18090593
7014	1372973
7045	2365890
7052	3231131
7057	3008659
7058	10412817
7066	1395870
7084	3699053
7108	13562211
7114	260384
7119	5358133
7144	14417152
7151	3394121
7158	4839054
7162	1023789
7166	1275224
7176	2191143
7179	8924523
7190	23716914
7222	438043
7258	11279303
7264	457035
7299	1430593
7301	7203498
7327	16872258
7333	90740
7338	3933096
7346	645848
7353	32064877
7385	13982849
7387	1523415
7411	2647996
7425	14231671
7426	12154398
7428	1334427
7443	16857194
7461	1396337
7462	2675115
7496	16905622
7497	3352289
7498	29059797
7499	1463451
7503	17910936
7511	12842077
7525	9509549
7536	20137701
7540	6096414
7546	12896986
7583	732751
7595	2758384
7611	2274412
7621	8127041
7637	5288244
7648	13330668
7649	1202652
7659	67931
7688	1499663
7692	514671
7701	1252904
7709	1656334
7714	7682340
7719	1649202
7733	6593844
7738	10275566
7739	502395
7741	10231129
7760	16346689
7761	23024220
7773	6910638
7776	534499
7777	9025454
7783	14049785
7791	15860266
7808	690708
