geneid	dist
631	514
992	83524
1032	22340
1238	22340
1430	19643
2011	185605
2929	425
3124	2111
3855	2516
3911	29160
4104	49582
4202	2516
4208	9492
4275	2516
4374	2516
4378	3392
4475	737
4513	2516
4548	1633
4676	13463
4714	1633
4716	88844
4717	2516
4747	2516
4772	9492
4828	9492
4841	9492
4857	665
4881	3776
4901	14353
4919	75535
5007	1249
5051	464
5059	67618
5085	152203
5143	106083
5151	32709
5197	28595
5198	46560
5216	40265
5234	116412
5242	22821
5249	91790
5264	35624
5266	111062
5280	30782
5291	32409
5302	6284
5345	125962
5362	80191
5369	108064
5397	7074
5401	83658
5467	41051
5468	20833
5470	189024
5471	173847
5505	9113
5522	204478
5546	1734
5557	88031
5562	34350
5599	162099
5608	322555
5654	31857
5659	18030
5691	87830
5697	1004
5705	134954
5730	18095
5740	76784
5748	71032
5773	638
5780	107539
5785	33817
5798	41594
5820	76215
5837	72514
5841	33800
5854	51551
5877	42446
5879	198819
5895	761
5898	279534
5912	5900
5913	231982
5914	4334
5916	37085
5921	137064
5930	476
5939	14791
5993	212975
6012	53897
6054	2156
6055	452
6061	72747
6095	55764
6101	12164
6106	3662
6117	3936
6120	36802
6121	17918
6137	38600
6144	8432
6160	125190
6179	51309
6195	20263
6198	2364
6201	83658
6204	21663
6206	3903
6215	33101
6228	21036
6230	279538
6253	2355
6266	107932
6267	59016
6276	47084
6278	12784
6291	109591
6304	62667
6308	27652
6316	108435
6329	53897
6338	73664
6351	214826
6360	66476
6390	91314
6401	396499
6416	4539
6441	42105
6469	31901
6470	396499
6474	16785
6514	893
6538	109651
6552	74093
6597	104651
6639	594
6653	11963
6658	947
6663	12233
6667	59051
6676	34224
6689	405234
6709	12533
6722	17738
6723	58364
6731	37197
6745	294981
6760	208903
6764	458
6771	677
6784	17919
6795	20833
6808	131530
6809	7881
6813	11112
6816	28422
6820	6254
6821	51202
6826	49156
6834	35762
6839	9237
6850	2293
6855	11112
6861	396499
6863	63028
6890	28301
6898	70078
6902	594
6905	43188
6913	2293
6916	117403
6917	68413
6918	399188
6920	49841
6923	110760
6931	12218
6936	503
6938	503
6939	166234
6942	958
6946	8580
6952	34060
6953	33691
6974	16254
6986	9158
6988	16939
6990	64833
6997	63063
7005	80388
7007	17197
7013	647
7014	63107
7045	49756
7057	20221
7058	152439
7066	80191
7084	14534
7094	503
7098	3573
7108	39820
7114	422
7119	5937
7144	23262
7151	1133
7158	4397
7162	377040
7166	73354
7176	114399
7179	214364
7183	15975
7222	35635
7237	99694
7258	55883
7264	190801
7299	404374
7301	13113
7327	60106
7333	5565
7346	39900
7353	139492
7366	804
7385	32533
7387	351186
7425	169726
7426	131797
