geneid	dist
559	4698521
582	26281144
590	41957
602	15211483
992	26997374
1005	39041692
1032	17869480
1238	17869480
1711	152
1712	152
2011	1371712
2929	26800
2932	305
3124	4284
3855	1865
3911	10791089
4104	3922627
4202	1865
4208	9496612
4275	1865
4374	1865
4378	50903144
4475	7066730
4513	1865
4525	10544011
4530	14473976
4544	48648070
4546	48648070
4676	42820
4717	1865
4747	1865
4772	9496612
4828	9496612
4841	9496612
4856	17990010
4857	981
4881	3263044
4901	10821307
4919	11000327
5007	414966
5051	2763429
5085	2754050
5098	150136
5143	1170029
5151	4893899
5161	1359670
5197	1864763
5198	40427772
5216	6929752
5234	25499408
5242	281911
5249	1198340
5264	25657014
5266	12006866
5280	1435770
5291	7220982
5302	5225517
5331	11844821
5345	5167407
5362	2820598
5369	7647032
5397	10712566
5401	1941648
5467	21512154
5468	10727195
5470	26182151
5471	17641182
5505	2570115
5506	804723
5522	36352719
5546	15763882
5557	5209260
5562	5459791
5570	14268560
5597	15647511
5599	17978825
5608	36640914
5631	29240544
5659	28137768
5670	15149330
5691	23322717
5697	4294776
5705	21360260
5711	14351876
5730	14006772
5740	12608299
5748	4236180
5780	19018219
5785	12885865
5798	15748483
5820	36713406
5837	1958720
5841	14648998
5843	18286830
5854	11492016
5874	14471704
5877	11029491
5879	30055621
5898	23131956
5912	21985267
5913	36382804
5914	36111380
5916	11546474
5921	18250200
5930	34988923
5939	29358407
5951	17880637
5977	11844821
5993	39652095
6004	14176548
6012	22449687
6023	16359612
6050	17831768
6055	14384456
6061	8920760
6095	13159219
6101	23986960
6106	32397911
6117	33826557
6120	13790563
6121	36762056
6144	9152955
6160	25335312
6179	32330196
6195	775925
6198	32208011
6201	1941648
6204	15720180
6206	36270204
6215	22486687
6228	32383028
6230	38445219
6253	25709482
6266	35392476
6267	23208842
6276	37313311
6278	4773215
6287	14400781
6291	25811367
6295	14471704
6304	15835625
6308	25223202
6316	7787240
6329	22449687
6338	1198974
6351	18803942
6360	25128059
6390	28081845
6391	821143
6401	24971723
6416	844346
6441	27741176
6469	21933649
6470	24971723
6504	13721731
6514	27066827
6538	40588876
6552	30014757
6567	15278782
6597	31134865
6653	25660584
6658	25564933
6663	13358629
6667	11620028
6676	26073028
6689	33639215
6709	2801195
6722	32087271
6723	34863479
6731	371238
6745	20877401
6760	26602134
6764	13946407
6771	14593591
6784	15202177
6795	10727195
6808	5636813
6809	28167500
6813	28035424
6816	30416198
6820	27540741
6821	2051159
6826	26861574
6834	27468781
6839	10743759
6850	25291950
6855	28035424
6861	24971723
6863	12974751
6890	25937732
6898	32009768
6905	34245775
6913	25291950
6916	8972168
6917	36740355
6918	25243516
6920	32056119
6923	11293764
6926	26773703
6931	41387077
6939	29797245
6942	24339454
6946	9936967
6952	12288658
6953	23289331
6974	15280849
6986	33010358
6987	26981754
6988	36219672
6990	11060863
6997	36343238
7005	28301516
7007	27854434
7013	12233037
7014	28693757
7045	27398942
7052	40468747
7057	26829445
7058	11385802
7066	2820598
7084	30382890
7098	3333
7104	32813495
7108	26919242
7114	42624018
7119	37927235
7144	29525340
7146	24342211
7151	24236414
7158	13798986
7162	25256644
7166	19181210
7176	41310320
7179	22932668
7183	25300044
7190	25545115
7222	12346281
7237	22491438
7258	41279259
7264	38230766
7299	36787852
7301	36464806
7327	14540143
7338	39054389
7346	38403803
7353	32541095
7385	11959015
7411	23689767
7425	29730799
7426	10442469
7428	42536807
7430	10351542
7443	27968935
7455	21701864
7461	22703333
7462	39964521
7469	2927
7496	14566600
7497	26717970
7498	30057602
7499	38964409
7503	27597102
7511	11028016
7525	4581717
7536	29676286
7540	32079315
7546	26256126
7562	25262290
7580	39154797
7583	42901930
7590	34166870
7595	23820176
7606	42705454
7611	41302267
7621	13825
7637	31762842
7648	26561166
7649	28594352
7659	42265198
7688	26316086
7692	42495857
7701	42465053
7709	42777914
7714	8852769
7719	42764519
7733	7726466
7734	24342211
7738	8894415
7739	38278089
7741	11198152
7760	27554067
7761	25022848
7773	12204498
7776	32162604
7777	4064952
7791	25521933
7808	24971723
7816	327029
7829	15078659
7832	6409654
7834	26678042
7854	27950424
7882	11754471
7883	38341281
7887	38977763
7900	1849879
7907	25291950
7918	8507815
7919	84414
7923	28424750
7926	370451
7931	32178192
7933	10974306
7937	27280845
7938	40769121
7983	12060031
7987	26213921
7988	25291950
7993	23594138
8002	25291950
8006	15030262
8013	23111471
8018	23990456
8019	21045702
8028	159752
8029	12449370
8031	15473789
8042	37577900
8044	10000989
8056	299634
8061	52311
8071	20187813
8082	59208481
8083	32118063
8090	26811934
8094	42473879
8096	26000234
8097	27757941
8101	15181549
8117	38918784
8120	3253505
8143	19514091
8147	25339860
8148	6024962
8153	29458554
8160	18041571
8163	23580668
8164	39737383
8170	38513418
8172	14841049
8184	14471704
8189	23858163
8203	24162342
8207	8280117
8219	9933912
8234	8740688
8236	39416477
8244	20866270
8245	9861389
8247	11343782
8255	21347110
8286	22769631
8297	32356958
8312	26586146
8317	26753040
8321	26119084
8332	22652708
8336	26182151
8360	22828372
8378	10693503
8380	39041692
8394	14268996
8397	24000305
8411	19490700
8413	25945363
8417	6553206
8430	10253414
8431	15097730
8438	10351542
8441	19662873
8447	8616150
8450	7445299
8455	5973525
8458	2575939
8459	192459
8462	36922020
8463	24019881
8465	9518810
8481	5364705
8488	9784068
8489	36790706
8500	16806638
8505	9729970
8510	26307497
8519	414966
8526	9411901
8547	9758770
8553	31146356
8557	1895420
8561	13379957
8562	19029184
8563	9634628
8571	328520
8577	24748512
8579	10572637
8582	4157783
8600	516722
8603	42756811
8623	21561301
8625	23752683
8635	37282562
8641	3734636
8653	15053279
8656	4831790
8657	19100258
8663	15085037
8665	10433831
8673	15285051
8674	9294453
8675	39031898
8677	9751503
8691	5331321
8698	14153583
8702	9862124
8708	330213
8709	7051154
8710	12951118
8716	5668727
8723	11059930
8742	11477770
8745	12514817
8746	17517828
8751	10610864
8759	8797932
8761	3089095
8768	24066981
8771	2057217
8775	415071
8782	7066730
8789	39381605
8792	15213233
8795	15880270
8796	42318704
8805	21535721
8832	29550903
8833	22597417
8885	682213
8898	666690
8921	14060398
8928	28569655
8950	11519187
8964	33786802
8965	40969468
8973	71221658
8974	762161
8986	4652311
8994	25661719
8999	22237842
9007	22531965
9012	29101457
9019	26420372
9020	16317849
9026	3873744
9027	15498045
9040	3531563
9043	13612982
9045	28839118
9047	24558755
9052	16200129
9067	4348961
9079	20633231
9094	9143855
9106	11198152
9108	2722722
9119	12579224
9132	6985303
9155	17626436
9173	12800815
9178	24806805
9196	10978469
9209	17867248
9214	2848126
9216	22184788
9226	15244258
9228	20585022
9232	38874991
9238	243570
9248	15883438
9251	21056106
9260	20235457
9265	17790608
9267	30902347
9269	4436395
9270	23516077
9287	3476830
9288	18772523
9291	9656548
9317	2972902
9324	15205674
9327	18864989
9338	178955
9341	19878296
9345	23734881
9348	38958110
9367	14018359
9383	18767241
9398	39041692
9407	35464635
9411	89
9414	107
9415	27051599
9430	29813281
9440	45690350
9443	13092761
9449	3835549
9458	25670411
9466	8575499
9471	36266964
9474	328520
9485	18959482
9495	3725570
9504	8736096
9519	538518
9534	10907855
9539	9149523
9541	20651109
9554	5150
9574	38123134
9577	9108429
9578	14260679
9583	10383001
9587	506153
9588	15332223
9596	20735499
9600	74478
9602	26660776
9617	10570221
9625	20449144
9633	25217175
9636	7859250
9638	604348
9648	36800002
9652	23726039
9657	134665
9668	2198967
9670	16065897
9678	12407217
9683	10373520
9716	4833824
9718	776909
9722	17092034
9725	11880700
9729	23700468
9732	473814
9735	14409104
9741	13169338
9744	36318065
9745	19933264
9748	769116
9751	10712566
9752	26111641
9758	3817388
9759	33965418
9770	33648736
9772	5302305
9774	1555676
9779	19068685
9790	8362581
9793	14216165
9794	13745464
9806	28957520
9808	10388467
9810	24020463
9811	12354771
9813	3509048
9821	252665
9851	38910853
9852	9752899
9853	16393432
9864	10604879
9866	1785
9870	11275260
9878	21108810
9880	7908560
9893	10743759
9902	8638121
9922	28512895
9930	10657519
9933	8342668
9943	26112523
9944	2371909
9950	13617764
9951	1170956
9954	15251426
9960	10305086
9961	2320500
9986	14139391
9990	27697128
9994	6377832
10007	5995222
10008	495032
10018	16667032
10021	2287590
10026	26969112
10033	2271791
10037	247538
10052	7104164
10054	583518
10061	6862442
10070	27579661
10071	4742540
10075	23808403
10076	801207
10079	2173163
10086	33826557
10088	18041305
10091	15202063
10107	6585814
10112	14336
10117	4590502
10118	37382514
10121	13556516
10122	2051159
10123	25083916
10127	12657684
10128	24019881
10133	9979131
10134	15187317
10143	14116200
10145	1958720
10156	298406
10167	7930702
10171	26675364
10172	16632533
10187	321313
10195	3119159
10203	5051510
10204	17718248
10205	16382924
10206	8606402
10209	14055243
10212	747829
10213	42469836
10228	36305516
10233	25134516
10245	41271081
10254	33357198
10262	19902731
10264	3900170
10269	19016965
10276	26686327
10282	42686276
10286	9541209
10287	19261304
10293	8636096
10296	23764940
10298	17692222
10301	18078140
10306	5309065
10307	20480836
10317	186824
10322	37606129
10323	25338220
10324	5346646
10326	247909
10331	12221675
10334	16025181
10335	41604636
10336	20106301
10341	20990772
10347	15723336
10350	37476907
10356	2911591
10357	14558615
10359	25269954
10363	32709901
10374	2085472
10376	2848126
10385	42654470
10393	47054461
10405	5980497
10406	40418469
10410	39109535
10415	23555349
10436	35965763
10444	23747036
10447	39701512
10472	5441767
10479	7192803
10484	30737252
10488	4629722
10489	4630112
10493	40929658
10498	13464402
10500	27933159
10507	45441523
10516	54126176
10520	43259775
10535	393794
10540	43475673
10560	52820112
10574	31904792
10606	6216832
10609	18601900
10610	18091296
10611	18091146
10614	69910737
10615	11987294
10627	74033088
10633	7025556
10634	35743914
10635	45441523
10637	8901296
10645	45441523
10651	54031850
10664	2755053
10665	3431397
10670	15252087
10672	23903665
10684	40343462
10685	2801195
10694	18836580
10702	41602353
10713	17412763
10716	8264190
10718	17409854
10722	17378717
10727	9197947
10739	16543923
10743	4596618
10765	16141405
10766	288472
10771	11666504
10772	5484880
10774	41586688
10806	11569774
10814	982902
10819	5118940
10833	2277646
10838	697120
10845	4445518
10872	5203284
10875	31804950
10882	388472
10891	41486004
10900	4028363
10906	42451970
10907	5756397
10908	6422525
10912	20519029
10913	4334723
10914	14154683
10918	2678770
10919	51126121
10925	12576387
10928	7527639
10935	42110114
10936	15992321
10938	843584
10951	4282038
10953	38192082
10967	4305530
10969	31398385
10977	38743512
10980	17953824
10997	16283293
10998	2763429
11004	10499295
11009	8543712
11011	12658384
11015	8624496
11021	60542516
11023	12626115
11031	2984388
11032	17414475
11036	21138473
11038	8615046
11040	38844713
11048	12325663
11053	12415317
11055	11323960
11056	23857107
11060	2951614
11061	42756028
11067	18374459
11075	10924178
11077	18929856
11089	12454859
11093	11489394
11099	3161778
11101	20479807
11102	1700238
11106	10496023
11109	8302830
11114	20818760
11120	1202
11123	342917
11124	25117293
11125	426434
11129	10752474
11131	15213233
11140	900653
11141	47612436
11163	46308
11167	3004858
11172	12385638
11173	4280310
11177	13916336
11184	61162375
11187	38787656
11188	23924502
11193	33394039
11195	177749
11197	11937213
11198	4877052
11207	43565210
11209	15382919
11214	8548214
11216	14316795
11225	11098577
11226	38717139
11228	14029458
11233	11469034
11236	13093410
11237	4315509
11242	741977
11243	29279422
11249	37109940
11250	42674272
11257	7355358
11263	3910325
11289	14153598
11291	37200954
11297	3606699
11299	12916031
11301	49624589
11305	41190728
11306	15655618
11310	29194853
11311	15556544
11320	9110952
11322	13199766
11326	36001312
11329	50880887
11331	44372131
11334	35233182
11335	29061975
11343	41447346
11344	19746294
11349	6230332
11366	41103086
11371	1801338
11374	15821568
11378	4667407
11379	6204845
11386	37221783
11395	42616739
11396	37179
11399	35943057
11400	5051925
11405	47974596
11414	10046668
11415	59350105
11417	23629416
11418	43816382
11419	641600
11425	1733954
11430	13109379
11432	38989058
11433	332250
11436	13310598
11443	54681027
11445	35050043
11458	11137406
11463	4289184
11464	602856
11465	35846179
11474	4087151
11481	6331274
11482	409483
11484	12288271
11486	14250261
11490	6668566
11491	14270208
11493	13039404
11497	42435133
11498	357164
11499	9221842
11500	2513754
11503	6423440
11504	15229771
11505	5753228
11507	14227599
11511	21693540
11513	14486549
11516	6035442
11518	5123058
11524	20980619
11527	14093352
11528	5945787
11529	14177797
11542	9922712
11543	24347986
11544	5584095
11546	62413410
11547	810200
11548	5439849
11555	25501015
11564	47090869
11574	5825988
11575	3950
11582	4645574
11585	11929533
11590	14246167
11591	5517742
11592	47338564
11600	8890221
11601	52820112
11604	17696916
11614	20501012
11617	5370177
11619	4420797
11620	853135
11625	14114202
11627	12573933
11628	20452288
11636	4481669
11638	34229810
11643	48498904
11645	1523751
11646	48867614
11647	3851679
11650	48867614
11653	3944402
11654	42693165
11656	13794673
11657	48867614
11659	1514600
11661	20811793
11670	58883385
11671	3527790
11673	1785582
11679	37098328
11680	6103371
11683	20364316
11685	13925401
11691	37394227
11694	23465777
11695	9846791
11696	812256
11704	5290703
11713	10221959
11716	4219633
11724	47622303
11726	970375
11727	10415713
11728	931886
11732	3428239
11733	3405645
11734	3369745
11739	8618131
11741	13093410
11743	11822837
11744	35065803
11747	3337530
11759	12435120
11765	4159412
11775	43814931
11778	8475747
11780	37372093
11783	12357811
11786	10985160
11787	63485192
11788	1711270
11789	8459662
11800	10359636
11801	60876356
11805	8417118
11810	21602201
11812	7167120
11821	7931555
11826	8417118
11827	2100937
11829	3272809
11831	12005762
11832	3242884
11842	431120
11847	36167046
11856	3520050
11869	11898996
11873	10234833
11890	48830165
11893	2986792
11897	3126663
11908	18982992
11911	18964150
11912	43504003
11913	15134875
11917	48203992
11922	9104324
11924	41013208
11935	4159412
11938	18770587
11940	6010538
11945	2990949
11946	2315959
11948	4355303
11951	24274886
11954	6595740
11963	23472627
11964	26359556
11969	131757
11987	10092026
11995	38180517
11996	10784478
12003	1273035
12008	948084
12011	29608765
12013	24607564
12016	11777729
12019	9010544
12020	44649238
12024	7767251
12025	7896233
12027	293798
12035	36033096
12037	36744396
12038	51265767
12039	26579
12044	13958557
12045	5397928
12046	20184061
12047	24184054
12048	40459294
12049	7149054
12050	35579605
12054	3581062
12060	8450574
12064	39013185
12069	18980799
12073	4355303
12083	992932
12087	20971947
12088	11846607
12090	47823432
12091	5979384
12092	63052004
12095	13779330
12100	14088286
12102	48314891
12103	37222500
12106	15120666
12109	11439645
12111	3128100
12116	10383281
12125	37150914
12131	25249726
12136	41129948
12137	56837184
12146	44109995
12157	14235061
12163	31185507
12166	9861389
12167	53874181
12169	3667936
12170	20455187
12179	37295322
12181	17595692
12186	6667572
12201	39041692
12202	48364083
12205	41612819
12211	37546615
12212	37549941
12222	9402648
12227	45717476
12241	34780654
12244	31194561
12247	51329185
12262	602
12269	40782749
12275	42386162
12288	6216832
12291	22888683
12292	22888465
12293	11568368
12301	84501710
12304	15636331
12305	42025917
12307	15845610
12314	3528108
12317	45441523
12318	21308351
12325	19059384
12327	60502855
12331	48867614
12334	46821141
12341	25646546
12343	42440964
12350	7645822
12351	8630615
12354	15179423
12370	58536744
12373	9757012
12379	25573804
12383	36437720
12384	25442471
12387	29741862
12388	14046723
12389	39997746
12391	55132635
12392	3866848
12395	10763762
12396	13912203
12402	11220463
12404	25399704
12412	60482633
12415	21157074
12421	25399704
12426	7751250
12431	25344412
12434	37168292
12435	863231
12452	34104946
12459	9766567
12463	983632
12464	10454988
12468	57168158
12469	37495216
12470	23478355
12478	21089726
12479	46573675
12484	6467353
12491	8022470
12492	41913181
12493	13996843
12498	3692939
12500	7031287
12501	13848688
12502	41467949
12515	50962268
12517	42641373
12527	42593357
12530	39863073
12531	15024605
12534	55565625
12536	35670381
12551	53364920
12553	8631146
12556	8803923
12570	34770789
12573	47681134
12574	13973885
12575	38806331
12576	4059760
12579	3356965
12582	4083288
12583	7983513
12589	19987248
12595	5340063
12602	23637232
12606	46727104
12610	56380746
12618	1632470
12619	46656722
12624	19937631
12625	37238678
12637	32983777
12638	14764281
12644	74434093
12660	1702368
12662	8825559
12668	5065062
12670	56467496
12672	70967091
12682	7833287
12683	6165466
12686	29225451
12688	10869021
12689	56188596
12690	11945079
12696	11992730
12698	24125813
12699	9748610
12701	38538137
12707	21908683
12711	50479307
12717	13531558
12720	56815907
12729	56890097
12734	42625117
12737	6441057
12741	48867614
12762	37039006
12765	36206149
12766	56350031
12767	66250710
12778	9847850
12779	37465255
12783	14209132
12790	19341571
12797	41660166
12805	11928754
12810	50789912
12811	8735269
12812	49273151
12817	65800862
12822	11084057
