geneid	dist
992	3736896
1005	22278783
1024	3583156
1430	46692662
1711	152
1712	152
2011	111793542
2929	1217
2932	946
3124	129066916
3152	946
3911	1940656
3990	4844584
4104	9487815
4208	45972702
4378	7599392
4416	197694
4448	77110580
4475	11116963
4544	129408223
4546	129408223
4548	3894346
4714	3894346
4734	77110580
4750	77110580
4772	45972702
4827	77110580
4828	45972702
4841	45972702
4867	197694
4881	3334390
4901	1993620
4919	3013273
5007	7810037
5051	22004384
5059	20476736
5085	21995703
5098	20380505
5143	21056947
5151	23152965
5161	21175370
5197	3457999
5198	23765313
5216	24527007
5234	13948068
5242	20502802
5264	7786235
5266	26803170
5280	21270231
5291	24649223
5302	605519
5305	24613157
5357	1953538
5362	22033799
5369	24823714
5401	3487020
5468	8481157
5470	14122642
5471	177910479
5505	3979217
5506	20796432
5546	10526027
5557	23379926
5562	23576654
5608	53778013
5654	8940415
5659	58130875
5670	160262488
5691	2692102
5697	22872223
5705	1936033
5740	9612764
5748	22847141
5780	11626894
5785	118073707
5798	10519915
5820	53644764
5837	3518422
5854	8896743
5877	8695946
5879	57015449
5898	2531072
5913	390767
5914	53949798
5916	12035
5930	54486752
5939	57287501
5951	177993987
5993	52438077
6004	160566821
6012	2107124
6050	177959781
6054	8682883
6061	7650968
6095	9834689
6101	2904562
6106	12511889
6117	7575932
6120	57422877
6121	53613675
6144	25427833
6160	3519014
6179	12619548
6195	15245710
6198	55667681
6201	3487020
6204	10500266
6206	53892780
6230	47825599
6266	11288831
6267	12958492
6276	64583118
6278	23088006
6291	7602114
6304	10565164
6316	24902426
6329	2107124
6338	21069677
6351	11578605
6360	3434374
6391	15282201
6401	1935037
6416	15306556
6441	58330659
6470	1935037
6474	7512148
6514	58797961
6538	48686328
6552	13506590
6567	10366638
6597	7408103
6639	6939605
6658	15287358
6663	943930
6667	9065912
6676	1786934
6689	12215420
6709	4175365
6722	12686827
6723	54508021
6731	20559402
6760	57073476
6771	10152437
6784	23268704
6795	8481157
6808	23704568
6809	58093436
6813	4505
6820	5170074
6821	3559429
6834	75528687
6839	8495782
6850	7202580
6855	4505
6861	1935037
6863	9748641
6890	14081711
6891	170073
6902	6939605
6905	164085106
6913	7202580
6916	7683532
6920	163061049
6923	26444896
6931	98722589
6936	6656381
6938	6656381
6939	1035946
6942	6656381
6943	170073
6946	25662370
6952	9423434
6953	3069482
6974	23240453
6986	163499129
6987	14489538
6988	165148629
6990	26320797
6997	4005102
7007	5495
7013	9379367
7014	568337
7045	5355704
7058	8841924
7066	22033799
7094	6656381
7104	55358529
7108	9544868
7119	166239778
7144	57200153
7146	6656381
7148	6656381
7158	160573688
7166	631003
7176	98767716
7179	12367316
7183	1533605
7190	3756544
7222	26892731
7237	3866666
7258	51498106
7264	169048016
7299	3410068
7301	165304570
7306	6278222
7327	25868273
7338	166993612
7353	7056367
7380	170073
7385	26217905
7411	2649813
7425	57135518
7426	24482184
7428	42294870
7435	6656381
7443	58290780
7455	267673
7461	3994583
7462	167298449
7496	25667749
7498	5973437
7503	16048
7511	25533993
7525	22973797
7536	13678588
7540	163077771
7546	9871851
7580	99834806
7583	99942285
7590	164062789
7611	98846359
7637	162974527
7649	540780
7659	168767791
7688	9777370
7692	98175082
7701	42306259
7709	109105922
7714	7625906
7719	42037605
7733	7115990
7734	6656381
7738	22822348
7739	169084610
7741	8749467
7760	58434781
7761	3339485
7773	26854300
7776	163135668
7777	22792499
7791	13959280
7808	1935037
7816	178890543
7829	23328153
7832	24242378
7834	4564211
7854	7329968
7882	26638780
7887	103351303
7900	3435814
7907	7202580
7918	22162753
7923	6420709
7926	178940744
7931	163129750
7933	26118606
7938	99257600
7983	26278725
7987	15023179
7988	7202580
7993	2694530
8002	7202580
8006	160348041
8007	26217905
8013	3135934
8018	35120784
8019	565848
8031	10415837
8042	64665992
8044	23877547
8071	40544
8082	57349527
8083	163102638
8096	3721379
8097	58321463
8101	23285949
8117	166917989
8120	22294877
8143	15475374
8148	14746299
8153	8240994
8163	2751930
8170	52931531
8172	23769361
8189	37792465
8203	2303273
8207	7346759
8219	23841693
8229	6656381
8234	22368246
8236	52499356
8244	363030
8245	23741731
8247	25833766
8255	15057133
8286	12924621
8297	12535828
8312	8648261
8321	10055020
8336	14122642
8338	19140696
8339	19051059
8360	4025666
8378	25165698
8380	22278783
8394	160531550
8397	35165819
8411	15496432
8413	178771
8417	6517700
8430	14024513
8431	160277150
8441	15434421
8447	12473436
8450	24706140
8455	10410269
8458	178165565
8462	53588847
8463	2435710
8465	23463165
8481	9984592
8488	534786
8489	165536778
8500	17629136
8505	13370272
8519	7810037
8526	25470876
8547	13437615
8553	1599520
8561	80830777
8563	13292814
8571	12614876
8577	11171604
8579	14378707
8582	12770849
8600	179061424
8623	18382363
8625	26904994
8635	10061670
8636	13111482
8641	9144667
8656	9747000
8657	15674059
8662	178628648
8663	28694116
8674	23321273
8675	99873130
8677	13427097
8691	14164309
8698	23901915
8709	6763890
8710	80552191
8716	14320524
8723	1523951
8730	23215227
8742	8878380
8745	6993039
8746	17005892
8751	24917569
8759	12647698
8761	14240901
8768	11705496
8771	93104692
8782	11116963
8789	167078020
8795	10579400
8796	70598678
8805	2374941
8827	23215227
8833	13020376
8850	23203173
8862	23215227
8885	22539328
8898	22517330
8919	94951736
8921	23982951
8928	14900886
8950	8938591
8964	713741
8965	48828494
8973	36017864
8974	11048609
8986	13323482
8999	37884196
9007	13039223
9012	13884817
9019	9736882
9020	5452168
9027	28118477
9040	12008172
9043	17119
9045	14303090
9047	11205917
9052	5511166
9077	14649126
9079	31890446
9094	23149968
9095	10137399
9106	8749467
9108	178318542
9119	6979899
9132	6731181
9155	4815260
9173	80510925
9178	6137658
9209	11257189
9214	4214001
9216	109650395
9226	18987231
9228	31838220
9232	52780389
9238	1590152
9248	160005426
9260	8453418
9265	177940652
9267	155067
9269	63933186
9270	6692763
9288	4349379
9291	13310640
9317	178854545
9327	4288280
9338	22029389
9341	2444035
9345	2632450
9348	52745154
9367	27579026
9383	4565195
9398	22278783
9410	108691779
9414	14273224
9433	15117792
9442	12394353
9448	105076205
9449	4949307
9466	2084961
9474	12614876
9495	4898333
9504	2174684
9519	22402994
9534	25445254
9539	7775542
9541	32016486
9554	26217905
9577	52201846
9578	23845717
9583	8277181
9587	22373269
9588	18868151
9600	21976988
9602	16301470
9603	31954186
9617	59916422
9625	31675997
9636	72722974
9638	22448160
9648	3655420
9652	6414761
9657	22006509
9661	9498041
9668	23831555
9670	37250723
9678	9498041
9683	24371755
9692	13396219
9716	24473873
9721	83241160
9722	32698897
9725	79404183
9729	6575475
9732	22325711
9735	81623509
9741	9841234
9744	53824746
9745	2465937
9748	22579929
9758	12508391
9759	889551
9770	669645
9772	14122426
9779	11670112
9790	61723687
9793	6341207
9794	27374653
9798	94951736
9806	15112884
9808	24399100
9810	37203741
9811	7165690
9813	11956749
9821	67825539
9827	94951736
9851	52761724
9853	5374002
9864	25815959
9870	24538570
9878	8256994
9880	21940662
9893	8495782
9902	7532186
9922	25870911
9930	25948471
9944	3796096
9950	80968699
9951	22998105
9954	28513664
9960	24219745
9961	3767963
9986	638373
9990	58353789
10007	14714715
10018	60480505
10021	115861520
10026	14542212
10052	1489118
10054	22426724
10061	20946057
10070	58368574
10071	13457349
10075	6372799
10076	22619400
10079	3618364
10086	7575932
10091	19027287
10107	24333974
10112	22680550
10121	27223740
10122	3559429
10123	6035608
10127	80410609
10128	2435710
10133	60388479
10134	5804046
10143	6447116
10145	3518422
10167	7162441
10171	9544868
10172	5264917
10187	22187170
10205	23178101
10206	2105573
10213	131330664
10228	53848226
10233	5943773
10236	309498
10245	14488267
10254	561678
10262	2454854
10264	5008645
10269	4257811
10276	1341798
10282	130669374
10286	25221646
10287	2241218
10296	6398522
10301	171989687
10306	23481714
10307	8332284
10317	67856967
10322	64698068
10323	3372692
10324	24768507
10331	26845552
10334	5576825
10335	51348292
10336	2542456
10341	3398990
10347	5793173
10350	94200296
10356	4304544
10357	6318707
10363	55379834
10374	66014181
10376	4214001
10393	130039175
10405	3368276
10406	52149888
10410	2761645
10436	1795040
10447	52362249
10462	42447660
10472	63393722
10488	22992016
10489	22992774
10492	6673746
10493	14602162
10500	10745241
10540	303142
10566	397958
10567	1394433
10584	65689473
10607	25624435
10608	21439235
10610	21439368
10611	21439508
10613	21439801
10614	21439911
10615	136728270
10627	68268132
10633	25633395
10637	4816463
10651	108685700
10664	4141540
10665	4169313
10672	6295383
10685	4175365
10694	178745461
10702	132411344
10704	94951736
10713	177841788
10716	1953394
10718	177829730
10727	7788193
10739	159873540
10743	27022493
10765	27573861
10766	67780640
10771	9081869
10774	132487289
10806	5802
10814	122433252
10819	26773000
10833	65841315
10838	10711432
10844	122534987
10845	13045754
10872	26704313
10882	328000
10891	14418223
10900	12682954
10905	130224492
10906	131484937
10907	26359662
10908	26072315
10912	3687181
10913	12912023
10914	6363254
10918	65568525
10919	4143581
10925	29727670
10935	51063103
10936	5653073
10938	11112264
10951	5289911
10967	12900931
10969	56055756
10977	12445224
10980	11286995
10983	2768847
10998	22004384
11004	24601884
11009	8328057
11011	9623672
11021	893
11031	4378021
11032	4919449
11038	14161792
11040	52840432
11048	26890652
11053	117685370
11056	2553957
11061	130932317
11067	18005037
11075	24033534
11077	11597522
11089	117744521
11093	24914394
11099	14302424
11101	31720350
11102	2782778
11106	8374001
11108	4690279
11109	7406610
11114	38331543
11120	1826271
11123	321608
11124	94058508
11125	4619382
11129	8504604
11140	2048354
11141	130294802
11167	3707599
11172	9479812
11173	5847367
11177	27510432
11188	2462002
11193	581698
11195	4825355
11197	25764927
11207	21430175
11209	28280270
11214	22246050
11216	731274
11226	2539069
11228	27597325
11233	24902997
11236	29417980
11237	5821986
11242	11025353
11249	8539247
11250	130644366
11257	62187031
11263	27555467
11289	640955
11291	9811817
11297	12036945
11299	29606500
11301	153494
11305	48882849
11310	15167845
11311	160051078
11320	23134868
11322	80658282
11326	436259
11331	33686830
11335	15153923
11343	14451270
11344	555882
11349	109875719
11351	94951736
11363	352846
11366	14579388
11371	2873825
11378	17726997
11379	6292415
11386	38240246
11395	130599708
11396	5009315
11399	685511
11400	26815774
11410	3648829
11414	22570750
11415	625313
11417	37593840
11419	1780023
11425	2843580
11433	21944472
11436	27099045
11443	3257723
11445	20028
11458	25604053
11463	5829046
11464	21861358
11465	1627669
11474	6277612
11481	14882327
11482	4651338
11484	26869750
11486	18240273
11487	12265801
11490	26054896
11491	11292045
11493	118432961
11497	42338451
11498	220612
11499	23257467
11500	20765194
11504	28543653
11505	14424901
11507	13063103
11511	271600
11513	10335884
11516	6272056
11524	2771397
11527	18485283
11528	6107305
11529	18627420
11542	23806394
11543	35486300
11544	6008066
11546	1513365
11547	22631451
11548	5856152
11561	74336247
11564	130020466
11574	23780423
11575	1862
11579	3477972
11582	23008691
11585	26192705
11590	18275955
11591	19040631
11604	8825084
11614	160772230
11617	18826886
11619	5349296
11620	113124357
11627	26271726
11638	956512
11643	345116
11646	5218616
11647	402259
11650	5218616
11652	111264211
11653	5076941
11654	130681090
11656	11676130
11657	5218616
11659	111333168
11671	4780196
11679	24254179
11680	14794328
11685	27521366
11691	65121290
11694	38947181
11695	25449686
11704	63533819
11713	22704708
11716	12859971
11726	112757721
11727	24437397
11728	67283624
11732	4659565
11734	4621630
11739	24597703
11741	29417980
11743	25553064
11744	164621263
11747	4596641
11765	64107746
11766	36666074
11775	33921239
11783	199082
11786	23033817
11787	847981
11788	110859148
11789	24481578
11800	24343868
11801	203703
11805	24450876
11807	4418550
11810	323709
11812	1508376
11821	13156659
11826	24450876
11827	110720561
11831	26237854
11832	4529611
11842	22282907
11847	38822306
11856	11967404
11873	24126872
11893	72848800
11897	4487535
11900	33708905
11908	178752201
11911	178761995
11912	34286452
11913	53554462
11917	536312
11922	19016047
11924	36075491
11935	64143283
11938	178727486
11940	14738025
11944	5836969
11946	21738569
11948	5803791
11951	170073
11954	20253615
11963	2801095
11964	14966377
11969	67999027
11987	23184717
11996	40022
12003	21130467
12008	2114165
12011	57161915
12013	35618025
12016	26572421
12019	21190157
12020	33533274
12024	62130633
12027	4757323
12035	334803
12038	54914372
12039	5335706
12041	348873
12045	24825323
12046	8508064
12047	3061407
12048	99388303
12049	454386
12050	72094
12054	64646872
12060	13928284
12064	52673031
12069	639177
12073	5803791
12083	112522216
12086	170073
12087	333129
12088	79313406
12091	75558538
12092	2090298
12095	12303967
12100	18463306
12102	595101
12103	9706140
12106	19261771
12109	24876889
12111	3763779
12116	20565829
12125	7568940
12131	18012
12136	106343614
12137	10115609
12146	103292574
12157	23872521
12163	56089399
12166	23741731
12201	22278783
12202	632901
12210	12981990
12211	53220394
12212	53216577
12269	106439309
12277	69495718
12292	12377648
12293	30456577
12294	12981990
12305	101704506
12307	5374
12316	3676635
12321	135409823
12325	178783379
12327	9205732
12331	5218616
12334	105987927
12341	10517310
12343	131214632
12345	110819760
12350	21815219
12351	4452478
12354	28626953
12370	2256617
12379	1963259
12383	9121467
12384	10586336
12387	13537144
12388	18348792
12389	36554945
12391	10847796
12396	11362666
12402	26398498
12404	10599665
12412	11107309
12415	1870960
12421	10599665
12426	21871258
12428	8396431
12429	8396431
12430	8396431
12442	170073
12452	54903377
12459	23608254
12463	11183504
12464	20539749
12468	10028275
12469	140901
12470	2789507
12478	1859718
12479	105222209
12484	20700192
12485	1477
12490	16913711
12491	21507191
12493	14871990
12497	42869
12498	61683776
12500	5833822
12501	11628758
12502	51417382
12513	1871345
12515	42210385
12517	162871027
12527	42249184
12530	36561405
12531	93347206
12534	10729181
12536	39116171
12547	1745058
12551	6291849
12553	22298442
12556	20752629
12570	21465
12573	52286200
12574	18123965
12575	37409029
12576	178815058
12579	16217038
12582	178804950
12583	21465156
12589	160604680
12595	75117203
12602	2681641
12606	105890937
12610	78422585
12618	13361783
12619	130219574
12624	178797041
12625	109387626
12637	7214072
12646	16092336
12658	14985134
12660	131780764
12662	20822318
12668	13935218
12670	78451904
12672	64390289
12682	21897965
12683	75846031
12686	57336925
12688	22990539
12690	26765264
12698	35341864
12699	26208157
12701	85665261
12707	263581
12711	54401768
12717	29276296
12729	78569471
12734	42199661
12737	3277166
12741	5218616
12762	91628974
12765	244530
12766	78398043
12767	61568511
12779	176043
12783	18738498
12790	90928212
12805	26762941
12817	61338519
12822	85334966
12829	46260331
12833	105272
12845	42764868
12847	50738206
12852	48976656
12853	14843095
