geneid	dist
559	3812
564	5070
572	7000
575	7847
582	7419
590	6736
594	5880
605	5171
614	3572
619	1738
624	1142
636	77931
992	2049740
1024	32006491
1430	2500526
2011	6518116
3124	48073361
3855	1621959
3911	9644959
3990	10909583
4202	1621959
4208	2624074
4275	1621959
4374	1621959
4378	7580606
4416	36151529
4448	51145558
4475	6388054
4513	1621959
4544	49718314
4546	49718314
4676	4181844
4716	1652180
4717	1621959
4734	51145558
4747	1621959
4750	51145558
4772	2624074
4827	51145558
4828	2624074
4841	2624074
4857	1417903
4867	36151529
4901	6526178
5051	3364479
5059	1779563
5085	18151900
5098	1460120
5143	3846359
5151	3288963
5161	22873896
5198	16590814
5216	10588658
5242	1486944
5264	24012811
5266	3311933
5291	3109130
5302	5004597
5305	3102023
5362	3354730
5470	580658
5471	10542105
5505	9851175
5506	1536069
5522	20972231
5546	2904196
5562	3308907
5599	6505853
5608	20990577
5670	5718070
5697	3165254
5705	3279364
5740	3959760
5748	3160451
5780	6042094
5785	3429192
5798	2902372
5820	1345438
5837	113174
5854	2936783
5879	1486646
5898	35218497
5912	4892655
5913	1705001
5914	1540457
5916	2602688
5921	3168010
5930	1499958
5939	1413550
5951	1170894
5993	667281
6004	3116133
6012	35230925
6054	6536614
6061	9311020
6095	3701908
6101	8921738
6117	4610621
6121	1349713
6144	3198319
6160	2549375
6179	95515
6195	1987912
6204	4350350
6206	1553226
6228	104019
6230	657470
6267	2706250
6276	1730107
6278	264400
6291	4030153
6304	4242212
6308	2555935
6316	3122609
6329	35230925
6351	6031299
6390	10569491
6391	8143366
6401	758528
6429	4313737
6441	1648569
6469	4908727
6470	758528
6474	1259230
6504	3510816
6514	20926616
6538	617712
6552	10437097
6567	2890740
6597	1218485
6653	2579581
6658	4590568
6667	33452419
6689	119659
6709	2540532
6722	87439
6723	5126359
6731	4097566
6745	5573958
6760	1451381
6771	2877270
6784	6515804
6808	9459743
6809	1545300
6816	45507064
6821	9481022
6834	81377
6847	248241
6861	758528
6890	2276625
6916	9304079
6918	2485718
6923	124184
6931	3325387
6939	763868
6946	3200799
6952	4003406
6953	5938341
6974	8611424
6986	2613473
6987	4177473
6988	1127410
6990	28874590
6997	1599925
7007	10577075
7014	103993
7045	1462947
7052	425547
7058	3404250
7066	3354730
7084	4535208
7108	2986973
7119	50593220
7144	1417617
7158	27546518
7166	3446640
7176	387468
7179	5968827
7183	751222
7190	5013744
7222	7704597
7237	3666733
7258	538750
7264	5534616
7299	2340927
7301	1065346
7306	31160895
7312	248241
7327	864559
7333	524871
7338	2519398
7346	2969731
7353	4701649
7385	423674
7411	1552184
7425	1430234
7426	5586570
7428	4299164
7430	5791987
7443	690365
7455	4275192
7462	2646222
7469	524871
7496	23030015
7498	4887709
7499	37584786
7503	2583696
7511	881370
7525	3170215
7536	5402465
7540	2604846
7546	2782660
7562	248241
7580	1221863
7590	7527574
7606	524871
7611	406949
7637	2582989
7648	3064244
7649	103993
7659	53460007
7688	2787131
7692	1452650
7701	4303169
7709	4259972
7719	4263159
7733	850606
7738	616801
7739	5518103
7741	1162666
7760	117592
7761	998873
7776	2731670
7777	3152804
7791	19492221
7808	758528
7816	8991295
