geneid	dist
559	3688
564	4937
572	6861
575	7690
579	7520
582	7359
590	6679
594	5827
602	5408
605	5118
614	3543
619	1735
624	1134
992	904556
1024	910601
1032	99640
1238	99640
1430	664075
2010	7778134
2011	7824511
2014	7779132
2929	849453
2932	904770
3124	397030
4104	418918
4208	1854092
4378	379911
4475	3858896
4772	1854092
4828	1854092
4841	1854092
5051	5603919
5059	1410585
5085	5578810
5098	1211065
5143	3007247
5151	8533495
5161	3293910
5197	1828026
5198	9158284
5216	8163001
5234	6883616
5242	10203
5249	3046179
5264	1177524
5266	950833
5280	3439392
5291	7696393
5302	8925421
5305	3197667
5331	1269672
5345	8867372
5362	5636961
5369	7015846
5401	1774315
5467	10030411
5470	5958765
5471	4961186
5505	4180089
5506	2332225
5522	9287489
5546	14714784
5557	8907724
5562	9231919
5599	5411002
5608	9530448
5631	2006273
5654	773237
5659	863207
5670	1686641
5691	12127800
5697	7687089
5705	9863300
5730	1499675
5740	11060788
5748	7594575
5772	850541
5780	13776172
5785	575855
5798	14702843
5820	9617868
5837	1766490
5841	13479205
5843	14529351
5854	9910943
5877	9477242
5879	2686067
5898	11888126
5912	10643604
5913	9316411
5914	9031367
5916	9974736
5921	5716737
5930	7484553
5939	2104521
5951	5231228
5977	1269672
5993	8054881
6004	407294
6012	11194841
6023	3137399
6050	5191161
6054	9477131
6061	4613657
6095	11668248
6101	12812976
6106	1265777
6117	8708415
6120	35259
6121	2135649
6144	4669487
6160	14290166
6179	1537048
6198	4876810
6201	1774315
6204	3457131
6206	235882
6215	11242336
6228	1291657
6230	1414918
6266	439099
6267	9822852
6276	7041107
6278	8388162
6287	13196436
6291	176820
6304	14772031
6308	14192764
6316	6922791
6329	11194841
6338	3047163
6351	14159372
6360	14091619
6390	6367955
6391	10129549
6401	10048383
6416	10164198
6441	601596
6469	10592135
6470	10048383
6474	154254
6504	301683
6538	297378
6552	4081364
6567	14116144
6597	1295603
6653	1115858
6658	8989141
6663	666523
6667	1448488
6676	2300
6689	377642
6709	4061421
6722	1591215
6723	7449890
6731	1553164
6745	9356066
6760	52339
6764	12337754
6771	13426725
6784	1384601
6808	9415969
6809	884327
6813	2891620
6816	5296986
6820	2282356
6821	1747964
6839	9150598
6850	1527362
6855	2891620
6861	10048383
6863	11496923
6890	6201376
6898	6721118
6905	8908185
6913	1527362
6916	4587874
6917	11633632
6918	10408376
6920	6766079
6923	1510369
6931	12595248
6939	4745996
6942	9221690
6946	3839035
6952	10720856
6953	7357476
6974	1279444
6986	7719484
6987	7267900
6988	11010046
6990	1656449
6997	6150858
7005	3253503
7007	6471907
7013	10674056
7014	3672382
7045	2078152
7052	13584365
7058	9802831
7066	5636961
7084	5251552
7098	8918222
7108	8780148
7114	11426377
7119	1475
7144	2262628
7151	8821529
7158	12012
7162	10425438
7166	1758201
7176	12673338
7179	4803118
7183	6142469
7190	14516015
7222	198436
7237	6149987
7258	480294
7264	16078525
7299	327758
7301	11302813
7327	1972252
7333	11324647
7338	14264124
7346	15684938
7353	10342043
7385	12052820
7411	839188
7425	2436876
7426	10324549
7428	273786
7430	10197808
7443	735805
