geneid	dist
559	3723
564	4978
572	6913
575	7736
579	7525
582	7364
590	6684
594	5830
602	5413
605	5123
614	3544
619	1740
624	1139
631	16954
992	9467
1024	1860
2011	27976
3124	91204
4104	235149
4208	16129
4378	239617
4475	245635
4772	16129
4828	16129
4841	16129
4881	25188
5007	134
5051	6594
5098	150224
5143	6070
5151	37175
5161	82958
5197	28853
5198	42795
5216	64611
5234	135342
5242	53600
5249	959
5264	89625
5266	111601
5280	25537
5291	29372
5302	90659
5331	30222
5345	33166
5362	63518
5369	46709
5401	11234
5467	47830
5470	153097
5471	36465
5505	8423
5506	63342
5522	122171
5546	18037
5562	102887
5597	86164
5599	41446
5608	274193
5631	113677
5654	14123
5659	150600
5670	14617
5691	67331
5705	152505
5730	191
5740	64001
5748	18554
5780	73367
5785	93031
5798	48148
5820	71019
5837	30248
5841	156749
5843	100190
5854	145393
5877	16692
5879	123740
5898	215834
5913	135393
5914	4234
5916	100907
5921	208813
5930	74687
5939	103662
5951	86459
5977	30222
5993	200560
6012	27790
6050	74316
6054	43198
6061	21250
6095	34826
6101	32832
6106	53586
6117	3845
6120	31886
6121	25509
6138	98132
6144	57405
6160	3829
6179	254876
6195	22119
6198	452
6201	11234
6204	63717
6206	24088
6215	10550
6228	77585
6230	98706
6266	251512
6267	204361
6276	679781
6278	111972
6290	959
6291	90439
6304	62737
6308	117540
6316	103632
6329	27790
6338	308
6351	276021
6390	111747
6416	18896
6441	103212
6469	132660
6504	233348
6514	31591
6538	138210
6552	349114
6567	191351
6597	160708
6653	43978
6658	947
6663	121701
6667	19379
6676	59523
6689	388825
6709	46907
6722	13045
6723	128725
6731	93997
6745	12304
6760	9472
6784	51517
6808	144647
6809	101166
6813	39691
6816	18644
6820	40407
6821	95549
6826	9957
6834	116926
6847	8628
6855	39691
6863	31280
6890	25746
6898	125904
6905	39811
6916	75170
6917	222836
6918	35265
6920	12831
6923	151570
6926	7472
6931	1390
6939	308804
6946	14569
6952	32490
6953	147589
6974	124269
6986	9384
6987	57264
6988	18033
6990	56254
6997	296127
7005	2129
7007	61478
7014	66525
7057	11384
7058	181167
7066	63518
7084	26993
7098	9827
7108	113751
7114	422
7119	5399
7144	52538
7151	9464
7158	4337
7162	13347
7166	149005
7179	67383
7183	6546
7190	20973
7222	44618
