geneid	dist
559	3696
564	4965
572	6885
575	7733
582	7485
590	6802
594	5948
605	5231
614	3579
624	1155
636	18549612
1430	20328645
1711	2911778
1712	2911778
2011	4538510
2929	92559498
3911	47611406
3990	61495713
4104	70740874
4208	63180529
4378	12529334
4448	122145911
4475	73928123
4529	19825176
4548	5340850
4714	5340850
4734	122145911
4750	122145911
4772	63180529
4827	122145911
4828	63180529
4841	63180529
4881	58644561
4901	47424154
4919	45590558
5007	67694900
5051	35023424
5085	35011623
5098	31408550
5143	32570704
5151	37569845
5161	32847180
5197	44581021
5198	38321760
5216	39427470
5234	25710401
5242	31484496
5249	32613631
5264	12883133
5266	44445297
5280	33054059
5291	39733343
5302	77060407
5305	39609331
5362	35097564
5369	40007347
5401	44487832
5467	54123965
5468	36593735
5470	25167599
5471	50530855
5505	43705182
5506	32150127
5522	84154199
5546	33340218
5562	38096834
5599	50825156
5608	84078468
5654	4481447
5659	92246314
5670	48396345
5691	55520900
5697	36737371
5705	54022516
5740	34923875
5748	36676257
5772	59650498
5780	30669539
5785	45773211
5798	33365978
5820	83880288
5837	44453462
5854	35915881
5877	36304653
5879	89650641
5898	55424721
5912	54500355
5913	6520250
5914	84346754
5916	35782195
5921	51094020
5930	85514765
5939	90335820
5951	50715014
5993	81758658
6004	47625194
6012	54828414
6050	50629786
6054	36263226
6061	38070442
6095	34507908
6101	56123154
6106	74053753
6117	63851011
6120	47187305
6121	83845370
6137	1702355
6144	41541197
6160	57307807
6179	74298370
6195	33784744
6198	87571035
6201	44487832
6204	33385420
6206	84241399
6215	54842884
6228	74108206
6230	74454376
6266	71764742
6267	28278518
6276	113391958
6278	37440151
6291	12505997
6304	33327353
6308	57258757
6316	40175965
6329	54828414
6338	32613854
6351	31128673
6360	57183197
6401	10980393
6416	33843003
6429	42856653
6441	92618405
6470	10980393
6474	12381207
6504	47070471
6514	93526005
6538	76170320
6552	75788965
6567	33779795
6597	15614614
6653	12808455
6658	79668995
6667	35708290
6676	11167870
6689	73226922
6709	43364151
6722	74346120
6723	85545301
6731	31582964
6760	89848767
6771	34025335
6784	94248760
6795	36593735
6808	38218755
6809	92183421
6813	6700
6816	4817641
6820	133936
6821	44421676
6834	153989
6839	36576599
6855	6700
6861	10980393
6863	34652186
6890	25252150
6891	11928402
6898	26558939
6905	28088692
6916	38039158
6917	30419503
6918	11816510
6920	26625590
6923	97922970
6931	4175767
6939	2879118
6943	11928402
6946	42168793
6952	35190670
6953	5431553
6974	94197201
6986	27133624
6988	29976204
6990	98083684
6997	19066853
7005	18892
7013	35206863
7014	1659671
7045	174289
7058	36133224
7066	35097564
7084	4680054
7104	87130643
7108	12857519
7119	31248804
7144	90106035
7158	47217125
7162	11914795
7166	1591807
7176	4074886
7179	9854145
7183	756137
7190	57482811
7222	96747669
7237	3956187
7258	80489755
7264	34870578
7299	8228483
7301	30182339
7306	8975504
7327	48441875
7338	31952638
7346	13305494
7353	62804769
7380	11928402
7411	9756976
7425	90012310
7426	51280131
7428	24392794
7430	51401110
7443	92537393
7455	161166
7461	4218119
7462	32622448
7496	48161528
7498	61048826
7499	1572152
7503	77761623
7511	50771885
7525	37168101
7536	76172911
7540	26652153
7546	12597145
7580	1913988
7583	539068
7590	27999714
7595	9844597
7611	4061898
7637	26422224
7648	12792559
7649	1678309
7659	34416755
7688	12635821
7701	24406795
7709	135155
7714	38118279
7719	121684
7733	38947229
7738	52910530
7739	34926297
7741	36164963
7760	92853294
7761	57069150
7773	44687304
7776	26697641
7777	36470934
7791	25600464
7808	10980393
7816	18979152
7832	38984196
7834	300883
7854	38675968
7882	97336639
7883	1179085
7887	1602118
7900	44629312
7918	53346335
7919	20034159
7923	47201
7926	18971062
7931	26714973
7933	98380074
7937	197100
7938	3458468
7983	50020633
7987	79172191
7993	9708373
8006	48291083
8013	4733799
8018	1285310
8019	53798086
8031	33569777
8042	112744577
8044	51771720
8071	52930372
8074	14979831
8082	43191610
8083	26685256
8096	580324
8097	92599283
8101	94286160
8117	31839416
8120	35642565
8148	22004844
8153	14592409
8160	50874271
8163	9696622
8170	82596693
8172	94733884
8203	10184717
8207	38569730
8219	51790484
8234	53044263
8236	81834882
8245	51866923
8247	50567593
8297	74116931
8312	12814229
8321	12383236
8336	25167599
8360	4296445
8378	51041589
8394	47747491
8397	1301431
8413	610659
8417	39797752
8430	79465558
8431	48361058
8438	51401110
8447	76769156
8450	39856529
8455	72877024
8458	95812920
8459	19994389
8462	83796678
8463	10012936
8465	52132817
8481	72258699
8488	6546608
8489	30469224
8500	1535361
