geneid	dist
559	3741
564	5001
572	6909
575	7735
582	7527
590	6844
594	5991
605	5279
614	3695
619	521
624	1868
992	285507
1430	1626369
2011	1647643
2735	402777
2929	5321
2932	287
3152	287
3361	402777
3911	229064
3990	54925
4104	2042438
4208	2498335
4378	1520533
4416	7603
4448	2420312
4475	174300
4529	1102265
4548	404095
4714	404095
4734	2420312
4750	2420312
4772	2498335
4827	2420312
4828	2498335
4841	2498335
4867	7603
4881	1165723
4901	106231
4919	1101722
5007	1241854
5051	1994191
5059	2147550
5085	1982475
5098	2077927
5143	641685
5151	3424401
5161	884615
5197	1567944
5198	3910884
5216	3958843
5234	2059873
5242	2173548
5249	661107
5264	583533
5266	955668
5280	949865
5291	3768758
5302	1607138
5305	3830969
5362	2168649
5369	3631733
5401	1625893
5467	217753
5468	1419634
5470	2321216
5471	1240367
5505	2116387
5506	336790
5522	2699078
5546	1056152
5562	3746319
5599	1076743
5608	2556104
5654	936902
5659	834593
5670	1310644
5691	395780
5697	3033132
5705	147948
5740	2099655
5748	2986761
5780	52141
5785	290207
5798	1075632
5820	22265
5837	1648925
5843	74712
5854	1891585
5877	1608308
5879	634726
5898	328562
5913	386586
5914	2833757
5916	1980692
5921	997106
5930	3144296
5939	120487
5951	1119733
5993	1352757
6004	831522
6012	89003
6050	1146815
6054	1631466
6061	495301
6095	1839540
6101	737442
6117	1595
6120	566697
6121	45138
6179	1854727
6195	1335506
6198	1833814
6201	1625893
6204	1087875
6206	2768736
6215	77621
6228	1706763
6230	996385
6266	184971
6267	669030
6276	242995
6278	3327939
6291	325306
6304	1049078
6308	1517468
6316	3585058
6329	89003
6338	667019
6351	335052
6360	1466878
6390	174601
6401	579032
6416	1383147
6429	68983
6441	1120835
6470	579032
6474	234524
6504	457740
6514	1245530
6552	924069
6567	1409824
6597	2892158
6653	562203
6658	941
6663	176259
6667	2034030
6676	481924
6689	1161575
6709	2338012
6722	1783946
6723	3128448
6731	757
6760	408466
6771	1506019
6784	761115
6795	1419634
6808	3848798
6809	792991
6813	628
6816	728488
6821	1693396
6839	1429292
6850	25878
6855	628
6861	579032
6863	1925149
6890	2250967
6898	1271647
6905	2506403
6913	25878
6916	520743
6917	1216801
6918	60866
6920	1297162
6923	344712
6936	2997
6938	2997
6939	1960319
6942	2997
6946	2348862
6952	2278890
6953	21658
6974	731484
6986	3030496
6988	1418335
6990	419715
6997	224407
7007	127381
7013	2287216
7014	46214
7058	1827776
7066	2168649
7084	826099
7094	2997
7104	2149764
7108	4645282
7119	641797
7144	266356
7146	2997
7148	2997
7158	577097
7162	2998
7166	239604
7179	3238463
7183	95003
7190	1662048
7222	6492
7237	103622
7258	548105
7264	1410319
7299	647847
7301	1289788
7306	3796230
7327	773178
7338	207617
7346	1138684
7353	723420
7411	784255
7425	364731
7426	162270
7428	350186
7430	256299
7435	2997
7443	1081796
7455	211707
7461	40920
7462	100031
7496	564612
7498	1586851
7499	1325188
7503	45951
7511	237648
7525	3201475
7536	652095
7540	1313770
7546	4839631
7580	1389495
7583	889197
7590	2546799
7595	858033
7611	1279735
7637	1206022
7648	4732725
7649	27306
7659	1161789
7688	4777528
7701	1158856
7709	728964
7714	448519
7719	719408
7733	180377
7734	2997
7738	1277741
7739	1446105
7741	1712253
7760	1274086
7761	1368241
7773	824924
7777	2860477
7791	2078276
7808	579032
7832	4223266
7854	30322
7882	41490
7883	1110667
7887	1336777
7907	25878
7918	1607292
7923	162166
7926	29317
7931	3305294
7933	621950
7938	944040
7983	789325
7987	38922
7988	25878
7993	734188
8002	25878
8006	1182487
8018	696629
8019	24534
8031	1190035
8042	377983
8044	495942
8071	71152
8074	3414425
8082	898847
8083	1333358
8096	125233
8097	1111890
8101	783369
8117	358261
8120	2365114
8143	1648679
8148	812864
8153	3486000
8160	1028402
8163	726954
8170	1897669
8172	1102205
8189	36705
8203	1066315
8207	77792
8229	2997
8236	1400834
8245	560511
8247	391683
8255	2300084
8286	2946096
8297	1728726
8312	4675330
8321	4878674
8336	2321216
8378	54140
8394	909648
8397	719047
8411	1640843
8413	135590
8417	677200
8430	1810390
8431	1293096
8438	256299
8441	1706510
8447	51456
8455	736621
8458	812839
8459	114228
8462	91410
8463	964298
8465	731126
8481	1000658
8489	1126270
8500	647104
8505	1138809
8510	4787936
8519	1241854
8526	2700983
8553	65445
8561	245539
8562	1521816
8563	1043771
8571	3214024
8577	4226619
8579	2166587
8582	2907274
8589	1228319
8600	50408
8623	380644
8625	3247984
8635	31722
8636	822448
8641	2214952
8656	1492529
8657	1537034
8662	241083
8663	2177830
8665	166641
8674	827113
8675	1362658
8677	1182783
8691	1425868
8698	926173
8702	1351957
8709	396653
8710	3069
8716	1335211
8723	2241742
8730	2118288
8742	1884522
