geneid	dist
559	3725
564	4981
572	6915
575	7738
582	263
590	6680
594	5826
602	5409
605	5119
614	3544
619	1740
624	1139
992	8965763
1005	14724169
1032	2702340
1238	2702340
1430	17083575
2011	42073
2929	492
3124	562711
4104	2867877
4208	564084
4378	9254313
4475	291938
4525	911884
4530	1659219
4544	19748652
4546	19748652
4772	564084
4828	564084
4841	564084
4856	4420264
4881	1822815
5007	1410719
5051	2902543
5085	2893859
5098	269122
5143	1307278
5151	5016028
5161	1496679
5197	13097426
5198	22494596
5216	7080399
5234	36959603
5242	400327
5249	1335422
5264	10341157
5266	12171716
5280	1572389
5291	7366301
5302	33022
5331	11999393
5345	5300263
5362	3172641
5369	7793057
5397	22027299
5401	13170853
5467	13048828
5470	37652271
5471	16975059
5505	13911106
5506	945695
5522	536574
5546	27161737
5557	5342053
5562	5591859
5597	27045543
5599	16604084
5608	816250
5631	6657064
5654	5269578
5659	7822364
5670	15401837
5691	11250180
5697	4433190
5705	13309151
5740	23921236
5748	4370333
5780	30458012
5785	13122105
5798	27146336
5820	896003
5837	13188023
5841	26017046
5843	29709569
5854	22804606
5874	25821634
5877	22294661
5879	5935662
5898	11600084
5912	12554465
5913	566412
5914	294736
5916	22864081
5921	16430418
5930	950037
5939	6649309
5951	16685969
5977	11999393
5993	3872771
6004	14415644
6012	12071824
6050	16721821
6054	22321354
6055	25750326
6061	20236627
6095	24521120
6101	10566327
6106	1225622
6117	636399
6120	14029520
6121	947999
6144	9328217
6160	9181799
6179	1490988
6195	800056
6201	13170853
6204	27118549
6206	453780
6215	12053830
6228	1248804
6230	4561163
6253	10234678
6266	4965829
6267	34383574
6276	3437120
6278	4908566
6290	25862081
6291	10224310
6295	25821634
6304	27233256
6308	9317330
6316	7933543
6329	12071824
6338	1336056
6351	30238736
6360	9437848
6390	5735736
6401	10971209
6416	870093
6441	8220370
6469	12717321
6470	10971209
6504	13961596
6514	8877762
6538	6727030
6552	3862206
6567	26649359
6597	1668748
6653	10288463
6658	8065800
6663	17898066
6667	22933033
6676	9928414
6689	411856
6709	14129411
6722	1539599
6723	1004069
6731	489876
6745	13664324
6760	6148960
6764	25316833
6771	25961651
6784	15393907
6808	5769202
6809	7774843
6813	2271458
6816	19053
6820	2970758
6821	13279384
6826	3614876
6834	3046614
6839	22054707
6850	11615740
6855	2271458
6861	10971209
6863	24333328
6890	37406147
6898	1153359
6905	3396237
6913	11615740
6916	20279391
6917	1749444
6918	10698757
6920	1200126
6923	11449934
6926	3708800
6931	6485496
6939	824221
6946	9989149
6952	23600921
6953	12892809
6974	15463934
6986	2149153
6987	6643240
6988	2109602
6990	11217938
6997	2475919
7005	2184340
7007	5819122
7013	23541399
7014	1786552
7045	3077777
7057	3647335
7058	22760384
7066	3172641
7084	72360
7098	11655877
7108	1833158
7114	5236157
7119	355789
7144	6382940
7146	11593227
7151	11753257
7158	14038899
7162	10676699
7166	16986173
7176	6561163
7179	1865029
7183	401545
7190	8979207
7222	12499046
7237	13591903
7258	5441307
7264	9937824
7299	11163135
7301	1923970
7306	17434841
7327	3541342
7338	813813
7346	9562854
7353	2469180
7385	944309
7387	13197510
7411	12354248
7425	6265016
7426	614149
7428	4433758
7430	700675
7443	8174318
7455	14345663
7461	13340932
7462	1852775
7469	3275
7496	3567823
7497	3776739
7498	4485505
7499	8995204
7503	6051090
7511	12464
7525	4717049
7536	4144548
7540	1222520
7546	1202111
7562	10670964
7580	8839655
7583	4791795
7590	3313824
7595	12282275
7606	5157141
7611	6647342
7621	2469093
7637	910867
7648	1600370
7649	1898082
7659	4160205
7688	1294266
7692	5367729
7701	4361424
7709	4664197
7714	20168563
7719	4658459
7733	19048298
7734	11593227
7738	2266948
7739	9675113
7741	22515272
7760	8482494
7761	9520086
7773	12369882
7776	1320491
7777	4199485
7791	36982634
7808	10971209
7816	11559040
7829	15263045
7832	6525011
7834	3807491
7854	804881
7882	11911072
7883	9573150
7887	8919396
7900	13083538
7907	11615740
7918	2810503
7919	11316899
7923	2087365
7926	11602954
7931	1322293
7933	11130926
7937	3206547
7938	7396354
7983	1043549
7987	7480472
7988	11615740
7993	12438048
8002	11615740
8006	15273962
8013	12915643
8018	6586041
8019	13532404
8029	1434440
8031	26861445
8042	3698622
8044	1097292
8061	11284533
8071	14516876
8082	15609392
8083	1261861
8094	5388267
8096	4524022
8097	8202928
8101	15365903
8117	674330
8120	3392144
8143	5991011
8147	5168148
8148	5144624
8153	8188
8160	16519245
8161	10649836
8163	12463658
8164	3957481
8170	2726857
8172	15005925
8184	25821634
8189	6712781
8203	11912018
8207	19602126
8219	1122474
8234	2412149
8236	3632031
8244	15218909
8245	1218037
8247	331350
8255	5321601
8286	2742111
8297	1278866
8312	1615924
8321	1098508
8332	2789502
8336	37652271
8360	13216441
8378	373147
8380	14724169
8394	14560282
8397	6528723
8411	6013958
8413	4611718
8417	17870790
8430	338676
8431	15350367
8438	700675
8441	5898362
8447	1899953
8450	7592124
8455	768738
8458	2673715
8459	11410455
8462	1108046
8465	1543116
8481	1313254
8489	1554136
8500	8731787
8505	870854
8510	1283295
8519	1410719
8526	9587115
8547	831226
8553	301447
8557	1988682
8561	12148305
8562	6558506
8563	979459
8571	2265390
8577	95889
8579	11513
8582	7101163
8600	11721802
8603	5105261
8623	12144900
8625	6788801
8635	2080501
8641	3048291
8653	15273935
8656	2007308
8657	6497908
8663	15304703
8665	616132
8673	10240741
8674	1780716
8675	8892251
8677	863269
8691	5854888
8698	14327807
8702	731675
8708	356196
8709	18373406
8710	12635206
8716	5713434
8742	22794618
8745	260616
8746	8054272
8751	427068
8759	1919617
8761	8403492
8768	985557
8771	2150434
8775	533839
8782	291938
8789	1155133
8792	15483966
8795	27277965
8796	4208164
8805	9221204
8832	2389404
8833	2889765
8885	712389
8898	696427
8921	14234010
8928	40128806
8950	22836831
8964	3401573
8965	7102941
8974	10450941
8986	6528871
8994	279223
8999	8403482
9007	2916241
9012	1941085
9019	1454347
9020	4032239
9026	3984947
9027	15132610
9040	7650489
9043	1402882
9045	1679780
9047	230145
9052	3914621
9067	6840069
9079	9972772
9094	8254512
9106	22515272
9108	2822618
9119	326363
9132	18307833
9155	5208391
9173	12785245
9178	830217
9196	78014
9209	29293894
9214	14179266
9216	2176064
9226	10305773
9228	10099438
9232	3090546
9238	10970072
9248	16135336
9251	9572473
9260	5268947
9265	16777502
9267	562498
9269	4663778
9270	1994177
9287	7720303
9291	955984
9317	3074560
9324	15425305
9327	4110364
9338	205693
9341	5674737
9345	12328236
9348	3173407
9367	14230401
9383	4416037
9398	14724169
9411	38592498
9414	38591759
9415	38546187
9430	12288475
9440	9285302
9443	3589511
9449	15160469
9458	287847
9466	8603661
9474	2265390
9485	17092247
9495	15051197
9504	8752065
9519	565696
9534	132762
9541	9937797
9554	563110
9574	4239199
9577	20466922
9578	14439125
9583	21698260
9587	532726
9588	10194796
9596	9852511
9600	88824
9602	6716
9617	10692966
9621	23837349
9625	10207620
9633	319107
9636	3242397
9648	2921962
9652	1783388
9655	13987140
9657	149278
9668	2287039
9670	14676314
9678	23719309
9683	679765
9716	4369900
9718	810270
9722	13689112
9725	12010455
9729	1941523
9732	494804
9735	11139973
9741	24531194
9744	501684
9745	457932
9748	797052
9751	22027299
9752	37579506
9758	7417335
9759	3584428
9770	3264281
9772	6033334
9774	1572354
9779	30507531
9790	8462557
9793	1992514
9794	13994426
9806	40515028
9808	671839
9810	786247
9811	73838
9813	7693500
9821	244811
9851	3126093
9852	1312600
9853	4108042
9864	10761454
9866	1784
9870	11363914
9878	4910191
9880	3211151
9893	22054707
9902	19952801
9922	28508044
9930	10814193
9933	19663820
9943	8107961
9944	13604007
9950	11971920
9951	1198707
9954	15367342
9960	766392
9961	13548515
9986	14344281
9990	8324223
9994	4781246
10007	5185169
10008	521574
10018	961606
10021	13517376
10026	6698848
10033	13502008
10037	10965595
10052	7088485
10054	601908
10061	4297893
10070	8386229
10071	6472159
10075	1721976
10076	829922
10079	13401705
10086	636399
10088	16026743
10091	10362846
10107	6711537
10112	962096
10117	554
10118	10562187
10121	13726419
10122	13279384
10123	505589
10127	12793135
10133	10082756
10134	2916859
10143	1894030
10145	13188023
10167	19252281
10171	1726976
10172	4343529
10187	347342
10195	5094112
10203	5184856
10204	16804653
10205	15601878
10206	8634979
10209	1833171
10212	777633
10213	2108038
10228	489181
10233	380757
10245	3374902
10254	2974086
10262	5607088
10264	15227158
10269	3984469
10276	36132
10282	1892441
10286	9685242
10287	6340540
10293	8664522
10296	1766121
10298	16876421
10306	5442298
10307	5119688
10317	171350
10322	3728654
10323	165497
10324	5456898
10326	512
10331	12321041
10334	3755927
10335	5764849
10336	5478971
10341	1971539
10347	2969921
10350	3601006
10356	14221315
10357	2523933
10359	235886
10363	3130517
10374	2098313
10376	14179266
10385	1923209
10393	490550
10405	1473756
10406	4754693
10410	5645945
10415	10964167
10436	5662444
10444	10800924
10447	3920870
10462	10029636
10472	5494893
10479	7179752
10484	11350095
10488	4764710
10489	4765100
10493	3666296
10498	13831569
10500	1855305
10507	28181374
10516	144782
10520	1347089
10535	393660
10540	1294774
10560	6129896
10574	14047516
10606	2336338
10607	7036517
10608	15682316
10609	15159951
10610	15682466
10611	15682603
10614	1678078
10615	4966835
10627	84942
10633	7015299
10634	13147315
10635	28181374
10637	8743046
10645	28181374
10651	510570
10664	14083624
10665	1907576
10670	10265384
10672	1661858
10684	6480512
10685	14129411
10694	15709329
10702	2999271
10713	17122484
10716	8299979
10718	17128578
10722	17155423
10727	20554995
10739	16798305
10743	4630904
10765	9383093
10766	280833
10771	22980585
10772	5463218
10774	3029754
10806	22883137
10814	12213517
10819	5096914
10833	2291028
10838	10516582
10844	12310869
10845	6754033
10872	5180862
10875	1282000
10882	10834384
10891	3129311
10900	7305809
10906	2121756
10907	5756309
10908	6408461
10912	2475991
10913	6872112
10914	1931616
10918	2726486
10919	2230582
10925	12595085
10928	3558140
10935	6309916
10936	3731563
10938	10398074
10951	15600089
10953	4308314
10967	6961401
10969	4635905
10977	3355223
10980	29380843
10983	12527239
10997	16535024
10998	2902543
11004	544906
11009	8719463
11011	23969800
11015	8782394
11021	222080
11023	23938339
11025	5475
11031	14312458
11032	5063132
11036	9483169
11038	8790672
11040	3037012
11053	10454284
11055	11412596
11056	12199692
11060	14280160
11061	1836766
11067	7174619
11075	11012278
11077	30365113
11089	12618003
11093	11579069
11099	8065126
11102	432595
11106	21811215
11109	1153858
11114	9842487
11120	807925
11123	10929512
11124	3576531
11125	480236
11129	22067549
11131	15483966
11140	964150
11141	1144473
11167	669004
11172	23696357
11173	1938456
11177	14128595
11187	5828452
11188	12136986
11193	3010296
11195	221392
11197	12029114
11198	6292975
11207	1058400
11209	15224713
11214	2550049
11216	14523033
11217	702611
11225	73980
11226	6002029
11228	14241502
11233	11557989
11236	12432601
11237	1972004
11242	10475451
11243	40830843
11249	10837316
11250	1902926
11257	7441781
11263	3890725
11289	14358700
11291	10772026
11297	7641719
11299	12782050
11301	909530
11305	7324580
11310	40757808
11311	15807753
11320	1972363
11322	12437705
11326	11953598
11329	2137449
11331	15560995
11334	12742116
11335	40624723
11343	3271335
11344	16493694
11349	17544580
11366	3636546
11371	336764
11374	10266963
11378	4721770
11379	17511989
11386	8420775
11395	1957544
11396	81986
11399	12046389
11400	5029771
11405	1432785
11410	511024
11414	10053314
11415	598243
11417	6934197
11418	956633
11419	585904
11425	418421
11430	842371
11433	277734
11436	13482120
11443	211687
11445	17310209
11458	126716
11463	1946524
11464	554574
11465	5538259
11474	4117690
11481	4883100
11482	449279
11484	12448121
11487	5063122
11490	6654603
11491	422581
11493	13199893
11497	4331581
11498	293002
11499	1855581
11500	2480587
11503	6480995
11504	15377846
11505	5478687
11507	457887
11511	14361626
11513	175146
11516	17348985
11518	6064921
11524	9636650
11527	588737
11528	17269377
11529	504703
11542	1173387
11543	59774
11544	16919074
11546	1089832
11547	839878
11548	16769332
11564	526246
11574	5957588
11575	12422009
11579	234425
11582	4780583
11585	914898
11590	442867
11591	5573782
11592	763954
11600	8754458
11601	6129896
11604	29124365
11614	14056572
11617	5427001
11619	15746040
11620	869071
11625	567613
11627	12658725
11628	14121547
11636	4467443
11638	3842895
11643	1580182
11645	1572134
11646	584
11647	1510139
11650	584
11653	15271304
11654	1883860
11656	610239
11657	584
11658	4489
11659	1561888
11661	13791412
11670	1184069
11671	14859255
11679	19373208
11680	5090312
11683	14188256
11685	14136655
11691	3517610
11694	7169435
11695	10007953
11696	834129
11704	5345355
11713	10227136
11714	4489
11716	6972372
11724	1064268
11726	985948
11727	653039
11728	923673
11732	14760239
11733	14737406
11734	14697966
11739	8753123
11741	12432601
11743	11914131
11744	3477420
11747	14669404
11759	12461380
11765	4185917
11775	14998197
11778	8610827
11780	19705868
11783	12384163
11786	11001046
11787	2791492
11788	1776340
11789	8594779
11800	691563
11801	611225
11805	8552447
11807	7967152
11810	15015789
11812	7155519
11821	7234879
11826	8552447
11827	2159750
11829	14604941
11831	991044
11832	14574740
11842	457562
11847	7361746
11856	7667477
11869	12024765
11873	825429
11890	48576
11893	3029613
11897	14459203
11900	15499493
11908	15559874
11911	15578831
11912	14386100
11913	5739158
11917	449524
11922	8395875
11924	12227957
11935	4155062
11938	15875751
11940	5163127
11946	2454665
11951	357
11954	6652774
11963	12558785
11964	7345050
11969	124061
11987	10174335
11995	4296710
11996	9611421
12003	1410042
12008	1021271
12011	6311052
12013	5926671
12016	11941440
12019	8318927
12020	15866285
12024	7861757
12025	857359
12027	331705
12035	11926361
12038	4978263
12039	144915
12044	722578
12045	5508807
12046	5348131
12047	10489038
12048	7675068
12049	6453233
12050	17850471
12054	3603806
12060	7749890
12064	3230026
12069	17077307
12083	1036948
12087	15122756
12088	11978151
12090	856043
12091	2850436
12092	1720048
12095	595423
12100	609130
12102	326316
12103	10721739
12106	10448071
12109	11528575
12111	723842
12116	9693046
12131	5307573
12137	9612844
12146	5056202
12157	14414321
12166	1218037
12167	36622927
12169	3950359
12170	10129104
12179	6999624
12181	8672496
12186	5228020
12201	14724169
12202	270632
12205	34719470
12211	1738252
12212	1741579
12222	8719899
12227	45866976
12241	16937083
12244	3298705
12247	9681725
12262	602
12269	8108496
12275	638385
12288	2336338
12291	1865836
12292	1865995
12293	11684468
12301	13362163
12304	4835506
12305	6859404
12307	7614849
12314	3778141
12316	542330
12317	28181374
12318	149017
12325	15510188
12327	5899844
12331	584
12334	1874744
12341	624554
12343	2145031
12350	3503289
12351	7936430
12354	15398722
12370	1480517
12373	9070748
12379	11989888
12383	11527959
12384	422029
12387	3923101
12388	664707
12389	11216498
12391	11393861
12392	624296
12395	9630664
12396	726722
12402	11376319
12412	216395
12415	13362397
12426	3338037
12431	326083
12434	10778049
12435	926525
12452	1719573
12459	1291953
12463	974104
12464	9765291
12468	9292020
12469	10461292
12470	12547774
12478	10470947
12479	2154894
12484	4711482
12485	255781
12490	501815
12491	8098552
12492	156960
12493	690629
12500	6335131
12501	664062
12502	5617665
12515	25341797
12517	5226953
12527	4489565
12530	468890
12531	644556
12534	10864695
12536	6862926
12551	11766286
12553	2483588
12556	8114692
12570	1167944
12573	1231075
12574	712845
12575	10011160
12576	4167119
12579	3378184
12582	4189538
12583	8058240
12589	14551601
12595	3560761
12602	12388541
12606	1964282
12610	26166830
12618	1644897
12619	94556
12624	14635253
12625	11765786
12637	1672056
12638	10775070
12644	116817
12660	1654224
12662	8133706
12668	6149878
12670	26112401
12672	3691867
12682	3300552
12683	2762203
12686	6709795
12688	10880182
12689	26357802
12690	12132533
12696	1201324
12698	6391388
12699	9066253
12701	20901689
12707	14279041
12711	4169689
12717	12189552
12720	25711023
12729	25676835
12734	4517817
12737	4741739
12741	584
12762	11983115
12765	18470046
12766	26198137
12767	8533422
12778	925498
12779	10537143
12783	495318
12805	12084804
12810	5450502
12811	8030731
12812	16896706
12817	8804264
12822	4539392
12829	354633
12845	26216248
12846	341745
12847	7171142
12852	4243623
12853	5035160
12857	11937599
12863	13911106
12865	621289
12866	29647225
12873	901900
12877	11367409
12891	4505214
12892	795393
12895	740009
12898	13687234
12899	9781330
12900	15904121
12901	744977
12905	1083525
12907	13170853
12921	8597525
12925	1803165
12931	25755970
12934	11414999
12936	25200222
12944	444511
12947	3175331
12949	8938333
12950	10720999
12955	7457949
12957	1079000
12958	26347742
12973	20631522
12975	1072145
12977	9454805
12988	559405
12992	974865
12995	12109769
12998	10288463
13000	13097426
13006	10959328
13010	17291978
13011	14091827
13016	1570137
13017	684829
13018	1359942
13021	1651061
13023	3493739
13026	2233650
13029	26209611
13033	25539069
13042	14242686
13048	15098040
13050	837445
13053	13083538
13054	512
13059	11862822
13061	8883380
13063	1540994
13067	9606669
13070	11709504
13071	25460829
13073	13047486
13075	10350517
13076	22196
13077	958005
13086	301028
13088	2165299
13092	1410983
13096	10249672
13097	14516872
13098	3004573
13103	5802353
13111	13028257
13115	7666961
13116	1925796
13117	3520071
13126	2530739
13127	5373159
13136	4955608
13137	13405311
13140	11158561
13142	3081384
13143	12143241
13148	2731908
13151	5074644
13157	7129033
13167	381619
13172	18587286
13175	656403
13177	2767948
13179	1522558
13182	4932685
13183	1502442
13189	17818726
13191	1846085
13192	11447104
13199	2716065
13203	7967152
13204	4960204
13206	686003
13213	990463
13235	5154734
13236	11947086
13244	25801453
13246	20844378
13247	18751482
13251	2487915
13252	12995604
13253	21186245
13254	5334101
13256	2409216
13258	5362178
13267	17331709
13277	2926761
13278	21065286
13279	943522
13287	4656463
13288	12917846
13295	12906362
13304	10089422
13313	1562730
13315	4466435
13316	4842761
13322	955136
13328	12001925
13336	6288952
13338	25952688
13347	577609
13350	3921220
13361	2370013
13366	11718
13375	1875653
13378	9557753
13382	12817492
13383	1285809
13387	4635236
13388	9631128
13389	12260731
13399	152881
13407	7940374
13427	3052191
13430	8191871
13432	4784175
13441	3374728
13442	9774380
13452	9590003
13459	8824110
13465	15190018
13466	12741407
13467	872583
13471	18223081
13474	11615740
13478	8410
13483	6877023
13488	1833110
13490	1411586
13498	3549462
13500	10852349
13503	6893988
13510	2631505
13511	11190537
13519	9817701
13523	426649
13525	10247018
13526	5603412
13533	7200474
13534	1735799
13539	25091518
13542	25318306
13547	1841838
13550	546528
13560	12114901
13567	8195520
13578	14724169
13587	231196
13593	18360370
13595	6702860
13599	4189569
13608	1564928
13617	1147638
13619	14009267
13623	3863628
13627	7540282
13642	1916379
13644	1914931
13645	1920537
13652	11174225
13654	1798532
13660	11174225
13664	4467354
13671	12881735
13683	4712020
13686	10254288
13689	161656
13695	13160263
13697	13031411
13714	4191214
13715	5774901
13718	613918
13719	11501844
13721	7206323
13729	11862822
13730	5462227
13737	422
13745	1286885
13749	15838466
13755	4853889
13756	2378487
13766	401643
13778	2462161
13783	4098588
13784	8785452
13785	2649940
13796	12761824
13804	678888
13808	249024
13810	1670229
13811	10772911
13821	1571
13828	3643564
13830	8785897
13831	2988861
13834	5625806
13835	25615924
13842	713171
13843	8162675
13847	746045
13857	765935
13861	19006203
13863	604470
13864	12698244
13865	2807146
13871	1722025
13873	10779635
13875	16901573
13876	3140244
13877	11974609
13885	4526811
13891	9284581
13896	6399838
13898	679925
13901	16257459
13904	12426514
13909	16199364
13910	3063617
13915	12177143
13916	5955117
13922	5677993
13924	951303
13925	16194917
13926	21115426
13927	10823358
13928	510507
13933	2132045
13934	8518382
13941	199586
13947	4624525
13951	2592512
13960	5774901
13969	11174225
13972	2973490
13981	4915917
13991	257829
13992	10642432
14000	5593540
14004	11866605
14006	16164662
14018	16568887
14021	1004227
14027	237409
14037	7851667
14040	1568664
14044	16104990
14045	3376758
14046	3877619
14047	10792342
14052	16087674
14061	18474974
14066	3309009
14067	11061440
14074	3949489
14076	234039
14082	1081456
14083	5116880
14086	11730737
14087	12192521
14091	1195673
14094	11819331
14100	2079185
14104	1253702
14106	40463
14110	2260774
14118	5462227
14120	2128748
14121	3174793
14122	318483
14125	1427679
14131	4569460
14132	3773764
14134	265449
14153	2795746
14154	5215989
14155	5590678
14157	2051448
14159	279925
14164	7176099
14168	6862926
14169	11202890
14170	4318448
14171	315038
14184	5743216
14187	12521143
14188	12145620
14190	1199098
14191	5387862
14193	1360583
14204	12943907
14205	15506085
14206	8219571
14209	7446887
14213	12214270
14215	2274763
14216	9744820
14221	205317
14224	8247712
14238	3973574
14247	8201070
14253	848023
14254	191662
14261	1183
14266	19520988
14273	8532641
14276	7377585
14277	86037
14293	8651214
14300	3350914
14317	13283307
14319	3114272
14320	280237
14323	3573687
14324	9656837
14334	1494925
14336	1925124
14343	12858361
14351	182171
14352	24768696
14354	13883411
14356	17581440
14357	7612468
14358	5039111
14362	1130925
14363	1400322
14365	250549
14366	19583392
14375	2788863
14382	1575442
14385	3821609
14387	2884484
14389	6282909
14392	12565809
14394	4277981
14395	725406
14398	7320263
14399	172503
14400	15598628
14402	15527523
14405	9083707
14407	11252017
14413	19187664
14414	1898082
14416	8913353
14417	10319802
14418	7229607
14420	263886
14422	113745
14423	30821961
14424	5769076
14435	3002532
14445	8867888
14447	18339863
14450	1854573
14451	9352449
14459	1636364
14463	12273965
14465	3221143
14468	15558897
14469	1380802
14470	17241494
14475	7519912
14480	4988421
14481	9727682
14482	4214114
14485	11252017
14487	999951
14489	8689690
14491	11120242
14492	936691
14497	1561735
14498	1943218
14500	17324961
14507	2987983
14511	16519435
14514	3587804
14519	8152143
14525	13702994
14527	2194014
14530	9095355
14531	8855187
14535	3994859
14536	11067688
14539	7848182
14543	7776896
14546	2611804
14548	1888462
14550	6833413
14551	12881194
14552	2611804
14555	11338511
14556	5325947
14559	1157286
14560	4674952
14564	62478
14567	11149920
14570	8304022
14576	10990037
14582	1027038
14584	10318806
14585	11342463
14598	17070339
14605	30383223
14614	10971209
14616	17654659
14622	11346589
14631	24774498
14636	1104046
14637	1376755
14638	11558388
14650	1091830
14653	934193
14656	11581642
14657	6854765
14660	8774826
14661	36726
14663	430411
14666	14320368
14668	7011316
14674	2967933
14676	20967385
14677	7647603
14681	9776991
14682	8465383
14683	11536959
14694	2717395
14695	4011734
14697	11680714
14707	12632030
14713	9626470
14715	987675
14716	11650012
14717	9045353
14718	18523333
14727	6744595
14731	1050497
14734	2428683
14735	317597
14743	1702453
14748	302713
14750	9660381
14752	8639652
14753	15680195
14756	208674
14758	149511
14763	6089649
14768	2048449
