geneid	dist
559	3681
564	4931
568	5073
572	6862
575	7686
579	7521
582	7360
590	6680
594	5828
602	5417
605	5127
614	3550
619	1738
621	1213
624	1140
631	112661673
633	118
636	151
971	3830703
978	152
991	41678558
992	5450531
1005	106
1024	9717
1032	24134663
1153	132980
1154	4373
1238	24134663
1274	274466
1325	143
1326	20483450
1327	530
1430	32163201
1625	41663583
2010	2011373
2011	1998324
2014	2010431
2256	100
2257	132980
2929	375896
2932	423830
3124	3601
3152	31090790
3154	36240548
3159	317
3855	2074366
3866	3454889
3901	4545916
3911	5974317
3950	3454889
3990	8678337
4012	3965432
4104	787554
4145	2058724
4202	2074366
4208	3724650
4275	2074366
4322	3454889
4340	2058724
4378	83387
4390	2058724
4416	8867042
4434	2058724
4448	770424
4452	2058724
4475	3263094
4500	3965432
4513	2126618
4525	65370273
4527	190
4529	2426874
4530	6437300
4533	4660062
4538	259
4541	259
4542	41675
4543	47261657
4544	47144439
4545	41675
4546	47144439
4566	7426012
4580	159
4595	159
4610	215751
4676	8116502
4717	2074366
4723	2058724
4734	12570958
4741	1017393
4742	1034374
4744	1072751
4746	1126356
4747	2074366
4750	12570958
4756	398645
4768	3965432
4772	3724650
4827	12570958
4828	3724650
4841	3724650
4856	104
4857	2867
4867	86099
4881	202996
4901	5783910
4919	5417724
5007	4928808
5009	4545916
5051	8962006
5059	9155513
5085	8519067
5098	9521296
5143	5745295
5151	12317569
5161	6174761
5197	2668086
5198	13408041
5216	15058500
5234	4909596
5242	4181025
5249	5772883
5264	15179177
5266	21208834
5280	6283828
5291	15409487
5302	12692164
5305	15214925
5331	20973433
5345	12628253
5357	29938313
5362	8946681
5369	15913283
5397	12560861
5401	2769625
5467	29900003
5468	12580046
5470	4088319
5471	34799239
5493	3084389
5505	3510479
5506	5092175
5522	17479607
5546	15424193
5557	12672847
5562	13006986
5597	15580382
5599	34399371
5608	17763776
5631	8103339
5659	5997131
5670	25640264
5691	27989945
5693	16439444
5697	11424418
5705	30197055
5706	14530067
5730	16236915
5740	14667761
5748	11355244
5773	16684440
5780	12033656
5785	22395333
5798	15455665
5820	17864559
5837	2797207
5841	16560287
5843	12907522
5854	341834
5877	12943912
5879	9299569
5895	16677890
5897	16476050
5898	28300299
5901	16458285
5904	16304390
5906	16454087
5912	29294858
5913	17497050
5914	17172207
5916	415058
5921	34205745
5930	15497878
5939	8280905
5951	34497279
5977	20973433
5993	21473393
6004	24428926
6012	28801340
6023	36161022
6050	34538478
6060	16356077
6061	10576177
6095	15330783
6101	27175046
6105	29057905
6106	42433913
6117	46504046
6120	23861571
6121	17920273
6137	2117
6138	30532555
6141	3254915
6144	17811984
6160	37812138
6179	42360232
6195	4387717
6197	16553143
6198	12145764
6201	2769625
6204	15474844
6206	17357532
6215	28786937
6228	42414535
6230	32283905
6253	7842192
6264	4186814
6266	45534987
6267	8052215
6276	33928036
6278	12121952
6290	16703382
6291	7407597
6295	16626615
6304	15392038
6308	37703461
6316	16076326
6338	5773511
6351	12500562
6360	25859037
6390	37517603
6391	4294379
6401	3642
6416	4286025
6429	47083722
6441	5230617
6469	29487681
6470	3642
6474	5844374
6504	23686578
6514	4031556
6538	29855773
6552	39779248
6567	16331594
6597	39069346
6639	8957022
6653	7775353
6658	34649042
6661	16006160
6663	21814335
6665	16490563
6667	480938
6676	7167930
6688	16569055
6689	43730115
6709	62908894
6722	42074282
6723	15461752
6731	4301796
6745	30632988
6760	5750239
6764	16163797
6768	16488207
6771	16610666
6784	20173768
6795	12580046
6808	13210572
6809	6092340
6810	16563368
6816	4129971
6820	919097
6826	154450
6834	828582
6839	86543662
6847	2373280
6850	8976687
6855	1570426
6861	3696
6863	15107037
6890	4314486
6891	8895564
6898	5728336
6902	8957022
6905	7892581
6913	8971092
6916	10637727
6917	10490551
6918	10127593
6920	5949085
6923	15508654
6926	20196
6931	21624846
6936	8756732
6938	8884633
6939	3513745
6943	8863095
6946	18730928
6949	1625
6952	163727
6953	17490490
6974	20304028
6986	6656351
6987	36394920
6988	9918921
6990	15195319
6997	34718980
7005	1858974
7007	37325097
7013	14194114
7014	2295130
7045	762600
7058	200638
7066	8946681
7084	4055774
7094	8817198
7098	9948329
7108	35332659
7111	96858
7114	23485881
7119	11787249
7144	8513511
7151	39976
7158	23873584
7162	10098128
7166	12243181
7176	21482072
7179	31156845
7183	4995610
7190	38016646
7222	16765683
7237	16430544
7258	23182078
7264	17452575
7296	375
7301	10169167
7306	11190096
7312	2373280
7327	18732587
7333	23644661
7338	13171059
7346	17649730
7353	45227801
7380	8801651
7385	15570606
7387	16854510
7411	50503
7425	8809129
7426	13713758
7428	25596911
7430	13588276
7435	8768978
7443	5505472
7455	15341926
7461	16761361
7462	14239257
7469	24046168
7496	18772100
7497	11474
7498	42752958
7499	18441488
7503	37125215
7511	14425411
7536	39511341
7540	5857898
7546	34723739
7562	10088345
