geneid	dist
559	3687
564	4937
572	6867
575	7689
579	7518
582	7354
590	6674
594	5821
602	296
605	5120
614	3544
619	1732
624	1134
634	6738
636	144441
971	15451
992	15373
1024	6230
1032	380230
1238	380230
1326	506
1430	34455
2008	114
2010	304860
2011	291692
2014	303916
2932	302
3124	300876
3150	10010
3152	104507
3855	2389
3911	274427
3990	16935
4104	31087
4145	15916
4202	2389
4275	2389
4340	15916
4374	2389
4378	783230
4390	15916
4416	23845
4434	15916
4452	15916
4475	24955
4513	2389
4676	9437
4717	2389
4723	15916
4747	2389
4867	159556
4881	183562
4901	330018
4919	220889
5007	31680
5051	13201
5059	388132
5085	60277
5098	237016
5143	41152
5151	145181
5161	111833
5197	14944
5198	772
5216	875619
5234	426881
5242	457809
5249	24709
5264	1002406
5266	984381
5280	32766
5291	1233245
5302	197168
5331	758300
5345	134661
5362	166934
5369	1715630
5397	1292117
5401	12035
5467	933398
5470	81850
5471	1786407
5505	166107
5506	296330
5522	318534
5546	175046
5557	176624
5562	508499
5597	333142
5599	1477302
5608	596677
5631	1005128
5659	343632
5670	250474
5691	226075
5697	153979
5705	745130
5706	612861
5740	226244
5748	98181
5780	294369
5785	544868
5798	211746
5820	674265
5837	37848
5841	468341
5854	1377179
5877	1642902
5879	2128876
5897	191
5898	534768
5906	25398
5912	1494786
5913	334250
5914	7205
5916	1331080
5921	1279938
5930	361025
5939	1183225
5951	1575323
5977	758300
5993	638567
6004	664167
6012	1011874
6023	401514
6050	1612470
6061	355177
6095	508319
6101	578959
6105	1263001
6106	206984
6117	4479
6120	306944
6121	729307
6138	322777
6144	216017
6160	210394
6179	515862
6195	46555
6197	89447
6198	1242885
6201	12035
6204	231007
6206	197231
6215	985180
6228	234279
6230	636457
6253	184037
6264	205497
6266	19492
6267	87450
6276	489190
6278	268185
6290	611
6291	177949
6295	443
6304	148870
6308	154057
6316	1870680
6338	308
6351	763403
6360	412738
6390	114456
6391	107066
6401	1394
6416	141651
6441	438256
6469	1436222
6470	1394
6474	283916
6504	195285
6538	100820
6552	45215
6567	1100163
6597	885525
6653	277467
6658	1062
6663	257
6676	320171
6689	432998
6709	613022
6722	580248
6723	406992
6731	567372
6745	161091
6760	1752752
6771	415879
6784	504327
6808	713428
6809	221409
6813	18100
6816	1886700
6820	608009
6821	139330
6826	221862
6834	696635
6839	1336524
6847	616704
6850	2279
6855	29587
6861	1394
6863	312044
6890	328670
6891	118508
6898	381930
6905	39862
6913	2279
6916	316092
6917	1424582
6918	38857
6920	210306
6923	1201306
6926	117645
6931	1495435
6936	174305
6938	129255
6939	1785705
6943	118508
6946	20310
6952	587663
6953	173824
6974	387583
6986	335648
6987	452219
6988	850659
6990	1382885
6997	317997
7005	98329
7007	216682
7013	620056
7014	538606
7045	723426
7057	182994
7058	1677729
7066	166934
7084	1968415
7094	174305
7098	355453
7108	58378
7111	161670
7114	209922
7119	2427529
7144	1419288
7148	19702
7151	281083
7158	317147
7162	10056
7166	164711
7176	1371682
7179	272290
7183	137814
7190	23175
7222	216537
7237	736717
7258	77278
7264	960047
7301	1093269
7312	616704
7327	492548
7333	70427
7338	1098359
7346	579944
7353	1591672
7385	1236417
7387	256578
7411	2910
7425	1714035
7426	2375187
7428	442348
7430	2250366
7443	360282
7455	246758
7461	430026
7462	104358
7469	3682
7496	35414
7497	41930
7498	95479
7499	93219
7503	286734
7511	2371912
7525	171655
7536	238672
7540	181570
7546	405653
7562	1340
7580	387119
7583	127496
7590	137717
7595	608196
7606	111082
7611	1365036
7621	767
7637	592192
7648	38958
7649	449908
7659	314179
7688	3992
7692	488054
7701	326113
7709	397766
7714	403758
7719	418755
7733	217427
7734	196893
7738	340485
7739	701883
7741	641
7760	825793
7761	464157
7773	1225105
7776	108937
7777	152442
7783	273763
7791	451370
7808	1394
7816	425657
7832	232212
7834	75298
7854	608151
7863	3239
7882	557707
7883	622046
7887	113401
7900	36319
7910	40632
7918	374639
7923	223191
7926	478847
7931	79182
7933	1325406
7937	719712
7938	687068
7983	1117587
7987	875880
7988	2279
7993	562800
8002	2279
8006	111281
8007	1295338
8013	12481
8018	723911
8019	402862
8029	635222
8031	509006
8042	284902
8044	1786671
8061	115797
8071	352213
8074	1563253
8096	713308
8097	405170
8101	536166
8117	1322161
8120	671572
8143	64779
8147	242168
8148	3220465
8153	1020099
8160	1368542
8163	545830
8164	323493
8170	93256
8172	1171431
8184	443
8189	846987
8203	72513
8207	735758
8219	1691174
8229	291607
8234	150999
8236	786386
8244	471449
8245	1602968
8247	2029078
8255	477801
8286	234502
8297	270686
8312	16378
8321	602233
8332	321054
8336	81850
8341	15451
8360	278935
8378	2667179
8394	343973
8397	621536
8411	21962
8413	628995
8417	517539
8430	275683
8431	211152
8438	2250366
8441	212763
8447	47505
8450	1483138
8455	317635
8458	1542370
8459	233912
8462	918149
8463	363741
8465	1183862
8481	34202
8488	787497
8489	1475421
8500	8209
8505	680978
8510	263819
8519	134
8526	127818
8547	751260
8553	1258291
8557	5995
8561	611
8562	364021
8563	558866
8571	230892
8577	30383
8579	70451
8582	1556263
8591	18217
8600	606498
8603	4088
8623	2525
8625	923222
8635	619159
8636	206101
8641	541549
8653	1724834
8657	309400
8659	1781592
8662	388670
8663	1657623
8665	2371008
8673	93146
8674	796286
8675	192224
8677	735808
8691	3098228
8698	523090
8702	768754
8708	314407
8709	1127
8710	578662
8716	3506623
8730	9417
8731	842237
8742	1429798
8745	51844
8746	96183
8751	2574079
8759	428716
8761	271781
8768	333374
8771	11826
8775	633426
8782	24955
8789	932098
8792	339641
8795	17930
8796	115141
8805	1220869
8827	142779
8832	277268
8833	306290
8853	1531162
8862	8691
8885	18766
8898	40430
8919	122956
8921	410033
8928	188056
8950	1364575
8964	117922
8965	329474
8969	2196240
8974	115956
8986	2166905
8994	148429
8999	194758
9007	218477
9012	656223
9019	204168
9020	96871
9026	987549
9027	43323
9040	807531
9043	31259
9045	1469265
9047	109977
9052	87129
9067	1772370
9077	209990
9079	296756
9094	329891
9095	55969
9108	1697355
9119	49207
9132	272952
9155	130284
9173	787353
9178	93936
9182	1761511
9195	2218311
9196	2433534
9203	1671165
9209	43500
9210	2189339
9214	470799
9216	536
9226	171484
9228	238793
9232	567623
9238	89230
9248	46956
9251	827797
9260	967897
9265	1669623
9267	29268
9269	221225
9270	101781
9287	745143
9288	132134
9291	578753
9299	56477
9317	1536657
9324	1522409
9327	81122
9338	116720
9341	893477
9345	672776
9348	672656
9367	1302523
9383	292794
9420	149424
9441	1338819
9449	71109
9466	148541
9474	230892
9485	33308
9495	120390
9504	61137
9513	60909
9519	183408
9525	89
9534	2497672
9539	39170
9541	322436
9554	1738052
9574	849528
9575	21195
9577	96091
9578	753720
9583	928305
9587	201713
9588	19545
9596	459132
9600	17859
9602	728254
9603	443007
9617	135260
9621	349000
9625	79565
9633	496360
9638	39198
9648	538217
9652	377165
9655	264771
9657	65771
9661	435311
9668	985266
9670	618196
9683	2283862
9692	2263860
9716	47484
9718	178519
9721	415969
9722	199033
9725	970548
9729	346478
9732	283022
9735	998
9741	519900
9744	258460
9748	155036
9751	1292117
9752	104795
9758	1129420
9759	69737
9770	77666
9772	3066226
9779	183007
9790	41272
9793	277765
9794	975523
9806	98686
9808	2303088
9811	228435
9813	775696
9821	243579
9827	78529
9846	411455
9851	619110
9852	1460236
9853	86929
9864	843615
9866	1680224
9878	534003
9880	529031
9893	1336524
9897	1125892
9902	676365
9922	842623
9930	942678
9933	818847
9944	126879
9950	61483
9951	171211
9954	1470787
9960	2236764
9961	182905
9963	2213595
9986	1520798
9990	587553
9994	2759225
10007	3263997
10008	226646
10018	9559
10021	200021
10026	506506
10033	231347
10037	82190
10052	84891
10054	98676
10061	2165659
10070	680390
10071	2368840
10075	467110
10076	212371
10079	258334
10086	4479
10088	800245
10091	215463
10107	433574
10112	426187
10117	873482
10121	649249
10122	139330
10123	359594
10127	1193426
10128	363741
10133	102331
10143	203494
10145	37848
10156	276778
10167	416617
10171	60325
10172	357403
10187	296532
10195	136645
10203	1305
10204	1717095
10205	314634
10206	218256
10209	139868
10212	118272
10213	221557
10228	245915
10233	415634
10245	224193
10254	35129
10262	921411
10264	8650
10269	16941
10276	67921
10282	54817
10286	463055
10287	185171
10293	156754
10296	1181
10298	1774783
10301	1292545
10306	320580
10307	812141
10317	166543
10322	305018
10323	640032
10324	189010
10331	236893
10334	86946
10335	615043
10336	1182971
10341	28324
10346	2498
10347	6334
10350	172542
10356	521423
10357	115123
10359	581121
10363	664708
10374	896773
10376	470799
10385	17844
10393	9195
10406	291623
10410	103044
10415	78118
10436	87595
10437	933612
10444	290822
10447	370978
10472	345751
10479	180150
10493	89197
10520	52150
10540	44483
10607	26337
10633	2720
10664	361852
10665	1979732
10670	124799
10672	607225
10684	388717
10685	613022
10694	303444
10702	137879
10704	45388
10713	1487108
10716	1252563
10718	1473304
10727	24696
10730	1380967
10739	294756
10743	170677
10765	640603
10766	288841
10771	1234122
10772	712700
10774	123043
10806	1284229
10814	556276
10819	795997
10833	765293
10844	528561
10845	1894640
10872	794141
10882	12962
10891	15215
10900	1390413
10905	50088
10906	193172
10907	85873
10908	55669
10912	64750
10913	1740939
10914	258638
10918	87182
10919	76004
10925	820827
10928	1286775
10935	705786
10936	147965
10938	221297
10951	216275
10953	756282
10967	1705543
10969	2443789
10980	128442
10983	472861
10997	252647
10998	13201
11004	2455070
11009	947229
11011	106466
11015	837919
11021	240985
11023	148380
11025	3355
11031	711222
11032	113220
11036	915535
11040	518341
11048	1242667
11053	830
11055	521068
11056	503474
11060	629795
11061	143557
11067	150825
11075	58004
11077	355628
11089	1081315
11093	747763
11099	350393
11101	115565
11102	454959
11105	1371309
11106	1039723
11109	757800
11114	572618
11123	44373
11124	151077
11125	934434
11129	1342113
11131	339641
11140	1529972
11141	54624
11163	344265
11167	151536
11172	543595
11173	179529
11177	1155105
11184	22087
11187	25358
11188	437875
11193	65768
11195	564476
11197	891131
11198	2543627
11209	1308053
11214	83541
11216	1713656
11217	1184567
11225	2313497
11226	165361
11228	1318547
11233	715688
11237	124040
11242	101100
11243	319473
11249	83523
11250	38332
11257	707959
11263	619218
11289	1536078
11291	191046
11297	850276
11299	1207433
11300	994242
11301	18189
11305	121965
11310	338728
11311	290708
11320	574114
11322	375287
11326	525795
11329	57516
11331	333370
11332	523205
11334	188504
11335	233769
11343	76640
11344	839624
11349	837957
11351	13291
11366	260326
11371	314036
11374	291723
11378	1958813
11379	825193
11386	641470
11395	62921
11396	309011
