geneid	dist
559	2541
992	12438
1024	146989
1430	175080
2011	277806
3124	130030
3855	171650
3911	24096
4202	171650
4208	33537
4275	171650
4374	171650
4378	715213
4416	131402
4448	91238
4475	759
4513	171650
4676	35552
4716	30249
4717	171650
4734	91238
4747	171650
4750	91238
4772	33537
4827	91238
4828	33537
4841	33537
4857	6294
4867	131402
4901	40661
4919	236950
5051	97404
5059	39814
5085	102631
5098	37321
5143	214931
5151	241861
5161	9806
5198	32173
5216	187458
5242	8387
5249	4945
5264	9572
5266	51092
5291	80864
5302	2352
5305	1888
5357	288175
5362	115523
5401	6356
5467	94863
5470	82315
5471	51564
5505	228800
5506	71009
5522	1856
5546	312513
5562	201191
5599	159857
5608	55074
5654	15302
5670	4097
5691	30384
5697	262500
5705	179554
5740	462546
5748	276813
5772	3950
5780	213056
5785	186083
5798	317864
5820	1758
5837	57904
5854	70585
5877	371912
5879	16304
5898	68356
5913	177716
5914	53320
5916	16450
5921	242271
5930	164219
5939	13507
5951	33379
5993	8981
6004	132400
6012	5364
6054	4742
6061	3089
6095	447664
6101	63259
6106	377
6117	2621
6120	279485
6121	12273
6144	139047
6160	131332
6179	32387
6195	4992
6198	4720
6201	6356
6204	47683
6206	25279
6228	3390
6230	84090
6267	98195
6276	170
6278	6640
6291	110073
6304	110118
6308	139325
6316	54916
6329	5364
6338	59607
6351	181127
6360	177415
6390	137341
6391	1178
6401	2488
6416	76578
6429	2696
6469	113789
6470	2488
6474	125133
6504	349917
6514	3060
6538	129197
6552	112940
6567	355261
6597	140594
6653	97136
6658	221537
6663	273961
6667	26777
6676	27885
6689	24654
6709	28150
6722	44213
6723	5974
6731	36231
6745	51343
6760	103800
6771	359407
6784	28076
6808	179819
6809	19904
6816	345782
6821	42064
6834	18312
6839	1057
6847	475
6861	2488
6890	114792
6916	104973
6918	32842
6920	301674
6923	43450
6931	238313
6939	440117
6946	129160
6952	2776
6953	52385
6974	409651
6986	63600
6987	194182
6988	14938
6990	30416
6997	333363
7005	69088
7007	25376
7013	33800
7014	57505
7045	98945
7052	93290
7058	69614
7066	115523
7084	79892
7098	16067
7108	3047
7119	112531
7144	28444
7158	109332
7166	303000
7176	235696
7179	7602
7183	3431
7190	112250
7222	93079
7237	21821
7258	348436
7264	177568
7299	280176
7301	55353
7306	364933
7312	475
7327	14587
7333	134618
7338	10077
7346	45320
7353	155477
7385	4390
7411	57391
7425	73886
7426	5726
7428	18958
7430	54520
7443	76466
7455	16454
7462	121862
7469	134618
7496	78663
7498	85559
7499	6931
7503	201249
7511	12647
7525	260218
7536	11487
7540	13412
7546	8099
7562	475
7580	51129
7583	21775
7590	9421
7595	160172
7606	134618
7611	232555
7637	26995
7648	132912
7649	57505
7659	561
7688	8115
7692	38169
7701	25812
7709	35413
7714	18573
7719	47280
7733	155562
7738	129706
7739	186908
7741	41445
7760	100484
7761	81514
7773	26421
7776	162050
7777	292916
7791	5456
7808	2488
7816	20628
7829	387176
7832	47353
7834	59817
7854	8484
7863	134618
7882	4496
7887	13341
7900	305443
7918	60379
7919	90420
7923	3033
7926	15880
7933	196795
7937	21664
7938	494323
7987	269384
7993	299988
8006	33754
8007	4390
8013	170557
8018	82949
8019	176092
8031	324069
8042	43971
8044	20798
8061	78643
8071	85685
8083	183842
8096	41357
8097	1307
8101	3434
8117	40553
8120	64291
8148	50455
8153	8574
8160	170663
8163	318459
8170	481627
8172	4166
8189	2797
8203	10971
8207	220484
8219	52760
8236	47483
8244	37218
8245	29277
8247	12896
8255	65454
8286	31517
8297	12639
8312	104802
8321	34352
8336	82315
8378	33840
8394	85880
8397	66655
8411	35199
8413	9139
8430	30766
8431	348633
8438	54520
8447	63904
8450	62530
8455	115787
8459	136461
8462	45398
8463	4020
8488	6214
8500	41614
8505	11883
8510	634173
8526	90804
8553	281323
8561	23717
8563	61502
8571	2742
8579	19739
8582	197164
8589	40381
8600	100155
8603	134618
8623	2540
8635	329
8636	32081
8641	39866
8656	70694
8657	32828
8662	76538
8663	36593
8665	3789
8674	11453
8675	673430
8677	7863
8691	6368
8698	305482
8702	6214
8709	10142
8710	106045
8723	7980
8730	41262
8742	9656
8745	26612
8746	37490
8751	112483
8759	21370
8761	117866
8768	281660
8771	88611
8782	759
8789	33718
8792	306989
8795	8285
8796	75393
8805	3559
8827	41262
8832	223216
8833	16731
8850	3180
8853	8326
8862	41262
8885	282995
8898	286173
8919	2152
8921	290541
8928	174999
8950	82465
8964	77031
8965	175194
8974	86089
8986	37023
8999	61589
9007	14759
9012	63817
9019	108573
9020	175487
9026	484358
9027	33235
9040	214056
9043	119394
9045	5771
9047	361634
9052	141928
9077	455117
9079	131223
9094	1832
9095	1140572
9106	41445
9108	20003
9119	44575
9155	33740
9173	1598
9178	25314
9209	117352
9214	31143
9226	5043
9228	950503
9232	107286
9238	225305
9248	29521
9260	4440
9265	21789
9267	22331
9269	121509
9270	260220
9287	197853
9288	6785
9291	36637
9299	475
9317	243160
9324	219253
9327	18811
9338	34642
9341	47895
9345	187920
9348	306273
9367	242683
9383	52866
9410	26000
9449	184837
9458	491
9466	562734
9474	2742
9485	99880
9495	194435
9504	49373
9519	266800
9534	18507
9539	2640
9541	149974
9554	4390
9577	5691
9578	18315
9583	60642
9587	335546
9602	7895
9603	1001787
9617	12369
9621	627914
9625	178489
9636	38386
9638	278445
9648	225986
9652	155250
9655	2082
9657	21698
9661	620324
9668	63780
9670	4557
9678	620324
9683	267610
9692	12443
9716	634884
9718	18276
9721	81729
9722	441089
9729	17053
9732	40710
9735	9839
9741	675477
9744	3673
9748	12912
9752	94761
9758	142036
9759	96309
9770	47915
9772	9474
9779	228110
9790	40400
9793	57381
9794	72133
9798	2152
9806	11610
9808	78049
9810	253589
9811	13484
9813	94391
9827	2152
9846	84552
9851	94359
9852	200609
9853	6911
9864	58715
9870	107608
9878	48037
9880	50930
9893	1057
9902	80210
9922	105433
9930	147068
9944	36473
9950	106341
9951	58153
9954	105065
9960	37076
9961	47560
9986	47006
9990	49527
10007	20901
10008	256352
10018	345468
10021	1239
10026	200405
10033	36473
10037	139325
10054	330004
10061	15591
10070	59998
10071	16121
10075	146644
10076	1091
10079	69511
10086	2621
10088	252466
10091	15198
10107	151483
10112	3469
10121	190890
10122	42064
10123	106385
10127	67673
10128	4020
10134	224404
10145	57904
10167	115626
10171	3047
10172	10140
10187	417045
10195	8684
10203	501539
10205	24200
10206	12690
10209	23643
10212	273921
10213	207584
10228	11777
10233	95299
10236	61276
10245	32842
10254	19560
10262	6638
10264	162307
10269	14354
10276	1616
10282	195010
10286	150745
10287	27597
10293	86638
10296	148015
10298	12642
10301	252103
10307	117623
10317	58296
10322	123847
10323	143493
10324	45542
10326	20057
10331	3208
10334	124474
10335	309681
10336	71549
10341	10111
10347	53046
10350	9565
10356	13517
10357	120614
10363	42560
10374	4443
10376	31143
10393	38868
10405	20111
10406	462255
10410	152042
10436	16803
10444	106198
10447	11194
10472	105762
10493	46268
10540	198928
10607	121195
10610	255419
10633	114026
10664	76637
10672	123554
10685	28150
10694	65042
10702	32637
10704	2152
10713	64359
10716	114987
10727	17919
10739	122741
10743	90346
10765	15727
10766	214909
10772	82438
10774	18038
10806	90935
10814	1898
10819	133935
10833	20969
10838	5031
10844	341436
10845	53767
10872	106355
10875	20057
10879	20057
10882	5825
10891	7338
10900	217352
10905	155303
10907	176384
10908	132376
10912	22225
10914	606
10918	227323
10925	244237
10928	453150
10936	118743
10938	17192
10967	28456
10969	108894
10980	126706
10997	117016
10998	97404
11004	33177
11009	83423
11011	640797
11021	20729
11031	57689
11032	48016
11036	10982
11040	480587
11053	25242
11056	68622
11060	27570
11061	32707
11067	3411
11075	89012
11077	297744
11089	40704
11093	443134
11099	12823
11101	153822
11102	118160
11106	12758
11109	297550
11114	27530
11120	67667
11123	29347
11124	27050
11125	55523
11129	33687
11131	306989
11140	201078
11141	3133
11163	34297
11167	50121
11169	10177
11172	613140
11173	170693
11177	14521
11188	50659
11193	22738
11195	89990
11197	58118
11209	231151
11214	4441
11216	137517
11225	54867
11226	62131
11228	225609
11233	437770
11236	310446
11237	159286
11242	81116
11243	12870
11249	7939
11250	372106
11257	112448
11263	27497
11289	35126
11291	166247
11297	19041
11299	278052
11300	63300
11311	31648
11320	28499
11322	199258
11326	23520
11329	25005
11331	107988
11335	16358
11343	28787
11344	133825
11349	197940
11351	2152
11363	20387
11366	85700
11371	157947
11378	123288
11379	138921
11386	170950
11396	54700
11399	592948
11405	20057
11410	30852
11414	110563
11415	26333
11417	7663
11419	204298
11425	56302
11430	93592
11433	30401
11436	170427
11445	131179
11458	117850
11459	15100
11463	62167
11464	35430
11465	128325
11481	10406
11482	58307
11484	2914
11486	837233
11487	87902
11490	104361
11491	905923
11493	220846
11497	64787
11498	18126
11499	20651
11500	134892
11504	99338
11505	5219
11507	1011796
11511	4791
11513	24707
11516	146936
11518	138497
11524	163093
11528	175203
11541	121752
11542	44723
11543	37286
11544	271896
11546	82406
11547	3608
11548	155432
11561	93196
11564	53343
11574	582545
11575	315660
11579	198600
11585	67875
11590	115700
11591	19507
11592	20057
11614	8721
11617	26404
11619	115907
11620	78414
11625	1122912
11627	34214
11628	140426
11636	102528
11638	3974
11643	13451
11646	259929
11647	86186
11650	259929
11652	1174
11653	135991
11657	259929
11659	290839
11670	36309
11671	30321
11679	399836
11680	37917
11685	28383
11691	15128
11694	4889
11695	100587
11696	52997
11704	193457
11713	89428
11716	4029
11724	20057
11726	272549
11727	121092
11728	97696
11734	18797
11739	361327
11741	310446
11743	18243
11744	18368
11765	27037
11775	146560
11780	23533
11783	38456
11786	172879
11787	38678
11789	209582
11800	185987
11801	94510
11805	47073
11807	9195
11810	27344
11812	93272
11821	246041
11826	47073
11829	237368
11831	219576
11832	108254
11847	213883
11856	70316
11873	380953
11893	103725
11897	117712
11900	13531
11908	41453
11911	29937
11912	147317
11917	36081
11922	45245
11924	123471
11938	322156
11944	168384
11945	243805
11946	8919
11954	266922
11963	57058
11964	259782
11969	536629
11987	397820
11996	104674
12003	37434
12008	140624
12011	49676
12013	158884
12016	99560
12019	33185
12024	101347
12025	354268
12027	195806
12035	45171
12038	157797
12041	53343
12044	203471
12045	26244
12047	20516
12048	86979
12049	18638
12050	16644
12054	416613
12060	14440
12064	56632
12069	96954
12083	11783
12087	8962
12088	31723
12091	66962
12092	101794
12095	117460
12100	13980
12102	103831
12106	68295
12109	35682
12111	31733
12125	341406
12136	139417
12137	177336
12146	83350
12157	61169
12166	29277
12222	12668
12262	29625
12269	139683
12275	81668
12293	146693
12316	12806
12325	14960
12327	58026
12331	259929
12334	134285
12341	90644
12343	20369
12345	137177
12350	39596
12351	25300
12370	556513
12373	38717
12379	201458
12383	297670
12384	236547
12387	61784
12388	138302
12391	27685
12392	24428
12396	567413
12402	261707
12404	29594
12412	204723
12415	295880
12417	27429
12421	29594
12426	28858
12428	165416
12429	165416
12430	165416
12431	215816
12434	2013
12435	86871
12452	539238
12459	60543
12463	193647
12464	102802
12468	171480
12469	77003
12470	25592
12478	234286
12479	57416
12484	8454
12485	194963
12490	27855
12491	7756
12492	8620
12493	77932
12497	109515
12498	18061
12500	33171
12501	144036
12502	315974
12513	173950
12515	39042
12517	49383
12530	42654
12531	317558
12534	20419
12551	28178
12553	24619
12556	86565
12570	43814
12575	151826
12576	527998
12579	164599
12582	201322
12583	355407
12589	11387
12595	104332
12602	187920
12606	121570
12610	138970
12619	154813
12624	1043
12625	70371
12637	41298
12646	64101
12662	224077
12668	104435
12670	148260
12672	122626
12682	50538
12683	132524
12686	43389
12688	137780
12690	60471
12698	37532
12699	89239
12701	84915
12707	128427
12711	65685
12717	10322
12729	111503
12734	15803
12737	9523
12741	259929
12762	25922
12765	67546
12766	117019
12767	120814
12778	75019
12779	26613
12783	59557
12790	443338
12805	25254
12810	38806
12817	166524
12822	8571
12829	140124
12833	8818
12846	112807
12847	104824
12852	91445
12853	11536
12857	57150
12863	228800
12865	166737
12866	301275
12877	206611
12878	550625
12891	286103
12898	73717
12900	185629
12901	445693
12904	3950
12905	420697
12907	6356
12921	22744
12925	90869
12934	15874
12936	508490
12944	171650
12947	53036
12949	75626
12950	2108
12955	64332
12957	139081
12958	278069
12973	70882
12975	70488
12977	163118
12987	9254
12988	80368
12992	33868
12998	97136
13006	111082
13010	118515
13021	61155
13023	272783
13026	45550
13029	11608
13033	89141
13042	28428
13048	165659
13050	18937
13053	305443
13054	20057
13058	8620
13059	212797
13063	132371
13067	8781
13070	127892
13071	643881
13073	20320
13075	25099
13086	6753
13088	2236
13096	225631
13097	287959
13098	228721
13103	26224
13111	189590
13116	33096
13126	266710
13127	25673
13136	7040
13137	255363
13140	24329
13143	51865
13148	147162
13151	2925
13157	16714
13167	230397
13172	314969
13173	30249
13175	215900
13177	71362
13179	316225
13189	436171
13192	25074
13199	66966
13203	9195
13204	869085
13206	493990
13213	174843
13236	90584
13244	550
13246	36132
13251	128386
13252	68567
13253	36209
13254	80172
13256	11521
13258	101897
13267	138796
13273	9815
13277	596
13278	177339
13287	169987
13288	10460
13295	37759
13304	6861
13313	22166
13315	68653
13316	388944
13328	5490
13336	49160
13338	62260
13347	3735
13350	208813
13361	146241
13375	202150
13382	16181
13383	29714
13389	134845
13392	82393
13399	38756
13407	717
13427	147119
13430	63398
13432	19007
13452	10499
13459	112906
13465	216627
13466	27995
13471	130416
13483	61262
13488	91093
13498	224074
13500	43201
13511	87207
13519	194712
13523	180925
13525	66118
13526	9218
13533	43634
13542	588121
13547	116583
13550	78888
13560	77191
13567	113879
13577	18412
13587	42178
13593	97620
13619	24802
13644	123816
13654	27538
13671	146212
13674	52391
13683	153
13686	1443
13689	30319
13695	182633
13697	165955
13700	22017
13712	2728
13714	308979
13715	323967
13718	227027
13719	52753
13721	181365
13722	19588
13729	212797
13730	290751
13745	167606
13749	168084
13755	1187
13756	79540
13766	19509
13778	138081
13784	471482
13785	49318
13796	3789
13804	70882
13808	202084
13810	50616
13811	62135
13821	20057
13828	96106
13830	31045
13831	86917
13834	164526
13842	82872
13843	88885
13847	76694
13857	76694
13861	264221
13863	178727
13864	141536
13865	442479
13871	230004
13873	264601
13875	7129
13891	31375
13896	79392
13898	67151
13901	260251
13904	240834
13909	221447
13910	234639
13915	2518
13916	82879
13922	166581
13924	19920
13925	214290
13926	160496
13927	48212
13928	14829
13933	115212
13934	21378
13941	5438
13947	42690
13960	323967
13972	35736
13981	25593
13991	61738
13992	238132
14000	98756
14004	335283
14018	207557
14021	174229
14027	8620
14030	30478
14035	222578
14040	114638
14044	374192
14045	22770
14046	105163
14047	207152
14052	360141
14061	295297
14066	11909
14067	4048
14076	18458
14082	17401
14083	348597
14086	356355
14087	56400
14091	86177
14094	25850
14100	27059
14104	56778
14110	8666
14118	290751
14120	96325
14121	188779
14122	15097
14125	17175
14132	126617
14153	77949
14155	249019
14159	9921
14164	3136
14169	440220
14170	5678
14171	12420
14184	263034
14187	298481
14188	319441
14193	85613
14204	2690
14205	23913
14206	71231
14213	87482
14216	444094
14221	68344
14224	37704
14238	231751
14247	21896
14254	8620
14266	500299
14271	17036
14273	141776
14276	5515
14277	13715
14278	475
14293	78345
14300	9328
14311	154768
14317	66231
14320	319758
14323	206048
14324	28502
14334	435623
14343	13351
14351	8620
14354	212587
14356	62458
14357	5777
14362	97956
14363	48849
14366	458372
14368	68828
14375	124665
14385	6665
14392	1648
14395	2293
14398	3579
14399	2849
14400	423459
14402	12446
14405	408235
14407	82620
14413	211054
14414	57505
14417	123998
14420	782
14422	34941
14423	6681
14424	1344
14434	49852
14435	27360
14445	213937
14447	499572
14450	71822
14451	65739
14459	10257
14463	159368
14465	24010
14470	86323
14475	24301
14480	1637
14481	220348
14482	32447
14485	82620
14487	172685
14491	55908
14492	225415
14495	93816
14497	69132
14498	92052
14507	77909
14514	189436
14525	53295
14530	118586
14531	15521
14535	43208
14536	32537
14539	8669
14543	48590
14546	231178
14548	77057
14551	61030
14552	231178
14555	418164
14556	8553
14559	84288
14564	4657
14567	452996
14570	39930
14582	243462
14584	3769
14585	228925
14586	48590
14598	61608
14605	23779
14614	2488
14636	268013
14637	209938
14638	277885
14650	69400
14653	2037
14656	382021
14660	195311
14662	556
14663	204348
14666	225583
14668	110787
14674	78235
14676	90662
14677	4661
14681	29694
14682	141171
14683	19713
14694	64832
14695	2330
14697	64953
14707	19166
14710	475
14713	4717
14715	225986
14716	13457
14717	73006
14727	92902
14734	139858
14735	131402
14748	10660
14750	3918
14752	48264
14753	94230
14756	62960
14761	154599
14763	152712
14768	154415
14796	84073
14798	156915
14799	142258
14809	6874
14815	57953
14819	375216
14826	69092
14837	70855
14842	601036
14850	403779
14853	365568
14857	49867
14875	59438
14876	30362
14878	45672
14881	4440
14887	303240
14890	9846
14893	5319
14898	234271
14905	209855
14909	65664
14913	4868
14917	55175
14919	10856
14921	137350
14922	98049
14929	15715
14937	23465
14947	48590
14948	51405
14951	2221
14953	479595
14958	232952
14967	264601
14968	205643
14989	1067805
14995	48390
14996	133313
15000	48590
15001	24029
15003	10856
15006	161999
15010	11510
15013	458
15019	1403
15021	194304
15022	102503
15023	30476
15028	27657
15031	160179
15035	19996
15036	48590
15049	390354
15052	109389
15056	30014
15074	174963
15077	489966
15082	64863
15093	139764
15100	326510
15101	15715
15102	45045
15105	273102
15109	9572
15111	313353
15113	69356
15114	35268
15120	1431
15121	4390
15123	51343
15125	274942
15126	27958
15127	29682
15128	31849
15131	225551
15136	201733
15137	288207
15140	24024
15144	523624
15145	29388
15148	165836
15157	41454
15185	103198
15186	7657
15190	21151
15193	854
15198	301432
15199	83582
15200	120060
15204	76252
15218	80369
15223	23025
15225	608015
15233	156081
15239	290676
15246	229030
15249	35148
15250	20111
15257	45077
15258	58717
15259	48590
15265	959
15268	22195
15269	164386
15270	89464
15273	181029
15274	26277
15275	15194
15277	136863
15278	294326
15281	50535
15282	6371
15288	37261
15294	8844
15295	203341
15299	105634
15305	48590
15311	237075
15318	93426
15320	41736
15322	34541
15328	230761
15332	65237
15334	115291
15335	19996
15343	475
15351	237075
15356	52661
15359	8099
15370	46159
15371	505065
15373	28070
15376	538
15386	21663
15388	928180
15395	160488
15407	39165
15410	2039
15411	10013
15425	492774
15428	76832
15430	235924
15431	10438
15432	48590
15433	248240
15434	252109
15435	16475
15441	48590
15444	155657
15448	72730
15449	65689
15451	48590
15462	11006
15463	138483
15471	102753
15473	118804
15477	3950
15478	14028
15483	102753
15484	61276
15489	14560
15494	15336
15510	259675
15514	15713
15516	143865
15518	7210
15521	162183
15525	541195
15526	48590
15527	184066
15535	95182
15536	706340
15550	222912
15559	260963
15565	2178
15569	54882
15570	259210
15580	11655
15581	887429
15582	286178
15591	25455
15602	67436
15607	221923
15610	1921
15611	88342
15616	52391
15617	53961
15620	24763
15626	7074
15629	165416
15631	57373
15632	39166
15634	115850
15635	12577
15642	25417
15646	38599
15656	117765
15660	475
15674	16348
15686	310627
15690	5235
15700	860
15706	9662
15707	77884
15710	20226
15721	158774
15726	32478
15730	67139
15734	3568
15735	28344
15741	18609
15743	20226
15747	30066
15748	209526
15754	39347
15763	100224
15764	406885
15768	200751
15770	32851
15782	19223
15791	47099
15793	384577
15804	26108
15809	11735
15814	243645
15816	175203
15822	639
15827	50856
15831	69338
15833	222976
15835	44980
15836	175366
15842	290234
15843	252484
15844	2979
15845	139547
15854	15336
15855	105417
15856	49148
15864	55985
15868	62569
15880	222986
15881	22517
15883	106045
15884	251526
15890	47073
15892	286539
15894	150440
15895	133613
15896	52027
15897	22680
15899	106045
15911	181615
15912	52891
15914	516655
15915	141918
15916	46156
15917	15332
15919	152410
15925	26767
15926	156763
15930	21858
15931	1828
15934	49405
15937	249267
15942	30710
15945	45507
15946	168231
15949	126132
15953	113353
15969	37618
15971	67869
15973	70517
15976	89464
