geneid	dist
559	3697
564	4948
572	6873
575	7699
579	7521
582	7363
590	6683
594	5830
602	5414
605	5124
614	3544
619	1740
624	1139
631	16187
978	152
992	21755
1430	3703544
1711	151
1712	151
2010	66
2011	628019
2014	1026
3124	109399
3855	3185
3911	116017
4104	5162163
4202	3185
4208	27542578
4275	3185
4374	3185
4378	818381
4475	2666393
4513	3185
4533	83
4548	503
4610	83
4714	503
4717	3185
4741	5370642
4744	17581929
4747	3185
4772	27542578
4828	27542578
4841	27542578
4856	23822359
4857	722
4881	34647
4901	48534
4919	259389
5007	490210
5051	34154097
5059	36325485
5085	34238741
5098	36502137
5143	35480145
5151	32306417
5161	35386929
5197	13553691
5198	18489207
5216	30430512
5234	17305235
5242	36254552
5249	35467806
5266	25038974
5280	35278769
5291	30106106
5302	16192461
5331	25212452
5345	32017628
5362	34140031
5369	29720420
5401	13628370
5467	15218476
5468	5288
5470	18115033
5471	19360136
5505	14283154
5506	35851498
5522	26452334
5546	5539752
5557	31984085
5562	31845828
5597	5417214
5599	19012260
5608	26728951
5659	19189869
5670	21754246
5691	13302175
5697	32774535
5705	15477015
5730	3215566
5740	1643349
5748	32843654
5772	18611978
5780	9142151
5785	24196281
5798	5524396
5820	26791710
5837	13647844
5841	4174754
5843	8389930
5854	379721
5877	41763164
5879	20822103
5895	4034558
5898	13941861
5912	14703218
5913	26481747
5914	26218992
5916	439201
5921	18865594
5930	25091350
5939	20158184
5951	19078675
5977	25212452
5993	24564702
6004	22751865
6012	14157715
6050	29808770
6055	3853614
6061	8843341
6095	2295447
6101	12528446
6106	38939753
6117	5658
6120	23198524
6121	26827173
6137	5010671
6138	15781851
6144	28007567
6160	11007858
6179	38877792
6195	11175395
6198	22669889
6201	13628370
6204	5496694
6206	26373087
6215	14139458
6228	38932661
6230	22378615
6266	42491587
6267	14110035
6276	21128182
6278	21848352
6291	66968
6304	5606928
6308	11178087
6316	29627490
6329	14157715
6338	22426446
6351	8954580
6360	11323656
6390	33354911
6391	11201507
6401	58767
6416	11221689
6441	18893129
6469	14871395
6470	58767
6504	23396431
6514	18411589
6538	24801167
6552	36073129
6567	4927379
6597	14217666
6658	30727089
6663	23643329
6667	512971
6676	108705
6689	40331084
6709	14535910
6722	38619013
6723	25059743
6731	36180692
6745	15838214
6760	25582712
6764	3135362
6771	4127324
6784	16986507
6795	5288
6808	31718921
6809	19216391
6813	29991913
6816	32577976
6820	23423849
6821	13728571
6826	22753937
6834	23349655
6839	41413151
6850	188310
6855	29991913
6861	58767
6863	2113712
6890	17868003
6898	35412475
6905	410029
6913	188310
6916	8881455
6917	3721295
6918	130541
6920	35273267
6923	10199243
6926	22680651
6931	40130800
6936	222250
6938	222250
6939	31944572
6946	27312709
6952	1271861
6953	1672787
6974	17108521
6986	34150893
6987	32299992
6988	3083093
6990	9966108
6997	20103349
7005	30360977
7007	33217626
7014	30799463
7045	23279452
7052	39241196
7057	22740825
7058	263510
7066	34140031
7084	32537774
7094	222250
7098	5952
7108	16863467
7111	22720366
7119	5220616
7144	20345458
7146	253345
7151	1137
7158	23170209
7162	141234
7166	5690448
7176	40045163
7179	12679326
7183	2014767
7190	10756800
7222	11275456
7237	2353162
7258	31058345
7264	37263108
7299	818061
7301	3366145
7306	6108365
7327	49147568
7333	41370881
7338	6694881
7346	37481330
7353	2684162
7385	46404540
7387	1988234
7411	1157888
7425	20426693
7426	10605886
7428	40689862
7430	10514640
7435	222250
7443	19058083
7455	3049606
7461	2131805
7462	7708598
7469	41382033
7496	49173287
7497	22488864
7498	5346580
7499	37924764
7503	33026918
7511	45010936
7525	32610314
7536	35715710
7540	35226704
7546	16139301
7562	150663
7580	17024955
7583	41075130
7590	32816978
7595	1026234
7606	41397632
7611	40038312
7621	12120151
7637	35630064
7648	16469867
7649	30700971
7659	10391668
7675	22568067
7688	16209523
7692	41238808
7701	29922830
7709	40907204
7714	8768309
7719	40898553
7733	7680561
7734	253345
7738	9034662
7739	37371851
7741	79576
7760	18693939
7761	11376879
7773	24820854
7776	35129384
7777	33053031
7783	3973677
7791	17332216
7808	58767
7816	11445156
7829	16858963
7832	30900886
7834	22461321
7854	8041092
7882	10678376
7883	37428754
7887	37938331
7900	13537599
7907	188310
7910	21211067
7918	8535401
7919	11145683
7923	30489249
7926	11489648
7931	35104008
7933	9759273
7937	23150832
7938	39527480
7983	46521312
7987	31482546
7988	188310
7993	1228438
8002	188310
8006	21932569
8013	1710037
8018	19213996
8019	15700365
8029	46909147
8031	5187871
8042	21429770
8044	10135378
8061	11098905
8071	16764049
8082	20831608
8083	35213566
8090	22732417
8094	41212438
8096	21790741
8097	18909066
8101	16962860
8117	6534588
8120	33786103
8143	8371250
8147	20527855
8148	6077369
8153	12787153
8160	18920301
8163	1316785
8164	29765644
8170	28482142
8172	5575
8189	19083216
8203	757907
8207	8176979
8219	10060826
8229	222250
8234	8866968
8236	29421616
8244	3905620
8245	9985628
8247	45333153
8255	9889905
8286	11879973
8297	38907232
8312	16490883
8321	15997381
8332	11777719
8336	18115033
8337	10729279
8338	25263535
8339	25275311
8360	2006461
8378	44573417
8394	22702990
8397	19222677
8411	8350254
8413	21733345
8415	31776
8417	6327845
8430	218899
8431	21804664
8438	10514640
8441	8516742
8447	530939
8450	29917951
8455	3550773
8458	1255894
8459	11283935
8462	26965720
8463	929224
8465	9673245
8481	4107634
8488	23704
8489	3771657
8500	5487183
8505	28901
8510	16197548
8526	27932396
8547	4429
8553	36209853
8557	80138
8561	1821205
8562	7810011
8563	158264
8571	12632011
8577	14613188
8579	43610
8582	4121600
8600	11615059
8603	41326282
8623	25336368
8625	18992628
8635	40548699
8636	177662
8641	4941284
8653	9818196
8656	4756196
8657	8003166
8660	3193432
8663	9841577
8665	10598560
8673	3904066
8674	9438695
8675	37986202
8677	22341
8691	5375339
8698	13227220
8702	73412
8708	207056
8709	6900045
8710	1404321
8716	5724628
8723	17286347
8731	24253888
8742	372158
8745	10280552
8746	6169533
8751	44489434
8759	346617
8761	3096614
8768	13803145
8771	6697207
8775	36121136
8782	2666393
8789	7029779
8792	21723006
8795	5651137
8796	10477929
8805	16665522
8832	36914047
8833	11682101
8850	297572
8853	29895368
8885	157427
8898	177059
8921	13160878
8928	20800551
8950	411475
8965	25238535
8974	695902
8986	4636574
8994	40286766
8999	17436163
9007	11621396
9012	37015061
9019	16314724
9020	7750
9026	2407631
9027	10278187
9040	3500929
9043	11585558
9045	37394602
9047	14412546
9052	14481541
9067	4345235
9077	39558433
9079	15707392
9095	13509332
9106	79576
9108	1430721
9119	10382063
9132	6821674
9155	15892922
9173	1232448
9178	11364818
9195	8889750
9196	44923488
9203	9831154
9209	7869412
9214	14576414
9216	5391341
9226	3846923
9228	15620327
9232	28836436
9238	217269
9248	21199382
9251	16188189
9260	15835679
9265	19176344
9267	30465587
9269	4297079
9270	12400145
9287	2884316
9288	17160591
9291	116897
9317	1641437
9324	9971297
9327	17404105
9338	70047
9341	16203195
9345	1138753
9348	4926
9367	8075158
9372	9030654
9379	152
9383	17159584
9390	152
9399	19588854
9409	19616398
9411	19043159
9412	22383681
9414	19042424
9415	18991866
9418	28179369
9443	40207272
9448	25336473
9449	15665309
9458	40275637
9466	27348908
9474	12632011
9485	5787656
9495	15569481
9504	27206836
9513	21188082
9519	291816
9525	9478405
9534	44844667
9539	9091967
9541	15714176
9554	45581882
9574	22028276
9577	9059971
9578	13407690
9583	10508267
9587	300397
9588	3960573
9596	15792323
9600	2405
9602	38834894
9617	11065508
9621	1545024
9625	15506244
9633	10833517
9636	7494776
9638	237004
9648	20628158
9652	12214307
9655	23230324
9657	36389
9668	980654
9670	10890285
9678	1399921
9683	10535935
9692	4686682
9716	3487901
9718	85389
9721	2163462
9722	12575236
9725	20497
9729	12339640
9732	324638
9735	2960260
9741	2307035
9744	26418287
9745	16134358
9748	102687
9752	18053387
9758	3774331
9759	32441209
9770	31881819
9772	5342540
9774	12769308
9779	9253093
9790	8610491
9793	12034922
9794	7791219
9806	21283322
9808	10547952
9811	10169927
9813	3436055
9821	379867
9851	10902
9852	9872189
9853	14649365
9864	9506537
9866	9774652
9870	5103027
9878	15487595
9880	7996517
9893	41413151
9897	149532
9902	8526000
9922	10627075
9930	9576945
9933	8243898
9943	7379834
9944	14074093
9950	2252924
9951	39262
9954	10006818
9960	10502141
9961	14019161
9963	8878200
9986	8239685
9990	18869298
9994	6446747
10007	6034796
10008	318806
10018	23978322
10021	13954600
10026	32287175
10033	13934050
10037	221015
10052	28930608
10054	260712
10061	6952508
10070	18771964
10071	4740410
10075	12171280
10076	74111
10079	13782175
10086	5658
10088	20041492
10091	3817766
10107	30753553
10112	47311
10121	7545684
10122	13728571
10123	10999452
10127	1082191
10128	929224
10133	10385458
10134	7316
10143	12172444
10145	13647844
10167	7890909
10171	16641800
10172	32767
10187	195082
10195	15789214
10203	32105553
10204	19203787
10205	17257556
10206	27311267
10209	12128330
10212	127485
10213	81932
10228	26404015
