geneid	dist
992	5111
3150	212
3159	450
3855	1388
4202	1388
4208	12529
4275	1388
4374	1388
4378	25633
4513	1388
4717	1388
4747	1388
4772	12529
4828	12529
4841	12529
4881	83122
5007	533
5051	43257
5059	79719
5085	141570
5098	211681
5143	6475
5151	70106
5161	20875
5198	33140
5216	69656
5234	128672
5242	62029
5249	21000
5264	61065
5266	4622
5280	45772
5291	50342
5302	6808
5331	58779
5362	67987
5369	17253
5467	33294
5470	50557
5471	43801
5506	78731
5522	50189
5546	8914
5562	90854
5599	81604
5608	64843
5659	12051
5670	21054
5691	60619
5697	1004
5730	191
5748	28615
5780	33776
5785	36890
5798	28530
5820	65411
5841	674
5843	60505
5854	13560
5879	111606
5898	263704
5913	518
5914	4034
5916	41363
5921	189858
5930	42407
5939	129127
5951	67414
5977	58779
5993	214795
6004	82804
6012	8114
6054	4550
6095	56848
6101	105230
6106	5885
6117	4064
6120	80897
6121	31289
6137	1692
6144	54523
6179	178221
6195	31365
6204	44310
6206	38982
6215	4051
6228	25350
6230	111190
6266	53943
6267	154256
6276	355997
6278	14895
6287	624
6290	545
6291	155561
6304	46311
6308	47364
6316	157980
6329	8114
6351	216390
6360	46518
6390	123006
6416	61002
6441	23082
6474	131829
6504	213236
6514	8183
6538	110956
6552	185556
6567	338132
6597	155094
6653	27519
6667	13045
6676	67438
6689	245918
6723	23014
6731	47047
6745	62538
6760	11059
6764	521
6771	677
6784	24395
6808	225742
6809	12989
6813	61200
6816	1272
6821	16784
6826	1933
6834	11602
6839	178
6850	209
6855	61200
6890	16655
6898	19256
6905	250906
6913	209
6916	68665
6917	291116
6918	4634
6920	42459
6923	30688
6939	58242
6946	21068
6952	31774
6974	22802
6986	842
6988	55748
6990	73592
6997	8792
7005	2420
7007	61658
7014	26172
7045	2629
7058	87405
7066	67987
7098	5813
7108	285554
7114	422
7119	5972
7144	59948
7151	1621
7158	52496
7166	67678
7179	52773
7183	10181
7190	22121
7222	49623
7237	41139
7258	36547
7264	329037
7301	36887
7327	26095
7333	42778
7338	20648
7346	62963
7353	343986
7411	33771
7425	86115
7428	15511
7430	6060
7443	90886
7455	55321
7461	110791
7462	1958
7496	14236
7498	81948
7499	112467
7503	22135
7525	60202
7536	197932
7540	65987
7546	29011
7562	1007
7580	96412
7583	39013
7590	156810
7595	97118
7611	112364
7621	14086
7637	31467
7648	61260
7649	26272
7659	19510
7688	29281
7692	2196
7701	17495
7709	9838
7719	14381
7733	11622
7739	55968
7741	1616
7760	53189
7761	19305
7776	99437
7777	145807
7783	503
7832	31349
7883	19650
7887	48678
7900	4715
7907	209
7918	96946
7919	2172
7923	44728
7926	37908
7933	8404
7938	340631
7983	530
7987	15542
7988	209
7993	14023
8002	209
8013	26814
8018	95388
8019	52220
8031	12876
8042	46263
8061	13724
8071	161703
8074	100936
8082	225211
8083	98780
8096	11059
8097	105096
8117	259176
8120	47797
8143	62161
8147	39557
8153	6997
8160	32523
8163	46874
8164	8485
8170	56262
8189	100102
8203	97016
8207	80725
8236	77801
8247	8554
8255	1247591
8286	15919
8297	16506
8312	53018
8321	59261
8332	49640
8336	50557
8338	941
8394	63286
8397	6132
8411	59442
8413	64047
8417	8183
8431	24153
8438	6060
8450	63363
8458	430365
8459	64158
8462	106554
8463	101216
8481	11505
8489	37746
8500	3311
8510	4624
8526	224591
8547	464
8553	156580
8557	111102
8562	32224
8577	51507
8623	3249
8625	78166
8635	314146
8653	5355
8657	58058
8662	64128
8665	390
8675	73859
8698	42801
8745	77843
8746	24665
8771	11260
8775	27786
8789	304329
8795	7127
8805	102410
8832	296678
8833	45564
8853	38572
8885	14557
8921	129632
8950	47952
8964	104587
8965	132725
8974	4103
8994	689
8999	28355
9007	9936
9012	47892
9019	19355
9020	98355
9043	23781
9047	6632
9052	151676
9079	14300
9094	11691
9095	59471
9106	1616
9119	51580
9132	72296
9155	94506
9209	30298
9228	7442
9232	33894
9248	63133
9251	24238
9265	65367
9267	8256
9269	9527
9288	105273
9327	21507
9338	73414
9345	67294
9348	40770
9367	22322
9383	247385
9390	152
9420	63
9466	3325
9504	23300
9525	92
9539	6639
9541	4756
9554	4397
9574	3419
9577	7026
9583	73719
9600	1548
9603	7946
9617	109100
9625	72685
9636	93475
9648	19903
9652	10450
9655	113251
9657	19693
9668	12541
9670	11870
9716	758
9722	647499
9725	39469
9729	15379
9741	22019
9744	69923
9745	16004
9752	16826
9759	57632
9770	82968
9779	17836
9790	22950
9793	151380
9806	287934
9808	13693
9811	213697
9851	31475
9853	70757
9864	161909
9880	47298
9893	178
9897	25639
9944	7099
9950	67616
9954	2974
9960	31354
9990	28964
10018	1031
10026	27139
10054	15796
10070	67418
10086	4064
10091	73335
10107	57131
10117	7097
10122	16784
10128	101216
10133	48458
10134	1603
10143	185202
10167	68650
10172	79079
10187	8210
10195	21733
10203	1273
10205	986490
10209	44882
10212	17928
10213	35104
10228	91855
10233	7234
10245	51738
10254	42827
10269	41048
10286	152368
10296	8189
10298	49127
10301	8274
10306	38831
10307	93423
10317	15999
10322	69905
10324	8969
10326	989
10334	24126
10335	48190
10336	72060
10341	19206
10347	87849
10350	24192
10357	152493
10393	34597
10405	10285
10406	251067
10410	199399
10415	6221
10436	122988
10444	24534
10447	62950
10462	3096
10479	15869
10489	123
10505	659
