geneid	dist
559	3696
564	4946
572	6872
575	7700
582	7377
590	6697
594	5844
602	5431
605	5141
614	3576
619	1762
624	1139
992	19768
2929	443
4104	39497
4208	10194
4378	66818
4475	13905
4772	10194
4828	10194
4841	10194
4881	32194
5051	13693
5059	88319
5085	173250
5098	142172
5143	27028
5151	43275
5161	49815
5198	19958
5216	48143
5234	119485
5242	57326
5249	31769
5266	7235
5280	36948
5345	443
5362	42171
5369	20426
5401	823
5467	51810
5470	25419
5471	77234
5505	59348
5506	39598
5522	16430
5546	21939
5557	6336
5562	110397
5599	80405
5608	84646
5659	17212
5670	24661
5691	49905
5705	147400
5730	167
5740	71431
5748	36357
5772	380
5780	62509
5785	46414
5798	39020
5820	58575
5837	42756
5843	49483
5854	37788
5877	16656
5879	104746
5898	243580
5912	20522
5913	2486
5916	34980
5921	89284
5930	39659
5939	60132
5951	33326
5993	178726
6004	60687
6012	5566
6050	34981
6054	2156
6055	410
6061	20738
6095	63366
6101	38855
6106	2699
6117	3822
6120	38586
6121	39192
6138	60630
6144	13325
6160	4596
6179	197236
6195	23809
6198	644
6201	823
6204	12956
6206	29316
6228	43303
6230	118140
6266	86243
6267	178159
6276	319200
6278	20771
6290	623
6291	112949
6304	62370
6308	31333
6316	89881
6329	5566
6338	308
6351	261956
6360	24278
6390	105033
6401	10661
6416	20250
6441	17775
6469	111528
6470	10661
6474	108280
6504	171806
6514	893
6538	106760
6552	103519
6567	195703
6597	97878
6653	4370
6667	11654
6676	70589
6689	143112
6709	12897
6722	14998
6723	33902
6731	83741
6760	47708
6771	677
6784	43582
6808	164948
6809	10299
6813	17651
6816	32881
6821	82350
6834	40627
6847	1442
6855	17651
6861	10661
6863	77702
6890	23214
6898	69892
6905	35341
6916	46130
6917	131291
6918	10435
6920	64075
6923	111482
6926	4491
6931	1259
6939	166400
6946	15988
6949	1757
6952	36759
6953	47870
6974	22797
6986	8228
6988	15183
6990	62530
6997	215900
7007	49046
7014	27393
7045	1929
7058	148129
7066	42171
7084	6949
7108	55936
7114	422
7119	6104
7144	31291
7158	13541
7162	4183
7166	85301
7179	24998
7183	12758
7190	25555
7222	47860
7237	33433
7258	56394
7264	242956
7299	4281
7301	30155
7312	1442
7327	226672
7338	31426
7346	31437
7353	260686
7387	2772
7411	36490
7425	53543
7426	3080
7428	52206
7430	4735
7443	52342
7455	5353
7461	60697
7462	2021
7496	46752
7498	109343
7499	74082
7503	28047
7511	14264
7525	39036
7536	158382
7540	47463
7546	41426
7562	1343
7583	21275
7590	63185
7595	71884
7611	91377
7621	12837
7637	53243
7648	128035
7649	30422
7659	12125
7688	9764
7692	2496
7701	24162
7709	2765
7719	39147
7733	29958
7738	106961
7739	39164
7741	6452
7760	98044
7773	323
7776	23343
7777	99839
7791	18229
7808	10661
7816	3167
7832	24363
7834	1765
7854	36878
7882	25078
7887	4354
7900	12986
7910	30711
7918	124129
7923	13898
7926	44876
7931	7539
7933	38824
7938	262321
7983	5346
7987	24225
7993	11452
8006	37848
8013	5564
8018	64332
8019	77261
8029	25927
8031	3771
8042	74021
8044	57882
8061	40554
8071	210631
8074	140626
8082	50309
8083	33682
8096	14775
8097	42662
8101	28551
8117	124853
8120	41616
8143	23314
8147	6089
8148	15783
8153	2552
8160	44458
8163	45567
8164	8959
8170	87341
8172	181798
8189	72677
8203	75768
8207	94403
8219	1006
8234	94358
8236	53828
8244	41266
8245	8889
8247	12347
8255	600434
8286	62105
8297	78890
8312	14802
8321	112134
8332	7334
8336	25419
8339	7029
8360	1476
8378	29511
8394	35588
8397	25200
8411	24686
8413	36589
8417	18016
8438	4735
8455	81895
8458	168675
8459	85853
8462	113032
8463	162164
8465	14010
8481	30380
8488	11528
8489	37023
8500	7944
8510	16820
8519	1055
8526	46075
8547	1874
8553	70741
8557	6580
8561	611
8562	36845
8571	211441
8577	45110
8582	45993
8600	22916
8603	1870
8623	2895
8625	26429
8635	565081
8641	59085
8653	1398
8656	54887
8657	12401
8662	130889
8665	6882
8674	21072
8675	40525
8677	12186
8691	43373
8698	55369
8709	1127
8716	185426
8742	24486
8745	19010
8746	32087
8759	15908
8761	145258
8768	173883
8771	24586
8775	7778
8782	13905
8789	182871
8795	9053
8796	10810
8805	183459
8832	185384
8833	46665
8853	27444
8885	11587
8898	33707
8921	171282
8950	70188
8964	60306
8965	141500
8986	25021
8994	10076
8999	77765
9012	61509
9019	37478
9020	92626
9026	374900
9027	46159
9043	2450
9045	61831
9047	1103
9052	94304
9067	18549
9077	18215
9079	37233
9094	8697
9106	6452
9119	50315
9132	70269
9155	78596
9173	73085
9178	91734
9196	16305
9203	4851
9209	61020
9214	22911
9216	3288
9226	53237
9228	112935
9232	23983
9238	10585
9248	80781
9251	47639
9260	32708
9265	41605
9269	42353
9270	18106
9287	26005
9324	12792
9327	19647
9338	43780
9341	68560
9345	59207
9348	58890
9367	77705
9383	311020
9420	60
9449	68941
9458	10677
9466	22205
9474	211441
9485	6298
9495	3446
9504	38791
9513	54004
9519	22327
9534	593
9539	6822
9541	46466
9554	13156
9574	4108
9577	5281
9578	38179
9583	109483
9587	9974
9588	15555
9596	9786
9600	2456
9603	10726
9617	62398
9621	52276
9625	84989
9633	68061
9636	34418
9638	23488
9648	24248
9652	139845
9655	16644
9657	21736
9661	14756
9670	112209
9678	14756
9683	24429
9692	70494
9716	121161
9718	92405
9722	533351
9725	29283
9729	151454
9732	47455
9741	7671
9744	23389
9745	20774
9748	75827
9752	14560
9759	46036
9770	105511
9779	21955
9790	42882
9793	12387
9794	109290
9806	88722
9808	40650
9811	150156
9813	20751
9821	8878
9846	22273
9851	18815
9852	16876
9853	43084
9864	222515
9878	357248
9880	44977
9897	20434
9902	55119
9922	23364
9933	16057
9944	18066
9950	54812
9951	55583
9954	29681
9960	55753
9961	36628
9986	30403
9990	32810
9994	1478
10007	28927
10008	4990
10018	3288
10021	644
10026	47113
10033	18885
10052	3525
10054	34548
10061	21958
10070	26147
10075	84418
10076	51459
10079	8482
10086	3822
10091	21862
10107	8395
10112	89903
10117	5605
10121	135749
10122	82350
10123	12836
10127	188867
10128	162164
10133	47890
10143	112577
10145	42756
10167	59716
10171	22833
10187	115866
10195	126354
10203	410
10205	403444
10209	56173
10212	28466
10213	6320
10228	25895
10233	20590
10245	19445
10254	35300
10262	11790
10264	96499
10276	3662
10282	26043
10286	140955
10287	22501
10293	15549
10296	125958
10301	1969
10306	49946
10307	59363
10317	4367
10322	8887
10323	26921
10324	9662
10331	77884
10334	22897
10335	17965
10336	132443
10341	18885
10347	59452
10350	38631
10356	30445
10357	148308
10359	33898
10363	2964
10376	22911
10405	22678
10406	243563
10410	130659
10436	86707
10444	28758
10447	24160
10479	86740
10493	2700
10520	1607
10540	34221
10607	454
10664	4669
10670	9871
10672	65981
10684	188862
10685	12897
10694	25410
10702	23873
10713	7110
10716	228618
10718	6629
10727	15377
10739	36537
10765	25805
10766	8969
10771	11908
10772	299655
10774	27289
10806	1163
10814	25132
10819	8689
10833	70676
10844	55617
10845	12080
10872	29875
10882	5615
10891	9441
10900	91417
10908	81040
10912	41301
10914	34225
10918	24368
10925	81829
10935	76549
10936	180807
10938	20186
10951	18794
10953	4597
10967	83931
10969	139246
10980	8592
10997	5257
10998	13693
11004	28812
11011	14290
11015	16635
11021	4662
11031	24298
11032	136948
11040	86115
11048	41591
11053	63330
11056	40751
11060	14832
11061	22328
11067	50635
11075	35952
11077	21504
11089	69283
11093	2444
11099	31766
11101	130920
11102	7484
11106	42433
11109	12057
11114	73186
11120	2660
11123	48441
11124	88922
11125	18582
11129	371
11140	33124
11167	32267
11169	2984
11172	102013
11173	37415
11177	4834
11183	80800
11187	10275
11188	37996
11189	40082
11193	12543
11195	17840
11197	16249
11198	719
11209	8434
11214	23380
11216	64646
11217	5996
11225	67731
11226	87214
11228	4880
11233	15450
11237	48424
11242	3601
11243	25650
11249	3359
11250	13357
11263	41734
11289	13686
11291	2983
11299	129690
11305	25260
11310	12195
11311	2173
11320	21433
11322	73943
11326	17965
11329	24260
11331	30637
11332	56555
11334	27273
11335	11458
11343	88203
11344	139489
11349	28144
11363	947
11366	139161
11371	8851
11374	15038
11378	52132
11379	126700
11386	56777
11395	2611
11396	4047
11399	60727
11400	74279
11410	19830
11414	71135
11415	3794
11417	14962
11425	20441
11430	129778
11432	14956
11433	77848
11436	58738
11463	43632
11464	170019
11465	19358
11481	59247
11482	48696
11484	464
11486	3264
11490	196314
11491	14368
11493	127656
11497	96908
11498	9678
11499	18962
11500	98277
11504	22887
11505	33690
11507	4075
11511	17900
11513	3644
11516	11897
11518	19022
11524	37171
11525	500
11527	13641
11528	27083
11529	4294
11542	26934
11543	21018
11544	32804
11546	32110
11547	14858
11548	305036
11555	21350
11564	31217
11573	5687
11574	9388
11575	79274
11579	268449
11585	104173
11590	1949
11592	6322
11614	67411
11617	6715
11619	76658
11620	15780
11627	123127
11628	36612
11636	46031
11638	96466
11647	8800
11652	17876
11653	23130
11654	32707
11659	1911
11661	30906
11670	130622
11671	26057
11673	30757
11679	95369
11680	23078
11683	51096
11685	3339
11691	47314
11694	89408
11695	321057
11704	64318
11713	213048
11716	6098
11726	31444
11727	30159
11728	183550
11733	4356
11734	32729
11739	85029
11743	20583
11744	360544
11747	56862
11759	14481
11765	10062
11775	121483
11778	12007
11780	13038
11783	1367
11787	1933
11789	34470
11794	971
11800	2973
11801	104694
11805	27042
11807	223126
11810	228472
11812	67099
11821	36716
11826	27042
11827	142024
11829	20746
11831	12584
11832	66040
11842	57955
11847	47327
11869	10462
11873	10779
11890	7187
11893	20429
11897	57910
11900	3355
11908	2789
11911	16841
11912	85061
11913	94819
11917	18081
11922	78225
11924	356076
11935	33966
11938	132808
11940	2220
11944	29895
11946	64021
11954	5199
11962	52321
11963	18809
11964	45836
11969	27945
11987	111277
11995	7609
11996	32436
12003	29062
12011	15613
12013	13581
12016	167097
12019	144278
12020	10760
12024	142496
12025	44461
12027	107744
12035	22097
12037	194740
12038	38021
12039	11448
12044	44276
12045	73278
12046	14644
12047	125409
12048	187690
12049	27350
12050	55252
12054	7298
12060	119031
12064	54559
12069	9159
12087	68664
12088	8361
12090	18649
12091	18333
12092	29337
12095	3549
12100	12702
12102	8854
12109	5678
12111	46141
12116	15107
12125	39624
12131	38610
12136	42212
12137	42576
12146	193749
12157	41193
12163	674
12166	8889
12202	22031
12222	31300
12241	1369
12247	824
12262	602
12269	3313
12275	5597
12293	200094
12305	458
12307	16425
12316	45406
12325	35773
12327	98241
12334	30147
12341	55726
12343	41568
12345	24472
12350	61916
12351	212981
12354	84631
12373	6937
12383	6940
12384	20686
12387	38300
12388	34294
12389	82881
12391	139261
12392	1728
12396	35976
12402	1091
12404	24645
12412	9240
12417	43621
12421	24645
12426	14488
12428	6387
12429	6387
12430	6387
12431	15046
12434	8276
12435	16225
12452	5755
12459	12704
12463	29263
12464	102377
12468	93014
12469	16282
12470	3596
12473	6688
12478	17441
12479	63783
12484	27089
12491	17668
12498	54817
12500	4526
12501	9155
12502	44961
12513	2746
12517	8990
12527	68656
12531	158851
12534	103385
12536	49931
12551	57431
12553	26088
12556	57929
12570	115029
12574	28962
12575	97145
12579	899
12583	10160
12589	28599
12595	59995
12602	17536
12606	31036
12614	5019
12618	4717
12619	59966
12624	15245
12625	44839
12637	102034
12658	1536
12662	22500
12668	20731
12670	44231
12672	48696
12682	94767
12683	114223
12686	19162
12688	12225
12690	12529
12696	10157
12699	104583
12701	16008
12707	179692
12711	99600
12717	77403
12720	2592
12729	11393
12734	20263
12737	16234
12762	50089
12765	84323
12767	132593
12778	18997
12779	19368
12790	24610
12805	49676
12810	26032
12811	180976
12812	119517
12817	15683
12822	12445
12829	72562
12833	11276
12845	2477
12846	1160
12847	185058
12852	92165
12853	45131
12857	31752
12863	59348
12865	10026
12866	142080
12873	1697
12877	73147
12878	101025
12891	87761
12892	12345
12900	27142
12901	1245
12904	380
12905	89658
12907	823
12921	1015
12925	135061
12927	2641
12934	39588
12936	5194
12944	6526
12947	12707
12949	253922
12955	36966
12958	61870
12973	44483
12975	13457
12977	155116
12992	122285
12995	110046
12998	4370
13006	26855
13010	10743
13023	59090
13026	112668
13033	33869
13042	29887
13048	194585
13050	8818
13053	12986
13058	1672
13059	76628
13063	184820
13067	27461
13070	5381
13071	94626
13073	10899
13075	65815
13076	314
13086	5752
13088	2625
13092	5042
13096	16896
13097	185989
13098	64067
13103	18301
13111	19504
13115	30469
13116	12601
13117	1382
13126	60571
13127	1160
13136	9109
13137	213872
13140	121836
13142	17090
13143	137747
13148	120423
13157	382579
13167	34894
13172	52088
13175	28647
13177	18326
13179	43568
13182	31572
13189	174956
13191	31926
13192	34643
13199	78558
13203	223126
13204	406558
13206	24272
13213	7270
13235	25214
13236	29266
13244	45904
13246	49279
13247	7802
13251	533
13254	79238
13256	40675
13267	40792
13273	32568
13277	119826
13278	58230
13279	2083
13288	773
13295	28262
13304	38548
13313	2187
13315	46159
13316	79885
13328	59534
13338	102568
13342	731
13345	10418
13347	1890
13361	4049
13364	10418
13365	359
13375	15818
13378	2039
13382	32398
13383	27126
13387	2016
13388	2039
13389	76571
13392	12021
13399	56384
13407	213935
13419	1508
13427	7971
13430	73641
13432	37393
13441	25483
13442	91956
13452	12178
13459	183326
13466	18679
13471	45862
13478	18993
13483	69074
13488	16298
13490	130713
13498	21253
13500	3431
13503	21401
13510	17415
13511	107467
13519	11887
13523	169103
13525	376647
13526	15068
13532	31975
13533	9379
13534	7261
13539	3317
13541	3914
13542	41325
13547	8445
13550	29655
13560	116979
13567	324
13587	13449
13593	79555
13619	110521
13645	541
13652	485
13654	14123
13660	485
13674	2002
13686	845
13689	18019
13695	65756
13697	99387
13700	37373
13714	67172
13715	16153
13718	9308
13719	46271
13721	63006
13729	76628
13737	19634
13745	33668
13749	1034
13778	33293
13784	3396
13785	25316
13796	25468
13804	13061
13808	29326
13810	13642
13811	350641
13828	23807
13830	26253
13831	15310
13834	36850
13835	15980
13843	33049
13847	680
13861	78824
13871	23114
13873	24068
13875	7701
13876	37647
13877	19239
13885	12656
13891	34398
13896	97631
13898	71411
13901	21699
13904	12506
13909	60734
13910	47326
13915	131734
13916	17637
13922	126424
13924	50079
13925	51729
13926	97528
13927	15102
13928	5676
13933	248597
13934	1515
13941	3542
13947	50099
13951	21202
13960	16153
13969	485
13972	10844
13981	23128
13991	12849
14000	1820
14004	70660
14006	16760
14018	33750
14021	36097
14030	42284
14035	35436
14037	131617
14040	55175
14044	9422
14046	61485
14047	32702
14052	11767
14061	50641
14066	25457
14067	3448
14076	14397
14082	11411
14083	37962
14087	123015
14091	107692
14094	68600
14100	8285
14104	28763
14110	2298
14120	102980
14121	78492
14122	73641
14125	5064
14131	118485
14132	53703
14134	2274
14154	20288
14157	25679
14164	2361
14168	49931
14169	2843
14170	15660
14171	7319
14184	62121
14187	65191
14188	53494
14190	11110
14191	11641
14193	10630
14204	4082
14205	28382
14206	43615
14209	43624
14213	89956
14215	1205
14216	30697
14221	31399
14238	5469
14247	46053
14266	725
14273	126151
14276	500
14277	4266
14293	199636
14300	26602
14310	3079
14319	2030
14320	18028
14323	34616
14324	24376
14334	90648
14336	686
14343	857
14351	1139
14352	2730
14354	44416
14356	34106
14357	707
14365	6652
14366	58769
14368	45688
14374	3079
14375	49479
14382	917
14385	29547
14389	61537
14392	136349
14394	66048
14398	5055
14399	11874
14400	253325
14402	24167
14405	18496
14407	73222
14413	23507
14414	30422
14416	1375
14417	222778
14418	15330
14422	3683
14423	21383
14424	37709
14434	12984
14435	111404
14447	51801
14450	17151
14451	33955
14459	51130
14463	16760
