geneid	dist
559	3688
563	3894
564	4938
572	6884
575	7706
582	7358
590	6678
594	5826
602	5415
605	5125
614	3544
619	1738
624	1140
634	10528218
636	11604483
971	7100713
991	44790345
992	77359
1005	14490137
1024	84251
1032	199949
1152	1335766
1153	18929679
1154	18929679
1238	199949
1274	175
1325	4850125
1326	356968
1430	913399
2011	1827867
2257	18929679
2929	149998
3124	2262447
3150	18726056
3154	3073175
3159	685265
3901	6212292
4525	67018538
4527	65715026
4543	47896015
4544	47779136
4546	47779136
4548	1818571
4714	1818571
4744	3256012
5007	12872708
5009	6212292
5051	23111689
5085	23104361
5098	24052609
5143	20298261
5151	27019832
5161	20743992
5197	2611766
5198	28134834
5216	29841779
5242	18742502
5249	20328900
5264	29949938
5266	36197112
5280	20844683
5291	2475020
5302	27431263
5305	3838
5331	35950562
5345	27367050
5357	44899375
5362	23545525
5369	30644401
5397	12919793
5401	2709313
5467	44859255
5470	17316848
5471	49972346
5505	3499240
5506	19623500
5522	32133348
5546	18660164
5557	27411264
5562	27733352
5597	18564641
5599	49566536
5608	32414879
5631	22270979
5654	78075956
5659	20005146
5670	40766348
5691	43106369
5697	26135367
5705	45167587
5711	17108664
5730	16716531
5740	15081909
5748	26065522
5777	16796101
5780	22230512
5785	37435997
5798	18626421
5820	32521830
5837	2740159
5843	21400292
5854	13746054
5874	17172649
5877	13205835
5879	23484531
5895	17314188
5898	43462861
5904	52390738
5912	44415681
5913	32149721
5914	31853564
5916	13820331
5921	49385882
5930	30049028
5939	22467667
5951	49711121
5977	35950562
5993	35939494
6004	39477163
6012	43913699
6050	49756617
6060	16854708
6061	10911265
6095	15778749
6101	42302543
6105	44170089
6106	43009829
6117	54958141
6120	38883381
6121	32584098
6137	7195685
6138	45558062
6141	3964303
6144	32617224
6160	53149842
6179	42935222
6195	2457205
6197	17083954
6198	26485988
6201	2709313
6204	18594941
6206	32005949
6215	43894488
6228	42991594
6230	46767209
6264	2200854
6266	46221914
6267	21535127
6276	45503868
6278	26873134
6290	17294043
6291	1070291
6295	17220800
6304	18738748
6308	53042595
6316	30817119
6338	20329649
6351	21982618
6360	40939020
6390	38084274
6401	19587900
6416	2353156
6441	19324714
6469	44600706
6470	19587900
6474	15204254
6504	38762501
6514	18144098
6530	798431
6538	44858793
6552	40339017
6567	18088292
6597	39653872
6635	798431
6653	1172084
6659	798431
6663	38218955
6665	16993790
6667	13895626
6676	16619093
6689	44361964
6709	3832101
6722	42649122
6723	30017195
