geneid	dist
559	3675
564	4926
572	6855
575	7671
582	7359
590	6679
594	5828
602	5415
605	5125
614	3551
619	1746
624	1139
992	782327
1024	762690
1430	91811
2011	330580
3124	463498
3150	305
3152	323
3901	8521229
4208	6524704
4378	2353904
4475	10778883
4716	3636449
4772	6524704
4828	6524704
4841	6524704
5009	8521229
5051	7933447
5085	8096421
5098	7219479
5143	4046958
5151	4628748
5161	10151031
5197	863477
5198	3541532
5216	2081851
5234	5974160
5242	45567
5249	10290583
5264	6886951
5266	3669944
5280	9978991
5291	1673384
5302	14763433
5305	5394506
5331	3494798
5345	4295247
5362	7916739
5369	1147433
5397	9711948
5401	935388
5467	1337205
5470	5274955
5471	424424
5493	305
5505	1581027
5506	552564
5522	14042899
5546	10527607
5557	4257075
5562	4044016
5597	10667925
5599	786647
5608	14328170
5631	4565172
5659	2484698
5670	5258041
5691	3218033
5697	5368211
5705	1194242
5740	11667597
5748	5500458
5772	13188
5777	12004666
5780	1201917
5785	4702952
5798	10542099
5820	182394
5837	962092
5841	11554645
5843	447274
5854	10515362
5877	10001971
5879	5807815
5897	11903831
5898	3031332
5904	12022946
5912	1871928
5914	13724898
5916	10593030
5921	1085524
5930	11919562
5939	4745545
5951	684299
5977	3494798
5993	18067384
6004	6568717
6012	2335668
6023	572271
6050	618894
6054	10021506
6060	11970722
6061	7882930
6095	12221816
6101	3920940
6105	2080658
6106	1274916
6117	9764266
6120	6079578
6121	14497649
6144	525223
6160	1946508
6179	1556869
6195	15262
6197	11842704
6198	8636367
6201	935388
6204	10573243
6206	13919002
6215	2376063
6228	1305478
6230	11643566
6266	9248649
6267	4428535
6276	10332678
6278	4780732
6291	773064
6304	10509854
6308	1842860
6316	1084735
6351	984743
6360	5088463
6390	6049117
6391	49104
6401	1029121
6416	38419
6441	1806296
6469	1815417
6470	1029121
6474	1177370
6504	5975741
6538	13792381
6552	3933012
6567	11362001
6597	4865899
6658	8636938
6663	767479
6667	10656827
6676	1496194
6689	426002
6722	737991
6723	11878988
6731	94159
6745	691903
6760	5393280
6784	4304473
6808	3900169
6809	2590475
6816	678897
6820	1059297
6821	1053260
6826	330322
6834	1000830
6839	9746556
6847	2296418
6855	1589080
6861	1029121
6863	12142527
6890	5487014
6898	589678
6905	2537786
6916	7940249
6917	4960550
6918	1424963
6920	640659
6923	8884443
6926	264809
6931	907775
6939	1442594
6946	1365887
6952	11332621
6953	1023497
6974	4217220
6986	1432477
6987	6960960
6988	4425040
6990	9060644
6997	9462434
7005	1842751
7007	6135498
7013	11277164
7014	2240204
7045	944866
7057	302194
7058	10378147
7066	7916739
7084	720546
7098	83701
7108	1373654
7111	283543
7114	757648
7119	6190456
7144	4960737
7148	197557
7158	6090205
7162	1445931
7166	2283850
7179	2751597
7183	5458356
7190	2159289
7222	7577967
7237	1867260
7258	19789107
7264	4942522
7301	4660797
7306	1579185
7312	2296418
7327	514976
7333	895938
7338	7487987
7346	4563988
7353	8638114
7387	1403767
7411	352643
7425	5359653
7426	4534467
7428	787112
7430	4646708
7443	2076353
7455	2782572
7461	1578530
7462	7702100
7469	1107640
7492	12022946
7496	59055
7498	6268112
7499	3872207
7503	6273114
7511	3874572
7536	4317553
7540	660439
7546	780845
7562	1453932
7580	3707540
7583	1548242
7590	2468470
7595	241331
7606	854060
7611	1126572
7621	3321219
7637	385586
7648	1156540
7649	2175738
7659	5330904
7675	179318
7688	916930
7692	504431
7701	692167
7709	1101708
7714	7817986
7719	1087725
7733	6756761
7734	155864
7738	6407720
7739	4682811
7741	7157716
7760	1472554
7761	4982108
7773	3903966
7776	742951
7777	5842097
7791	5857315
7808	1029121
7816	430586
7832	2750264
7834	102507
7854	7112664
7863	1059787
7882	8285489
7883	4606488
7887	3792252
7900	846413
7907	1485091
7910	1399434
7918	7022769
7923	1987179
7926	489903
7931	760423
7933	9386256
7937	796786
7938	2004701
7983	2753687
7987	7895628
7993	464247
8013	1072571
8018	2953836
8019	910003
8029	2361486
8031	10820393
8042	10701384
8044	5096319
8058	11881641
8061	105669
8071	280061
8074	4104649
8083	704172
8096	733535
8097	1834794
8101	4338307
8117	7362975
8120	6720749
8143	7161280
8147	1566671
8148	296464
8153	3580420
8160	871563
8163	536356
8164	18172894
8170	3912387
8172	5007334
8189	3104285
8203	217105
8207	7241391
8219	5145277
8234	6578135
8236	17798409
8244	3787880
8245	5254262
8247	3546410
8255	6348300
8286	3633958
8297	1331624
8312	1181619
8321	558584
8332	3735196
8336	5274955
8360	1426318
8378	4272498
8394	6347074
8397	2868874
8411	7183369
8413	838595
8415	127147
8417	5671066
8430	12545
8431	5314830
8438	4646708
8441	7041408
8447	1427864
8450	1379014
8455	9455187
8458	3638680
8459	232308
8462	1753564
8463	153734
8465	5589733
8474	8521229
8481	8777707
8488	14456355
8489	5011981
8500	10002405
8510	894718
8519	3737032
8526	820897
8547	749598
8553	112325
8557	5441615
8561	14231253
8562	7686858
8563	14258374
8571	3147476
8577	870800
8582	2554105
8600	591575
8603	971985
8623	3792782
8624	8521229
8625	3180863
8635	12418676
8636	14062942
8641	6907949
8653	2010218
8656	8188161
8657	7637619
8659	1980222
8662	403178
8663	2082228
8673	11798805
8674	5882955
8675	3756308
8677	14425201
8691	1021184
8698	5427248
8708	337260
8709	6167308
8710	14800995
8716	908023
8731	3569423
8742	10503898
8745	1875686
8746	9334453
8751	4333598
8759	13147275
8761	3989506
8768	1791389
8771	5627147
8775	25893
8782	10778883
8789	7809373
8792	5227282
8796	478828
8805	649171
8832	307595
8833	3854871
8853	1346578
8885	887918
8893	8521229
8898	870387
8921	5656441
8928	2940950
8950	10550456
8964	21153859
8965	14194529
8969	1601539
8973	1920455
8986	1916990
8994	3045982
