geneid	dist
992	440795
1024	418426
1430	644423
2010	432392
2011	1071
2014	431376
3124	963449
3152	492
3990	612262
4104	46564
4208	1306430
4378	3227209
4772	1306430
4828	1306430
4841	1306430
5007	1293083
5051	2455931
5059	1827428
5085	2443955
5098	2136884
5143	111660
5151	775704
5161	129556
5197	241143
5198	1101751
5216	3558555
5234	163036
5242	1702372
5249	100527
5264	772856
5266	429478
5280	260489
5291	3982263
5302	69212
5305	3771972
5331	690977
5345	1063757
5362	2501597
5369	4407509
5401	336709
5467	597860
5470	176690
5471	1895696
5505	1033992
5506	872762
5546	116031
5557	1101172
5562	1442023
5597	335960
5599	2383685
5608	1797289
5654	565
5659	167918
5670	380025
5691	948137
5697	35027
5705	413664
5730	2512745
5740	4115502
5748	43652
5772	77438
5780	156404
5785	33067
5798	149587
5820	1889686
5837	352713
5843	124077
5854	3014656
5877	2552176
5879	3363029
5898	754225
5912	554304
5913	1520973
5914	1234178
5916	3088301
5921	2609614
5930	732266
5939	2190605
5951	2212526
5977	690977
5993	1144504
6004	1313210
6012	53939
6023	454208
6054	2531152
6055	1809223
6061	220107
6095	3442253
6101	1787397
6106	1600592
6117	4596
6120	1574304
6121	1926816
6137	1936197
6144	2184056
6160	654099
6179	1506311
6198	4214457
6201	336709
6204	164574
6206	1387734
6215	122559
6228	1580272
6230	415010
6253	633051
6266	251716
6267	570848
6276	746634
6278	583958
6287	1740068
6291	627923
6304	27090
6308	811116
6316	4352014
6329	53939
6338	70011
6351	520285
6360	956171
6390	551650
6391	103056
6401	78362
6416	138802
6469	714018
6470	78362
6504	1506326
6514	613591
6538	1309616
6552	87290
6567	1147401
6597	121246
6653	704755
6658	3581807
6663	938648
6667	3188524
6676	165176
6689	2355517
6709	1256006
6722	1229179
6723	794534
6731	1626235
6745	26684
6760	23246
6764	2627533
6771	1489875
6784	371970
6808	1625964
6809	260261
6813	88465
6816	393464
6820	129241
6821	457546
6834	64487
6839	2247695
6855	88465
6861	78362
6863	2441
6890	27693
6898	28922
6905	127962
6916	286369
6918	32622
6920	53933
6923	262935
6931	478569
6939	135435
6946	1323262
6952	3986842
6953	1811568
6974	493147
6986	501172
6987	1685426
6988	599261
6990	59021
6997	1457991
7007	746512
7014	483817
7045	4090
7052	1259975
7058	2895211
7066	2501597
7084	357671
7108	2824700
7114	164242
7119	2029318
7144	2074
7151	107301
7158	1590765
7162	7913
7166	955852
7176	596360
7179	71741
7183	68655
7190	419047
7222	1531262
7237	869066
7258	1158262
7264	774529
7299	751452
7301	850411
7327	3765038
7338	499702
7346	542240
7353	1079148
7385	662161
7387	1363790
7411	1073062
7425	2617520
7426	1039645
7428	205345
7455	129094
7461	1268977
7462	316825
7496	3798414
7497	5516
7498	91227
7499	107440
7503	949108
7511	412700
7525	332697
7536	233609
7540	84587
7546	3203144
7562	1781
7583	406688
7590	49863
7595	990340
7606	42430
7611	685609
7621	179862
7637	24250
7648	3103357
7649	357549
7659	6882
7675	147667
7688	3254595
7692	47686
7701	201969
7709	14537
7714	168668
7733	243058
7738	519956
7741	2726866
7760	56187
7761	1013013
7773	140637
7776	147014
7777	180941
7783	1610979
7791	23012
7808	78362
7816	465171
7829	200030
7832	2784858
7834	32642
7854	576750
7882	817429
7883	574089
7887	89263
7900	229466
7910	383168
7918	198165
7919	98276
7923	35355
7926	527277
7931	160341
7933	356033
7937	52782
7938	1420433
7983	762268
7987	2783854
7993	1181156
8006	1425
8013	1729721
8018	203085
8019	57548
8029	1217139
8031	505725
8042	68853
8044	1682691
8061	21980
8071	1001348
8082	165690
8083	120494
8090	3291
8096	10272
8097	578
8101	348819
8117	699158
8120	3168592
8143	183898
8147	160857
8148	2447743
8153	10704
8160	2472988
8163	1214462
8164	1419785
8170	75975
8172	179793
8189	218969
8203	455006
8207	458070
8219	1611591
8234	347491
8236	1042427
8244	41340
8245	1537128
8247	68886
8255	788938
8286	113589
8297	1530713
8312	2961398
8321	3074712
8332	42374
8336	176690
8339	54927
8360	1343203
8378	809389
8394	1015702
8397	169693
8411	214579
8413	51788
8415	49196
8417	911886
8430	80302
8431	441531
8441	68874
8450	4327598
8458	713052
8459	250265
8462	2100535
8463	759498
8465	1173725
8489	1214749
8500	769819
8510	3272605
8519	1293083
8526	2039599
8547	73623
8553	249564
8557	841034
8561	1034367
8562	805551
8563	4254
8571	25014
8577	1586640
8579	33821
8582	927082
8600	635745
8603	4140
8623	5261055
8625	113525
8635	1149930
8641	32664
8656	74985
8657	752867
8662	418664
8665	1045240
8673	98306
8674	974612
8675	46672
8691	2107780
8698	270197
8708	10609
8709	356534
8710	1617539
8731	618622
8742	3004138
8745	406090
8746	45335
8751	906055
8768	812068
8771	696692
8775	1526849
8789	309250
8792	350721
8795	14542
8796	21630
8805	271784
8832	1754540
8833	25423
8853	4379059
8885	504281
8898	478206
8921	537253
8928	671910
8950	3052143
8964	685998
8965	1723869
8969	5977
8974	997324
8986	1403653
8994	5397
8999	164521
9007	23787
9012	1159904
9019	3235760
9020	811781
9026	918927
9027	412778
9040	282661
9043	526417
9045	619886
9047	1402293
9052	701791
9067	1130764
9077	15209
9079	252485
9106	2726866
9108	862127
9119	479061
9132	635961
9155	1703446
9173	1848998
9178	589184
9196	471182
9203	296
9209	575821
9214	1298883
9216	1302849
9226	178644
9228	401788
9232	377841
9238	351899
9248	282805
9260	192042
9265	2148830
9267	25886
9269	4251948
9270	1198223
9287	167384
9291	25300
9299	210342
9317	1166829
9324	81888
9327	63538
9341	1229618
9345	1052519
9348	491384
9383	265707
9420	64
9449	405216
9466	32076
9474	25014
9485	1049450
9495	435677
9504	133433
9513	360850
9519	262302
9534	568300
9539	567163
9541	216380
9554	97460
9574	571615
9575	1030010
9577	474608
9578	119134
9583	1831714
9587	196259
9588	17730
9596	87719
9600	15535
9602	956769
9603	140341
9617	925879
9621	4237506
9625	518458
9633	104159
9636	192792
9638	367689
9648	799508
9652	1495769
9655	1542643
9657	39364
9661	4108681
9668	274811
9670	1039764
9678	4108681
9683	1212170
9692	1467827
9718	652486
9721	194507
9722	2029137
9725	3332771
9729	1434124
9732	139552
9735	921057
9741	3400487
9744	1444409
9745	48715
9748	624880
9752	221052
9758	569451
9759	452155
9770	857950
9772	2082055
9774	638
9779	26149
9790	1231160
9793	587014
9794	383847
9806	226536
9808	1204970
9810	4753789
9811	231616
9813	194585
9821	36245
9846	437626
9851	440231
9852	1416498
9853	892258
9864	693104
9870	220784
9878	573718
9880	150428
9893	2247695
9897	3214806
9902	120091
9922	14556
9930	444041
9933	395381
9944	802307
9950	673530
9951	1133487
9954	145227
9960	1319225
9961	756269
9963	5179
9986	37915
9990	53080
9994	2025620
10007	2485771
10008	171771
10018	75032
10021	717198
10026	1739666
10033	697738
10037	357048
10052	148892
10054	336142
10061	1282160
10070	145227
10071	1524831
10075	1575754
10076	687862
10079	521351
10086	4596
10088	848149
10091	227277
10107	3054780
10112	824380
10121	522685
10122	457546
10123	277215
10127	2262508
10128	759498
10133	73428
10134	552552
10143	1225431
10145	352713
10167	424913
10171	2865954
10172	1216401
10195	1730276
10203	941489
10204	1978751
10205	1179586
10206	29525
10209	1164074
10212	590658
10213	966339
10228	1429672
10233	160368
10245	375755
10254	614522
10262	17828
10264	405834
10269	251923
10276	4006541
10282	1168479
10286	1018869
10287	407372
10293	540189
10296	1532961
10298	1933603
10306	1214902
10307	511856
10317	109625
10322	6176
10323	9360
10324	23244
10331	1249683
10334	511075
10335	800583
10341	627351
10350	133224
10356	1321318
10357	1500951
10359	32171
10363	3599530
10374	2705479
10376	1298883
10385	1208862
10393	36254
10405	11979
10406	2220699
10410	139270
10415	1223204
10436	2211490
10444	1529764
10447	1381023
10462	136734
10472	2179579
10479	78899
10493	1688
10516	92
10520	360850
10540	305542
10566	131
10607	208426
10610	818693
10633	170519
10664	1212091
10670	134283
10672	1754669
10684	994251
10685	1256006
10694	2724812
10702	270840
10704	168811
10713	1659133
10718	1643821
10727	594015
10739	676740
10743	263480
10765	29403
10766	16548
10771	3229563
10772	860298
10774	293102
10806	3102136
10814	812379
10819	459830
10833	2935534
10838	918174
10844	781490
10845	1222919
10872	544619
10875	1259
10882	528708
10891	416553
10900	791805
10906	940163
10907	1194042
10908	666764
10912	220204
10913	1110024
10914	1280599
10918	3414066
10925	1965613
10928	521996
10935	263857
10936	465800
10938	983272
10953	513200
10967	1076404
10969	5160665
10980	449216
10983	1306781
10997	327573
10998	2455931
11004	994667
11009	3013052
11011	4012265
11015	2894717
11021	902854
11023	4041225
11025	4602
11031	1178104
11032	1869330
11040	327342
