geneid	dist
582	1829
602	296
992	69347
1430	169223
2011	673531
2929	106934
3124	278868
4104	1651834
4208	3251854
4378	1296875
4475	313622
4548	2368
4714	2368
4772	3251854
4828	3251854
4841	3251854
4881	1995046
5051	2444077
5059	277740
5085	2431627
5098	152490
5143	1073570
5151	4461106
5161	1221421
5198	999407
5216	6363797
5234	140727
5242	328411
5249	1096004
5264	1042080
5266	11953122
5280	1298556
5291	6671941
5302	4720406
5331	11778822
5345	4669358
5362	2506403
5369	7092094
5397	53022
5401	3166942
5467	2827124
5468	24679
5470	972444
5471	7152157
5505	2538412
5506	750865
5522	1139311
5546	377438
5557	4703799
5562	4955993
5599	6790503
5608	1412790
5631	5193164
5659	6093553
5670	9631690
5691	792061
5697	3895553
5705	3108748
5706	1067518
5730	188
5740	769939
5748	3850394
5772	89987
5780	141927
5785	12207840
5798	360642
5820	1473465
5837	3151663
5841	673739
5843	114554
5854	412369
5874	371618
5877	91039
5879	4529375
5895	510459
5898	1393212
5912	2283149
5913	1168441
5914	928974
5916	367522
5921	6640708
5930	25144
5939	5183587
5951	6862088
5977	11778822
5993	986978
6004	10913316
6012	1695669
6023	8356687
6050	6900639
6055	312916
6061	1094059
6095	76423
6101	48214
6105	2023904
6106	5187333
6117	333613
6120	11150335
6121	1508903
6137	1553226
6144	8830584
6160	1568555
6179	5108142
6195	4292458
6197	212473
6198	2543039
6201	3166942
6204	333234
6206	1064775
6215	1678626
6228	5174998
6230	3410952
6266	6990593
6267	2405755
6276	5064991
6278	2684295
6291	960217
6295	371618
6304	449193
6308	1428914
6316	7248925
6329	1695669
6338	1096635
6351	388539
6360	1328437
6390	250050
6391	4319257
6401	1723197
6416	4340317
6441	6406658
6445	612483
6469	2456009
6470	1723197
6504	11354897
6514	6891130
6538	850255
6552	2167631
6567	473823
6597	335457
6649	612483
6653	1007022
6658	2849521
6663	11637161
6667	305943
6676	739900
6689	6622994
6709	2275939
6722	4822432
6723	63796
6731	408465
6745	3476355
6760	4730165
6764	89431
6771	611196
6784	15594318
6795	24679
6808	5167170
6809	6059727
6813	2599688
6816	249730
6820	2527204
6821	3131577
6826	1865278
6834	2454947
6839	17758
6850	2003839
6855	2599688
6861	1723197
6863	336208
6890	711945
6898	2414706
6905	973168
6913	2003839
6916	1143646
6917	4223070
6918	1945883
6920	2264459
6923	11223387
6926	1774688
6931	9877252
6936	2047782
6938	2047782
6939	1051812
6946	9634143
6952	495791
6974	15706355
6986	1112077
6987	1200605
