geneid	dist
992	3393417
1024	5560770
1430	12227646
2011	2175609
2929	11881704
3124	8340680
3855	1853989
3911	7378733
4202	1853989
4208	7943107
4275	1853989
4374	1853989
4378	8139377
4416	8290558
4448	13445735
4475	1929007
4513	1853989
4676	6521933
4716	7834061
4717	1853989
4734	13445735
4747	1853989
4750	13445735
4772	7943107
4827	13445735
4828	7943107
4841	7943107
4857	5902487
4867	8290558
4901	7393119
4919	11174098
5051	2953226
5059	3634373
5085	14642978
5098	7725671
5143	2044294
5151	2761057
5161	13855886
5198	10152846
5216	8877739
5249	7635555
5264	422072
5266	4403311
5291	3949047
5302	6427673
5305	3933387
5357	8125466
5362	2936403
5401	6313578
5467	11150219
5470	14808197
5471	9505234
5505	853971
5506	7849090
5522	8482323
5546	5155569
5562	2827272
5599	2134170
5608	8512992
5654	2448041
5670	12511566
5697	2734524
5705	8119423
5740	4998637
5748	2727959
5780	4781452
5785	4604481
5798	5152782
5820	12364430
5837	14645728
5854	5881032
5877	5556147
5913	8738746
5914	10806010
5916	1966290
5921	5760054
5930	10756354
5939	11266920
5951	640486
5993	93634
6004	5633989
6050	9527450
6054	2973174
6061	1263971
6095	16519667
6101	10864752
6106	9901952
6117	14322499
6120	9449878
6121	12353170
6144	4197736
6160	2281663
6179	9936845
6195	3686024
6198	11128513
6201	6313578
6204	8755003
6206	8476611
6228	9907128
6230	5380909
6276	2244105
6278	2751503
6291	10667610
6304	8954748
6308	2288171
6316	9625820
6338	7142339
6351	804843
6360	13460186
6390	8850121
6391	2848575
6401	5353278
6416	2857355
6429	5851213
6441	7903291
6469	9015461
6470	5353278
6474	12978396
6504	4818875
6514	13411531
6538	5309962
6552	6441730
6567	5133678
6597	7980611
6653	6000529
6658	7323031
6667	1248209
6689	6545776
6709	822064
6722	9945636
6723	8590542
6731	8136800
6745	11834165
6760	11325184
6771	5097687
6784	8410563
6808	2871241
6809	11529974
6816	10441460
6820	10096866
6821	11261986
6834	9881860
6861	5353278
6890	14771688
6916	1458122
6918	1262019
6920	9121244
6923	9866146
6931	625605
6939	4467290
6946	4203240
6953	8274411
6987	13681774
6988	2349159
6990	8709718
6997	12106137
7007	3237312
7013	4834750
7014	10659405
7045	10266790
7052	559655
7058	4286553
7066	2936403
7084	14078473
7098	5832459
7108	1600853
7119	6442685
7144	11279527
7158	3167961
7166	10891701
7176	614519
7179	12889272
7183	4307518
7190	11036298
7222	5291771
7237	6924876
7258	7784259
7264	12470287
7299	9116948
7301	2326736
7306	6044295
7327	4861394
7333	4498159
7346	5796012
7353	14666687
7385	1036588
7411	16673080
7425	11308891
7426	5764921
7428	9997438
7430	5959639
7443	601894
7455	2664772
7462	6212742
7469	4498159
7496	4251903
7498	2217219
7499	8656210
7511	11947850
7525	2741042
7536	8678700
7540	6183555
7546	1963315
7580	7358998
7583	9272523
7590	853051
7595	2969182
7606	4498159
7611	612275
7637	6218817
7648	832550
7649	10659405
7659	8178776
7688	11692028
7692	6960421
7701	9988067
7709	13085224
7714	11650152
7719	9287333
7733	9473746
7738	9356941
7739	12484508
7741	865888
7760	13611002
7761	8925853
7776	3085333
7777	2711362
7791	5066322
7808	5353278
7816	7009469
7829	2107920
7832	5438004
7834	4671993
7854	9367401
7863	4498159
7882	1675459
7887	8647505
7900	10340228
7918	5258253
7923	2013523
7926	7031245
7933	6655440
7937	4189885
7938	8884865
7987	7343748
7993	8383148
8006	5514415
8007	1036588
8013	13173984
8019	2339843
8031	5141536
8042	2709446
8044	11833856
8071	11495647
8083	3052881
8096	6443597
8097	13650856
8101	8399012
8117	28738
8120	9694034
8148	8928560
8153	5153067
8160	25019
8163	9438152
8170	4397080
8172	2073000
8189	16899640
8203	16514421
8207	9388847
8219	11752396
8236	2863774
8244	4790116
8245	5233463
8247	1027642
8255	4390558
8286	9932883
8297	9916662
8312	2425169
8321	1975534
8336	14808197
8378	983306
8394	5580860
8397	13223111
8413	7978331
8417	11646144
8430	7193786
8431	12599115
8438	5959639
8447	4139552
8455	4918134
8459	1736158
8462	12342779
8463	12911260
8465	12022771
8488	4222681
8500	3385350
8505	7065138
8510	16547165
8526	4269758
8547	7076596
8553	12739014
8563	12225438
8571	9511582
8579	5711830
8582	6065226
8600	1155262
8603	4498159
8623	6606520
8635	13954689
8636	3162510
8641	3593390
8657	3379360
8663	9846541
8665	191450
8674	41185
8675	1293812
8677	7072009
8691	14509901
8698	2008526
8702	4222681
8709	9458491
8710	60180
8716	17072
8723	3596528
8730	12476801
8742	4317060
8745	2638543
8746	3683185
8751	8154833
8759	4046059
8761	7129025
8768	8179634
8771	1618327
8782	1929007
8789	6314190
8792	9545062
8795	3300692
8796	2426603
8805	10682629
8827	12476801
8832	12387331
8833	9948021
8862	12476801
8885	8631493
8898	8625901
8919	870445
8921	1991537
8950	8891559
8964	9054633
8965	11446370
8974	6620193
8999	7363675
9007	9951577
9012	12359527
9019	9788287
9020	5190913
9027	5595581
9040	20817772
9043	5423968
9045	11818733
9047	8232327
9052	5204271
9077	2024978
9079	1913000
9094	1858098
9095	11026667
9106	865888
9108	8456444
9119	2658437
9155	6224058
9178	9949975
9209	4888778
9214	838494
9226	657941
9228	13565180
9232	1161968
9238	1839137
9248	6275613
9260	10762262
9265	7712336
9267	7738705
9269	1364530
9288	7195253
9291	12233212
9317	8703745
9327	7202198
9338	7050923
9341	5932983
9345	2985393
9348	12106352
9367	10112320
9383	7189997
9410	5674331
9449	14724389
9458	421220
9466	2498221
9474	9511582
9485	4898437
9495	14690128
9504	9570048
9519	8613251
9534	61537
9539	3552852
9541	1923120
9554	1036588
9577	3704716
9578	2010746
9583	5847409
9587	8027122
9602	12199469
9603	13597415
9617	9313643
9625	13132415
9636	95478
9638	8620177
9648	12134386
9652	10067759
9655	5475755
9657	7058390
9661	16556171
9668	893431
9670	14018081
9678	16556171
9683	12197960
9692	4395873
9716	1800
9721	7740107
9722	10376164
9729	10960145
9732	14517862
9735	1961589
9741	16507250
9744	10841536
9748	196695
9752	14774982
9758	6166498
9759	9023548
9770	9086605
9772	6397453
9790	9569863
9793	7127747
9794	13902098
9798	870445
9806	13615886
9808	11825034
9810	3832455
9811	2625115
9813	11270764
9821	11668917
9827	870445
9851	2278571
9852	5208345
9864	8677984
9878	10996372
9880	11414988
9902	9431740
9922	6847919
9930	6680151
9944	3182776
9950	6690
9951	8430245
9954	10639923
9960	5948894
9961	4183344
9986	9545443
9990	7892524
10007	7071888
10008	8605814
10018	2257851
10021	2294796
10033	3182776
10037	1832394
10054	14328856
10061	12380204
10070	13631940
10071	152587
10075	10057998
10076	680449
10079	9113786
10086	14322499
10088	14305801
10091	7827788
10107	3892178
10112	2117041
10121	10672368
10122	11261986
10123	6011002
10127	9253182
10128	12911260
10134	13480414
10145	14645728
10167	12655010
10171	1600853
10172	6194588
10187	8001479
10195	6234875
10205	2142766
10206	8750414
10209	4060601
10212	14376958
10213	10717082
10228	10836149
10233	5998739
10236	10449954
10245	5740585
10254	7951379
10262	5937063
10264	14740588
10269	7231800
10276	9423196
10282	8264608
10286	6929177
10287	4993839
10293	9586034
10296	10061765
10301	5767980
10317	454132
10323	9544758
10324	4682106
10326	6075165
10331	1819854
10335	7807249
10336	10790235
10341	6142532
10346	15374806
10347	5286151
10350	4460096
10356	3276397
10363	5347278
10374	6549111
10376	838494
10393	7998750
10405	6133839
10406	7736108
10436	7343586
