geneid	dist
554	647
555	1601
556	1670
557	3229
558	3304
559	4262
560	4331
562	4400
563	4469
564	5511
566	5579
568	5655
569	5729
570	5826
571	5891
572	7445
573	7514
574	7585
575	8269
576	7728
579	7657
582	7496
590	6816
593	6032
594	5964
598	5618
602	5553
605	5263
607	3885
609	3816
610	3757
614	3686
619	1874
621	1349
624	1276
627	135
630	67
631	25014
632	105403
633	118
634	2236
635	125347
636	163476
637	113071
638	74375
639	171569
640	111732
641	160240
642	106508
643	24912
644	73108
645	167563
646	8710
647	167494
648	51714
649	199111
650	15579
651	148416
652	133853
653	146107
654	188947
655	138226
656	168452
657	130575
658	168449
659	114064
660	65480
661	52579
662	65339
663	92833
664	77312
665	36114
666	19101
667	3915
668	3901
669	112481
670	101667
671	134475
672	81926
673	65523
674	140269
675	106531
676	123638
677	35817
678	78511
679	93601
680	180685
681	166607
682	97514
683	112277
684	172667
685	163248
686	63904
687	134707
688	123050
689	31825
690	144592
691	205846
692	1308
693	102431
694	58241
695	159040
696	156812
697	48689
698	99287
699	126472
700	36386
701	18624
702	248694
703	77336
704	171784
705	93584
706	184053
707	115987
708	35817
709	82428
710	125315
711	52454
712	18884
713	106563
714	79060
715	119319
716	59289
717	76534
718	273835
719	95944
720	82785
721	161129
722	201939
723	92745
724	150835
725	215385
726	49352
727	36391
728	131104
729	35817
730	36135
731	114082
732	99341
733	142753
734	175194
735	84237
736	142521
737	65569
738	164998
739	18624
740	70075
741	174723
742	144163
743	34961
744	51948
745	84219
746	158154
747	100757
748	18624
749	192306
750	154380
751	93304
752	141811
753	44805
754	165093
755	114117
756	59623
757	81759
758	18605
759	52594
760	34474
761	50632
762	66769
763	97444
764	136122
765	81043
766	67694
767	127162
768	27283
769	149317
770	169986
771	82624
772	168437
773	51774
774	82739
775	191222
776	63134
777	42011
778	65459
779	65421
780	52589
781	146792
782	111420
783	118235
784	34123
785	198545
786	130388
787	161149
788	172321
789	184262
790	195186
791	119804
792	53455
793	128039
794	116445
795	160608
796	16856
797	18602
798	65530
799	79835
800	83951
801	70012
802	144040
803	83099
804	6972
805	203205
806	52457
807	90624
808	22714
809	157729
810	263332
811	18899
812	51797
813	128735
814	98482
815	166091
816	184983
817	79836
818	80908
819	159284
820	158394
821	110282
822	3915
823	50759
824	121701
825	18606
826	143678
827	120027
828	77969
829	130534
830	171957
831	131078
832	99325
833	59628
834	65165
835	1076
836	94811
837	40249
838	27264
839	189314
840	34988
841	63369
842	151283
843	116675
844	174959
845	187406
846	185567
847	3286
848	86842
849	157942
850	79989
851	129672
852	64623
853	18588
854	18624
855	113696
856	16759
857	52344
858	82710
859	40154
860	36300
861	6977
862	160986
863	155083
864	130559
865	46439
866	165113
867	168472
868	93637
869	144586
870	29328
871	144455
872	106
873	182294
874	210492
875	243222
876	16794
877	227068
878	257262
879	155076
880	171575
881	25047
882	35817
883	171529
884	18602
885	115560
886	170765
887	187824
888	132599
889	3915
890	141260
891	106
892	109818
893	35037
894	198389
895	35817
896	52627
897	75745
898	64540
899	155078
900	99077
901	16182
902	683
903	171555
904	63189
905	140290
906	60566
907	40260
908	4082
909	92834
910	113232
911	8544
912	35462
913	86266
914	149487
915	3632
916	139033
917	42095
918	98408
919	100583
920	3915
921	101712
922	107924
923	76448
924	8909
925	144579
926	227974
927	99510
928	106
929	110017
930	108645
931	163357
932	145453
933	117534
934	58285
935	113580
936	89231
937	131475
938	75084
939	4040
940	120829
941	125185
942	106464
943	62372
944	99251
945	46292
946	35817
947	164204
948	106
949	93013
950	164950
951	168309
952	113915
953	36376
954	106
955	223756
956	106
957	161114
958	128424
959	51670
960	131072
961	95990
962	165078
963	106
964	81045
965	368295
966	69395
967	258622
968	296295
969	266914
970	120228
971	31652
972	181939
973	134935
974	170859
975	22683
976	50862
977	44124
978	152
979	154642
980	114042
981	6890
982	130781
983	18626
984	167427
985	37210
986	65881
987	60316
988	123644
989	77350
990	59607
991	105
992	23770
993	185557
994	106
995	144281
996	42910
997	60067
998	16977
999	22247
1000	127716
1001	51247
1002	27171
1003	54528
1004	1025
1005	11819
1006	59644
1007	64854
1008	22247
1009	53164
1010	37512
1011	123637
1012	59624
1013	27192
1014	106663
1015	65372
1016	1025
1017	78771
1018	31540
1019	47467
1020	111581
1021	118320
1022	178923
1023	128146
1024	30358
1025	79774
1026	144328
1027	182282
1028	47621
1029	106
1030	93604
1031	171247
1032	74814
1033	80941
1034	33111
1035	72697
1036	106
1037	217679
1038	76010
1039	182
1040	107046
1041	4879
1042	108713
1043	153458
1044	31630
1045	82618
1046	46474
1047	339954
1048	60755
1049	79088
1050	136895
1051	25108
1052	15295
1053	125568
1054	40729
1055	86936
1056	34493
1057	70269
1058	92134
1059	113128
1060	130551
1061	31431
1062	56799
1063	49344
1064	147310
1065	77353
1066	3876
1067	38215
1068	99399
1069	104929
1070	99262
1071	86039
1072	93447
1073	46086
1074	33183
1075	526
1076	120899
1077	4580
1078	104154
1079	3915
1080	92794
1081	75987
1082	41126
1083	46413
1084	43881
1085	43555
1086	184758
1087	41125
1088	135676
1089	199183
1090	301797
1091	5283
1092	19530
1093	11833
1094	146958
1095	29417
1096	151973
1097	2452
1098	161638
1099	62949
1100	144323
1101	159347
1102	35186
1103	77390
1104	17553
1105	152873
1106	18588
1107	78774
1108	434
1109	76223
1110	69335
1111	10398
1112	16868
1113	110029
1114	103
1115	3915
1116	10391
1117	75066
1118	15441
1119	128930
1120	2742
1121	59589
1122	98482
1123	139434
1124	697
1125	4674
1126	41127
1127	63268
1128	1878
1129	256176
1130	60357
1131	178525
1132	174677
1133	385
1134	64528
1135	9888
1136	183562
1137	11826
1138	143644
1139	120425
1140	68963
1141	18118
1142	41126
1143	114347
1144	515
1145	66450
1146	144584
1147	30702
1148	47734
1149	36778
1150	40099
1151	140280
1152	37534
1153	5500
1154	49164
1155	326153
1156	1611
1157	6659
1158	19157
1159	15528
1160	122784
1161	154286
1162	30723
1163	105617
1164	37166
1165	102793
1166	11220
1167	16181
1168	46522
1169	14334
1170	68963
1171	26916
1172	52836
1173	126141
1174	118780
1175	42117
1176	47043
1177	14128
1178	195235
1179	189577
1180	83952
1181	121472
1182	31729
1183	83011
1184	159038
1185	82626
1186	172999
1187	91879
1188	36516
1189	64651
1190	36376
1191	36230
1192	759
1193	100572
1194	78867
1195	258695
1196	5787
1197	146548
1198	23459
1199	114064
1200	81491
1201	68098
1202	104714
1203	52581
1204	26472
1205	245959
1206	190672
1207	59281
1208	1446
1209	117703
1210	194271
1211	41126
1212	135012
1213	13495
1214	102889
1215	192996
1216	98123
1217	151295
1218	999065
1219	35193
1220	123005
1221	1019500
1222	142675
1223	8316
1224	158830
1225	22601
1226	812
1227	814456
1228	859492
1229	108564
1230	89809
1231	39206
1232	76217
1233	49622
1234	1109
1235	85828
1236	143297
1237	138110
1238	13001
1239	216509
1240	605
1241	257057
1242	10310
1243	36056
1244	515
1245	32900
1246	147312
1247	119290
1248	60494
1249	19543
1250	32900
1251	18567
1252	681
1253	98123
1254	166824
1255	8709
1256	249571
1257	265801
1258	188511
1259	248989
1260	163036
1261	103701
1262	30707
1263	46522
1264	9533
1265	118342
1266	2467
