geneid	dist
559	836
992	316580
1024	276081
1430	14001669
2011	42819
2735	189
2929	689
2932	2449
3152	2449
3361	189
3911	319263
3990	49142
4104	1526395
4208	1507876
4378	2666970
4416	72528
4448	703830
4475	156619
4548	345315
4714	345315
4734	703830
4750	703830
4772	1507876
4827	703830
4828	1507876
4841	1507876
4867	72528
4881	367932
4901	202506
4919	277328
5007	781
5051	2180549
5085	2247672
5098	4024631
5143	3326252
5151	988023
5161	3245545
5197	129133
5198	526659
5216	28284
5234	292235
5249	3316047
5264	2816555
5266	33487
5280	3089198
5291	185268
5302	965449
5305	124617
5357	3039257
5362	2168089
5369	283571
5401	187459
5467	3021157
5470	16783
5471	3009817
5505	628454
5506	3635142
5522	1428998
5546	1154892
5562	733657
5599	3167601
5608	1568455
5654	312924
5659	1347498
5670	1804348
5691	2154891
5697	1270822
5705	3135535
5740	38434
5748	1348971
5772	194
5780	352667
5785	415342
5798	1175492
5820	1608011
5837	207256
5843	706109
5877	148720
5879	89866
5898	2473356
5913	162070
5914	1289855
5916	479365
5921	3302851
5930	700727
5939	285206
5951	3106343
5993	2884151
6004	1362110
6012	2584518
6050	3076690
6054	116750
6061	49973
6095	177330
6101	1861312
6117	652624
6120	1103817
6121	1624511
6144	1020932
6160	1101525
6179	1611584
6195	462702
6198	529708
6201	187459
6204	8900
6206	1382262
6215	2575811
6228	1486795
6230	7119845
6266	63908
6267	131783
6276	1654642
6278	1034554
6291	2587045
6304	1148771
6308	1139798
6316	352308
6329	2584518
6338	3304087
6351	582315
6360	1211480
6390	3327371
6401	467689
6416	417447
6429	2011718
6441	1605272
6470	467689
6474	390
6504	1009460
6514	2143872
6538	6130246
6552	2457114
6567	139827
6597	65460
6658	1987505
6663	779493
6667	449562
6676	548780
6689	1108012
6709	845145
6722	1649856
6723	682194
6731	3914785
6760	10926
6784	621016
6808	674414
6809	1308574
6813	782
6816	383600
6821	237988
6834	2380489
6839	284836
6855	782
6861	467689
6863	231066
6890	71582
6916	71443
6917	423453
6918	415057
6920	176895
6923	1387302
6936	2336479
6938	2336479
6939	194841
6942	2336479
6946	1249847
6952	149190
6953	535943
6974	594188
6986	1744584
6987	2771586
6988	578341
6990	1258758
6997	783406
7005	2235374
7007	3244578
7013	154601
7014	2582941
7058	541886
7066	2168089
7084	322054
7094	2336479
7108	1761525
7119	33754
7144	138375
7146	2336479
7148	2336479
7158	1115862
7162	375585
7166	259397
7179	385119
7183	54837
7190	1011044
7222	1919418
7237	172307
7258	3632310
7264	274758
7299	953741
7301	512571
7306	525384
7327	1240417
7338	407421
7346	304508
7353	178608
7411	155655
7425	76399
7426	3041465
7428	90912
7435	2336479
7443	1526632
7455	1051625
7461	282006
7462	881
7496	1050339
7498	85201
7499	435904
7503	3137774
7511	2688636
7525	1151881
7536	2713440
7540	122161
7546	66426
7580	481191
7583	137148
7590	1362057
7595	126496
7611	938904
7637	247315
7648	1841992
7649	2549724
7659	8311
7688	2939
7701	333566
7709	31348
7714	18629
7719	25085
7733	239626
7734	2336479
7738	2500225
7739	296524
7741	25769
7760	1730455
7761	1279594
7773	323
7776	92960
7777	1457653
7791	235756
7808	467689
7832	205744
7834	2467354
7854	300638
7882	1597457
7883	282190
7887	444836
7918	2172808
7919	24157
7923	2225376
7926	29608
7931	1949226
7933	1184230
7937	2399421
7938	797988
7983	2191006
7987	2332201
7993	204336
8006	1688221
8018	518531
8019	3215300
8031	115164
8042	1764069
8044	3044433
8071	3713888
8074	525259
8082	6725878
8083	109073
8096	2648724
8097	1596922
8101	644855
8117	335976
8120	1880016
8148	102107
8153	590496
8160	3186937
8163	231445
8170	2361447
8172	940426
8189	140048
8203	53222
8207	287095
8219	3028308
8229	2336479
8236	2804405
8245	2990662
8247	2544349
8297	1504139
8312	1784810
8321	1898067
8336	16783
8378	2861011
8394	1434805
8413	2669054
8415	1882571
8417	256189
8430	2110623
8447	917792
8455	662592
8458	2221100
8459	79291
8462	1715458
8463	42569
8465	2833737
8481	873241
8488	1611465
8489	347215
8500	224249
8505	2694335
8510	1892253
8519	781
8526	1149098
8553	114817
8561	707447
8563	2771855
8571	361400
8577	78914
8579	1776135
8582	1758282
8600	89173
8623	389422
8625	90770
8635	179151
8636	3024816
8641	1302856
8656	1292098
8662	172616
8663	1756921
8665	3045132
8673	40490
8674	2753682
8675	466186
8677	2677917
8691	641458
8698	1113335
8709	79955
8710	420202
8723	1214715
8730	2243578
8742	580814
8745	165792
8746	148904
8751	2914223
8759	1064672
8761	239252
8768	931266
8771	2284212
8782	156619
8789	512546
8792	1827743
8795	216300
8805	3026540
8827	2243578
8832	259330
8833	26071
8862	2243578
8885	3684239
8898	3719569
8919	632626
8921	1192852
8928	915872
8950	553498
8964	1359432
8965	5978250
8974	37233
8986	1484255
8999	168086
9007	2933
9012	511074
9019	1861624
9020	670700
9026	1565268
9027	2020010
9040	2414834
9043	795971
9045	995308
9047	1147086
9052	709499
9077	907402
9079	149500
9094	2673521
9095	1161176
9106	25769
9108	1999406
9119	197190
9132	190588
9155	36386
