geneid	dist
559	4054
564	5305
572	7230
575	8058
579	7523
582	263
590	6682
594	5829
602	5413
605	5123
614	3544
619	1740
624	1139
631	77105
992	19956
1024	4837
1430	1713525
2929	560
3124	5143
4104	371434
4208	2177303
4378	1916
4475	152130
4548	323
4714	323
4772	2177303
4828	2177303
4841	2177303
4857	614
4881	21063
4901	249176
5007	212
5051	2300278
5059	183712
5085	2290093
5098	41974
5143	985911
5151	971861
5161	1133286
5197	6438923
5198	41437
5216	744341
5234	143645
5242	232279
5249	1006583
5264	15772
5266	1087490
5280	1213136
5291	1055309
5302	635597
5331	930659
5345	684875
5357	1695121
5362	2352840
5369	1448443
5397	390752
5401	6360237
5467	1733844
5468	413686
5470	933465
5471	600432
5505	5718395
5506	655168
5522	615474
5546	277126
5557	649120
5562	516295
5597	192024
5599	223428
5608	885687
5631	1710248
5659	820972
5670	3008394
5691	1316993
5697	1439326
5705	1568162
5706	976441
5711	1294378
5730	646482
5740	2503028
5748	1511037
5772	54268
5780	871766
5785	2001376
5798	292852
5820	958664
5837	6349488
5841	1673208
5843	1395350
5854	1272819
5874	1401428
5877	726354
5879	2440792
5895	1533108
5898	1690349
5912	2238006
5913	646372
5914	399604
5916	1331089
5921	89501
5930	23347
5939	1763265
5951	305691
5977	930659
5993	37335
6004	3433046
6012	2204591
6023	1788282
6050	342903
6054	749198
6055	1339177
6061	2744191
6095	3147832
6101	546326
6105	2492866
6106	13398
6117	4005
6120	3004969
6121	996378
6144	805332
6160	636799
6179	300451
6195	5591506
6197	1222301
6201	6360237
6204	268965
6206	539931
6215	2186826
6228	40814
6230	2298354
6266	2543595
6267	573795
6276	1833700
6278	1056651
6291	7979
6295	1401428
6304	250917
6308	492310
6316	1609341
6329	2204591
6338	1007211
6351	1346871
6360	387972
6390	802509
6401	11438
6416	5541134
6441	501371
6469	2178802
6470	11438
6504	2927168
6514	5247
6552	563376
6567	2433080
6597	164360
6658	2556252
6663	2537532
6667	1401901
6689	478219
6709	5455524
6722	186159
6723	59662
6731	311852
6745	1078010
6760	2166504
6764	561890
6771	1614087
6784	285304
6795	413686
6808	385657
6809	846132
6810	1229778
6813	1237673
6816	3784849
6820	2388645
6821	6332125
6826	1730638
6834	2315853
6839	425955
6850	4515
6855	1237673
6861	11438
6863	2955326
6890	685992
6898	6794667
6905	59352
6913	4515
6916	2797640
6918	6656
6920	6654773
6923	3927553
6926	1648016
6931	2285546
6936	48923
6938	48923
6939	3150543
6946	106381
6952	2140084
6953	1277521
6974	195591
6986	5555660
6988	2516930
6990	4072506
6997	819761
7005	1548903
7007	889544
7013	2090163
7014	1996062
7045	2247099
7052	1399166
7057	1717722
7058	1154161
7066	2352840
7084	3745512
7094	48923
7098	1183
7104	30765
7108	1104537
7111	1697570
7119	281728
7144	1957979
7146	42992
7151	166740
7158	3013234
7162	1055
7166	5459244
7179	332912
7183	376848
7190	908015
7222	2739229
7237	2077174
7258	5484861
7264	269854
7301	2235071
7306	5882067
7327	1889198
7333	3661213
7338	310160
7346	494896
7353	563294
7385	402818
7387	1696936
7411	870405
7425	2108387
7426	5992797
7428	4404469
7430	5901214
7435	48923
7443	687887
7455	2780955
7461	1835779
7462	1299614
7469	3645146
7496	1915898
7497	1460320
7498	114360
7499	49230
7503	1064351
7511	773874
7525	1274245
7536	103698
7540	6612644
7546	528263
7562	10804
7580	187141
7583	4050784
7590	4046367
7595	803582
7606	3627497
7611	2199628
7621	852875
7637	7003597
7648	895571
7649	1902411
7659	224231
7688	638342
7692	3406849
7701	1102351
7709	4118842
7714	2665656
7719	4142614
7733	1571357
7734	42992
7738	183957
7739	604140
7741	625
7760	311904
7761	265288
7773	1306869
7776	6535585
7777	1721088
7791	169399
7808	11438
7816	5364937
7829	393302
7832	258551
7834	1428706
7854	1927436
7882	3355582
7883	507127
7887	64258
7900	6460634
7907	4515
7910	190614
7918	592147
7919	5062532
7923	1682994
7926	5406794
7931	6509640
7933	4336308
7937	2127885
7938	1698130
7983	439082
7987	2646185
7988	4515
7993	945038
8002	4515
8013	1415906
8018	1636432
8019	1266817
8028	755162
8029	52591
8031	2687879
8042	2150475
8044	5521864
8061	5012363
8071	348279
8082	125192
8083	6598967
8090	1709698
8094	3380101
8096	731884
8097	516426
8101	314350
8117	150865
8120	2490164
8143	2005390
8147	263927
8153	124026
8160	147634
8163	1003316
8164	3943187
8170	2649974
8172	4685
8184	1401428
8189	1760679
8203	465216
8207	1992574
8219	5441368
8229	48923
8234	330015
8236	3590282
8245	5361477
8247	423447
8255	1299408
8286	1136400
8297	69003
8317	1631369
8321	316703
8332	1125797
8336	933465
8338	14012
8339	893
8378	1224139
8394	3533092
8397	1575288
8411	2030756
8413	692271
8417	218573
8431	3063739
8438	5901214
8441	1911302
8450	1245750
8455	12345
8458	2428413
8459	5214492
8462	1129835
8463	631845
8465	5048450
8481	1165488
8489	1815820
8500	4902068
8510	626634
8519	505978
8526	727214
8553	7518154
8557	678
8561	1941443
8562	2580558
8563	24617
8571	366098
8577	1056798
8582	673316
8600	5518888
8603	3696372
8623	2088377
8625	1833470
8635	1135956
8636	38111
8641	117595
8653	41603
8656	1413835
8657	2527948
8660	623598
8662	5335811
8665	5989079
8674	4815557
8675	110928
8677	16725
8698	823123
8709	792905
8710	1497895
8716	873656
8723	48179
8731	4852
8742	1262701
8746	4248512
8751	1290836
8761	238092
8768	722702
8775	339065
8782	152130
8789	642819
8792	2975788
8795	165908
8796	78855
8805	2155860
8832	8050957
8833	1031464
8853	1276693
8885	820635
8898	800277
8921	977799
8928	4195013
8950	1304304
8965	234237
8973	826722
8974	49304
8986	772150
8994	4754530
8999	1274630
9007	966714
9012	8039629
9019	742034
9026	3526645
9027	332143
9040	40596
9045	7812345
9047	1219311
9067	878170
9077	5419107
9079	2958789
9094	5076988
9106	625
9108	2561461
9119	4466851
9132	713783
9155	8973
9173	1320570
9178	367776
9196	859990
9203	94333
9209	894432
9210	199896
9214	5429883
9216	264560
9226	3995580
9228	3096374
9232	3003213
9238	9870
9248	2454018
9251	2516687
9260	915423
9265	392407
9269	3080013
9270	1456254
9287	34339
9324	229123
9338	387791
9341	855867
9345	850683
9348	3083673
9367	1074723
9449	4362905
9458	4764229
9466	9793307
9474	366098
9485	5557917
9504	9992761
9513	163640
9519	684460
9534	930801
9539	3029547
9541	2932467
9554	1714
9574	2464258
9577	2963488
9578	659704
9583	4406268
9587	670788
9588	4104743
9596	2856427
