geneid	dist
559	3789
564	5044
572	6993
575	7821
582	7384
590	6701
594	5846
605	5138
614	3553
619	1733
624	1139
992	1129
1024	1642943
1274	132
1430	2009399
2011	397574
2735	5300063
3124	1971
3361	5300063
3911	2768941
4104	4238825
4208	1184876
4378	6519437
4416	1527074
4448	535359
4475	1062
4544	1790
4546	1790
4548	3856517
4714	3856517
4734	535359
4750	535359
4772	1184876
4827	535359
4828	1184876
4841	1184876
4867	1527074
4881	287689
4901	2803595
4919	3637310
5051	1470275
5059	395742
5085	1381974
5098	475238
5143	63927
5151	1131547
5161	260882
5198	637648
5216	84516
5234	92201
5249	83771
5264	8963
5266	2282638
5280	459122
5291	17692
5302	1541886
5357	2814026
5362	1622152
5369	147189
5401	763070
5467	2833013
5468	941
5470	9872
5471	27425
5505	276022
5506	98696
5522	1728917
5546	500029
5562	848484
5599	227629
5608	1809160
5631	1305
5654	8231695
5670	3764424
5691	508450
5697	1385527
5705	2799129
5740	120253
5748	1494470
5772	931
5780	44894
5785	2659625
5798	522817
5820	1433806
5837	928009
5854	264246
5877	573057
5879	1776063
5898	549617
5913	2519033
5914	1617571
5916	224330
5921	171135
5993	716434
6012	3165314
6054	525516
6061	275180
6095	711630
6101	476598
6106	3313052
6117	931031
6120	3233138
6121	1458848
6144	947915
6160	2268941
6179	3260256
6195	2533003
6198	1978
6201	763070
6204	537860
6206	1679433
6215	3171267
6228	3311368
6230	3271919
6266	4354424
6267	79606
6276	1349577
6278	1171808
6291	1609383
6304	496442
6308	2369527
6316	216609
6329	3165314
6338	32008
6351	697440
6360	2504201
6390	2031361
6401	2872
6416	299854
6429	2405373
6441	12627
6469	1549
6470	2872
6474	1515534
6504	3189693
6514	349347
6538	2532164
6552	2693808
6567	760187
6597	352531
6653	336409
6658	828504
6663	2851651
6667	166666
6676	286112
6689	3907805
6709	240239
6722	3164367
6723	180676
6731	306455
6745	4826
6760	1635716
6784	908203
6795	941
6809	1069881
6816	1520432
6821	892515
6861	2872
6863	540285
6890	242588
6891	3237
6905	5405
6916	249768
6917	260194
6918	32358
6920	431505
6923	343982
6931	582869
6936	1077
6938	1077
6939	170340
6942	1077
6943	3237
6946	1324254
6952	266783
6953	311590
6974	871282
6986	691495
6987	262214
6988	94257
6990	189949
6997	1934008
7005	1892990
7007	1937138
7013	668
7014	617
7045	1216
7052	1095548
7058	505002
7066	1622152
7084	1559281
7094	1077
7108	3684574
7144	1453894
7146	1077
7148	1077
7158	3243865
7166	67156
7176	626876
7179	429823
7183	1976
7190	4100
7222	337305
7237	1480476
7258	1245470
7264	860835
7299	17463
7301	162420
7306	328961
7327	1106712
7338	1939502
7346	3096728
7353	1374155
7380	3237
7385	428
7411	300646
7425	1541010
7428	1217536
7430	41111
7435	1077
7455	340698
7462	1658875
7496	1122602
7498	1621387
7499	3149634
7503	16189
7511	3556
7525	1308919
7536	2487740
7540	1907594
7546	125361
7580	1592343
7583	1757405
7590	592351
7595	49046
7611	686807
7637	1880958
7648	3676153
7649	617
7659	1702390
7688	163908
7692	571174
7701	1234433
7709	949174
7714	192098
7719	968936
7733	186946
7734	1077
7738	2626
7739	812137
7741	551477
7760	126926
7761	30428
7773	2311303
7776	1949533
7777	1572958
7791	42475
7808	2872
7816	10675
7829	979211
7832	345101
7854	63673
7882	632330
7887	3124563
7918	47632
7923	1917958
7926	50521
7931	2207
7933	156010
7937	294431
7938	1056357
7983	1759
7987	645283
7993	7984
8006	3609739
8007	428
8013	664262
8018	246382
8019	2743452
8029	1628395
8031	619694
8042	960039
8044	9435
8071	2451437
8074	145765
8083	1925834
8096	3490503
8097	11533
8101	937558
8117	1993123
8120	1733078
8148	1751893
8153	5114
8160	196702
8163	39521
8170	1619005
8172	1189753
8189	3812545
8203	46419
8207	11996
8229	1077
8236	648173
8244	16779
8245	11364
8247	166771
8255	190632
8286	281731
8297	3288242
8312	3955907
8321	44631
8336	9872
8394	3462544
8397	24654
8411	313039
8413	3533576
8415	1160716
8417	152609
8431	3738288
8438	41111
8447	263896
8450	25136
8455	41762
8459	1775487
8462	1544432
8463	183037
8481	9754
8488	443701
8489	300117
8500	939419
8505	304039
8526	3710
8561	2365002
8562	87589
8563	131464
8571	395175
8577	24034
8579	1237337
8582	688968
8589	776902
8600	938256
8623	540501
8625	219685
8635	4905658
8641	3368012
8656	4529168
8657	67358
8662	182396
8663	4469
8665	2471
8673	1218536
8674	175897
8675	1612043
8677	342961
8691	2041399
8698	1345471
8709	237427
8710	24197
8716	128286
8730	84899
8742	377586
8745	2773674
8746	513776
8751	74005
8759	151441
8761	1038426
8768	234371
8771	6585202
8782	1062
8789	1876091
8792	3783930
8795	62856
8796	2473605
8805	5265909
8827	84899
8832	1646610
8833	255556
8850	1772989
8853	44308
8862	84899
8885	351522
8898	383208
8919	63468
8921	1479051
8950	256338
8964	2021603
8965	2442712
8986	1606782
8999	3880403
9007	210560
9012	1590070
9019	202068
9020	3299630
9026	2413811
9027	1703677
9040	1086690
9043	4418420
9045	1365849
9047	81967
9052	3339258
9077	18004
9079	346510
9094	145507
9095	1100801
9106	551477
9108	1020613
9119	2831064
9132	248451
9155	4376521
9173	2601387
9178	364404
9196	163401
9209	546054
9214	205655
9226	1176943
9228	379512
9232	2254970
9238	110967
9248	216984
9260	284636
9265	19586
9267	958763
9269	4045233
9270	4383
9287	29021
9288	201004
9291	158349
9317	2033242
9327	212672
9338	748181
9341	158615
9345	310778
9348	322548
9367	303132
9383	193058
9385	132
9410	216484
9442	5860197
9458	1897655
9466	41519
9474	395175
9485	88421
9495	466239
9504	39542
9519	3594853
9534	141037
9539	325749
9541	4283774
9554	428
9578	1274625
9583	756632
9602	1356058
9603	4362888
9617	678677
9625	400524
9636	99125
9648	2094235
9652	124665
9657	829361
9659	250217
9661	396281
9668	1396464
9670	60888
9678	396281
9692	1639890
9716	2566022
9721	274554
9722	4203977
9729	108062
9732	5802280
9735	2102597
9741	608754
9744	1700544
9745	177567
9748	295649
9752	25674
9758	869620
9759	2110583
9770	1983604
9772	2938502
9774	2094131
9779	14676
9790	5469414
9793	4075481
9794	490668
9798	63468
9806	118810
9808	10826
9810	3612064
9811	2730801
9813	929158
9821	149317
9827	63468
9846	3259
9851	343572
9853	4451912
9864	4613281
9878	12719
9902	92629
9922	54541
9930	5000
9944	813823
9950	2343078
9951	1998771
9954	656060
9960	29340
9961	846274
9986	6857881
9990	258523
10008	1510463
10018	176567
10021	13855
10026	295806
10033	813823
10037	4718331
10052	874
10054	1489395
10061	3054
10070	1817
10071	1708059
10075	154072
10076	265343
10079	905708
10086	931031
10088	269355
10091	1157493
10107	274363
10121	541284
10122	892515
10123	357543
10127	2559330
10128	183037
10134	3543940
10143	4330118
10145	928009
10167	143930
10171	3684574
10172	4528449
10187	2303336
10195	4390556
10204	2175
10205	838104
10206	3533339
10212	328284
10213	4016
10233	297300
10236	195115
10245	1331558
10254	1866156
10262	166395
10264	433969
10269	26188
10276	133680
10282	1128
10286	4210458
10287	65055
10296	133355
10298	6263
10301	175780
10306	913110
10307	106543
10317	176663
10322	1186709
10323	365519
10324	3228081
10331	531332
10335	1468979
10336	259991
10341	429224
10346	4865045
10347	3527700
10350	166796
10356	182761
10357	4001793
10363	240651
10376	205655
10393	2592
10405	319444
10406	1104648
10410	3477696
10436	2619222
10447	806701
10472	4566315
10479	5196
10489	1261451
10493	1429739
10540	184046
10546	264236
10561	1644665
10566	134
10571	1585386
10633	1382114
10637	67
10664	250559
10672	171233
10685	240239
10694	923409
10702	2901376
10704	63468
10713	1223
10716	2866
10718	6301550
10727	341551
10739	23795
10743	121073
10765	86631
10766	918108
10771	133910
10772	411819
10806	171262
10814	1967503
10819	943
10833	1704664
10838	2936288
10844	2085791
10845	1481038
10872	249388
10882	26023
10891	1255474
10900	826330
10905	3342
10906	21952
10908	286083
10912	82336
10913	582074
10914	4106803
10918	1826053
10919	3123238
10925	2087348
10928	2238559
10935	1548580
10936	3422976
10938	2585465
10951	246915
10967	622050
10969	2296065
10980	567161
10983	23867
10997	102479
10998	1470275
11004	135301
11009	597632
11021	5838
11031	732556
11032	4621759
11036	1101
11038	2168331
11040	218736
11053	2380160
11056	118663
11067	134418
11075	3082990
11077	83470
11089	2419699
11093	2711647
11099	795716
11101	385697
11102	53188
11106	736524
11109	3533
11114	31845
11120	63790
11124	469501
11125	241681
11131	3783930
11140	240581
11167	34519
11169	5285
11172	380518
11173	1415369
11177	335095
11188	17800
11195	478825
11197	968228
11209	1323
11214	174944
11216	6676646
11225	4380
11226	3409802
11228	293863
11233	2725123
11236	1774766
11237	1393892
11242	2607920
11243	723828
11249	587307
11263	477660
11289	6793002
11291	234106
11297	1127496
11299	1962858
11305	7967
11306	4044031
11310	191135
11311	4011041
11320	155842
11322	2448984
11329	3246782
11331	466730
11332	2255063
11335	136481
11343	1287888
11344	1609987
11349	81248
11351	63468
11366	1405593
11371	297611
11374	784434
11379	52779
11386	1820072
11396	619115
11399	165493
11400	52703
11410	246507
11414	544009
11417	89770
11419	936234
11425	237665
11430	3011588
11432	1619480
11433	38207
11436	641462
11443	207773
11458	133694
11459	8460112
11463	1399331
11464	139378
11465	2543863
11481	1534322
11482	273491
11484	2328662
11486	193771
11487	2449138
11490	429102
11491	234100
11493	2723925
11497	1286352
11498	100654
11499	5896593
11500	617266
11503	4881230
11504	774
11505	1212368
11511	128513
11513	352425
11518	2899273
11524	6760931
11528	30936
11529	620414
11542	2687
11543	228160
11546	1588742
11547	23992
11548	102619
11561	109463
11564	2300
11574	602851
11575	1761379
11579	639379
11582	1232202
11590	168681
11614	2562626
11617	6080184
11619	234853
11620	5104112
11625	2962425
11627	1196935
11628	2544114
11636	169739
11638	2162880
11643	2979707
11646	216207
11647	1378720
11650	216207
11652	238118
11653	367349
11656	21952
11657	216207
11659	13113
11671	187650
11679	1258329
11680	1722227
11685	288246
11691	1412952
11694	29829
11695	4437115
11704	4475152
11713	627064
11716	630345
11726	1116
11727	19577
11728	650573
11734	206840
11739	308317
11741	1774766
11743	863224
11744	450146
11765	712233
11775	183513
11780	2243099
11783	2165964
11787	1383407
11788	140845
11789	394348
11801	1576531
11805	373544
11810	202539
11812	12141
11821	1065806
11826	373544
11827	821795
11829	801230
11831	6835
11832	787308
11847	1394176
11856	1083491
11873	104919
11893	544727
11897	743381
11900	439506
11911	891621
11912	63229
11913	623007
11917	2921
11922	38555
11924	339464
11938	64103
11940	1760809
11944	1408709
11946	1124756
11948	1378877
11951	3237
11954	4819650
11963	320174
11964	605865
11969	284407
11987	3442320
12003	139727
12008	311759
12011	1494443
12013	138204
12016	2158097
12019	79631
12020	609151
12027	430530
12038	1101524
12041	435092
12045	3286581
12047	411045
12048	1147358
12049	834
12050	730014
12054	1485649
12060	1662464
12064	289034
12069	84080
12073	1378877
12083	5520069
12086	3237
12087	506
12088	697847
12091	11259
12092	1462224
12100	350969
12102	6430
12106	1080302
12111	80358
12116	268251
12125	177186
12131	5583373
12136	3447299
12137	7640216
12146	72350
12157	1313030
12163	2167460
12166	11364
12182	26594
12185	256531
12187	110521
12206	1350775
12210	2511642
12222	2383790
12241	1704671
12269	3299544
12274	1350775
12292	413979
12293	2745099
12294	2511642
12316	191247
12325	2144013
12327	8133116
12331	216207
12334	3664845
12341	27834
12345	675087
12350	144671
12351	503536
12370	307602
12379	1339031
12383	3330347
12384	2890
12387	2523421
12388	325457
12389	949523
12391	7326537
12396	125744
12402	285688
12404	4185
12412	1685893
12415	24345
12417	7236
12421	4185
12426	109969
12428	236800
12429	236800
12430	236800
12431	1007
12434	1366112
12435	171632
12442	3237
12452	715861
12463	520615
12464	37683
12468	7681868
12469	35383
12470	298969
12478	270463
12479	738855
12485	563498
12490	36050
12491	3633402
12492	937598
12493	130574
12500	739012
12501	161775
12502	1345681
12513	2757695
12515	1666687
12517	382062
12527	1156985
12530	965212
12531	6451097
12534	7379863
12536	221
12547	2408
12551	6997021
12553	190199
12556	31523
12570	1094766
12573	658
12575	1537923
12576	2518686
12579	5957779
12582	2529060
12583	4263321
12589	2362461
12595	5573
12602	1406
12606	3732481
12610	13807
12618	251147
12619	1486
12625	8954
12637	1034302
12646	2526908
12662	7643
12668	1891949
12670	394489
12672	5845975
12682	105578
12683	423
12686	1376395
12688	2980285
12690	2254042
12698	65737
12699	231400
12701	5455914
12707	482316
12711	3975036
12717	1721585
12729	3419516
12734	1100538
12737	439335
12741	216207
12762	3191783
12765	1006497
12766	12197
12767	468334
12779	298771
12783	1435911
12790	1936934
12805	580308
12810	1656717
12811	1619488
12817	530933
12822	5631654
12829	1485634
12847	1700376
12853	1636965
12857	424552
12863	276022
12865	388881
12866	316789
12877	1125152
12878	110660
12891	7901823
12892	5934
12895	1870179
12898	298238
12900	85385
12901	58689
12904	931
12905	2134906
12907	763070
12921	1892221
12925	561233
12934	318032
12936	43029
12947	5763858
12949	277192
12950	1216703
12955	9279
12957	1568841
12958	2438083
12973	522865
12975	1561212
12977	4054463
12988	27442
12992	38091
12998	336409
13006	84286
13010	405203
13016	491000
13017	489210
13018	489210
13021	509613
13023	95058
13026	6028570
13029	1431570
13033	417432
13042	2484685
13048	3901339
13058	937598
13059	1993260
13063	450181
13070	830241
13071	539030
13073	8872862
13075	4548196
13088	11699
13092	5599793
13096	1637419
13097	4324553
13098	196422
13103	20490
13111	752359
13115	1916265
13116	365019
13126	2084908
13127	8209350
13136	8263144
13137	1635615
13140	498250
13142	141826
13143	206315
13148	251512
13151	1866626
13157	282845
13167	349728
13172	2939866
13175	10301
13177	1976426
13179	3282053
13182	6444439
13183	133398
13189	4085915
13192	338575
13199	1288767
13204	5353999
13206	47396
13213	529307
13236	424827
13244	1324921
13246	5472294
13247	2865934
13251	1246336
13252	623175
13253	8675
13256	1311335
13258	6252183
13267	447203
13277	1232133
13278	65440
13288	2358729
13295	1580455
13304	2608026
13313	5510
13315	65592
13316	7965699
13328	3207295
13336	8052130
13338	1437017
13347	1166300
13350	7043390
13361	1317146
13375	1535746
13382	1507423
13383	729062
13389	1869939
13392	57966
13399	774958
13407	2101758
13427	313555
13430	472272
13432	6561213
13459	136832
13465	4002552
13466	1644165
13471	3056401
13483	247043
13488	1646028
13490	347038
13498	184883
13500	1138796
13519	70844
13523	455683
13525	225690
13526	6003542
13534	1716791
13542	87638
13547	1584421
13560	135191
13567	433948
13577	309520
13586	5300063
13587	515920
13593	2975496
13608	4341
13642	138141
13644	138141
13671	177488
13674	8084904
13682	110521
13683	149
13686	1207547
13695	3734035
13697	165205
13700	1074
13714	5975023
13715	6443
13719	1433447
13721	298452
13722	1747398
13729	1993260
13730	6996
13745	295618
13755	264022
13756	265453
13766	568239
13778	1276934
13784	4015525
13785	157275
13796	1873809
13804	1399968
13808	723112
13811	1092119
13828	1136082
13830	1833104
13834	5989215
13842	145497
13843	1699
13847	130381
13857	130381
13861	2832278
13864	1291271
13871	1672181
13873	1918098
13875	1691600
13876	4457148
13877	79701
13881	729364
13891	5189031
13896	866895
13898	238378
13901	1615918
13904	1487326
13909	73453
13915	97641
13916	166947
13922	497088
13924	505827
13925	86396
13926	55293
13927	522692
13928	9583
13933	804772
13941	3190460
13947	1006014
13951	2048247
13960	6443
13972	5942960
13981	1058584
13991	11284
13992	1032740
14000	1744775
14004	813429
14006	35470
14018	4489870
14021	1025080
14027	937598
14035	1826561
14037	4508566
