geneid	dist
992	8910820
1024	1176827
1430	9939224
2011	8951485
2929	767
2932	23260
3124	4168301
3150	3934656
3152	23260
3855	3248479
3911	5115182
4202	3248479
4208	3520870
4275	3248479
4374	3248479
4378	5272759
4416	7417214
4448	10272897
4475	5722738
4513	3248479
4544	4341266
4546	4341266
4676	6672409
4716	4173911
4717	3248479
4734	10272897
4747	3248479
4750	10272897
4772	3520870
4827	10272897
4828	3520870
4841	3520870
4857	1223083
4867	7417214
4901	5126439
4919	6861392
5051	3304688
5059	10836871
5085	4271786
5098	10288935
5143	10462310
5151	3425468
5161	7330603
5198	1502972
5216	5871635
5242	10344477
5249	10470393
5264	2923419
5291	5886666
5302	1351
5305	5877685
5357	13404467
5362	3322166
5369	7953176
5401	11086408
5467	15404849
5470	3623140
5471	13725371
5493	3934656
5505	5020
5506	10391732
5522	3427229
5546	2139259
5562	3390806
5599	3604147
5608	3418795
5654	5983615
5659	11457167
5670	511887
5691	3602800
5697	14354
5705	13411007
5748	28791
5780	6241809
5785	1015797
5798	2145263
5820	15885092
5837	2959299
5854	3476171
5877	4484258
5879	12015826
5898	3582228
5912	4507102
5913	9672105
5914	17222688
5916	3225723
5921	327786
5930	921020
5939	12101970
5951	5673246
5993	4244994
6004	457355
6012	3520432
6054	9547144
6061	10943766
6095	1566634
6101	3681289
6106	11829552
6117	12705896
6120	10977626
6121	15877741
6144	6027374
6160	6263019
6179	14771791
6195	35788
6198	11250797
6201	11086408
6204	3485686
6206	3455405
6215	15434901
6228	11828277
6230	857576
6267	3730649
6276	1279072
6278	7007311
6291	11751348
6304	10312866
6308	6173417
6316	5925080
6329	3520432
6338	3077641
6351	3016729
6360	12836897
6390	12337
6391	5585038
6401	879557
6416	5581071
6429	5051426
6441	6506518
6469	4540914
6470	879557
6474	1509771
6504	932820
6514	11412897
6538	807257
6552	8166049
6567	2132979
6597	58235
6653	87309
6658	11087474
6663	946330
6667	278391
6676	7099711
6689	8024459
6709	11243
6722	8064483
6723	6867822
6731	77053
6745	1216369
6760	12041678
6784	5039355
6808	3375671
6809	11466591
6816	7029964
6820	6365109
6821	15126033
6834	6343616
6861	879557
6890	10296035
6905	10908839
6916	10854303
6918	10823057
6920	3692808
6923	11873651
6931	7961111
6936	3082616
6938	3082616
6939	10225895
6942	3082616
6946	6031566
6952	10884602
6953	6366810
6974	6418587
6986	7907258
6987	11997559
6988	2290419
6990	11890899
6997	16710533
7005	5572964
7007	6845
7013	763079
7045	633769
7052	8045939
7058	1716904
7066	3322166
7084	6665325
7094	3082616
7098	8712371
7108	7324623
7119	9040220
7144	12095127
7146	3082616
7148	3082616
7158	68170
7166	12025257
7176	11661775
7179	1816329
7183	3007311
7222	9650262
7237	7976086
7258	3978316
7264	10819527
7299	10534414
7301	2222542
7306	1260711
7327	9518465
7333	1923656
7338	9135151
7346	1081308
7353	12917629
7385	4928412
7411	406739
7425	12076157
7426	1236647
7428	3688050
7430	8080277
7435	3082616
7443	4793800
7455	8351696
7462	9589497
7469	1923656
7496	9925878
7498	13178763
7499	1103478
7503	12819158
7511	9115713
7525	11226
7536	9685708
7540	7866758
7546	17936191
7580	14931007
7583	2701847
7590	10917023
7595	16099760
7606	1923656
7611	7992227
7637	7832244
7648	7474480
7659	5739861
7688	17921911
7692	10681721
7701	3697227
7709	2655041
7714	5144274
7719	2652399
7733	4273553
7734	3082616
7738	4505236
7739	10826790
7741	9719478
7760	8958629
7761	15448490
7773	1069433
7777	9585
7791	2647155
7808	879557
7816	9853607
7829	5024038
7832	2231591
7854	4215435
7863	1923656
7882	585048
7887	1139232
7900	4858451
7918	1869458
7919	17044248
7923	5557831
7926	9866008
7931	10974808
7933	7865601
7937	7267535
7938	11867340
7987	11123574
7993	1830355
8006	503998
8007	4928412
8013	20356899
8018	6504989
8019	6143510
8031	2151325
8042	999223
8044	9096882
8061	6531111
8071	2179310
8082	13600653
8083	10986197
8096	10002328
8097	8991483
8101	5035984
8117	9119316
8120	17186725
8148	2450944
8153	20309697
8160	3610344
8163	1858738
8170	10122632
8172	5015946
8189	9230159
8203	599293
8207	4210482
8219	7782173
8229	3082616
8236	5280334
8244	16933960
8245	1885329
8247	4283402
8255	10440739
8286	4570363
8297	11824428
8312	2036182
8321	3569868
8336	3623140
8378	4346802
8394	476362
8397	6523769
8411	13692617
8413	7594565
8417	7126
8430	7259774
8431	7162729
8438	8080277
8447	14416743
8455	14051402
8458	501788
8459	6567529
8462	15870941
8463	587066
8465	8582838
8481	14061484
8488	25091
8489	5675003
8500	13251800
8505	7362632
8510	17926164
8526	5750785
8547	7353611
8553	994861
8561	944638
8563	5527771
8571	8187350
8579	4314121
8582	4902214
8589	7384159
8600	4106801
8603	1923656
8623	10648517
8635	12393030
8636	5573130
8641	2363515
8656	5815091
8657	13678182
8663	6240937
8665	3492315
8674	1047378
8675	14958369
8677	7361530
8691	4749855
8698	6526531
8702	1780380
8709	4301683
8710	4671
8716	2259770
8723	2363334
8730	2817015
8742	13857921
8745	5882754
8746	13196554
8751	4667916
8759	5624017
8761	1679302
8768	14660536
8771	8077152
8782	5722738
8789	9169185
8792	10999877
8795	3214051
8796	8397231
8805	512135
8827	2817015
8832	6517208
8833	4550747
8850	10167994
8862	2817015
8885	5620814
8898	5611125
8919	2352692
8921	6566047
8928	3184932
8950	3497421
8964	2135300
8965	9851617
8974	1906689
8999	6611350
9007	4537768
9012	6423350
9019	7584629
9020	15921334
9026	789242
9027	5815278
9040	24351
9043	15727048
9045	1647793
9047	14567482
9052	15906932
9077	9230051
9079	2337283
