geneid	dist
559	3825
564	5083
572	7022
575	7867
582	7413
590	6730
594	5875
605	5167
614	3571
619	521
624	1140
992	1988545
1024	4528811
1430	17545
2011	2462101
2932	1055
3124	929893
3152	1055
3855	1188475
3911	8574824
4202	1188475
4208	2779312
4275	1188475
4374	1188475
4378	2097792
4416	2558662
4448	12366
4475	57400
4513	1188475
4676	1435411
4716	991974
4717	1188475
4734	12366
4747	1188475
4750	12366
4772	2779312
4827	12366
4828	2779312
4841	2779312
4857	472294
4867	2558662
4901	925168
4919	1445788
5051	931114
5059	4967293
5085	988619
5098	6267129
5143	3943539
5151	795609
5161	3451467
5198	631257
5216	9031991
5242	6190904
5249	5922623
5264	111016
5266	923563
5291	1377109
5302	1122467
5305	1385043
5357	1488053
5362	927844
5401	304420
5467	2858964
5470	3389496
5471	8211429
5505	6939459
5506	6090378
5522	892168
5546	3754260
5562	839553
5599	4048494
5608	884061
5654	1133395
5670	2990394
5691	8236614
5697	762620
5705	1495624
5740	3971033
5748	757583
5780	4723359
5785	758737
5798	3764312
5820	3962283
5837	1542668
5854	44525
5877	1837305
5879	2710488
5898	208308
5913	2690168
5914	939423
5916	2232975
5921	2931482
5930	1026949
5939	2840279
5951	99016
5993	1412823
6004	3106389
6012	5452
6050	8165407
6054	3433625
6061	5958174
6095	261993
6101	1986444
6106	2373118
6117	543945
6120	58216
6121	3969930
6144	1133551
6160	214545
6179	2409717
6195	55261
6198	3012429
6201	304420
6204	882210
6206	929962
6228	2376958
6230	2878831
6267	2583171
6276	146068
6278	42618
6291	313522
6304	653918
6308	208781
6316	1343685
6329	5452
6338	703402
6351	4770327
6360	173951
6391	1296752
6401	2397806
6416	1324139
6429	4898403
6441	1434909
6469	987682
6470	2397806
6474	3168375
6504	637125
6514	18413
6538	2813860
6552	9299247
6567	161343
6597	780082
6653	1822654
6658	5308741
6663	664540
6667	543762
6676	74996
6689	2362363
6709	2999937
6722	2419028
6723	2146171
6731	4376751
6745	652158
6760	2747988
6771	3827130
6784	3469317
6808	875931
6809	2514106
6816	377763
6820	1496269
6821	7882514
6834	2262905
6847	4110
6861	2397806
6890	3426657
6916	5947502
