geneid	dist
559	4806
564	6067
572	8005
575	8333
582	7409
590	6726
594	5871
605	5162
614	3569
619	1734
624	1140
992	12890227
1024	28778596
1430	6194584
2011	15702393
2929	4289475
2932	366054
3124	6443078
3150	426833
3152	366054
3855	280758
3911	2606904
4202	280758
4208	98959
4275	280758
4374	280758
4378	1933992
4416	1137727
4448	3792836
4475	23399
4513	280758
4544	693
4546	693
4716	5829
4717	280758
4734	3792836
4747	280758
4750	3792836
4772	98959
4827	3792836
4828	98959
4841	98959
4857	2081435
4867	1137727
4901	2632040
4919	8059134
5051	8939773
5059	18416850
5085	14320096
5098	15123381
5143	6720
5151	9179065
5161	12976036
5198	208683
5216	2001171
5242	15999023
5249	15721111
5264	1442
5266	12396
5291	37587
5302	7966467
5305	10952
5362	8971141
5401	186514
5467	20562
5468	5080201
5470	618065
5471	2540528
5493	426833
5505	43779
5506	15870356
5522	55539
5546	10486
5562	9120946
5599	33113
5608	9528779
5631	1201
5654	15243181
5659	3569319
5670	80660
5691	16010183
5697	9205647
5705	2101
5740	1197978
5748	6373800
5780	13435725
5785	43941
5798	30857
5820	11119908
5837	19136
5854	2388601
5877	1015718
5879	4085
5898	15983670
5912	15830956
5913	12830
5914	77851
5916	1949
5921	49705
5930	9796033
5939	104939
5951	16558
5993	16077763
6004	1031
6012	17779841
6050	11159546
6054	2655869
6061	14602893
6095	1109198
6101	16140433
6117	12222
6120	94598
6121	11110535
6144	74971
6160	77366
6179	13938
6195	4514662
6198	4086760
6201	186514
6204	22985
6206	9572879
6215	96802
6230	13197971
6267	13625470
6276	4753
6278	10079861
6291	9964
6304	8168
6308	71649
6316	2023086
6329	17779841
6338	339509
6351	11892735
6360	13702
6390	55626
6391	47503
6401	13654536
6416	5642762
6429	18358130
6441	408666
6469	436
6470	13654536
6474	18259735
6504	8634
6514	23659
6538	276078
6552	898628
6597	6787462
6653	2624313
6658	5166221
6663	8757237
6667	16908173
6676	15041191
6689	554
6709	26186
6722	5997
6723	4364067
6731	63541
6745	26005291
6760	22751
6771	754362
6784	2642063
6795	5080201
6808	9063729
6809	12866
6816	1928527
6821	334049
6834	13070379
6847	3986713
6861	13654536
6890	693394
6905	761596
6916	14636553
6918	464065
6931	9424518
6939	52202
6946	13589
6952	10465
6953	20571426
6974	840411
6986	11583964
6987	1899
6988	1890458
6990	387502
6997	25614308
7005	26565042
7007	49549
7013	4230546
7014	747624
7045	4159856
7052	9597255
7058	12267988
7066	8971141
7084	1852253
7098	6781234
7108	10172772
7119	33485
7144	89166
7158	9120923
7166	15747
7176	9441349
7179	17747383
7183	16032804
7190	19178301
7222	7587920
7237	26589564
7258	15614469
7264	13587961
7299	1077
7301	3463447
7306	23099930
7312	3986713
7327	9336609
7338	22676
7346	11493557
7385	829541
7411	14355538
7425	51187
7426	6928499
7428	18337991
7430	6524893
7443	34916
7455	5265032
7462	1964
7496	32286
7498	3342
7499	11434921
7503	9317119
7525	9197376
7536	684716
7540	42419164
7546	10100230
7562	3986713
7580	734821
7583	18627511
7590	766262
7595	20421492
7611	9487319
7637	11737991
7648	29902217
7649	747624
7659	3914697
7688	10124934
7692	5096290
7701	18307883
7709	18539962
7714	256389
7719	18535884
7733	18393961
7739	13509648
7741	3725427
7761	85412
7776	23182489
7777	9282079
7791	1970
7808	13654536
7816	10102574
7829	894319
7832	38118
7854	36104252
7882	130015
7887	11420527
7900	13067735
7918	6877782
7919	10634835
7923	2635962
7926	10131184
7933	2314800
7937	9917876
7938	14277205
7987	5132278
7993	28343874
8006	2241072
8007	829541
8013	14119347
8018	248272
8019	5110951
8029	9290625
8031	4786
8042	6833790
8044	754902
8061	20685967
8071	205000
8083	23189539
8096	74754
8097	22043
8101	2648802
8120	11325
8148	754634
8153	1017508
8160	18561
8163	28401467
8170	1818049
8172	3875807
8189	188473
8203	14664394
8207	36140214
8219	11392182
8236	16146538
8244	22250086
8245	6857825
8247	818554
8255	1084921
8286	19910334
8297	14343
8312	922534
8321	10082676
8336	618065
8378	26007
8394	66984
8397	7557307
8411	14086394
8413	1144321
8417	18557408
8430	3026424
8431	2147648
8438	6524893
8447	8581998
8450	2067392
8455	9047938
8462	11101683
8463	14713531
8465	144399
8488	1170
8489	743
8500	17515
8505	4686415
8510	10118958
8526	100345
8547	6053003
8553	17496487
8561	5625953
8563	18442031
8571	11217762
8579	33839
8582	1498542
8589	39184220
8600	16974
8623	5779733
8635	329
8636	10222
8641	374140
8656	483962
8657	32007
8662	4279947
8663	31557630
8665	3255
8674	7216346
8675	1568063
8677	39265693
8691	8077005
8698	30945466
8702	1170
8709	18467703
8710	4218522
8723	985
8730	18040194
8742	12208006
8745	18788193
8746	2821512
8751	6018
8759	8543415
8761	7226172
8768	6800998
8771	11660247
8782	23399
8789	53960
8792	191362
8795	22075303
8796	45709582
8805	111443
8827	18040194
8832	15896081
8833	19879763
8850	351232
8853	1838512
8862	18040194
8885	21035721
8898	13625
8919	1001
8921	30995342
8928	18964888
8950	34757
8964	12158300
8965	663755
8974	5998932
8999	86549
9007	19851546
9012	348404
9019	200761
9020	10269
9027	8319039
9040	5161320
9043	616315
9045	15539076
9047	6259339
9052	3381
9077	7918724
9079	32393627
9094	14502
9095	6704759
9106	3725427
9108	12530385
9119	294533
9132	18539014
9155	296258
9173	11514
9178	6396114
9209	13563505
9214	11135
9226	214393
9228	3175
9232	204772
9238	23205328
9248	91530
9260	50773
9265	2522497
9267	1213693
9269	13558421
9270	5901766
9287	7525272
9288	51844
9291	2686320
9299	3986713
9317	1140214
9327	369411
9338	3491362
9341	6532403
9345	20400848
9348	10670066
9367	12692292
9383	16816586
9408	19045413
9410	11819567
9411	22765554
9414	151851
9442	8370318
9448	4015656
9449	754489
9458	9502
9466	2862165
9474	11217762
9485	21885137
9495	766411
9504	6629520
9519	12773
9534	29759
9539	20194890
9541	3842014
9554	829541
9577	365
9578	1018081
9583	25336
9587	3057
9602	15366251
9603	33491804
9617	571360
9625	7714477
9636	7157477
9638	13779
9648	1296633
9652	6258699
9655	99492
9657	39249690
9661	1407
9668	1043918
9670	5265572
9678	1407
9683	1611753
9716	13948750
9718	52825
9721	16572564
9722	175814
9729	5244184
9732	26640536
9735	5119299
9741	23278
9744	28767966
9748	16363
9752	622207
9758	1312362
9759	12223299
9770	12146217
9772	404654
9774	435316
9779	21463490
9790	3381337
9793	23753
9794	8606120
9798	1001
9806	8730188
9808	11560614
9810	5990482
9811	242906
9813	36059312
9821	748240
9827	1001
9846	4266564
9851	215759
9852	534134
9853	10121894
9864	485056
9870	12824584
9878	5171914
9880	240649
9902	18161675
9922	5824
9930	1802
9933	18210703
9944	4576048
9950	5544701
9951	137923
9954	10261630
9960	627201
9961	601592
9986	22407861
9990	5322
10007	8767231
10008	14168
10018	2318476
10021	5666473
10033	4576048
10037	360781
10052	73383
10061	630980
10070	72290
10071	7668225
10075	6275275
10076	1972
10079	558369
10086	12222
10088	1447
10091	658086
10107	1881671
10112	73361
10121	13959753
