geneid	dist
559	3697
564	4948
572	6870
575	7697
579	7524
582	7363
590	6683
594	5832
602	5414
605	5124
614	3547
619	1743
624	1139
631	40261
4208	9807
4378	415671
4475	65217
4548	686
4714	686
4772	9807
4828	9807
4841	9807
4881	23986
5007	134
5059	120944
5085	20523
5098	188093
5151	26847
5161	53734
5197	1817
5198	54755
5216	231279
5234	119885
5242	38843
5249	11075
5266	465965
5291	219374
5302	1249821
5331	642443
5357	28421
5369	242996
5467	61264
5470	207245
5471	64576
5506	16907
5522	147958
5546	276985
5562	280156
5597	428182
5599	294172
5608	71673
5654	15062
5670	15910
5691	60702
5705	191263
5730	403250
5740	85089
5748	41692
5772	380
5780	64760
5785	22986
5798	305394
5820	72194
5841	1087943
5843	159875
5854	421965
5877	239417
5895	972502
5898	224659
5913	95674
5914	13390
5916	374010
5921	361731
5930	215985
5939	64672
5951	194179
5977	642443
5993	151978
6012	178309
6050	152785
6054	265976
6061	25857
6095	50955
6101	280864
6106	330402
6117	10110
6121	16794
6138	115924
6144	38920
6179	563339
6198	590
6204	318153
6206	137929
6215	152044
6228	350841
6230	191833
6266	259839
6267	198725
6276	541081
6278	6202
6290	934915
6304	255231
6316	474894
6329	178309
6351	223105
6360	162593
6390	963519
6469	107338
6504	235491
6538	533792
6552	371734
6567	918789
6597	114979
6653	6495
6663	5667
6667	288392
6689	222548
6709	9781
6722	608605
6723	172253
6731	47734
6745	22597
6760	64631
6764	341152
6771	1042281
6784	656618
6808	168083
6820	79017
6826	90003
6834	16091
6847	6449
6863	73220
6890	24004
6905	880878
6916	61811
6917	84524
6923	374402
6926	24927
6939	128364
6946	17156
6952	31698
6974	718994
6986	1030674
6988	558496
6990	61081
6997	11920
7007	802001
7014	121486
7057	64469
7058	610905
7111	38654
7119	5719
7151	41466
7158	8865
7162	1286
7166	301228
7179	38111
7183	6118
7190	26307
7222	56889
7237	162687
7258	225892
7264	345345
7301	347545
7312	6449
7327	500342
7353	523742
7385	3812
7411	74947
7425	125831
7443	71708
7455	290817
7461	97042
7462	1155634
7496	100272
7497	3742
7498	104542
7499	122896
7503	643494
7525	28121
7536	226921
7540	309720
7546	35979
7590	955172
7595	104292
7611	165916
7621	9635
7637	64196
7648	174322
7649	115687
7659	90993
7688	107102
7719	42581
7733	100122
7739	51168
7741	442524
7761	68037
7773	279554
7776	380783
7777	77088
7783	918877
7791	67297
7816	1987
7834	7094
7854	216112
7882	286065
7883	5509
7887	84222
7910	94320
7918	160958
7923	710
7926	81361
7933	208722
7938	354005
7987	55366
7993	2868
8018	421109
8019	180218
8042	84230
8044	70747
8061	7447
8071	218910
8074	170091
8082	86459
8083	346177
8090	60402
8096	106736
8097	75130
8101	626702
8117	103962
8120	45236
8143	383106
8148	5423
8153	7328
8160	391952
8164	10125
8170	57509
8172	275827
8189	289434
8207	123346
8234	197514
8236	86825
8247	5885
8255	572582
8297	376740
8317	2000
8321	89179
8332	11644
8336	207245
8338	23706
8394	61206
8411	410894
8413	60123
8417	17343
8431	61115
8441	294778
8450	55317
8455	409822
8462	116624
8463	74816
8465	23788
8481	27358
8500	7106
8510	94212
8519	134
8553	107286
8557	454217
8561	1000913
8562	669400
8571	307528
8577	67525
8625	172533
8635	893320
8653	245541
8656	200147
8657	696237
8663	285085
8675	21640
8698	257152
8709	378040
8716	238542
8742	444162
8745	37091
8746	104664
8768	409572
8771	622675
8775	14876
8782	65217
8789	475989
8795	178075
8796	602
8805	159484
8832	315461
8833	102595
8850	735
8853	85564
8898	2304
8921	420867
8928	842823
8950	408831
8964	131054
8965	859427
8969	1431
8994	40685
9007	97530
9012	42634
9019	202999
9020	194120
9026	351511
9043	32698
9052	356759
9067	45779
9079	49667
9094	6757
9095	194064
9106	442524
9108	122531
9119	101243
9132	458784
9155	48188
9173	444066
9178	74772
9196	15153
9209	53475
9216	48656
9226	131560
9232	49788
9248	98602
9251	502443
9260	6509
9265	106014
9267	26126
9299	7908
9324	174566
9327	464347
9338	40677
9341	59537
9345	48450
9367	45273
9383	416700
9466	13718
9474	307528
9495	2935
9504	54537
9513	7370
9519	2988
9525	87
9534	9189
9539	5112
9574	3439
9578	115994
9588	18087
9600	1852
9617	517386
9625	68353
9633	48244
9636	76826
9648	13136
9652	11674
9655	78169
9657	38416
9668	29548
9678	131701
9716	1497558
9722	769904
9725	183749
9735	7687
9741	5725
9744	170268
9745	134487
9752	171932
9759	48841
9770	107152
9772	69169
9779	19585
9790	328233
9793	355845
9794	173466
9806	1199631
9808	7491
9811	190094
9813	5200
9851	12353
9852	23200
9853	71299
9864	436652
9866	209392
9878	103570
9880	45508
9897	102853
9922	2077
9933	64394
9950	828770
9951	132969
9954	97582
9963	5773
9986	29609
9990	23287
10018	935
10026	41870
10052	137
10061	17263
10070	16400
10086	10110
10088	1300099
10091	161711
10107	12579
10121	103694
10127	228161
10128	74816
10133	43138
10134	2015
10143	237858
10167	144696
10171	13764
10172	93844
10195	85746
10205	1888899
10206	10298
10209	185835
10233	13195
10245	365328
10254	31408
10262	83666
10269	370870
10276	514701
10282	15158
10286	685742
10287	7611
10296	25914
10298	3235
10301	381608
10306	132691
10307	124874
10317	3658
10322	46263
10323	52094
10326	692
10331	100321
10336	253668
10341	65377
10347	287518
10350	128420
10357	159587
10393	74422
10405	12602
10406	498369
10410	203838
10415	12661
10436	86337
10444	190747
10447	54059
10472	8619
10479	160792
10488	106530
10540	92838
10607	968
10651	102677
10684	309746
10685	9781
10694	173354
10702	59618
10713	1231
10716	571436
10718	7515
10739	30583
10743	77649
10765	8444
10766	8270
10771	261896
10772	590274
10774	80693
10819	184329
10845	11474
10872	259214
10891	177974
10900	245879
10908	84625
10912	57389
10914	281638
10919	39082
10925	97061
10935	270232
10936	547209
10951	17061
10967	111112
10969	113275
10980	136308
10983	11595
10997	209788
11004	54179
11009	25197
11011	24053
11015	3748
11021	224256
11025	4192
11040	64887
11048	196458
11053	94954
11060	7929
11067	40086
11077	21385
11089	87538
11101	3703
11109	7512
11114	244164
11124	109830
11129	371
11141	30100
11169	93245
11172	134403
11187	9380
11188	40206
11193	8857
11207	211011
11226	162838
11233	14623
11236	126183
11243	866838
11250	7668
11257	315220
11263	25472
11289	25053
11297	6189
11299	58660
11301	43739
11305	1014526
11310	887783
11311	53433
11322	832572
11326	2549
11329	6648
11331	457752
11332	337522
11335	1023893
11343	263726
11344	62772
11349	18312
11366	156961
11374	6550
11378	770
11379	97976
11386	65477
11400	102716
11414	369765
11417	38379
11418	117541
11430	284731
11432	66120
11433	107392
11436	21140
11443	34832
11464	191961
11465	131555
11481	61896
11486	375
11490	240232
11493	191195
11498	201587
11500	97553
11503	215442
11511	303509
11516	10878
11524	436500
11525	45587
11543	133665
11546	46096
11548	586848
11564	68368
11574	29161
11575	118097
11585	215295
11592	45013
11614	221413
11617	5004
11619	45536
11627	132865
11628	195448
11636	78516
11638	25677
11643	33550
11654	39928
11658	6207
11670	207802
11679	33554
11680	6837
11683	103743
11691	49560
11694	202503
11695	478558
11704	154082
11713	346965
11714	6207
11728	150672
11734	63773
11739	401881
11741	126183
11743	18881
11744	698021
11747	69639
11759	147901
11775	139226
11780	34598
11786	154829
11787	1832
11789	244352
11794	966
11801	320403
11805	202660
11810	657333
11812	142214
11826	202660
11829	46113
11856	6294
11869	164833
11873	5993
11890	7435
11900	486651
11908	9114
11911	13869
11913	159455
11922	143386
11924	364231
11938	163807
11946	4773
11964	187775
11969	1455
11995	7725
12003	37787
12011	24516
12013	48805
12016	963604
12019	116379
12020	143126
12024	638765
12037	176436
12038	26015
12039	122510
12045	424075
12047	194808
12048	316194
12049	107876
12050	46452
12060	316896
12064	65866
12087	103832
12088	202940
12090	36085
12091	14908
12092	30445
12106	209427
12116	9395
12131	26382
12136	305369
12137	121936
12146	491118
12157	167440
12202	42076
12247	1148
12275	179729
12293	466092
12305	257
12325	33296
12327	132026
12334	17553
12341	46745
12350	69735
12354	272398
12379	188358
12383	8926
12384	25097
12387	262172
12389	119823
12391	150457
12395	3847
12402	289284
12412	189424
12417	83094
12426	58120
12452	2380
12459	3500
12464	90120
12468	142916
12470	46847
12478	11486
12479	62992
12484	42751
12502	111502
12515	6094
12530	602
12531	209923
12534	74219
12536	781421
12551	86933
12553	37652
12570	65810
12573	82091
12575	243434
12582	707831
12589	96604
12595	31040
12610	270967
12614	4627
12619	100493
12624	49125
12637	88325
12646	102784
12660	7628
12668	2183
12670	282374
12672	153301
12682	114801
12683	143765
12686	11865
12688	26735
12690	549460
12698	708
12701	14308
12711	80302
12717	104679
12720	32599
12729	97126
12737	15986
12762	89465
12765	96303
12766	256971
12767	178523
12778	18609
12790	242874
12810	36456
12811	399253
12812	627251
12817	159778
12822	420911
12829	34943
12835	39126
12845	108084
12846	300318
12847	63197
12852	331695
12857	1766
12866	711419
12873	2905
12877	173559
12891	104812
12895	66166
12900	35563
12904	380
12905	100027
12921	753631
12925	186981
12931	9943
12934	353525
12936	17557
12947	105837
