geneid	dist
559	5024
564	6279
572	8192
575	8374
582	7465
590	6782
594	5929
605	5219
614	3634
619	521
624	1812
992	2535237
1005	94143399
1024	2561757
1430	28515310
1711	1006776
1712	1006776
2011	14206180
2929	1118608
2932	2362074
3152	2362074
3911	84223075
3990	76379065
4104	71063293
4208	34442888
4378	6989919
4416	1893556
4448	65686117
4475	69409492
4529	45697922
4548	4138533
4714	4138533
4734	65686117
4750	65686117
4772	34442888
4827	65686117
4828	34442888
4841	34442888
4867	1893556
4881	77991098
4901	84281294
4919	85458955
5007	73063968
5051	18876585
5059	17039031
5085	18870380
5098	16972602
5143	17661140
5151	20085093
5161	17867211
5197	85910333
5198	20482691
5216	21026688
5234	96664213
5242	17057554
5249	17676821
5264	655870
5266	23657508
5280	17921879
5291	21178564
5302	1056789
5305	21150476
5357	28657507
5362	19092421
5369	21265465
5401	85971472
5467	28682143
5468	90407829
5470	96922881
5471	27011180
5505	86398129
5506	17419930
5522	47618884
5546	92281771
5562	20334193
5599	27143271
5608	47555888
5654	1528834
5659	52281193
5670	25778646
5691	29554338
5697	19791491
5705	28619428
5740	91364753
5748	19756766
5780	93785733
5785	24235923
5798	92275560
5820	47444758
5837	85962533
5843	93411573
5854	90832180
5877	90618178
5879	50738121
5898	29497000
5913	11293334
5914	47736612
5916	90913224
5921	27289842
5930	48380476
5939	51177442
5951	27081288
5993	46282978
6004	25318687
6012	29110163
6050	27058244
6061	89606530
6095	91604892
6101	29878555
6106	39966854
6117	34409678
6120	25042009
6121	47423383
6138	28465888
6144	22021413
6160	30588659
6179	40132201
6195	61672321
6198	49588938
6201	85971472
6204	92256461
6206	47690311
6215	29108819
6228	39986624
6230	41999351
6266	38529336
6267	95530981
6276	66491873
6278	20013450
6291	443753
6304	92309665
6308	30566958
6316	21324079
6329	29110163
6338	17678960
6351	93686028
6360	30526133
6390	42173539
6401	4268441
6416	61627406
6429	24484038
6441	52533691
6470	4268441
6474	375258
6504	24947204
6514	53060138
6538	42994730
6552	41138843
6567	92105035
6597	4085724
6658	43552968
6663	24713422
6667	90953685
6676	4338809
6689	39571076
6709	86566385
6722	40169058
6723	48399330
6731	17122275
6760	50922882
6771	91856588
6784	49730028
6795	90407829
6808	20442828
6809	52263003
6813	4094727
6816	2936984
6820	4009747
6821	86032130
6834	4002603
6839	90418558
6850	4717704
6855	4094727
6861	4268441
6863	91533883
6890	96858083
6898	16971787
6905	14749328
6913	4717704
6916	89634647
6917	13716976
6918	4657212
6920	16997906
6923	51625068
6931	3524365
6936	4692809
6938	4692809
6939	2102089
6942	4692809
6946	22382275
6952	91191786
6953	1945615
6974	49706653
6986	15229780
6987	42700326
6988	13879079
6990	51688698
6997	6793723
7007	42243553
7013	91163683
