geneid	dist
559	3806
564	5067
572	7011
575	7857
582	7409
590	6726
594	5873
605	5165
614	3567
619	1733
624	1140
992	2888143
1024	14444479
1430	17558531
2011	512148
2932	11226838
3124	2691226
3152	11226838
3855	13435139
3911	6913691
4202	13435139
4208	11041137
4275	13435139
4374	13435139
4378	13500490
4416	8946486
4448	12894835
4475	11578845
4513	13435139
4544	4592523
4546	4592523
4676	11271275
4716	4109630
4717	13435139
4734	12894835
4747	13435139
4750	12894835
4772	11041137
4827	12894835
4828	11041137
4841	11041137
4857	4396106
4867	8946486
4901	434077
4919	12050014
5051	757667
5059	3646694
5085	7686704
5098	11124802
5143	8326947
5151	8426967
5161	2274973
5198	12150317
5216	8635893
5249	11562101
5264	1701355
5266	10175713
5291	9678539
5302	6698827
5305	8851750
5357	14778900
5362	8569523
5401	14990851
5467	9810988
5470	7992933
5471	9679794
5505	3645056
5506	11419926
5522	2029879
5546	7811933
5562	8494776
5599	2487768
5608	2022931
5654	14025620
5670	7393160
5691	6594458
5697	8390583
5705	14099564
5740	7987358
5748	8385624
5780	3288999
5785	8271387
5798	7817786
5820	3385331
5837	2274686
5854	1550806
5877	3854610
5879	4703672
5898	14328615
5912	14143119
5913	12608808
5914	2072098
5916	1875144
5921	7144795
5930	5523770
5939	4824542
5951	10260359
5993	3187679
6004	7282231
6012	14127618
6054	6529592
6061	6401487
6095	7967879
6106	11861377
6117	15620983
6120	11485211
6121	3380031
6144	9962842
6160	7386882
6179	11846650
6195	3026794
6198	4970565
6201	14990851
6204	12646852
6206	2061664
6228	11858397
6230	4574964
6267	1767084
6276	2575726
6278	8418162
6291	1558835
6304	12161019
6308	7380187
6316	8773061
6329	14127618
6338	14823821
6351	3335971
6360	14706921
6391	11656162
6401	12136758
6416	11653692
6429	9994611
6441	7094377
6469	9793551
6470	12136758
6474	6151535
6504	8237476
6514	9774873
6538	4646366
6552	8255976
6567	7866111
6597	12364078
6653	10232365
6658	6399529
6663	10442612
6676	258606
6689	8040163
6709	1948381
6722	11829824
6723	11076614
6731	7660996
6745	2320229
6760	4731396
6771	7870161
6784	433674
6808	8530798
6809	4476660
