geneid	dist
559	3835
564	5092
572	7048
575	7912
582	7443
590	6760
594	5903
605	5195
614	3595
619	1734
624	1140
992	14894
1024	20181
1430	13620
2011	47872
3124	8737
3855	46754
3911	22482
4202	46754
4208	235580
4275	46754
4374	46754
4378	238623
4416	181076
4448	3697
4475	16499
4513	46754
4676	166414
4716	59606
4717	46754
4734	3697
4747	46754
4750	3697
4772	235580
4827	3697
4828	235580
4841	235580
4857	58502
4867	181076
4901	21428
4919	64545
5051	91915
5059	9218
5085	98986
5098	187953
5143	196822
5151	61368
5161	18360
5198	224970
5216	431404
5242	138091
5249	50997
5264	9205
5266	76429
5291	402720
5302	10182
5305	4594
5357	41390
5362	87841
5401	14210
5467	17979
5470	51911
5471	85348
5505	301317
5506	26333
5522	60165
5546	253219
5562	28807
5599	44847
5608	110773
5654	34057
5670	59703
5697	28634
5705	53406
5740	392252
5748	22710
5780	26651
5785	228024
5798	258346
5820	8277
5837	62142
5854	386291
5877	254929
5879	188270
5898	192052
5912	32820
5913	63271
5914	6148
5916	5435
5921	305443
5930	13016
5939	12933
5951	106093
5993	105542
6004	205020
6012	31499
6054	30401
6061	205754
6095	184253
6101	70174
6106	131675
6117	458326
6120	260344
6121	17062
6144	295146
6160	12232
6179	114429
6195	14803
6198	37195
6201	14210
6204	12201
6206	55858
6228	128232
6230	181865
6267	327888
6276	106591
6278	50215
6291	95071
6304	18223
6308	3009
6316	102688
6329	31499
6338	84065
6351	53273
6360	165453
6391	21949
6401	32226
6416	8439
6429	1470
6441	228756
6469	2699
6470	32226
6474	99035
6504	105092
6514	2714
6538	106465
6552	55154
6567	88504
6597	5829
6653	292274
6658	62838
6663	128931
6667	587535
6676	69293
6689	162928
6709	90780
6722	94450
6723	196360
6731	98417
6745	54659
6760	88957
6771	299375
6784	8104
6808	46224
6809	21445
6816	83135
6820	101240
6821	9576
6834	273193
6839	1348
6847	386786
6861	32226
6890	83075
6916	191574
6917	578581
6918	22644
6920	24019
6923	181041
6931	2528
6939	240990
6946	283363
6952	174368
6953	96637
6974	256113
6986	316862
6987	9325
6988	11013
6990	56321
6997	76028
7005	56050
7007	194456
7013	645868
7014	29198
7045	501
7052	1337
7058	187162
7066	87841
7084	4953
7098	42948
7108	3099
7119	503822
7144	4736
7158	2832
7166	144734
7176	1613
7179	208111
7183	6131
7190	99611
7222	8974
7237	31277
7258	30535
7264	318481
7299	160114
7301	30583
7306	46895
7312	386786
7327	57300
7333	74739
7338	402426
7346	50152
7353	405348
7385	21263
7411	135062
7425	79370
7426	4759
7428	22437
7430	88757
7443	469469
7455	3153
7462	268384
7469	74739
7496	40229
7498	57055
7499	704
7503	193577
7511	262232
7525	37333
7536	76163
7540	377652
7546	45389
7562	386786
7580	9455
7583	26098
7590	63638
7606	74739
7611	49334
7637	434004
7648	42808
7649	29198
7659	169655
7688	18080
7692	16443
7701	3628
7709	45017
7714	119347
7719	62112
7733	89586
7738	184039
7739	286937
7741	19172
7760	3316
7761	197252
7773	109272
7776	7989
7777	6742
7791	20653
7808	32226
7816	40482
7829	274837
7832	35967
7834	6352
7854	8216
7863	74739
7882	60057
7887	8828
7900	38017
7918	18515
7919	32090
7923	3317
7926	58155
7933	384474
7937	143282
7938	163851
7987	22852
7993	36328
8006	17348
8007	21263
8013	103371
8018	164016
8019	14623
8031	31934
8042	234927
8044	114203
8061	159524
8071	150988
8083	6202
8096	32010
8097	61433
8101	15483
8117	433151
8120	22249
8148	148946
8153	10038
8160	26303
8163	17672
8170	76238
8172	6146
8189	40655
8203	23381
8207	39157
8219	60358
8236	71413
8244	264218
8245	26587
8247	2427
8255	104180
8286	33833
8297	126759
8312	120186
8321	30256
8336	51911
8378	30759
8394	157518
8397	144440
8411	60259
8413	260640
8430	95331
8431	26081
8438	88757
8447	53999
8450	411191
