geneid	dist
992	26942
1024	4979
1032	358071
1238	358071
2011	171627
2932	293
3124	473246
4104	4053115
4208	21112752
4475	3882857
4772	21112752
4828	21112752
4841	21112752
4881	3145920
5007	1010027
5051	609341
5059	2356871
5085	595546
5098	2576127
5143	3404545
5151	1330740
5161	3640201
5197	2182900
5198	2346306
5216	2508648
5234	17186351
5242	2241450
5249	3443371
5266	10611
5280	3429695
5291	2039404
5302	32291
5331	222498
5345	1644843
5357	3080442
5362	693301
5369	1538723
5401	2269381
5467	3049243
5468	1487875
5470	17803566
5471	1169667
5505	2948286
5506	1423024
5522	276692
5546	107429
5557	1681072
5562	1983243
5597	289240
5599	268182
5608	558209
5631	80819
5654	99411
5659	310067
5670	32670
5697	546391
5705	3326116
5730	1919161
5740	3277295
5748	458804
5772	15712
5780	11216598
5785	32109
5798	154165
5820	666327
5837	2290246
5841	1228784
5854	2254376
5877	1793819
5879	995172
5898	1482235
5904	1860331
5912	2488209
5913	309452
5914	4234
5916	2326763
5921	93581
5939	237461
5951	422158
5977	222498
5993	4135849
6004	1544320
6012	1958983
6050	471679
6061	242894
6095	2678142
6101	413306
6106	29738
6117	5587920
6120	1963679
6121	726405
6137	5685155
6138	3650825
6144	522249
6160	1057222
6179	3030776
6195	1212359
6198	804425
6201	2269381
6204	175180
6206	169736
6215	1940913
6228	2790540
6230	14212235
6253	315289
6266	298317
6267	14736919
6276	15340062
6278	1200715
6291	306485
6295	473
6304	92107
6308	948964
6316	1472541
6338	3444128
6360	843140
6390	7557191
6401	49256
6416	1107924
6469	2666899
6470	49256
6474	1047115
6504	2229997
6514	744560
6538	12103285
6552	5359227
6567	792006
6597	10395314
6639	343390
6653	408873
6658	6288035
6663	1791941
6667	2405197
6676	827239
6689	1942519
6709	2742033
6722	3142740
6723	27752
6731	2160180
6745	3738867
6760	1135490
6764	1994010
6771	1273067
6784	4491711
6795	1487875
6808	2140492
6809	134632
6813	8170935
6816	10645067
6820	421864
6821	2365981
6826	513247
6834	493496
6839	1502369
6847	9001110
6850	438028
6855	8170935
6861	49256
6863	2927534
6890	17607349
6902	343390
6905	7970677
6913	438028
6916	199702
6917	5500522
6918	419633
6920	9842242
6923	8025540
6931	1943456
6936	450
6938	450
6939	10080321
6942	332411
6946	1267443
6949	286697
6952	3114016
6953	380366
6974	4390271
6986	9056817
6988	5988921
6990	7798368
6997	14806804
7005	8549036
7007	7642192
7013	3056114
7014	8947838
7045	522379
7052	2344594
7058	2128055
7066	693301
7084	10604672
7094	450
7098	275042
7108	7146725
7114	92865
7119	3406869
7144	820750
7146	290
7151	261457
7158	1933920
7162	433533
7166	755360
7176	2067883
7179	3455938
7183	10537470
7190	1258449
7222	7446676
7237	4818912
7258	5933198
7264	721093
7301	5782865
7312	9001110
7327	13967141
7333	7291
7338	2582186
7346	522473
7353	7022067
7385	11852047
7387	5280873
7411	1624919
7425	1102146
7426	511279
7428	409806
7430	10178778
7435	450
7443	659573
7455	3716904
7461	5119073
7462	1353164
7492	1860331
7496	14289197
7497	268420
7498	5349845
7499	393609
7503	7788241
7511	10883465
7525	929633
7536	5816488
7540	9820781
7546	6647020
7562	440306
7583	67048
7590	8060475
7595	1511143
7606	29333
7611	2159877
7621	2964419
7637	10162562
7648	6981316
7659	1022003
7675	332431
7688	6748950
7692	398045
7701	437221
7709	148570
7714	279765
7719	180595
7733	1438565
7734	290
7738	8630092
7739	665079
7741	740
7760	1300685
7761	728601
7773	343027
7776	9756548
7777	181438
7783	1393643
7791	17211725
7808	49256
7816	388620
7829	4606717
7832	3120211
7834	237312
7854	1014225
7882	8057411
7883	563509
7887	425149
7900	2172102
7907	438028
7910	6899548
7918	8160586
7923	8667030
7926	434030
7931	9716190
7933	7543372
7937	654590
7938	2696497
7983	11939928
7987	6956441
7988	438028
7993	77589
8002	438028
8006	241098
8013	134803
8018	5293146
8019	3594295
8029	12319887
8031	454570
8042	14943201
8044	9776380
8061	30514
8071	366233
8074	9662830
8082	182920
8083	9806933
8094	432496
8096	7539770
8097	810168
8101	4523935
8117	2781961
8120	1267006
8143	280254
8147	6725514
8148	5587880
8153	9157686
8160	177559
8163	118682
8164	4260773
8170	2866575
8172	5097280
8184	473
8189	5127134
8203	951099
8207	960301
8219	9699773
8229	450
8234	8510297
8236	3922539
8244	2654276
8245	9638696
8247	11191242
8255	863516
8286	2732573
8297	2818553
8312	6998904
8321	6522722
8332	2622571
8336	17803566
8338	526881
8360	5258709
8378	10545320
8394	80702
8397	5312384
8411	303030
8413	7495682
8415	86922
8417	869629
8430	385956
8431	77419
8438	10178778
8441	194721
8447	2542195
8450	1756621
8455	5113472
8458	1439115
8459	168477
8462	931393
8463	1232360
8465	9306400
8481	5412975
8488	1080144
8489	5415314
8500	2915159
8505	1130932
8510	6740752
8526	625089
8553	10779304
8557	2461424
8561	6571334
8562	760145
8563	1256300
8571	3417253
8577	5168284
8579	61826
8582	3870646
8600	532680
8603	2604
8623	2092676
8625	5039879
8635	500805
8641	3860557
8653	7402382
8656	4904547
8657	711314
8660	1944820
8662	344025
8663	7371918
8665	10289233
8673	4559629
8674	9026901
8675	505400
8677	1117591
8691	4975138
8698	5509685
8702	906298
8708	263629
8709	1314509
8710	7071264
8716	5274138
8723	3774554
8731	152801
8742	2244399
8745	602060
8746	2248648
8751	10468595
8759	2300581
8761	2918334
8768	4459615
8771	2614039
8782	3882857
8789	2405803
8792	807296
8795	15701
8796	743
8805	808479
8832	216749
8833	2532170
8850	1541707
8853	1725724
8885	681602
8898	662617
8919	3077392
8921	5729122
8928	18739252
8950	2288157
8964	835369
8965	11822009
8973	875939
8974	885415
8986	4343223
8994	3123916
8999	3309701
9007	2452441
9012	411462
9019	6846595
9020	4414416
9026	407572
9027	6967918
9040	3318825
9043	1777300
9045	705790
9047	4990098
9052	4281578
9067	4063584
9077	2940259
9079	1637328
9095	3721258
9106	740
9108	1267591
9119	656677
9132	1245895
9155	5691603
9173	7240812
9178	3871465
9196	10838278
