geneid	dist
992	7421043
1024	5625844
1430	5920640
2011	10464318
2932	10348506
3124	16632
3152	10348506
3855	485725
3911	5081168
4202	485725
4208	4198179
4275	485725
4374	485725
4378	11173527
4475	1264993
4513	485725
4544	916637
4546	916637
4676	11248142
4716	7173554
4717	485725
4747	485725
4772	4198179
4828	4198179
4841	4198179
4857	4703374
4901	62614
4919	187692
5051	2131111
5059	1868981
5085	4353206
5143	4246333
5151	2233383
5161	2822553
5198	5081473
5216	3869891
5242	1108095
5249	1289254
5264	2293900
5266	11026801
5291	10649263
5302	916766
5305	10635235
5357	14501987
5362	2147827
5401	6096879
5467	3184147
5470	4700037
5471	3208357
5505	8916550
5506	1196134
5522	4453371
5546	9840931
5562	2203609
5599	5909572
5608	4447244
5654	10051910
5670	9515461
5691	5347359
5697	2248928
5705	10646590
5740	9994714
5748	2262960
5780	2588980
5785	10237171
5798	9846650
5820	8602320
5837	1862769
5877	10087964
5879	5285118
5912	10550141
5913	11665693
5914	4492279
5916	2399397
5921	9340571
5930	4552608
5939	5381304
5951	56411
5993	7991216
6004	9432800
6054	6431350
6061	8158101
6095	9973301
6101	479953
6106	7570330
6117	14753649
6120	11981869
6121	8596188
6144	10841173
6160	6066445
6179	7600607
6195	8145793
6198	10526
6201	6096879
6204	7419328
6206	4482163
6228	7578161
6230	9518174
6267	2652891
6276	2039562
6278	246220
6291	5743946
6304	7187859
6308	6061836
6316	10675846
6338	5065383
6351	5310934
6360	6032235
6391	7241622
6401	4077552
6416	7233724
6429	5613823
6441	8076314
6469	4581422
6470	4077552
6474	12571131
6504	10197147
6514	3304138
6538	9587138
6552	4089477
6567	9878379
6597	3270558
6653	6155860
6658	3982605
6663	11234373
6689	4291686
6709	6125303
6722	4164022
6723	12974583
6731	2944983
6745	2922671
6760	5315189
6771	9889750
6784	6396252
6808	2189532
6809	5128421
6816	9052968
6820	4160699
6821	5636455
6834	1948980
6847	1448
6861	4077552
6890	4654340
6916	8147834
6917	9130347
6918	1454946
6923	7531831
6931	1158250
6939	1065954
6946	10852815
6952	6792129
6953	11477398
6974	7261167
6986	8531616
6987	14593716
6988	5155460
6990	2271499
6997	9801427
7005	2516965
7007	1945622
7013	2354118
7014	7955
7045	279640
7052	8233428
7058	2234176
7066	2147827
7084	7838404
7098	4177734
7108	625470
7119	9265412
7144	5370748
7176	1143879
7179	12656585
7183	5930618
7190	10987425
7222	6324066
7237	6779011
7258	10728743
7264	9308797
7299	9816994
7301	38822
7306	4739410
7312	1448
7327	1084068
7338	9354826
7346	36279
7353	14704689
7385	6403497
7411	10654432
7425	5344422
7426	2892381
7428	33656
7430	6761461
7443	4611904
7455	8847781
7462	9456114
7496	34186
7498	7445316
7499	12626
7503	6013907
7511	24955
7525	2247160
7536	4028763
7540	8494634
7546	1447653
7562	1448
7590	1644450
7611	1143879
7637	8457361
7648	10360754
7649	7955
7659	724390
7688	1454259
7692	516348
7701	17648
7714	10786559
7733	3930446
7738	11016332
7739	9277845
7741	12519522
7760	3622319
7761	4610047
7773	11005495
7776	2575915
7777	2271944
7791	28543
7808	4077552
7816	5110674
7829	7239322
7832	6782359
7834	5332208
7854	3881258
7882	3318404
7887	20847
7900	31448
7918	2851862
7919	696244
7923	150750
7926	5109087
7933	4390814
7937	4873
7938	8327474
7987	3608249
7993	11253373
8006	9508122
8007	6403497
8013	6826498
8018	8120104
8019	7512427
8031	9852377
8042	6347899
8044	10506
8061	10970421
8071	48819
8083	2583174
8096	1315193
8097	3653236
8101	6392253
8117	9339879
8120	6414333
8148	3542205
8153	8712
8160	5916305
8163	11247001
8170	4831237
8172	4070426
8189	1598890
8203	10833255
8207	3901554
8219	2824149
8236	5107834
8244	6513433
8245	2837361
8247	2231797
8255	1063550
8286	14273015
8297	7584432
8321	1434132
8336	4700037
8378	20125
8394	9471866
8397	8151744
8411	613151
8413	1704712
8415	5003102
8430	4901784
8431	9674162
8438	6761461
8447	1563290
8450	10658136
8458	40136
8459	10914786
8462	8588550
8488	435994
8489	1203362
8500	3096492
8505	4791756
8510	11547518
8526	10541737
8547	8418129
8553	12887152
8563	11709489
8579	7090
8582	3928734
8600	6219017
8623	4089632
8635	14904541
8641	1319827
8656	961913
8657	3714982
8663	1870906
8665	3842
8674	7371900
8675	8397164
8677	4800045
8691	4045749
8698	7151526
8702	435994
8709	3875358
8710	700994
8723	480511
8730	3893
8742	2192318
8745	7725639
8746	3231291
8751	402283
8759	1595962
8761	4713580
8768	10444436
8771	110136
8782	1264993
8789	9381475
8792	11954256
8795	1916299
8796	4241784
8805	4562463
8827	3893
8832	1522072
8833	14292055
8850	3059135
8853	10728491
8862	3893
8885	2506713
8898	2514039
8919	1412189
8921	7138696
8928	3306094
8950	795285
8964	9082426
8965	4091633
8974	4195445
8999	6867762
9007	14296633
9012	1538555
9019	951125
9020	13826541
9026	8678419
9027	2285405
9040	3836586
9043	9010449
9045	1978200
9047	10347363
9052	13843774
9077	2661668
9079	8147477
9094	6343822
9095	8439274
9106	12519522
9108	8768492
9119	7742400
9155	72155
9173	1046459
9178	986701
9209	5261189
9214	6134180
9226	6171416
9228	9644924
9232	6884
9238	12905452
9248	713099
9260	160549
9265	3189349
9267	3112437
9269	8335283
9270	813070
9287	2231195
9288	7020216
9291	11689930
9299	1448
9317	4413453
9324	21068
9327	7035920
9338	4782711
9341	7776508
9345	14585599
9348	8370632
9367	49202
9383	7015124
9410	2484690
9414	13011554
9442	4034516
9448	9893678
9449	4589996
9458	4950660
9466	13505441
9485	3854737
9495	4566735
9504	7846525
9519	2533606
9534	7743112
9541	8130372
9554	6403497
9577	2180116
9578	4018873
9583	391033
9587	13927763
9602	2562419
9603	9552730
9617	21803
9621	11541157
9625	8041709
9636	7314702
9638	2519994
9648	9703493
9652	871169
9655	9519425
9657	4786617
9661	11534920
9668	535391
9670	9143586
9678	11534920
9683	13427661
9692	5371
9716	8587817
9718	14958
9721	2176492
9722	4051251
9729	7701313
9732	2574775
9735	1164082
9741	11587412
9744	4458666
9748	11591
9752	4659585
9758	3901356
9759	2364222
9770	9066429
9772	4082852
9779	5348529
9790	5547018
9793	2590401
9794	8438895
9798	1412189
9806	3399659
9808	2912691
9810	5294814
9811	7714794
9813	8925425
9827	1412189
9851	9695
9852	7929049
9853	8886437
9864	2254844
9878	7734847
9880	8434960
9902	3026056
9922	5525613
9930	4416056
9944	2266596
9950	1312080
9951	6002430
9954	6697172
9960	6750700
9961	2276133
9986	12846771
9990	3639653
10007	6712124
10008	2537482
10018	5547921
10021	2491543
10026	14589093
10033	2266596
10037	6160622
10052	1745948
10054	13921670
10061	11747999
10070	3630571
10071	5915466
10075	883009
10076	21586
10079	10404202
10086	14753649
10088	13807493
10091	6183430
10107	10606227
10112	3164793
10121	4983579
10122	5636455
10123	7737102
10127	10199303
10145	1862769
10167	13410696
10171	625470
10172	77722
10187	14024855
10195	90380
10205	7350218
10206	11998971
10209	10682791
10212	13873329
10213	526662
10228	4461504
10233	7745580
10236	6076258
10245	135270
10254	7612
10262	7768114
10264	4607315
10269	7054233
10276	3291736
10282	9373
10286	4674231
10287	7839509
10293	7778693
10296	878563
10298	35296
10301	9298447
10307	186017
10317	6958964
