geneid	dist
559	3698
564	4952
572	6890
575	7717
579	7535
582	7374
590	6694
594	5836
602	5420
605	5130
614	3552
619	1744
624	1139
978	152
992	13205
1430	8999
2929	311
3124	4137
3150	435
4208	37261
4378	31090
4716	668
4772	37261
4828	37261
4841	37261
5085	115734
5098	168339
5143	661
5151	29243
5161	38472
5216	175012
5234	202597
5242	47362
5249	16733
5264	24404
5266	12730
5280	65948
5291	26370
5302	8294
5331	78902
5345	4809
5357	45968
5362	139180
5369	29119
5467	82632
5470	49590
5471	1181
5506	90250
5546	12706
5557	5978
5562	101012
5597	143088
5599	71055
5608	69957
5631	3647
5659	20243
5670	11304
5691	37181
5697	569
5705	63755
5730	188
5740	86802
5748	47468
5780	97952
5785	83982
5798	55896
5820	41177
5841	674
5843	41279
5854	31727
5874	662
5879	162409
5895	16561
5898	321495
5904	248
5912	33841
5916	76659
5921	112692
5930	18623
5939	61226
5951	36025
5977	78902
5993	168302
6012	8190
6054	1355
6055	413
6101	167514
6106	66670
6117	4035
6120	26329
6121	23372
6144	12817
6179	142548
6204	13292
6206	19400
6215	6898
6228	62707
6230	73246
6266	93712
6267	118300
6276	312105
6278	16669
6290	545
6291	205687
6295	662
6304	64598
6308	26505
6316	199587
6329	8190
6338	308
6351	275841
6360	34608
6390	107932
6416	22395
6441	8071
6469	48603
6474	140966
6504	123930
6514	893
6538	114157
6552	140325
6567	165317
6597	165303
6663	14010
6667	11024
6676	9457
6689	160040
6722	16787
6723	24866
6731	41526
6760	11579
6771	677
6784	37638
6808	238356
6809	25610
6813	3566
6820	22181
6826	12802
6834	60390
6850	39859
6855	3566
6890	33405
6898	53357
6905	73746
6913	39859
6916	24376
6917	169698
6918	14313
6920	39401
6923	75379
6931	5314
6939	143557
6946	47407
6952	21040
6953	12892
6974	38293
6986	8710
6988	17672
6990	183226
6997	139717
7005	645
7007	58023
7014	17703
7045	1040
7057	9046
7058	153366
7066	139180
7084	21947
7098	10800
7108	111966
7114	422
7119	6047
7144	48891
7151	1628
7162	313
7179	22297
7183	8465
7190	76214
7222	79482
7237	13184
7258	100054
7264	371495
7299	3429
7301	38234
7327	220376
7333	6928
7338	28167
7346	43515
7353	382623
7411	17912
7425	50317
7428	35630
7430	5937
7443	57322
7455	2141
7492	248
7496	19346
7497	57485
7498	55614
7499	39600
7503	40434
7511	9689
7536	183412
7540	84277
7546	34103
7583	57547
7590	50059
7606	5298
7611	118566
7621	15255
7637	44236
7648	59264
7649	44715
7659	8759
7709	21786
7714	707
7719	9023
7733	3584
7738	90023
7739	36711
7741	12298
7760	145668
7761	16196
7773	323
7776	31093
7777	55417
7791	205148
7832	17441
7834	6810
7854	13102
7882	32685
7883	46883
7887	13160
7907	39859
7910	14942
7918	203996
7923	9089
7926	25926
7931	18595
7933	65098
7938	319733
7987	73725
7988	39859
8002	39859
8018	111815
8019	84613
8029	19744
8031	12503
8042	94934
8044	25933
8061	20934
8071	171638
8074	237872
8082	43943
8083	55784
8090	3091
8096	23379
8097	21458
8101	44029
8117	163777
