geneid	dist
559	3825
564	5082
572	7061
575	7907
582	7411
590	6728
594	5872
605	5164
614	3570
619	1735
624	1140
977	147
978	147
992	6031422
1024	11013627
1430	12849073
1711	147
1712	147
2011	5357186
2735	7552
2932	11912529
3124	2769571
3152	11912529
3361	7552
3855	5181004
3911	10456550
4202	5181004
4208	14368065
4275	5181004
4374	5181004
4378	6107674
4416	13018539
4448	207218
4475	1668086
4513	5181004
4544	193
4546	193
4676	18309673
4716	3809740
4717	5181004
4734	207218
4747	5181004
4750	207218
4772	14368065
4827	207218
4828	14368065
4841	14368065
4857	2411177
4867	13018539
4901	3569384
4919	7859049
5051	587368
5059	40523
5085	13040329
5098	4079203
5143	11739654
5151	424370
5161	3041543
5198	197942
5216	11793055
5249	4601564
5264	36394
5266	16146252
5291	15711844
5302	2696409
5305	9672355
5357	13099919
5362	584987
5401	11646129
5467	12077519
5470	75858
5471	12660822
5505	14028629
5506	25983
5522	213626
5546	8696071
5562	503001
5599	4739907
5608	202878
5654	10511389
5670	8348544
5691	10081278
5697	390346
5705	10771988
5740	8852570
5748	385111
5780	5690538
5785	9107411
5798	8701580
5820	10906678
5837	18477634
5854	1448649
5877	11154981
5879	7606844
5898	6006725
5912	10645482
5913	11115180
5914	268177
5916	14761311
5921	8131194
5930	9494169
5939	7739831
5951	17372342
5993	7216734
6004	8236886
6012	5858093
6054	3585975
6061	15496174
6095	8831779
6101	8335384
6106	12220178
6117	13977392
6120	14966293
6121	10895810
6144	15936091
6160	7395687
6179	12252683
6195	2889789
6198	7890018
6201	11646129
6204	14142553
6206	245200
6228	12226616
6230	12042394
6267	14527980
6276	11145111
6278	413357
6291	10382756
6304	14374903
6308	7390808
6316	9589343
6329	5858093
6338	8075
6351	5732976
6360	7630396
6390	11755574
6391	772274
6401	9110214
6416	763018
6429	101833
6441	15179086
6469	10662447
6470	9110214
6474	9548028
6504	9062171
6514	4164192
6538	12125739
6552	11556188
6567	8744040
6597	18618430
6653	6750607
6658	9695731
6663	15886914
6667	4158
6676	561814
6689	11412097
6709	13951096
6722	11454307
6723	55494
6731	6302
6745	148178
6760	7650725
6771	8747988
6784	3545157
6808	548638
6809	7353611
6816	19052839
6820	11450909
6821	2380450
6834	2923906
6839	3530757
6847	87703
6861	9110214
6890	105303
6916	15525119
6918	4490531
6920	5691091
6923	12182307
6931	22905
6939	6094319
6946	15941500
6952	14870390
6953	6183
6974	16535869
6986	3682870
6987	13192483
6988	87356
6997	11209385
7005	81853
7007	11770266
7013	748249
7014	165056
7045	8165588
7052	176031
7058	3793390
7066	584987
7084	17250417
7098	8858730
7108	16670078
7119	10105499
7144	7726050
7151	42094
7166	6339232
7176	47239
7179	9669692
7183	11681345
7190	1121
7222	3134986
7237	2592912
7258	13436541
7264	14327732
7299	10854336
7301	145188
7306	8080
7312	87703
7327	2884289
