geneid	dist
559	3707
564	4951
572	6872
575	7696
579	7522
582	7361
590	6681
594	5829
602	5411
605	5121
614	3546
619	1736
624	1143
633	4481027
636	16894917
992	17908067
1024	17889496
1274	68100939
1430	41870111
2010	2746237
2011	2791400
2014	2747233
2929	5103581
3124	72726108
3150	3470074
3152	5247314
3911	1459782
4104	76706589
4145	2796205
4208	44590993
4340	2796205
4378	49911888
4390	2796205
4434	2796205
4452	2796205
4548	56676594
4676	956786
4714	56676594
4716	51722439
4723	2796205
4741	3665855
4772	44590993
4828	44590993
4841	44590993
4857	2663658
4901	1286629
4919	1245759
5007	3121755
5051	61018318
5059	56897251
5085	61142927
5098	56762489
5143	32907707
5151	4621242
5161	58236719
5197	52488197
5198	3777436
5216	2766313
5234	19013926
5242	56934887
5249	58063642
5264	17020513
5266	54962922
5280	58350177
5291	2453547
5302	4462892
5305	2591195
5331	55117378
5345	4367938
5362	61002005
5369	2036955
5401	52395433
5467	48566208
5468	5648169
5470	25058893
5471	61677323
5505	32074778
5506	57635986
5546	10533527
5557	4337092
5562	4207736
5599	59823213
5608	9882644
5631	29232914
5654	23222954
5659	23139135
5670	22888613
5691	46856418
5697	5055499
5705	48780162
5730	8479555
5740	7215407
5748	5252912
5780	13192811
5785	54298458
5798	10512231
5820	9995489
5837	52386590
5841	9461127
5843	12545401
5854	6282536
5874	9238072
5877	5908664
5879	28533439
5895	9356229
5898	47520336
5912	48144285
5913	9619478
5914	1670971
5916	6345748
5921	52139153
5930	147398
5939	29218692
5951	59678333
5977	55117378
5993	13074898
6004	53169100
6012	47652899
6023	62213676
6050	59534971
6054	5908612
6055	9146719
6061	4083033
6095	7741254
6101	46184853
6106	25642559
6117	36212360
6120	53389176
6121	10045119
6137	25723025
6138	49034850
6144	698635
6160	44910324
6179	25577679
6198	26043798
6201	52395433
6204	10483608
6206	32844401
6215	47640327
6228	25630881
6230	24026918
6253	17101093
6266	28574367
6267	16766237
6276	25266558
6278	4689240
6287	9155494
6290	9320110
6291	17224178
6295	9238072
6304	10590283
6308	45039409
6316	1973012
6329	47652899
6338	58066753
6351	13017249
6360	45195905
6390	21163761
6391	28998927
6401	54995895
6416	29024619
6441	22786722
6469	48262138
6470	54995895
6504	53564776
6514	22021413
6538	21787775
6552	23234743
6567	10071034
6597	30481179
6653	17031846
6658	18785158
6663	53771251
6667	6392431
6676	17550755
6689	26890250
6709	31877866
6722	25378412
6723	23374321
6731	57015773
6745	49094222
6760	28791783
6764	8396758
6771	9406106
6784	6565216
6795	5648169
6808	4076293
6809	23203277
6813	15397362
6816	50124853
6820	29827776
6821	52370774
6826	29211648
6834	29759493
6839	5665648
6850	18880821
6855	15397362
6861	54995895
6863	7580921
6890	19426596
6898	48983772
6905	47076518
6913	18880821
6916	4134813
6917	44779485
6918	54634277
6920	48889425
6923	2798507
6926	29162905
6931	34493157
6939	50764208
6946	8486
6952	6952897
6953	3813903
6974	6664337
6986	48118544
6987	20215427
6988	45168793
6990	2570089
6997	25887214
7005	51984138
7007	21026875
7013	6912999
7014	51558287
7045	29701305
7052	35448782
7057	29193640
7058	6237653
7066	61002005
7084	50179207
7108	12372028
7114	32998102
7119	43414138
7144	29022003
7151	54524849
7158	53370753
7162	54614442
7166	38516359
7176	34587387
7179	15649123
7183	49431211
7190	44693018
7222	3765903
7237	4635699
7258	14815971
7264	38124547
7299	25695576
7301	44957250
7327	44502344
7333	32871918
7338	41992525
7346	37723308
7353	38021736
7385	26264719
7387	4191026
7411	3216415
7425	28904723
7426	24466824
7428	30838210
7430	24374515
7443	22940112
7455	5475893
7461	4391105
7462	41019789
7496	44535497
7497	29066376
7498	40233536
7499	37200146
7503	20862478
7511	25064647
7525	4903088
7536	22947146
7540	48866496
7546	12842198
7583	31841492
7590	47173342
7595	3143463
7606	32902094
7611	34657707
7621	16233021
7637	49141621
7648	12579711
7649	51658354
7659	38607664
7675	29097959
7688	12699962
7692	33234063
7701	30765303
7709	31100288
7714	4047903
7719	31087623
7733	3214327
7738	23022209
7739	37844175
7741	6041720
7760	22628214
7761	45217162
7773	54823308
7776	48824037
7777	5406667
7783	9295908
7791	19035986
7808	54995895
7816	54097932
7829	6443895
7832	3310487
7834	29043752
7854	3465180
7882	3217506
7883	37755383
7887	37142985
7900	52515552
7907	18880821
7910	27795658
7918	22598134
7919	54303646
7923	51870186
7926	54088572
7931	48802398
7933	2495423
7937	29589174
7938	35430824
7983	53519109
7987	19418531
7988	18880821
7993	3292971
8002	18880821
8006	52260642
8013	3864664
8018	26280047
8019	48974749
8029	53859880
8031	10267989
8042	24663261
8044	24023220
8061	54350277
8071	49922424
8074	31450343
8082	59238369
8083	48854562
8090	19176556
8094	33266237
8096	28379290
8097	22810521
8101	6539969
8117	42176790
8120	60488880
8143	19955866
8147	27508096
8148	19762650
8153	31580459
8160	59835408
8163	3359189
8164	13155939
8170	11878278
8172	6194435
8184	9238072
8189	26152755
8203	33320214
8207	3592345
8219	23962827
8234	22857207
8236	12871920
8244	40009479
8245	23891592
8247	25350450
8255	19174686
8286	16499834
8297	25601897
8312	12474562
8317	29152448
8321	13017585
8332	16568935
8336	25058893
8337	80389131
8338	50564218
8339	50521663
8360	4222514
8378	24712401
8394	52924658
8397	26289644
8411	19976108
8413	28324874
8417	2260880
8431	22919681
8438	24374515
8441	19860131
8447	76839884
8450	2239493
8458	11499287
8459	54298070
8462	10182045
8463	33151580
8465	23585377
8489	44589247
8500	26173961
8510	12716124
8526	613732
8553	49618207
8557	1152734
8561	89654385
8562	20502894
8563	5488
8571	15987384
8577	14186740
8579	41322866
8582	18103498
8589	13793414
8600	53961737
8603	32823992
8623	13928527
8625	26059491
8635	31663693
8641	17719339
8657	20449189
8659	17381435
8660	8459231
8662	54206236
8663	17507084
8665	24458588
8673	24555500
8674	23393640
8675	37114474
8691	19141610
8698	5739151
8702	41872132
8708	13612461
8709	2705405
8710	89150581
8716	19442735
8723	15203931
8731	55080356
8742	6277612
8745	5348256
8746	26767226
8751	24642117
8761	17094988
8768	14997096
8771	1078655
8775	57049173
8789	41837223
8792	22861434
8795	10612749
8796	30641018
8805	23933302
8832	9718964
8833	16658417
8850	12450126
8853	2211582
8885	13225338
8898	13250620
8921	5692088
8928	21679534
8950	6319428
8964	9983948
8965	21433195
8969	17021072
8974	14557785
8986	18524066
8994	3985277
8999	24654904
9007	16693282
9012	9224487
9019	12683777
9020	9826682
9026	10684742
9027	17944119
9040	17502475
9043	6814944
9045	8818783
9047	14608142
9052	9705754
9067	18292306
9077	4659173
9079	23045815
9094	23231656
9095	9041392
9106	6041720
9108	11362826
9119	5392679
9132	2603794
9155	11118541
9173	88940888
9178	11306033
9182	17381435
9195	17014657
9196	24983696
9203	17494376
9209	12110761
9214	31856212
9216	31621885
9226	24472598
9228	23005305
9232	12290444
9238	13975047
9248	61839412
9251	23488170
9260	6217844
9265	59474714
9267	80141478
9269	5608484
9270	9894845
9287	17449702
9288	12510413
9299	6385604
9317	11058458
9324	17617163
9327	12629938
9338	13831938
9341	5849975
9345	3194588
9348	12369457
9367	16265675
9372	45183636
9383	12507412
9385	68100939
9400	52458709
9403	17159863
9407	54894137
9409	15694722
9411	20367998
9412	39720596
9413	3292555
9414	20367277
9420	13252794
9433	24198690
9438	657434
9443	23156490
9449	107413
9458	3995349
9466	4915368
9474	15987384
9485	38351002
9495	19265
9504	5068862
9513	27770315
9519	13428448
9534	24909892
9539	4338837
9541	23059936
9554	25561650
9574	24153867
9575	12650744
9577	4283719
9578	5889219
9583	5365468
9587	13446825
9588	24627805
9596	23168091
9600	13931639
9602	5920393
9603	23157907
9617	84948863
9621	7140215
9625	22875896
9633	11698004
9636	21945778
