geneid	dist
992	674663
1024	779258
1430	2488842
1711	152
1712	152
2011	6203028
2929	452
2932	284
3124	3564241
3152	284
3911	2441925
3990	1699608
4104	190828
4208	2780352
4378	2808167
4416	256143
4448	2101947
4475	1764534
4544	3285457
4546	3285457
4548	8910
4714	8910
4734	2101947
4750	2101947
4772	2780352
4827	2101947
4828	2780352
4841	2780352
4867	256143
4881	127034
4901	2525450
4919	2721439
5007	1330007
5051	2137923
5059	714070
5085	2131629
5098	639155
5143	1302335
5151	3220410
5161	1459062
5197	1914378
5198	3743897
5216	4380575
5234	7617696
5242	747035
5264	290106
5266	4353395
5280	1517451
5291	4491973
5302	553683
5305	4455392
5357	438629
5362	2192812
5369	4647738
5401	1899159
5468	2161081
5470	7784462
5471	1993277
5505	1301515
5506	1042713
5546	4123407
5557	1830
5562	3580538
5608	8092623
5654	8426043
5659	12030305
5670	1509107
5691	1100090
5697	2993574
5705	422121
5740	3190734
5748	2965973
5780	5133053
5785	1747896
5798	4117810
5820	8006850
5837	1883325
5854	2501815
5877	2303159
5879	10905019
5898	1051171
5913	436087
5914	8256033
5916	2591698
5930	8712503
5939	11207659
5951	2096142
5993	6888747
6004	1783165
6012	581070
6050	2056905
6061	1316120
6095	3411266
6101	1276548
6106	4861746
6117	5510563
6120	11320115
6121	7981167
6137	108640
6144	5210720
6160	1870081
6179	4822842
6195	7932849
6198	9645175
6201	1899159
6204	4099299
6206	8208870
6215	598372
6228	4857404
6230	2707982
6266	6153712
6267	6517541
6276	312568
6278	3163534
6291	10996
6304	4158576
6316	4733833
6329	581070
6338	1317417
6351	5081676
6360	1773321
6401	690881
6416	7989832
6429	1479034
6441	12211657
6470	690881
6474	128686
6514	12671413
6538	3596812
6552	4060755
6567	3942751
6597	2648523
6658	2368875
6663	698294
6667	2664978
6676	584422
6689	5486739
6709	1107491
6722	1259
6723	8727631
6731	819077
6760	10980295
6771	3727234
6784	4479299
6795	2161081
6808	3704158
6809	11996871
6813	461
6816	267202
6820	383625
6821	1851920
6834	349294
6839	2169956
6855	461
6861	690881
6863	3321188
6890	7754442
6891	621
6898	3804847
6905	2829511
6916	1356233
6920	3747371
6923	4416653
6931	3701431
6936	4399
6938	4399
6939	271454
