geneid	dist
559	5507
572	1551
575	7275
582	5782
590	3834
605	1325
614	3335
624	6611
636	200764
971	26288
1430	1331778
3855	70938
3990	23846
4104	165404
4202	70938
4208	285397
4275	70938
4374	70938
4416	262109
4513	70938
4676	760780
4716	53881
4717	70938
4747	70938
4772	285397
4828	285397
4841	285397
4857	74015
4867	262109
4919	473574
5085	2423654
5143	17642
5198	949678
5216	45252
5234	104464
5242	3696
5266	4632
5291	140089
5305	403469
5362	335634
5369	11062
5467	194989
5471	12425
5505	84577
5562	947149
5599	1049259
5740	199431
5748	638432
5798	36172
5820	1580628
5837	13063
5854	1089225
5916	1798846
5921	5019
5930	179156
5951	9848
5993	1550696
6054	21597
6061	38922
6106	435956
6121	383363
6141	26288
6179	372005
6204	469196
6215	5112
6264	239667
6276	51878
6291	20802
6304	268873
6316	1658365
6441	216546
6474	455253
6504	246082
6567	35037
6597	1466027
6663	561063
6667	138403
6676	1771261
6709	280686
6722	8249
6731	1021104
6760	428996
6784	153090
6809	1076798
6821	16660
6863	84577
6905	274365
6931	244463
6946	130018
6952	342502
6974	169661
6987	362945
6988	38750
6990	601878
6997	385985
7058	11443
7066	335634
7084	445570
7119	192083
7144	7846
7176	244463
7179	3009432
7183	193426
7222	1599034
7264	88156
7299	802126
7301	760480
7306	50618
7327	1059754
7338	18483
7411	1041709
7425	278849
7443	1275653
7496	58891
7499	359759
7525	66059
7540	716902
7580	1364880
7590	40067
7611	2008646
7648	1200095
7659	17954
7688	811238
7692	237172
7701	43243
7719	75479
7733	154872
7741	573749
7776	1665461
7816	838527
7829	74015
7832	116363
7854	23190
7883	1253528
7887	650833
7900	24507
7923	946246
7933	458636
7987	1153296
8013	118146
8042	646796
8044	70144
8071	1730
8083	349984
8096	380341
8097	1490980
8120	1256743
8143	225829
8148	247096
8170	226030
8172	604296
8189	168823
8203	37550
8219	48528
8245	1015646
8247	80330
8286	20279
8297	736397
8341	26288
8378	122222
8394	480957
8415	237635
8447	142384
8450	1149332
8455	175607
8459	1416503
8462	184990
8463	1282401
8526	252811
8553	177850
8577	143987
8579	1579710
8589	773300
8636	257045
8656	1540123
8657	505357
8665	50452
8675	1628771
8698	146791
8716	794917
8730	2752079
8742	53707
8746	687086
8771	113873
8789	9259
8792	260860
8795	90706
8805	184566
8827	2752079
8832	1416503
8850	713437
8853	455120
8862	2752079
8885	16033
8919	64468
8921	1636139
8965	1506320
9012	355493
9019	589433
9020	448650
9027	206615
9040	1088711
9045	243142
9077	64468
9094	98512
9095	74159
9106	573749
9119	570669
9155	166997
9214	7592
9228	2894093
9232	546026
9238	674644
9248	231387
9260	1475488
9265	11522
9267	534432
9270	412480
9291	160097
9317	94029
9341	207634
9348	1034121
9367	84741
9406	28300
9414	257044
9420	134023
9466	427612
9519	49080
9539	4473
9541	27899
9577	4473
9587	833149
9588	277799
9602	8249
9603	521889
9638	86223
9648	89110
9652	929388
9655	452895
9657	378097
9661	145511
9668	435181
9670	403469
9678	145511
9683	669306
9721	590563
9744	285351
9745	616931
9748	762921
9758	7837
9774	365662
9779	815417
9790	274365
9798	64468
9827	64468
9851	1267460
9852	97395
9853	134265
9864	66870
9878	385985
9902	786452
9951	378498
9960	431044
9961	361906
9986	10295
9990	197819
10007	1508165
10008	102338
10018	455071
10026	1350513
10052	61049
10054	92740
10070	733378
10075	680020
10076	254955
10079	604625
10121	911352
10122	16660
10123	201425
10128	1282401
10143	56191
10145	13063
10167	397548
10172	61610
10187	3026
10195	23846
10206	61710
10212	1097579
10213	617238
10228	87081
10233	335138
10236	347703
10245	360432
10269	185373
10282	552588
10286	75365
10296	2204641
10307	151340
10323	1298955
10324	13646
10326	526952
10331	47034
10334	907901
10335	397245
10336	1299702
10346	11192
10347	532925
10350	140939
10356	53881
10357	823426
10376	7592
10393	1687467
10405	460909
10410	156890
10436	1801356
10447	900560
10462	522598
10472	40141
10479	156540
10492	354523
10493	18083
10540	400323
10614	799659
10637	563654
10664	35512
10672	680020
10685	280686
10702	363678
10704	64468
10716	674327
10718	397245
10727	713230
10739	3054957
10766	851767
10772	19484
10814	747930
10819	2260198
10838	1880944
10845	93663
10872	279565
10875	526952
10879	526952
10882	1369089
10891	11738
10900	394023
10905	680020
10908	597867
10912	538413
10914	256549
10919	428996
10925	584840
10936	603448
10951	1596478
10967	5112
10997	135331
11004	1699389
11009	764044
11021	2637113
11040	118146
11053	422223
11056	44129
11061	154808
11067	90097
11075	625539
11077	275041
11099	1200014
11102	953
11106	437379
11114	485017
11123	136234
11124	60925
11125	95005
11131	260860
11140	286723
11141	201425
11163	118466
11167	882072
11169	225112
11172	580865
11173	329204
11177	81297
11197	126814
11209	179291
11217	1255595
11226	445570
11233	32837
11237	1819
11242	97790
11243	68580
11249	632894
11250	69786
11257	75193
11289	380049
11297	11319
11299	1973028
11300	887081
11305	32837
11311	134596
11320	555503
11322	239429
11329	692043
11331	2508387
11349	339119
11351	64468
11366	1200102
11379	1784426
11386	316751
11395	412480
11399	286155
11405	526952
11417	487131
11418	113010
11430	436098
11443	3258585
11458	1572217
11463	610257
11464	439002
11465	280464
11482	442275
11490	94488
11491	72329
11493	111939
11497	408696
11500	1054911
11504	12247
11505	262549
11507	1720600
11513	582256
11518	184744
11524	39852
11527	254955
11542	1675251
11543	499383
11546	17245
11547	254955
11561	204340
11564	47034
11585	1472805
11591	29620
11592	526952
11614	21905
11617	1110520
11620	408816
11628	785322
11636	140939
11643	8249
11646	786640
11650	786640
11657	786640
11671	258883
11680	1314324
11685	342551
11691	559604
11695	2196427
11696	9942
11724	526952
11726	84577
11727	231387
11728	84015
11734	104464
11739	1469244
11744	127957
11747	733593
11765	326549
11775	346556
11789	115936
11800	50452
11801	188067
11829	1489407
11832	6547
11856	33447
11893	7837
11897	295218
11911	801395
11922	344656
11954	40141
11963	580865
11969	495257
11987	84015
11996	778597
12011	47255
12024	169795
12025	169449
12027	1172538
12035	98512
12039	887111
12041	97505
12044	85648
12045	673120
12047	113010
12048	146017
12049	489078
12050	1338090
12054	737692
12060	225349
12064	289514
12083	28146
12087	279222
12092	1683765
12095	673120
12100	1422739
12102	142949
12111	7612
12116	885591
12125	588017
12136	28406
12137	362945
12146	47358
12157	968653
12166	1015646
12202	134407
12222	144599
12236	28300
12316	423069
12325	141670
12327	1784426
12331	786640
12341	274740
12343	633992
12345	92460
12350	166156
12384	43581
12388	634787
12389	1054911
12396	1009841
12412	7942
12417	146027
12428	707508
12429	707508
12430	707508
12434	307646
12435	197951
12452	53881
12463	435719
12464	838155
12468	166997
12479	243001
12484	239074
12490	289015
12493	35037
12498	19415
12501	277882
12502	474770
12513	990298
12527	79314
12531	864753
12536	1607897
12553	1647
12556	209921
12570	1214252
12571	26288
12574	224828
12576	472175
12579	546496
12582	2784053
12589	628247
12595	13908
12610	467314
12618	1130472
12672	2709
12688	133129
12690	619711
12701	21610
12707	783277
12711	245397
12717	1523336
12729	1266951
12734	251203
12741	786640
12762	262877
12766	613222
12790	85041
12805	1462708
12811	94488
12812	206463
12817	22753
12829	127957
12833	550122
12852	30642
12853	1111396
12863	84577
12866	115776
12878	33447
12891	494417
12900	11522
12901	1313663
12944	70938
12947	312816
12949	94488
12958	9116
12973	238832
12975	3204
12987	1919909
12992	418744
13006	4679
13023	953229
13029	221943
13042	13609
13048	951095
13053	24507
13054	526952
13070	76651
13071	141170
13086	1168
13088	847213
13092	226030
13097	630179
13098	2678068
13103	93289
13115	2031631
13136	6258
13143	274473
13148	760780
13157	1164137
13161	897022
13167	439195
13172	133868
13173	53881
13189	98509
13192	217365
13199	3258585
13204	11192
13206	979693
13213	1340865
13246	471975
13252	148224
13253	315179
13254	2486503
13256	125308
13273	47358
13277	122222
13287	408673
13295	571893
13304	860497
13313	30094
13315	404129
13316	236960
13338	163975
13350	37475
13361	32406
13382	137911
13389	85648
13427	54988
13430	774188
13441	394935
13442	111610
13452	122835
13471	281653
13483	1300565
13488	90097
13490	10107
13498	357282
13511	11522
13523	135515
13525	34771
13526	829344
13539	1599034
13542	1447463
13547	37533
13550	953
13574	200764
13587	8351
13593	2810343
13613	354523
13654	97056
13674	117707
13683	258523
13695	934323
13700	533676
13712	81297
13719	17117
13721	63864
13722	48438
13745	357454
13756	122222
13766	690219
13778	52006
13784	376569
13785	17149
13808	571428
13821	526952
13828	120577
13830	942797
13834	829206
13843	2520611
13861	974076
13871	274740
13873	1469079
13876	68839
13877	185181
13891	129226
13896	2304494
13904	1352477
13910	763294
13915	669306
13916	1138215
13922	982692
13924	98509
13925	78208
13926	185118
13928	6258
13933	68488
13941	74015
13951	1125848
13972	4655
13981	366637
13992	263170
14004	9150
14005	995844
14006	969666
14021	47358
14030	2709
14037	169795
14045	176411
14046	504
14067	74015
14083	28905
14086	13458
14091	913628
14094	4774
14100	2440892
14104	1622
14110	422609
14122	590563
14132	1087691
14153	851191
14164	309406
14168	1607897
14169	42188
14170	99569
14171	150906
14184	547705
14187	12965
14188	877265
14190	648326
14193	205215
14205	104464
14213	72103
14216	145980
14221	104464
14271	1229479
14273	28875
14277	442388
14323	595552
14343	546496
14354	117551
14358	21018
14362	1944
14365	528240
14368	707852
14392	339680
14394	668223
14399	82118
14407	1987972
14417	2959
14435	204478
14447	1579558
14450	122222
14451	129966
14459	1107689
14463	626688
14468	747049
14470	675031
14481	2318939
14482	330898
14485	1987972
14487	48528
14489	584307
14491	159219
14492	1944
14497	1302911
14500	155084
14514	1370321
14519	82688
14525	1120524
14530	401419
14531	85305
14535	301635
14536	334250
14543	777847
14546	141310
14548	458474
14550	412252
14551	1254823
14552	141310
14555	111023
14556	444277
14559	55498
14567	111023
14570	1284282
14582	1329372
14585	95061
14586	777847
14598	1021774
14605	259852
14636	3978
14637	2709
14650	846019
14653	1228390
14657	156837
14661	30642
14663	483272
14666	623104
14668	85347
14676	851835
14681	418347
14682	362945
14683	121377
14697	456073
14707	733637
14727	469040
14734	673120
14735	262109
14743	46491
14750	2319003
14756	925524
14796	46883
14799	971918
14815	15281
14826	1248593
14837	117515
14842	427683
14853	4473
14861	1053698
14875	232454
14880	67164
14881	984366
14887	372756
14890	632662
14893	249968
14898	2368016
14913	61445
14917	1247117
14919	202133
14922	325684
14947	777847
14948	845
14951	315444
14958	297306
14961	27918
14967	1469079
14968	1179773
14989	142067
14995	896284
14996	146791
15000	777847
15001	394282
15003	202133
15006	1063507
15013	243142
15019	887111
15021	118140
15036	777847
15045	85648
15052	974076
15077	1504750
15082	3930
15092	354523
15093	310115
15100	1156388
15102	4679
15120	1829414
15131	19880
15137	322077
15140	209181
15144	1448640
15145	75201
15157	498273
15185	290354
15204	1647
15223	785322
15225	767185
15233	1529592
15239	84015
15246	4679
15249	592696
15250	460909
15257	858305
15259	777847
15268	555503
15275	207587
15282	785660
15295	36008
15299	46491
15305	777847
15311	254955
15318	1944
15322	1142262
15328	492590
15334	1944
15351	254955
15356	802845
15371	2073528
15386	269217
15395	1168
15425	48142
15428	10152
15430	105768
15431	1675518
15432	777847
15433	301324
15435	1349857
15441	777847
15444	121377
15448	760780
15451	777847
15478	11319
15484	347703
15516	252811
15525	10672
15526	777847
15527	47358
15535	999230
15565	2065
15580	412252
15610	74015
15611	210840
15613	786124
15616	117707
15617	44041
15620	590543
15626	107883
15629	707508
15631	408957
15632	289015
15635	1795354
15646	1306020
15656	1563779
15674	461747
15700	921305
15712	4967
15721	9425
15726	50369
15730	811882
15735	84015
15741	169795
