geneid	dist
559	3693
564	4934
572	6854
575	7680
579	7517
582	7356
590	6676
594	5823
602	5405
605	5115
614	3542
619	1738
624	1140
992	3099406
1024	3081180
1430	12439150
2011	23129461
3124	286658
3150	7832
4104	359971
4208	3361751
4378	9346739
4716	991078
4772	3361751
4828	3361751
4841	3361751
5051	4565083
5085	4680174
5098	356377
5143	3415
5151	490172
5161	1928735
5197	2199609
5198	1346790
5216	2366848
5234	3202644
5242	536710
5264	2170504
5266	172509
5280	2054863
5291	2132216
5302	15490324
5331	31315
5345	732751
5369	1725206
5467	7098582
5468	5552094
5470	2567733
5471	5354736
5505	1573556
5506	1272646
5546	2416937
5557	764599
5562	1023764
5597	2542740
5599	3281258
5608	400678
5654	6620332
5659	6559302
5670	70453
5691	8864199
5697	52193
5705	6981563
5730	4189616
5740	5427314
5748	68040
5772	7580
5780	101450
5785	890871
5798	2450270
5820	205076
5837	2094103
5841	3419508
5843	765708
5854	6229706
5879	693006
5898	8713794
5912	7521144
5913	466795
5914	186263
5916	6254162
5921	3794314
5930	108246
5939	702385
5951	3168695
5977	31315
5993	20776500
6012	8043065
6023	6031296
6050	3125551
6055	3767475
6061	4047655
6095	4924426
6101	9606391
6106	11190
6117	928414
6120	1791483
6121	168602
6144	395610
6160	9359331
6179	234374
6198	2555548
6204	2461805
6206	119811
6215	8113084
6228	33518
6230	12399009
6253	2250637
6266	1991353
6267	5558787
6276	11160826
6278	407905
6287	3675390
6291	2373084
6304	2406512
6308	9490416
6316	1638186
6329	8043065
6338	1747506
6351	430097
6360	9595349
6390	4582021
6401	4377344
6416	3174972
6441	6240282
6470	4377344
6504	1728755
6514	5508448
6538	14599722
6552	2556545
6567	3208511
6597	6090290
6653	2183299
6658	6804478
6663	1410196
6667	6206300
6676	2678550
6689	265524
6709	1392203
6723	138493
6731	627294
6745	6568873
6760	320640
6764	4284928
6771	3469054
6784	3247355
6795	5552094
6808	1191287
6813	11903
6816	11430106
6820	6521565
6821	2066202
6834	6601960
6839	5573610
6855	11903
6861	4377344
6863	5136016
6890	2710317
6898	11895014
6905	9946044
6916	4082285
6917	7566523
6918	4056117
6920	11797773
6923	2518738
6931	2840965
6939	10901532
6946	12005
6952	5652420
6953	1568045
6974	3163982
6986	11035798
6987	5416151
6988	8028670
6990	2280559
6997	10750573
7005	9446243
7007	4656243
7014	9907405
7045	6635981
7052	1753038
7057	231259
7058	6125799
7084	11386441
7108	3854331
7114	4407277
7119	6196661
7144	514999
7151	3958034
7158	1803705
7162	4035760
7166	1552810
7176	2691560
7179	752643
7183	12094907
7190	9143470
7222	2121060
7237	548072
7258	20827295
7299	1546325
7301	7863742
7327	1581921
7333	5111
7338	4874514
7346	454849
7353	2646148
7385	373164
7387	993032
7411	2056779
7425	412526
7428	5870319
7430	1230021
7443	6391653
7455	23888
7461	798365
7462	3855032
7496	1613060
7497	399285
7498	4865840
7499	12576
7503	4789331
7511	537806
7525	256421
7536	2874605
7540	11774506
7546	3433536
7580	206589
7583	5368397
7590	10020402
7595	2162370
7606	2637
7611	2684547
7621	277366
7637	12053660
7648	3687359
7649	9814376
7659	1361054
7675	341880
7688	3485262
7692	4199111
7701	5887673
7709	5531983
7714	4022034
7719	5559390
7733	3234762
7738	2657262
7739	615765
7760	6083034
7761	9652221
7773	328139
7776	11761175
7777	260362
7791	3090892
7808	4377344
7816	3656974
7832	1859273
7834	424242
7854	7725
7882	2925441
7883	526788
7887	28000
7900	2217029
7910	165767
7918	3184995
7919	3865833
7923	2024
7926	3649980
7931	11705476
7933	2206443
7937	6739125
7938	2054509
7983	2154940
7987	6265599
7993	1965987
8006	3144161
8013	1350016
8018	1243453
8019	6739550
8028	375364
8029	1804075
8031	2675753
8042	11718041
8044	1617283
8061	3900523
8071	5959148
8074	5451287
8082	300478
8083	11760494
8096	799976
8097	6268339
8101	3280392
8117	5045710
8120	4016815
8143	3460417
8147	33726
8148	5651983
8153	4958007
8160	3333694
8163	1952479
8164	20972441
8170	4023
8172	3823878
8189	1359933
8203	2592821
8207	3569759
8219	1648972
8234	2816052
8236	20640619
8244	156826
8245	1730379
8247	227649
8255	2605598
8286	47453
8297	58490
8312	3704427
8317	289685
8321	3310140
8332	54147
8336	2567733
8338	60905
8339	21449
8360	965786
8378	899525
8394	2374170
8397	1185516
8411	3482653
8413	738535
8417	2328576
8431	38328
8438	1230021
8441	3380998
8447	243015
8450	1921778
8458	206162
8459	3854540
8462	101256
8463	2414537
8489	7495356
8500	3757467
8510	3469036
8519	3411299
8526	325090
8553	11958939
8557	1502812
8561	861463
8562	3969282
8571	716237
8577	2212281
8582	7344665
8600	3530266
8603	4590458
8623	9514005
8625	1438046
8635	849042
8641	721333
8657	3920670
8660	4213096
8662	3765789
8663	937706
8674	2199615
8675	85375
8691	6246358
8698	4084983
8708	297787
8709	2733957
8710	1413376
8716	6119301
8723	281891
8731	74826
8742	6217177
8745	5583495
8746	3230412
8751	1013059
8761	8583735
8768	1531459
8771	8137
8775	653552
8789	4721880
8792	143877
8795	2347936
8796	6011645
8805	168103
8832	9678905
8833	125685
8850	767797
8853	1888451
8898	26129
8921	4211059
8928	677445
8950	6268464
8965	14992362
8973	987
8974	10886481
8986	6911522
8994	5066300
8999	643815
9007	1434
9012	9828571
9019	3580327
9020	3354883
9026	1214844
9027	502397
9040	7884791
9043	6339112
9045	9723737
9047	2060261
9052	3484798
9067	7086867
9077	5687411
9079	891961
9095	4194934
9108	319891
9119	5613303
9132	2658556
9155	2044843
9173	1588315
9178	4203922
9209	1059315
9214	1374823
9216	26403
9226	5398256
9232	20087000
9238	11404474
9248	5621360
9251	517044
9260	873731
9265	3104262
9267	24596
9269	13782542
9270	2808150
9287	7941057
9299	2375
9317	527855
9324	833280
9327	552459
9338	491978
9341	1251363
9345	2104491
9348	20174326
9367	767548
9383	817408
9449	295015
9458	5073799
9466	2149424
9474	716237
9485	1609841
9495	203519
9504	2041176
9513	141706
9519	116344
9525	4479355
9534	680985
9539	4235812
9541	873837
9554	6521
9574	12202881
9577	4209501
9578	3979905
9587	131662
9588	5237524
9596	769784
9600	523897
9602	6844807
9603	813111
9617	230
9625	1111177
9633	4560374
9638	26034
9648	1336819
9652	3013715
9655	1760633
9661	5543674
9668	1483928
9670	84293
9678	5543674
9683	1207419
9692	6819930
9716	2132394
9718	132066
9722	1700024
9725	2302762
9729	2986914
9732	186191
9735	6334504
9741	4887733
9744	9963
9745	7045
9748	113324
9752	2587924
9758	7670709
9759	1011812
9770	679656
9772	6277282
9774	2595208
9779	20379
9790	8447912
9793	5627852
9794	502391
9806	251797
9808	1199035
9811	5372375
9813	7925007
9821	9384274
9846	3666955
9851	20125324
9852	1832711
9853	3243310
9864	1859416
9878	499843
9880	3630184
9893	5573610
9897	2443833
9902	3875312
9922	185248
9930	1908969
9933	3620657
9944	1759170
9950	540744
9951	558866
9954	770909
9960	1306155
9986	891414
9990	6220361
9994	5340575
10008	149753
10021	2085
10026	5474880
10033	1855414
10037	11392680
10054	63605
10061	4614925
10070	6110854
10071	6755249
10075	3058788
10079	1984192
10086	928414
10088	1688369
10091	5430844
10107	2009386
10112	270962
10121	384635
10122	2066202
10123	4385370
10127	1938844
10128	2414537
10133	926490
10134	4588242
10143	5816395
10145	2094103
10156	9419447
10167	3402131
10171	3769864
10172	2835216
10187	409783
10195	2066981
10203	1225
10205	3084303
10206	2116055
10209	5759364
10213	202974
10233	4496311
10236	3100489
10245	323987
10254	229106
10262	1192017
10264	357412
10269	385244
10276	3757373
10282	456134
10286	836594
10287	1917011
10296	3026140
10306	849878
10307	742172
10317	9326067
10323	4664003
10324	2684234
10331	3069510
10334	3561348
10335	20495095
10336	1088233
10341	41288
10350	11649864
10356	1344433
10357	5439032
10359	4598608
10363	2036656
10374	11356536
10376	1374823
10385	419597
10393	73771
10405	537659
10406	21748375
10410	1219730
10415	9117588
10436	3388614
10444	9351777
10447	20915222
10462	186070
10472	15168873
10479	3462497
10493	35848
10520	992434
10540	1229895
10607	3602415
10614	2867713
10633	3609822
10664	1417091
10670	5366875
10672	3196075
10684	14191652
10685	1392203
10694	4452704
10702	5242
10704	5216778
10713	5515504
10716	2977900
10718	5522265
10727	4291563
10739	6156947
10743	1795777
10765	1136508
10766	9408175
10772	2632139
10774	643360
10806	6226493
10814	3129593
10819	2353602
10833	11516554
10838	10962074
10844	3111867
10845	7004756
10872	2415471
10875	1202
10882	11267895
10891	530373
10900	7546757
10906	2189464
10907	2881524
10908	3494064
10912	2157799
10913	7133537
10914	5686991
10918	11904035
10925	1715192
10935	20040327
10936	3703123
10938	10828854
10951	658309
10953	12259739
10967	7205063
10969	1967656
10980	961789
10983	1881770
10997	5896886
10998	4565083
11004	1090119
11009	817680
11011	5354187
11015	768665
11021	3851
11025	926792
11031	1234030
11032	2202365
11036	433769
11053	516566
11055	1480211
11060	1275395
11061	545589
11067	68053
11075	1888435
11077	141467
11093	1283588
11099	7467
11102	4011082
11105	794806
11109	3588465
11114	761586
11120	3010472
11123	11355087
11124	11629100
11125	2732390
11129	5591705
11131	143877
11140	3221175
11141	288938
11163	2300926
11167	3174501
11172	5617792
11173	1907574
11177	664513
11187	1465156
11188	2260707
11193	249259
11195	2468166
11197	975992
11198	6624799
11207	1327355
11209	621227
11214	2951021
11216	1073701
11217	2951737
11225	475564
11226	1608138
11228	779367
11233	1304570
11237	1861795
11242	10911641
11249	1188538
11250	438800
11257	17338327
11263	1178577
11289	903889
11297	7878711
11299	1477865
11301	1745824
11305	15177283
11310	8932
11311	172129
11320	2378073
11322	1147973
11326	2371657
11329	1178217
11331	509261
11332	2000890
11334	3269677
11335	110096
11343	495617
11344	1178656
11349	2097758
11366	215002
11371	4109033
11379	2015781
11386	5409423
11395	367197
11396	2287768
11399	2466275
11400	2259574
11405	275599
11410	3265771
11414	578614
11415	1562208
11417	1540220
11418	1576419
11419	2925923
11425	4044348
11430	6415330
11432	38775
11436	139235
11443	2788597
11445	3659405
11458	445939
11459	677267
11463	1870125
11465	3259666
11474	1978243
11481	5434794
11482	2711630
11484	406002
11486	2270466
11487	568766
11490	3752405
11491	2263821
11493	1088742
11497	5966429
11498	7432428
11499	2274993
11500	1434449
11503	6150788
11505	5950634
11507	2292424
11511	16687
11513	2041713
11516	1954499
11518	6410634
11524	564003
11525	12366338
11527	2299550
11528	1903554
11529	2336336
11542	1670070
11543	866352
11544	1642096
11546	458498
11547	169943
11548	1507728
11555	185039
11564	107189
11573	5640925
11575	1154571
11579	4345160
11582	304290
11585	338544
11590	2279233
11591	6059356
11592	137026
11614	6279199
11617	5928287
11619	780597
11620	22580447
11627	533509
11628	1441878
11636	21949
11638	1283851
11643	316221
11646	574168
11647	2384932
11650	574168
11653	398631
11654	461748
11656	2033963
11657	574168
11659	23281803
11661	6513152
11670	2089557
11671	858014
11679	7361983
11680	5600681
11683	6122160
11685	681652
11691	11588092
11694	1744278
11695	1150884
11704	14993079
11713	630754
11716	7220183
11724	298288
11726	22686126
11727	1178712
11728	10076527
11732	900262
11733	917393
11734	950555
11739	261221
11741	1164950
11743	1024391
11744	9768351
11747	985850
11759	1802007
11765	13482037
11775	96686
11778	98688
11780	6958825
11783	1856203
11787	9435
11788	23531258
11789	84699
11800	1219083
11801	342000
11805	43714
11807	3845866
11810	398637
11812	3505471
11821	2410054
11826	43714
11827	23885136
11829	1012182
11831	430463
11832	1080168
11842	224799
11847	5537158
11869	2315513
11873	1360443
11890	699247
11893	7679425
11897	1208174
11900	472658
11908	4589011
11911	4583415
11913	786892
11917	419132
11922	4277010
11924	927205
11935	13437691
11938	4390736
11940	5665540
11944	1882858
11946	5074107
11948	14996
11954	5951092
11962	122730
11963	1786928
11964	6152214
11969	9307859
11987	2580171
11996	6430685
12003	1817970
12008	3273284
12011	450914
12013	688102
12016	35969
12020	880137
12024	17779783
12025	11033395
12027	2597973
12035	2335367
12037	11049259
12038	2625702
12039	236499
12041	27885153
12044	2194508
12045	2734337
12046	955572
12047	9801528
12048	1744241
12049	1557007
12050	4255976
12054	12918372
12060	2877484
12064	20229101
12069	1595726
12073	14996
12083	22708137
12087	82515
12088	2243617
12091	9181662
12092	520330
12095	2023381
12100	2295730
12102	322604
12106	5705533
12109	1329603
12111	3023226
12116	6093029
12125	1159870
12131	183486
12136	8622
12137	2636910
12146	4659867
12157	4031498
12163	1761098
12166	1730379
12202	208289
12268	11767893
12269	4380101
12275	10267
12293	1927501
12305	5839637
12307	6447034
12316	3192403
12325	4650174
12327	362043
12331	574168
12334	1911659
12341	2917958
12343	165926
12345	23550980
12350	3918037
12351	3826101
12354	887782
12370	2759363
12373	4909107
12379	144487
12384	2774453
12387	357894
12388	2265335
12389	2394948
12391	1247519
12392	1813336
12396	2137332
12402	2442640
12404	2741052
12412	501410
12417	3677057
12421	2741052
12426	3738911
12431	2705916
12434	1125622
12435	3183637
12452	717144
12459	1810557
12463	1128988
12464	6155657
12468	2523767
12469	782540
12470	1792742
12473	6201308
12478	6756223
12479	2181390
12484	5232393
12485	2130873
12490	1717418
12491	4440077
12492	844991
12493	2220061
12497	2805650
12498	8276916
12500	1334445
12501	2083383
12502	20674795
12513	6823274
12515	7489
12517	4427212
12527	5778185
12530	2396872
12531	8165594
12534	1664644
12536	5053960
12547	2857510
12551	70620
12553	2897219
12570	282407
12574	1782143
12575	3686352
12576	1497318
12579	3589546
12582	1505139
12583	4464024
12589	5777565
12595	8578691
12602	2011668
12606	1987923
12610	29757738
12618	1851825
12619	427644
12624	5718045
12625	101386
12626	350070
12637	1964119
12638	5892036
12646	3561159
12660	713720
12662	4009191
12668	6482227
12670	29666357
12672	5771650
12683	9349859
12686	773717
12688	1548236
12690	110447
12691	1261287
12696	655411
12698	1667
12699	4900573
12701	8021792
12707	257507
12711	2109765
12717	928738
12720	29435844
12729	29403072
12734	5717078
12737	5266065
12741	574168
12762	1575235
12765	4800998
12766	29787102
12767	361395
12778	4526874
12779	855459
12783	2326816
12790	4232335
12805	3058905
12810	2987163
12812	2100404
12817	196738
12822	8673871
12829	3140595
12833	4357789
12845	68638
12846	387830
12847	18964632
12852	4030745
12853	5495319
12857	2354216
12863	1573556
12864	5765072
12865	2282173
12866	2227671
12877	2553180
12878	2515248
12891	1586630
12892	22487124
12895	1529674
12898	1733790
12899	6303204
12900	4280023
12901	2156240
12904	7580
12905	10882907
12921	19038644
12925	2460703
12927	3765128
12931	29444425
12934	86179
12936	29025064
12944	1035387
12947	2438769
12949	886118
12950	9937085
12955	2052109
12957	738059
12958	29964866
12973	3710360
12975	749381
12977	614439
12987	932483
12988	2769490
12992	1402190
12995	1018402
12998	2183299
13000	2199609
13006	11383918
13010	3648921
13011	1999863
13017	929920
13021	888061
13023	531437
13026	5050271
13029	29797568
13033	29319934
13042	10005
13048	431730
13050	11107431
13053	2217029
13054	7561
13058	949034
13059	2987784
13061	4719380
13063	1204618
13067	6438375
13070	134152
13071	29214299
13073	2235243
13075	1516464
