geneid	dist
992	429629
1024	408227
2010	258708
2011	223301
3124	334405
4208	1016111
4378	1699986
4716	2731865
4772	1016111
4828	1016111
4841	1016111
5051	30954476
5059	28303973
5085	30947418
5143	29254211
5151	1417316
5161	29451466
5198	2380649
5216	2902790
5234	2328962
5242	28153714
5249	29273829
5264	468439
5266	2328212
5280	29549627
5291	2486786
5302	3595
5345	1676494
5362	31022050
5369	2006230
5401	261728
5467	23815268
5470	1786901
5471	335885
5506	27507773
5546	1274098
5557	1708061
5562	2025278
5597	1406709
5599	85604
5608	1985870
5654	599
5659	93649
5670	92332
5691	22274592
5697	650388
5705	24031616
5730	2823602
5740	3921346
5748	576213
5780	633087
5785	2490253
5798	1298382
5820	2092947
5837	275481
5841	2183270
5843	91791
5854	3350766
5877	2980955
5879	2137390
5898	22557871
5912	23414564
5913	1753977
5914	1503601
5916	3423906
5921	26917191
5930	94142
5939	187997
5951	140199
5993	4955376
6004	1155704
6012	22986391
6023	1179177
6050	171056
6061	1342235
6095	3437373
6106	6809937
6117	14304328
6120	1407175
6121	2132204
6144	272014
6160	20544713
6179	6734241
6201	261728
6204	1313847
6206	1645088
6215	22965367
6230	9674749
6253	571794
6266	8955938
6267	3019710
6276	8832800
6278	1247570
6291	707582
6304	1260172
6308	20689403
6316	1914705
6329	22986391
6338	29274793
6351	471450
6360	20794584
6390	3029945
6401	712326
6441	553798
6470	712326
6504	1601137
6514	1688065
6538	11427946
6552	4759266
6567	1811476
6597	3882491
6653	484055
6658	1088251
6663	1862588
6667	3466398
6709	843897
6722	6564575
6723	145524
6731	28105397
6745	24360501
6760	748
6771	2226189
6784	6702401
6808	2221674
6809	50067
6813	11821477
6816	9962312
6820	12245192
6821	333520
6834	12330381
6839	2748787
6855	11821477
6861	712326
6863	3655476
6890	1947739
6898	9030131
6905	7493315
6916	1381723
6918	1100434
6920	8923393
6923	6206772
6931	3441772
6939	10518922
6946	19201
6952	3935785
6953	2554242
6974	6641681
6986	8309819
6987	2263883
6988	5907457
6990	6038045
6997	8163844
7005	11601409
7007	2921298
7013	3900278
7014	11279856
7045	12352592
7052	2530664
7058	3249739
7066	31022050
7084	9996870
7108	989345
7114	3755791
7119	4334043
7144	153030
7151	255288
7158	1385520
7162	1119138
7166	5962057
7176	3356647
7179	1927007
7183	9399132
7190	20349544
7222	7081511
7237	3392949
7258	6581839
7264	231697
7299	736382
7301	5728231
7327	164372
7333	3655550
7338	3296288
7346	374918
7353	15560061
7411	2064664
7425	299965
7426	3585977
7428	2546286
7443	397035
7455	4192634
7461	3156524
7462	2484099
7497	11776710
7498	17384239
7499	925980
7503	2789157
7511	3139859
7525	966271
7536	4403391
7540	8911409
7546	551214
7583	3080459
7590	7580612
7595	1973838
7611	3349455
7637	9166994
7648	846625
7649	11359816
7659	297989
7688	645574
7692	3956176
7701	1324299
7709	2807692
7714	1301914
7719	2796852
7733	521246
7738	2616225
7739	273230
7741	3090284
7760	946013
7761	20884602
7773	2558383
7776	8855857
7777	293195
7791	2233530
7808	712326
7816	302732
7832	3063884
7834	7781
7854	779602
7882	6641689
7883	328083
7887	948166
7900	202985
7910	10545645
7918	2167010
7919	3873
7923	11506866
7926	356817
7931	8835227
7933	5857021
7938	2665775
7983	2227347
7987	1666103
7993	2178226
8006	106508
8013	2718932
8018	9170883
8019	24245921
8042	9032238
8044	3551032
8071	25045599
8074	3213046
8082	4959289
8083	8898805
8096	11045805
8097	528188
8101	6730375
8117	3441397
8120	100451
8143	5309033
8147	10404864
8148	3576
8153	2788983
8160	26964875
8163	2215546
8164	5171061
8170	3891509
8172	7185393
8189	9076328
8203	1537584
8207	895407
8219	3496532
8234	2484764
8236	4863755
8245	3420381
8247	2891042
8255	4746521
8286	2557131
8297	6767671
8321	445124
8332	2618226
8336	1786901
8338	13740
8339	24536
8360	3028012
8378	3376598
8394	905152
8397	9225747
8411	5350276
8413	11001551
8417	63791
8431	11681
8441	5240820
8450	2240315
