geneid	dist
559	3689
563	3897
564	4939
572	6869
575	7691
582	7353
590	6673
594	5821
602	296
605	5120
614	3544
619	1732
624	1134
634	225
636	528
992	23583
1024	7147
1032	385911
1238	385911
1327	118019
1430	14221
1625	729
2008	114
2010	68
2011	49336
2014	1014
2929	56150
2932	305
3124	389361
3150	28565
3152	667
3855	554
3866	12379
3901	445
3950	12379
4145	48529
4202	554
4275	554
4322	12379
4340	48529
4374	554
4378	6948
4390	48529
4416	17948
4434	48529
4448	1622
4452	48529
4475	638
4513	554
4676	9900
4717	554
4723	48529
4734	1622
4747	554
4750	1622
4756	2591
4827	1622
4867	24977
4901	13642
4919	62070
5007	134
5009	445
5051	5622
5059	605996
5085	169919
5098	785954
5143	518
5151	1993418
5161	1005338
5197	673489
5198	242
5216	720694
5234	141756
5242	1358784
5249	47358
5264	874016
5266	1070236
5280	815013
5291	1080064
5302	9118
5305	239037
5331	1490
5345	2006415
5362	1027941
5369	1207682
5401	578944
5467	1443027
5470	88970
5471	1915632
5505	12704
5506	120331
5522	1630980
5546	1474934
5557	1968962
5562	1742823
5597	1339928
5599	1535631
5608	1754491
5631	199685
5659	159337
5670	253415
5691	357456
5697	1164194
5705	1256251
5740	1784706
5748	1106027
5780	236590
5785	2147586
5798	1451853
5820	1538548
5837	564872
5841	277290
5854	2815407
5877	2276397
5879	854420
5897	21037
5898	710664
5906	46474
5912	1657812
5913	1646303
5914	1310456
5916	2889215
5921	1299904
5930	969852
5939	119830
5951	1603791
5977	1490
5993	1229732
6004	421759
6012	1166731
6023	635621
6050	1640244
6054	2305223
6061	98489
6095	1069222
6101	1269601
6105	1422597
6106	870711
6117	4460
6120	738032
6121	1483723
6138	812838
6144	234676
6160	210638
6179	1173090
6195	146691
6197	11308
6198	590903
6201	578944
6204	1418159
6206	1496934
6215	1139177
6228	897998
6230	3324227
6253	801667
6264	75474
6266	97663
6267	1417980
6276	3375236
6278	1819127
6291	793331
6304	1558479
6308	352582
6316	1145783
6338	308
6351	718255
6360	428169
6390	273190
6391	210247
6401	1622
6416	244543
6441	1368
6469	1836300
6470	1622
6474	263185
6504	1017001
6530	81245
6552	80610
6567	918230
6597	129412
6635	81245
6653	877409
6658	1062
6659	81245
6663	257
6676	229039
6689	259450
6709	624127
6722	954017
6723	1022189
6731	1474929
6745	662886
6760	481671
6768	338
6771	218897
6784	799783
6808	1606738
6809	244731
6813	80375
6816	2117346
6820	693322
6821	540113
6826	185456
6834	787925
6839	2018066
6847	863424
6850	672283
6855	63381
6861	1622
6863	1366832
6890	66603
6891	426225
6898	2809061
6905	468927
6913	672283
6916	55644
6917	183924
6918	44648
6920	2639123
6923	1499602
6926	80103
6931	3232
6936	458641
6938	502320
6939	324855
6942	464138
6943	426225
6946	986558
6952	2161868
6953	400687
6974	681622
6986	1730469
6987	1260498
6988	422190
6990	1677779
6997	2619925
7005	336379
7007	377730
7013	2194330
7014	785586
7045	811870
7057	145237
7058	2670981
7066	1027941
7084	2048146
7094	458641
7098	282408
7108	1627283
7111	124596
7114	203980
7119	1516316
7144	136297
7148	627555
7151	204885
7158	709765
7162	10123
7166	162490
7176	1125
7179	1103
7183	159176
7190	23270
7199	81245
7222	54693
7237	760526
7258	77432
7264	755316
7301	188451
7312	863424
7327	628920
7333	61573
7338	608012
7346	699851
7353	521609
7385	25248
7387	271155
7411	209109
7425	403752
7426	133902
7428	920488
7430	7695
7443	239397
7455	697376
7461	463575
7462	1949
7469	4342
7496	117235
7497	105303
7498	735785
7499	90037
7503	535554
