geneid	dist
559	4223
564	5471
572	7396
575	8223
579	7525
582	7364
590	6684
594	5831
602	5420
605	5130
614	3553
619	1741
624	1140
636	31684598
971	27898
977	26004
991	43397
992	31651272
1005	16865
1024	31642127
1032	28395872
1152	36224596
1238	28395872
1274	242501
1430	522328
1711	152
2011	2034588
2256	36224596
2929	1786
2932	1001418
3124	2266745
3150	338341
3152	2647580
3855	779076
3911	2126592
3990	5254974
4104	1050628
4145	1042989
4202	779076
4208	62192
4275	779076
4340	1042989
4374	779076
4378	63659096
4390	1042989
4416	5056667
4434	1042989
4448	1840533
4452	1042989
4475	4505414
4513	779076
4525	64786034
4527	63640573
4530	1715953
4536	2791414
4538	156
4540	2791414
4541	156
4542	1999235
4543	60023200
4544	60138313
4545	1999235
4546	60138313
4548	2318844
4580	1999235
4595	1999235
4676	5542358
4714	2318844
4717	779076
4723	1042989
4734	1840533
4746	2234555
4747	779076
4750	1840533
4772	62192
4827	1840533
4828	62192
4841	62192
4867	64399
4881	205300
4901	2174966
4919	2619766
5051	3887677
5059	4633614
5085	3881596
5098	4484366
5143	215980
5151	6986006
5161	1894386
5197	2465225
5198	7986072
5216	9476655
5234	131699
5242	1491221
5249	201710
5264	9599154
5266	15386849
5280	1987125
5291	9852921
5302	7307003
5331	15215860
5345	7247552
5357	23626205
5362	4245290
5369	10305248
5397	12058735
5401	2556234
5467	23582373
5468	12080393
5470	29429143
5471	28287967
5505	3266197
5506	895259
5522	12475754
5546	17543335
5557	7286471
5562	7602388
5597	17413062
5599	27940200
5608	12750516
5631	3545694
5659	2895914
5670	19573695
5691	21743589
5697	6195830
5705	23886028
5740	14087641
5748	6135256
5780	20906558
5785	16490222
5798	17523154
5820	12828792
5837	2583422
5854	12881391
5874	16094082
5877	12403341
5879	4645209
5895	16266451
5898	22185347
5912	22999616
5913	12490452
5914	12178675
5916	12954361
5921	27696541
5930	10613368
5939	3715901
5951	27994995
5977	15215860
5993	16348253
6004	18385069
6012	22516483
6023	29589582
6050	28024090
6061	10132466
6095	14728314
6101	20968826
6105	22848496
6106	40721316
6117	40182095
6120	17832923
6121	12885362
6137	6631915
6138	24180823
6144	12142256
6179	40642298
6195	34184592
6201	2556234
6204	17491295
6206	12353776
6215	22499946
6228	40701373
6230	26977078
6264	34553087
6266	43845022
6267	25861717
6276	28554377
6278	6823386
6290	16223584
6291	30964253
6295	16135515
6304	17617163
6308	31297340
6316	10458313
6338	177029
6351	20659364
6360	19780388
6390	35870888
6391	34248116
6401	27763955
6416	34269646
6429	39528199
6441	1049622
6469	23179136
6470	27763955
6474	32794560
6504	17768866
6538	24600775
6552	38185418
6567	17004342
6597	33893232
6658	33084565
6663	17223094
6667	13003428
6676	31422972
6689	41992241
6709	11356152
6722	58290147
6723	10552407
6731	1468333
6745	24268716
6760	35613564
6764	15518305
6771	16347429
6784	18950920
6795	12080393
6808	7805427
6809	2794760
6813	34398685
6816	37128511
6820	33787035
6821	2682842
6826	32966356
6834	33701428
6847	35375108
6850	29017660
6855	34507017
6861	27763955
6863	14530020
6890	29164514
6891	29408603
6898	38694587
6905	40881236
6913	29017660
6916	10199048
6917	43427614
6918	27270568
6920	38755631
6923	14382379
6926	32854216
6931	42563027
6939	36516895
6942	29245532
6946	12897317
6949	29498939
6952	13688763
6953	20227884
6974	19085289
6986	39613199
6987	34794157
6988	42857963
6990	14097899
6997	29334224
7005	34855714
7007	35718045
7013	13641104
7014	35288785
7045	33633416
7057	32923746
7058	12818554
7066	4245290
7084	37080395
7098	29461044
7108	36155316
7111	32889937
7114	40598887
7119	44741406
7144	3948392
7151	29524838
7158	17845742
7162	27239807
7166	25478517
7179	31585644
7183	37985394
7190	31602571
7222	15630179
7258	18027072
7264	46669218
7301	43101171
7306	25544775
7312	35375108
7327	18398775
7333	40459826
7338	46086726
7346	46288934
7353	38888453
7366	29199516
7380	29177106
7385	15324836
7387	20674850
7411	19505713
7425	4248772
7426	13427535
7428	38778153
7430	13246337
7435	29349293
7443	1279039
7455	22273964
7461	20850681
7462	47161087
7469	40148206
7496	18431548
7497	32638832
7498	36401230
7499	45531880
7503	35517445
7511	14130705
7525	6589903
7536	37818102
7540	38783969
7546	35619276
7562	27236561
7583	39580996
7590	40785753
7595	19399037
7606	40500282
7611	42656343
7621	30957513
7637	38443278
7648	35957149
7649	35198545
7659	47152076
7675	32711626
7688	35734144
7692	40875842
7701	38660729
7709	39133752
7714	10050656
7719	39120914
7733	8936149
7734	29333437
7738	11383722
7739	46407908
7741	12578225
7760	772437
7761	19807928
7773	15618903
7776	38871733
7777	5852066
7791	28714891
7808	27763955
7816	490027
7832	8806158
7834	32611464
7854	9321986
7863	40267119
7882	14897451
7883	46329707
7887	45435422
7900	2445877
7907	26046334
7910	31092628
7918	10823345
7923	35007848
7926	542709
7931	38883707
7933	13985464
7938	43560442
7983	15427642
7987	33899202
7988	29017660
7993	19637523
8002	29017660
8006	19422828
8013	20289705
8018	29432804
8019	24104586
8029	15900261
8031	17248009
8042	27875779
8044	12801045
8061	152398
8071	25250351
8074	34936841
8083	38827907
