geneid	dist
559	4750
564	6012
572	7950
575	8327
582	7401
590	6718
594	5861
605	5152
614	3556
619	1736
624	1140
992	14078
1024	7037
1430	29192
2011	4740204
2929	323
2932	900
3124	527936
3152	900
3855	4012
3911	253409
4202	4012
4208	2247
4275	4012
4374	4012
4378	156557
4416	3895103
4448	10113241
4475	698533
4513	4012
4544	430756
4546	430756
4676	4473148
4716	6620
4717	4012
4734	10113241
4747	4012
4750	10113241
4772	2247
4827	10113241
4828	2247
4841	2247
4857	268624
4867	3895103
4901	262463
4919	41973
5051	995639
5059	13120
5085	2910491
5098	11820006
5143	10407662
5151	12623
5161	9919868
5198	6120341
5216	9669
5242	8896
5249	13481029
5264	768947
5266	6204058
5291	3377
5302	1611263
5305	5378
5357	39760
5362	592354
5369	7520265
5401	13770493
5467	25558
5470	8941009
5471	27870
5505	9198
5506	64947
5522	13414453
5546	163502
5562	660053
5599	63292
5608	9269
5654	754732
5659	1349428
5670	1300339
5691	6086833
5697	822524
5705	32813
5740	5307835
5748	589708
5780	681449
5785	19695
5798	5094
5820	166468
5837	9615935
5854	15585981
5877	4554188
5879	2980114
5898	6191260
5912	7977521
5913	1640
5914	8066625
5916	15171047
5921	222160
5930	17312523
5939	9488
5951	418834
5993	10594
6004	8242674
6012	8006497
6050	17109
6054	19937
6061	5502
6095	2556733
6101	6011877
6106	6403064
6117	4149
6120	106481
6121	159041
6144	7418089
6160	97603
6179	64475
6195	5698184
6198	1085
6201	13770493
6204	13979
6206	15270
6228	6402024
6230	1014376
6267	885464
6276	35026
6278	16221
6291	17028
6304	196876
6308	5634192
6316	4575587
6329	8006497
6338	10459
6351	702004
6390	5756702
6391	7825
6401	35754
6429	41331
6441	1287461
6469	28309
6470	35754
6474	10267376
6504	53930
6514	10320121
6538	33505
6552	11322541
6567	32720
6597	4845558
6653	98293
6658	5191273
6663	42636
6676	7483988
6689	6474400
6709	18343
6722	73146
6723	4282845
6731	189977
6745	8773424
6760	3009439
6771	814
6784	4070419
6808	648802
6809	106336
6816	8285
6820	3230693
6821	247387
6834	3206114
6861	35754
6890	6154387
6905	270795
6916	11339146
6917	5755191
6918	724260
6920	19094
6923	10103717
6931	133955
6936	2296953
6938	2296953
6939	8758630
6942	2296953
6946	7412157
6952	71273
6953	1431150
6974	5800817
6986	1769
6987	3168680
6988	4576212
6990	10409193
6997	8575
7005	2362
7007	189223
7014	4085785
7045	369760
7052	230389
7058	14613
7066	592354
7084	23192
7094	2296953
7098	14039450
7108	12071489
7119	5528592
7144	12524
7146	2296953
7148	2296953
7158	53130
7166	634177
7176	143176
7179	2504921
7183	1337692
7190	3614071
7222	4663208
7237	9022
7258	862423
7264	1138466
7299	71615
7301	884650
7306	4914
7327	5990709
7333	2765118
7338	5409725
7346	3655286
7353	4299516
7385	1208023
7411	23744
7425	3061458
7426	5041
7428	234313
7430	2363000
7435	2296953
7443	699111
7455	4140852
7462	4887566
7469	2765118
7496	39078
7498	4559705
7499	14819296
7503	12486
7511	7056563
7525	7423
7536	7528361
7540	21788
7546	137046
7580	4490669
7583	2538922
7590	1233668
7595	9516088
7606	2765118
7611	173576
7637	53903
7648	10178718
7649	4085785
7659	335703
7688	118620
7692	7922
7701	9056355
7709	2497247
7719	2492765
7733	19718
7734	2296953
7738	119736
7739	1086220
7741	9898699
7760	13298007
7761	4043530
7773	6188964
7776	39842
7777	6965
7791	6519
7808	35754
7816	4412601
7829	1347694
7832	70606
7854	5511651
7863	2765118
7882	7143047
7887	3674280
7900	17071
7918	3295010
7919	1466
7923	3547
7926	7398665
7933	14232
7937	233857
7938	1365537
7987	5153719
7993	36104
8006	197018
8007	1208023
8013	5364488
8018	1614609
8019	5596258
8031	6290
8042	6487736
8044	7008713
8061	7251718
8071	13765625
8083	49102
8096	152014
8097	14006137
8101	4077556
8117	5437096
8120	19950
8148	5784596
8153	4485464
8160	12642157
8163	27629
8170	17778
8172	4789812
8189	238632
8203	6687909
8219	7394466
8229	2296953
8236	33168
8244	11742
8245	7409337
8247	1395155
8255	277171
8286	242059
8297	9973949
8312	5922981
8321	4119
8336	8941009
8378	156075
8394	9303918
8397	141735
8411	9922
8413	717485
8430	8487
8431	1294311
8438	2363000
8447	772910
8450	5599
8455	9395882
8458	2049474
8459	4529902
8462	145789
8463	5700624
8465	208959
8488	3705
8500	63828
8505	1048470
8510	137046
8526	70311
8547	1059314
8553	174254
8561	596
8563	4001860
8571	4835
8579	5759705
8582	3880998
8589	10452453
8600	17669
8603	2765118
8623	3210676
8635	3016812
8636	9734275
8641	45369
8656	836727
8657	34428
8662	6586035
8663	513171
8665	14871
8674	7602531
8675	4484947
8677	1057193
8691	91284
8698	34495
8702	7850
8709	534211
8710	6738
8723	259059
8730	9024205
8742	31845
8745	5210866
8746	6683
8751	2795
8759	612962
8761	8222437
8768	54046
8771	8145
8782	698533
8789	5414422
8792	10345269
8795	15178500
8796	14351
8805	1704903
8827	9024205
8832	6652205
8833	1442047
8850	12448849
8853	7533684
8862	9024205
8885	476796
8898	1320937
8919	6016856
8921	27570
8928	6211299
8950	4212884
8964	11444043
8965	14756882
8974	5151820
8986	11595534
8999	14663
9007	7529004
9012	6551768
9019	5154752
9020	15798
9026	10280684
9027	35891
9040	9885026
9043	5277563
9045	155607
9047	5784
9052	5486746
9077	555309
9079	4392573
9094	1257308
9095	540795
9106	9898699
9108	44379
9119	5196135
9132	46104
9155	1209283
9173	19324
9178	6012692
9209	12138
9214	2219307
9226	5348362
9228	532123
9232	24945
9238	3371178
9248	98339
9260	44414
9265	46142
9267	938091
9269	7267
9270	6181828
9287	9032860
9288	5938627
9291	3983749
9317	1849942
9327	7551801
9338	1028725
9341	7702780
9345	7973432
9348	7700583
9367	10153879
9383	33183
9408	9029803
9410	99446
9414	6168760
9415	6165564
9442	4350488
9449	7621285
9458	321044
9466	59034
9474	4835
9485	35111
9495	7946735
9504	7775382
9519	488573
9534	10678854
9539	22416
9541	18000
9554	1208023
9577	4190
9578	1877803
9583	4178213
9603	36629
9617	23511
9621	7594010
9625	2134378
9636	10648832
9638	1018043
9648	28127
9652	11211430
9655	112190
9657	1040947
9661	7597523
9668	20364
9670	2200110
9678	7597523
9683	2106
9716	1540742
9718	10556963
9721	7522
9722	31151
9729	6155429
9732	3081849
9735	8037
9741	9270013
9744	8055793
9748	16369473
9752	799
9758	23341
9759	11452260
9770	11432197
9772	4301398
9774	6464384
9779	15731409
9790	70894
9793	3179936
9794	17909
9798	6016856
9806	3173
9808	7468117
9810	3731963
9811	5234006
9813	14889
9821	933988
9827	6016856
9846	6589793
9851	395447
9864	56600
9870	263634
9880	12890656
9902	15539
9922	3462668
9930	1823
9944	1923127
9950	65733
9951	421208
9954	343563
9960	197737
9961	24994
9986	754415
9990	1308276
10007	4462635
10008	498804
10018	7618525
10021	417921
10026	3173662
10033	1923127
10037	3379995
10052	3396756
10061	188983
10070	4678833
10071	20601
10075	6100262
10076	448771
10079	206108
10086	4149
10088	2628165
10091	20462
10107	3165528
10112	95528
10121	20239
10122	247387
10123	5980070
10127	1763443
10128	5700624
10134	79006
10145	9615935
10156	908642
10167	449604
10171	12071489
10172	1216003
10187	572353
10195	5348368
10203	469699
10205	1320320
10206	2120131
10209	3078119
10212	16354435
10213	14494
10228	14716893
10233	5964336
10236	1192689
10245	5731410
10254	5257896
10262	7699291
10264	7634045
10269	5922804
10276	5191108
10282	472809
10286	79283
10287	918703
10293	3908780
10296	11214431
10298	33310
10301	148728
10307	6930176
10317	7632
10322	190368
10323	9944784
10324	6599
10326	280818
10331	7626733
10334	7641705
10336	30714
10341	1528696
10346	51878
10347	71058
10350	2388320
10356	17909
10357	18605
10363	136900
10374	7767289
10376	2219307
10393	4100847
10405	1541176
10406	955320
10410	6977
10436	1316952
10444	8545
10447	66516
10472	14715
10493	5681484
10505	9829526
10540	4087572
10561	6942506
10566	51955
10567	1539438
10607	2262611
10608	2630822
10610	14140839
10611	5744442
10612	14141146
10613	2630202
10633	2264574
10637	5042580
10664	9768215
10665	11724709
10672	6087126
10685	18343
10694	6005476
10702	10609
10704	6016856
10713	154828
10716	210856
10722	58
10727	25018
10739	5718
10743	275232
10765	14950542
10766	1448778
10772	3023322
10774	2813192
10806	7033
10814	11927682
10819	84732
10833	1058510
10838	7915036
10844	5892060
10845	5785706
10872	1794157
10875	280818
10879	280818
10882	7556161
10891	5649153
10900	5849067
10905	106767
10906	2457070
10907	1749328
10908	2009474
10912	1628
10914	2741703
10919	341017
10925	11103324
10928	3274344
10936	17305
10938	7903949
10967	17433
10969	276825
10980	716002
10983	1659050
10997	63448
10998	995639
11004	3320649
11009	7421845
11011	7590501
11021	1176410
11031	8078090
11032	5877
11036	8321
11038	52469
11040	1195237
11053	6172031
11056	3501063
11060	7740977
11061	587317
11067	815
11075	3273074
11077	973289
11089	6168680
11093	1581669
11099	8090917
11101	184599
11102	339268
11106	4065257
11109	2469
11114	2076258
11120	146755
11123	45437
11124	155111
11125	132778
11131	10345269
11140	288713
11141	297840
11163	9553550
11167	21442
11169	18345
11172	9680450
11173	6119431
11177	284432
11188	3518344
11193	5242757
11195	931951
11209	5120922
11214	141333
11216	48991
11225	7029702
11226	2991
11228	148716
11233	1587875
11236	1688457
11237	6113972
11242	9145146
11243	5322513
11249	1813238
11250	13550786
11257	5079108
11263	8221810
11289	359846
11291	2805584
11297	139454
11299	1591284
11300	3192546
11305	8480741
11310	508265
11311	6053821
11320	202636
11322	5135018
11326	292426
11329	353328
11331	1755267
11335	6280330
11343	5744434
11344	494960
11349	4088807
11351	6016856
11363	4028385
11366	5724720
11371	11978302
11378	843830
11379	175247
11386	6302752
11396	4777077
11399	126826
11405	280818
11410	14603
11414	665022
11415	1145858
11417	332516
11419	3421415
11425	401143
11430	5314058
11432	366078
11433	7963629
11436	8200454
11443	16125
11445	656443
11458	1573453
11459	3734654
11463	4250342
11464	9051804
11465	43359
11482	563071
11484	6186843
11486	24911
11487	9050237
11490	2375230
11491	44037
11493	16962
11497	9084298
11498	10259863
11499	5550772
11500	589850
11503	178605
11504	327911
11505	4421347
11507	6261974
11511	468554
11513	16308
11518	2251
11524	3337357
11527	9950077
11528	201289
11541	84721
11542	6385
11543	957109
11544	6005256
11546	45845
11547	429889
11548	411057
11561	81344
11564	4337
11574	116924
11575	10969441
11579	37803
11585	365841
11590	3089807
11591	448984
11592	280818
11614	10545722
11617	14752
11619	532593
11620	8537181
11627	544709
11628	4621479
11638	96101
11643	360893
11646	4103
11647	6719353
11650	4103
11652	428
11653	6136933
11656	2457070
11657	4103
11659	4526505
11670	284604
11671	60858
11679	7931860
11680	2773995
11685	140050
11691	9537527
11694	2978071
11695	19291
11696	9207458
11704	1255753
11713	724042
11716	5692527
11724	280818
11726	4203503
11727	10644304
11728	984004
11734	24181
11739	15962093
11741	1688457
11743	5631963
11744	59656
11765	1443147
11775	1781995
11780	1872
11783	12928426
11786	1065642
11787	1090228
11788	9840896
11789	15078915
11800	1679
11801	3879311
11805	9635999
11807	10437625
11810	149753
11812	3402020
11821	6484840
11826	9635999
11829	5610094
11831	216193
11832	7775891
11847	335580
11856	81585
11873	5730071
11893	90427
11897	7760562
11900	270321
11908	6008200
11911	13861348
11912	358530
11913	22453
11917	284489
11922	10426391
11924	47718
11938	5424055
11946	7261920
11954	7830
11963	2666363
11964	3198045
11969	436006
11987	110565
11996	616555
12003	7528
12008	333735
12011	180339
12013	1049928
12016	4020896
12019	10474224
12024	5160067
12025	8439921
12027	903052
12038	2169849
12041	5221972
12044	157123
12045	5489380
12047	5963945
12048	4516198
12049	10154070
12050	603806
12060	32705
12064	4634957
12069	7613
12083	30093
12087	8525
12088	33393
12091	175801
12092	795614
12095	6168648
12100	750257
12102	1286255
12106	46596
12109	136010
12111	6204
12125	2938855
12136	4201203
12137	2554064
12146	5289939
12157	4734162
12163	331249
12166	7409337
12185	188
12212	10118676
12222	28566
12262	941738
12269	4206242
12275	358904
12280	2129962
12293	48500
12305	5195759
12316	9028
12325	6017115
12327	750790
12331	4103
12334	2988
12341	10095571
12343	26876
12345	2591785
12350	7594589
12351	8541819
12370	9993475
12373	8919960
12379	4479910
12383	2806837
12384	18311
12387	10845520
12388	2466028
12389	50903
12391	256893
12392	29435
12396	1349442
12402	98869
12404	10057
12412	17885
12417	2248
12421	10057
12426	12627650
12428	2401319
12429	2401319
12430	2401319
12431	2644
12434	316839
12435	245229
12452	6406077
12459	19321
12463	3773
12464	4268445
12468	2915748
12469	249565
12470	5320
12479	36725
12484	1823723
12485	1265
12490	15744
12491	6570
12492	5712447
12493	42526
12497	581
12500	8600505
12501	592307
12502	13460663
12513	22552
12515	31490
12517	1037792
12527	258215
12530	54373
12531	3983832
12534	451362
12536	12693561
12551	26691
12553	133698
12556	3813042
12570	8123145
12575	6393034
12576	1551396
12579	448190
12582	10829309
12583	25963
12589	13772477
12595	1929423
12602	7982419
12606	71228
12610	3921332
12619	292238
12624	6035106
12625	13717532
12637	12435
12646	117132
12660	1705
12662	10663043
12668	24512
12670	219101
12672	6675606
12682	10636130
12683	741035
12686	161640
12688	4878928
12690	4035129
12698	468483
12699	5856646
12701	3100
12707	731482
12711	1422548
12717	10211647
12729	9001
12734	9849527
12737	235510
12741	4103
12762	47365
12765	545648
12766	3933563
12767	8146552
12778	8259328
12779	9953
12783	790505
12790	7966790
12805	7132563
12810	1987472
12811	11298960
12817	4940
12822	330717
12829	2919
12832	8593391
12833	2464310
12845	1901
12846	3889821
12847	1129596
12852	773042
12853	2786235
12857	9478330
12863	9198
12865	123215
12866	12052609
12877	362649
12878	81585
12891	498653
12895	6403
12898	10939001
12900	262504
12901	1385255
12905	8396028
12907	13770493
12921	5172
12925	7993019
12927	630237
12934	9488
12936	62089
12944	4012
12947	351680
12949	2318043
12950	3422816
12955	7235
12957	1172
12958	6933362
12973	72593
12975	23822
12977	39121
12987	7535283
12988	237588
12992	10481736
12998	98293
13006	16627
13010	2245479
13011	860372
13017	7535120
13018	7535120
13021	772248
13023	2855847
13026	2646483
13029	6753160
13033	295546
13042	17461433
13048	8982638
13050	5081211
13053	17071
13054	280818
13058	5712447
13059	13280
13063	1029097
13067	2358652
13070	4439137
13071	30234
13073	15125
13075	10742501
13086	13695962
13088	17704
13092	71466
13096	1795608
13097	1760035
13098	17443
13103	4424699
13111	13889
13116	967778
13126	2516029
13127	3003927
13137	5751726
13140	6066046
13142	1420506
13143	8143
13148	2316289
13151	4790770
13157	22370
13161	1068663
13167	17890
13172	134006
13173	6620
13175	161979
13177	2306024
13179	9130691
13189	194043
13192	7697
13199	2888699
13203	10437625
13204	106141
13206	5302808
13213	11420
13236	4910872
13244	8589
13246	284286
13251	2057022
13252	345104
13253	20379
13254	4357797
13256	10905402
13258	120837
13267	653121
13273	8878
13277	19964
13278	63984
13287	419619
13288	5723859
13295	3183880
13304	9482048
13313	9540270
13315	22072
13316	4539231
13328	54139
13336	3052064
13338	19503
13350	369735
13361	28149
13375	8192
13382	5348499
13383	23347
13389	1187820
13392	4434
13399	28884
13407	10446896
13427	46276
13430	148677
13432	823413
13452	626460
13459	1506318
13465	3046799
13466	481587
13471	1874331
13483	98641
13488	35966
13490	9167816
13498	8652499
13500	9713353
13511	4954977
13519	5787805
13523	17981
13525	8366928
13526	10583915
13533	6415619
13542	245819
13547	10045
13550	4054041
13560	187189
13567	8147167
13587	1585974
13593	4977108
13619	10338032
13627	4184051
13644	1256217
13654	23194
13671	4684774
13674	9528626
13683	1801759
13686	924946
13689	7551591
13695	146933
13697	4735588
13700	49213
13712	883089
13714	5822278
13715	5952631
13718	6426
13719	2283565
13721	3634555
13722	234074
13729	13280
13730	5906605
13737	310822
13745	2573428
13747	8732
13749	26901
13755	5986796
13756	64430
13766	874494
13778	2064806
13784	4514830
13785	881885
13796	12674709
13804	347970
13808	21201
13810	9190
13811	13966817
13821	280818
13828	6270854
13830	3601788
13831	15764
13834	4506347
13842	47032
13843	10568161
13847	1458
13857	1458
13861	86382
13863	6225506
13864	31054
13865	607557
13871	15544
13873	635546
13875	4905
13876	5744644
13877	5673214
13891	38993
13896	2422344
13898	34388
13901	61729
13904	6317299
13909	1721925
13910	39841
13915	5741093
13916	337967
13922	1778997
13924	469425
13925	599891
13926	15287
13927	233380
13928	3336295
13933	86348
13934	10679
13947	1161
13960	5952631
13972	349434
13981	1829552
13991	5250
13992	87174
14000	554492
14004	7947997
14006	482199
14018	18910
14027	5712447
14035	5259601
14040	17808
14044	645321
14046	4679780
14047	5771635
14052	640378
14061	434
14066	700820
14067	216218
14076	159269
14082	49137
14083	4471077
14086	7960487
14087	5255530
14091	46840
14094	8587027
14100	250556
14104	13017
14110	30416
14118	5906605
14120	1081964
14121	2689631
14122	114203
14125	6798
14131	2455059
14132	118891
14134	10728776
14153	616971
14155	5832773
14159	2832
14164	736650
14168	12693561
14169	12431
14170	395211
14171	1441899
14184	5847436
14187	1696593
14188	5446634
14190	241962
14193	9575463
14204	2551
14205	1962
14206	4666042
14209	209364
14213	4095319
14216	4694
14221	293314
14238	30962
14247	7434675
14253	12656470
14254	5712447
14266	7901686
14271	1479497
14273	5188279
14276	13169368
14277	3401825
14293	4479190
14300	14151814
14311	4212306
14317	3469680
14320	9291
14323	107797
14324	368510
14334	8006893
14343	6921456
14351	5712447
14354	693766
14356	1371870
14357	3252340
14362	9063572
14363	671370
14366	7959757
14375	10390
