geneid	dist
559	3697
564	4950
572	6883
575	7709
579	7528
582	7367
590	6687
594	5834
602	5419
605	5129
614	3559
619	1746
624	1139
992	28454
1032	1229
1238	1229
2011	140285
2929	2871
3124	377845
3159	454
4104	53941
4208	1012098
4378	151279
4416	3882548
4475	2905065
4716	707
4772	1012098
4828	1012098
4841	1012098
4867	3882548
4881	102818
5007	2903629
5051	308246
5059	186288
5085	296185
5098	196506
5143	128111
5161	274727
5197	1910915
5198	244533
5216	741698
5234	3945317
5249	154473
5264	1787919
5266	538490
5280	31043
5291	1064483
5302	352452
5331	777711
5345	295427
5362	466504
5369	1321126
5397	568919
5401	1974929
5467	485698
5468	588965
5470	4695074
5471	1912569
5505	2527648
5506	494518
5522	514510
5546	5510747
5557	334220
5562	521699
5597	5393182
5599	1567551
5608	771710
5631	3415851
5659	1619790
5670	3178
5691	2041330
5697	197352
5705	326312
5706	1184324
5730	3672594
5740	2406810
5748	336395
5773	4343210
5780	3000720
5785	135118
5798	5494861
5820	892349
5837	1992943
5841	4456416
5843	3818174
5854	1297877
5874	4225734
5877	872514
5879	4400728
5895	4350612
5897	3941974
5898	2084820
5912	978463
5913	525307
5914	273548
5916	1364937
5921	1390016
5930	32746
5939	3565030
5951	1671955
5977	777711
5993	4053985
6004	1293012
6012	1421841
6023	1113689
6050	1708120
6055	4175209
6061	537129
6095	2920539
6101	1310118
6106	1147396
6117	214424
6120	1229020
6121	943590
6137	4382073
6144	980771
6160	2728174
6179	1073258
6195	956456
6201	1974929
6204	5469404
6206	416256
6215	1465541
6228	1126937
6230	13457076
6253	1739842
6266	3311322
6267	1466668
6276	14851673
6278	13331
6287	4194371
6291	1727509
6295	4225734
6304	5590607
6308	24809
6316	1260406
6329	1421841
6338	155246
6351	3446446
6360	184451
6390	1011403
6391	1027135
6401	733766
6416	1057964
6441	1144811
6469	926095
6470	733766
6474	982046
6504	1158501
6514	34233
6538	11287397
6552	1271757
6567	5035508
6597	10585839
6639	11398
6653	1791354
6658	929145
6661	4056740
6663	736189
6667	1457616
6676	1342499
6689	2317720
6709	2601694
6722	841114
6723	85535
6731	296763
6745	160356
6760	4110322
6764	3594999
6771	4404961
6784	3949005
6795	588965
6808	381895
6809	1699162
6813	31481
6816	2247336
